,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Wisconsin,Arlington,3/31/2015,HybriForce 3400,9/17/2015,242,5.38,345,351,2573.69,842.7,19.46893612,17.158773864126676,10.92,0.1355754843376037,1
1,Wisconsin,Marshfield,8/9/2012,Buffalo,42240,251,5.56,912,352,2571.94,386.6,7.58964426,11.261602707800584,22.43497917,0.09224143822512852,1
2,Kentucky,Arlington,3/31/2015,Evermore,42613,261,5.86,130,310,2061.23,512.6,23.79017857,8.902416024121386,28.33757195,0.31654400575120406,1
3,Kentucky,Arlington,3/31/2015,msSunstra-145159*,42243,238,7.52,130,389,4394.61,133.8,23.79017857,14.267312681807272,10.92,0.07,2
4,Kentucky,Marshfield,4/5/2016,MSSUNSTRA-D15*,9/18/2014,250,4.25,228,1,3895.94,780.8,20.96210855,18.784476767896578,16.89494736,0.12519265994432655,2
5,Kentucky,Lancaster,42095,AFX 095023,9/16/2015,251,5.91,1181,374,4823.96,795.6,23.79017857,1.7845051077252876,10.92,0.7,3
6,Kentucky,Marshfield,41730,Mssunstra-B16,9/14/2017,242,6.97,293,1,3168.88,109.7,19.760593,10.112227195933349,10.92,0.11558938191292834,3
7,Kentucky,Arlington,41730,FSG 424,9/15/2017,245,3.39,475,1,4427.21,109.7,23.02458817,2.1844137042923326,17.36940745,0.11585091328304534,1
8,Wisconsin,Marshfield,42095,AFX 095023,9/19/2016,247,6.11,751,1,1856.67,941.1,6.65933185,16.21553883037614,23.85911977,0.32326866958880507,1
9,Kentucky,Marshfield,41365,Ameristand 427TQ,9/18/2014,250,5.11,130,326,1983.09,1043.2,7.11150097,11.189290688204277,19.81324678,0.2815790950607952,2
10,Wisconsin,Arlington,41365,AFX h134090,42249,247,6.64,568,363,4768.51,455.7,19.32374915,10.27835322756042,22.45628069,0.07,3
11,Wisconsin,Arlington,42095,Arc,9/19/2016,234,5.73,130,1,2235.41,245.2,23.79017857,0.2189805643966023,22.75309887,0.08749549776073613,1
12,Wisconsin,Lexington,3/31/2015,Phoenix,9/17/2015,242,6.58,633,340,4633.44,542.8,8.70160066,4.174307952325746,16.93336321,0.30637956978080727,1
13,Wisconsin,Marshfield,40664,Vernal,9/13/2018,244,5.57,499,1,4823.96,652.4,14.34307672,-0.53,10.92,0.2785927051690663,1
14,Wisconsin,Lexington,4/12/2018,Arc,9/12/2018,250,3.29,357,328,4243.03,109.7,5.53,-0.53,10.92,0.3257709550953193,3
15,Kentucky,Lexington,41133,AFX 064022,42247,262,4.39,421,303,3524.78,466.2,8.10343796,13.682212684332953,18.21738429,0.2993425128966178,1
16,Kentucky,Lexington,4/5/2016,AFX113010,42240,253,4.0,1131,1,4823.96,456.4,19.3939916,-0.53,10.92,0.35360527070812925,1
17,Kentucky,Lexington,42095,AFX h134091,9/15/2017,263,6.49,165,1,2648.52,1009.1,23.48710853,15.077627218208317,20.49610928,0.3048898466492912,2
18,Kentucky,Marshfield,4/5/2016,Saranac AR,9/19/2016,266,3.63,978,75,2315.92,109.7,18.98057372,1.0697079511545748,10.92,0.26180560871128,1
19,Wisconsin,Arlington,41730,Mssunstra-B13,9/17/2015,247,3.43,549,316,3004.06,621.3,10.23478024,0.9136071478478621,10.92,0.07,1
20,Wisconsin,Arlington,3/31/2015,Sonic,42604,251,1.94,529,339,4503.25,109.7,5.53,15.615029187411961,18.46588098,0.334404540287304,2
21,Wisconsin,Marshfield,41365,Arc,42249,250,2.38,130,42,3108.33,795.9,18.60159265,12.105792309305023,10.92,0.07621267891669922,3
22,Wisconsin,Lexington,41365,NF11ALF006,8/20/2018,246,2.28,440,48,2401.11,401.2,7.50055305,0.5648110568966161,17.7221345,0.2724648289218329,1
23,Wisconsin,Arlington,4/5/2016,Buffalo,41919,245,2.15,381,1,3188.86,945.7,21.70589046,13.944435014520321,10.92,0.3008339086487514,3
24,Wisconsin,Marshfield,8/9/2012,55Q27,9/15/2017,254,8.21,679,313,1856.67,868.9,23.30842679,-0.53,22.91182517,0.08468729119380707,2
25,Wisconsin,Lexington,41730,FSG 408 DP,41885,243,6.44,492,329,2124.89,745.1,23.79017857,6.511158664345746,22.22182506,0.25754582040432117,3
26,Kentucky,Arlington,3/31/2015,Solargold,41885,228,3.21,577,1,3667.68,716.8,15.78450523,-0.53,23.60839198,0.07,1
27,Kentucky,Arlington,40664,Mssunstra-B15,42251,260,3.54,277,308,4518.47,329.2,18.99219534,-0.24002497681127877,11.65200517,0.09628000856056326,1
28,Wisconsin,Marshfield,8/9/2012,Vernal,42613,253,6.1,354,402,4675.86,350.8,16.20813148,14.109689585183213,23.57387365,0.09978127235206388,2
29,Wisconsin,Marshfield,41730,Arc,42604,259,7.39,807,326,2677.04,370.7,22.12634386,9.805407248797435,10.92,0.3579965386589081,3
30,Wisconsin,Marshfield,41730,NF11ALF006,41885,280,4.67,477,1,4813.55,591.2,18.5961248,-0.53,18.80293251,0.0977849829864073,2
31,Wisconsin,Arlington,42095,5312,9/17/2015,239,7.58,1160,1,4728.22,624.1,5.73300966,3.7142090866977577,16.43887235,0.10169053110290643,1
32,Kentucky,Arlington,41133,AFX 095023,42613,248,2.6,130,1,4288.81,109.7,21.52083565,13.234350490332393,21.25860721,0.10736599926893366,3
33,Kentucky,Lexington,41730,Mssunstra-B13,41890,250,7.53,350,38,4571.33,824.3,18.70525431,7.410149457159202,17.7358781,0.07,2
34,Wisconsin,Arlington,42095,Ameristand 403T,41890,249,6.95,525,9,4461.59,684.9,7.04347712,-0.53,18.95343425,0.08045474305520324,3
35,Wisconsin,Lexington,42095,GA-497HD,9/15/2017,268,5.61,581,337,2589.23,560.8,19.4256939,13.484661641019088,23.05005331,0.30257282044333056,1
36,Kentucky,Marshfield,41133,Ameristand 403T Plus,9/15/2017,237,2.28,130,1,2254.17,1033.8,20.19805052,3.868481272617081,19.64895061,0.09726402725069708,1
37,Wisconsin,Marshfield,42095,FSG 403LR,9/12/2018,250,7.22,614,344,2572.15,831.4,7.87306102,1.367517882398774,22.98140421,0.12826723266379603,3
