,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Wisconsin,Marshfield,3/31/2015,GA-505,42243,255,7.93,317,353,3043.2,109.7,18.2674712,7.722966758659231,22.02342251,0.34464623718371457,1
1,Wisconsin,Lexington,40664,Contender,42251,253,1.19,630,352,3210.71,656.5,22.5684761,12.325196228786172,10.92,0.32794776447432916,1
2,Wisconsin,Arlington,4/5/2016,Buffalo,9/19/2016,224,3.67,130,395,4823.96,765.3,5.53,9.65465465374747,24.87850738,0.12511437245791598,1
3,Wisconsin,Arlington,42095,Contender,9/17/2015,226,2.97,325,304,3560.38,637.0,5.53,12.383845375046782,10.92,0.07617592823468519,1
4,Wisconsin,Arlington,41133,FSG 424,9/13/2018,249,5.92,130,363,4435.92,776.9,12.0417492,9.00546190836193,21.37480352,0.14113241555051786,1
5,Wisconsin,Arlington,41730,DKA41-18RR,9/14/2017,255,6.91,406,1,4361.07,304.7,6.24253917,-0.53,10.92,0.11008979492628711,1
6,Kentucky,Marshfield,41365,AFX095023,41889,242,1.95,606,324,4720.23,298.9,12.10496604,-0.53,21.22205942,0.09624047575498233,1
7,Kentucky,Lexington,3/31/2015,MSSUNSTRA-C10*,9/18/2014,257,3.62,130,362,2455.65,621.5,12.44237586,-0.53,24.66697339,0.1175999377285372,1
8,Wisconsin,Marshfield,8/9/2012,SW 4332,9/17/2015,226,8.25,263,355,2046.56,768.2,13.55517749,-0.53,17.60690007,0.1066806179543322,1
9,Wisconsin,Lexington,41365,PGI 212,9/17/2015,241,2.84,679,1,4606.32,653.1,17.80975636,-0.29066806085699093,22.85795506,0.07080397589808762,2
10,Wisconsin,Lexington,41730,55V50,41885,253,1.43,964,1,2514.7,743.2,8.02630614,1.4005047394151273,10.92,0.107852130509195,2
11,Wisconsin,Lexington,41365,FSG 408 DP,42613,245,2.69,371,1,2480.05,766.6,18.38580452,11.033688951548093,24.37374576,0.11678502902608116,1
12,Wisconsin,Marshfield,4/5/2016,AM-14-900,9/19/2016,255,6.76,130,333,4709.83,819.6,5.53,8.755193239928484,17.11895079,0.07127134614120888,2
13,Wisconsin,Arlington,4/5/2017,Nuton,41885,248,6.09,554,351,3716.22,652.6,5.53,-0.53,10.92,0.3539816407722908,1
14,Wisconsin,Lexington,8/9/2012,Ameristand 403T Plus,42243,241,2.47,505,362,2824.5,977.9,5.53,16.287211698333255,19.79480889,0.10560956232742155,3
15,Wisconsin,Lexington,41730,MS Sunstra 144142*,9/19/2016,243,5.49,130,329,2831.43,762.7,5.53,-0.53,19.15099684,0.2752535022821731,1
16,Kentucky,Arlington,42095,AFX064022,9/14/2017,250,4.51,174,337,2920.98,782.5,5.53,7.463553035526944,10.92,0.12096791310648282,1
17,Wisconsin,Lexington,42095,AFX h134093,9/14/2017,249,3.25,130,328,3658.47,747.2,21.40264654,7.728029155438888,10.92,0.1019454031884271,1
18,Wisconsin,Arlington,41730,Oneida VR,9/14/2017,254,7.45,534,367,2875.23,827.4,14.32957316,15.675364687915451,20.95642876,0.07,2
19,Wisconsin,Marshfield,42095,5312,9/15/2017,241,7.65,819,378,3255.58,660.4,14.18210567,6.278214277470478,23.93698752,0.07530577647882986,1
