,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Kentucky,Arlington,41365,Vernal,42604,244,1.64,130,307,4784.95,692.3,5.53,18.87832738,23.38054917,0.3150143368057019,2
1,Wisconsin,Lexington,42095,Vernal,9/19/2016,261,4.21,195,368,2231.9,775.3,5.53,18.87832738,12.64105616,0.07,2
2,Wisconsin,Arlington,42095,SW 4351,41885,232,6.63,313,334,4768.83,713.5,5.53,2.5022164270497065,12.09317812,0.07,1
3,Kentucky,Lexington,42095,WL 365HQ,42240,266,5.25,519,1,4144.08,883.4,13.84960645,12.73025613564719,26.34738909,0.2751241473085942,1
4,Wisconsin,Lexington,41365,HYBRIFORCE-3400QR**,41885,261,1.86,262,321,4605.5,807.1,5.53,0.9523668041405974,16.68129496,0.10712307764027078,1
5,Wisconsin,Marshfield,41365,FSG408DP,9/14/2017,247,3.25,618,362,2908.33,777.2,20.46307995,18.87832738,14.94350184,0.2941951908394569,1
6,Kentucky,Lexington,40664,Saranac AR,41919,240,4.05,130,329,1856.67,225.2,15.55863679,18.87832738,29.25310714,0.0876930233635237,1
7,Wisconsin,Marshfield,41730,LANCER,41919,257,2.92,415,357,4612.18,769.6,21.74692596,17.301943147439957,26.46219804,0.3507029099678692,2
8,Wisconsin,Lancaster,41365,FSG-426,42251,243,5.54,244,13,4666.08,766.8,23.48420556,-0.11350835103970325,26.09230843,0.07,2
9,Wisconsin,Lexington,40664,Sonic,42251,251,5.25,130,316,4167.92,753.3,5.53,3.7264657957349314,11.57833447,0.07977667817892808,1
10,Kentucky,Lexington,41365,AFX 095023,42604,243,1.19,219,402,2420.12,857.2,14.05920002,18.87832738,29.25310714,0.0969921405902454,1
11,Kentucky,Arlington,42095, AFX h134092 ,41886,248,5.48,168,312,4356.8,752.1,5.53,12.829710261288099,17.06808658,0.29028509804016056,1
12,Kentucky,Marshfield,41133,msSunstra-145159*,42251,268,1.95,130,333,4615.32,719.3,5.53,18.87832738,16.25761195,0.07,2
13,Wisconsin,Marshfield,40664,AFX095026,9/13/2018,280,9.97,130,45,1856.67,109.7,22.29295267,18.87832738,16.60149485,0.26914890455110363,2
14,Wisconsin,Lancaster,4/12/2018,Mssunstra-B11,9/17/2015,242,6.48,130,312,4486.06,864.8,13.71539,6.55197350551145,10.92,0.10109029320864106,1
15,Wisconsin,Arlington,41730,Saranac AR,41885,250,5.4,891,357,4473.46,821.3,6.46789862,16.533099390872138,29.25310714,0.12041806600289034,1
16,Wisconsin,Arlington,41730,AFX h134090,42240,259,7.11,130,21,2423.81,681.7,17.75299558,1.9143021816176606,29.25310714,0.08613028744213655,2
17,Kentucky,Marshfield,40664,AFX 095026,42605,255,6.13,336,330,2694.79,317.1,8.74384911,16.544696154702816,10.92,0.2821802022851439,1
18,Kentucky,Lexington,4/5/2017,Mallard 5,41890,251,1.27,130,358,4453.08,813.3,22.38512372,1.1674124725866117,10.92,0.07,1
19,Wisconsin,Lexington,4/5/2016,FSG 415BR,42240,251,7.63,711,400,3454.5,563.0,9.15588777,2.8780590147931195,26.09130648,0.07223649585485313,1
20,Kentucky,Lexington,4/5/2017,GA-505,9/19/2016,252,6.7,130,320,4520.59,828.2,22.47833774,17.132394737321277,29.25310714,0.2338906296310111,1
21,Wisconsin,Arlington,41730,6472A,41889,259,7.44,130,360,4252.79,790.1,6.57248447,1.5312948278263603,29.25310714,0.2910297023446693,1
22,Wisconsin,Marshfield,41365,Buffalo,9/16/2015,258,4.15,130,20,4823.96,683.7,5.53,18.87832738,13.16164151,0.07,1
23,Wisconsin,Arlington,4/5/2016,LS 706,9/13/2018,258,6.33,562,336,2538.44,678.1,18.74901342,7.0255865170602165,15.94940704,0.07,1
24,Kentucky,Arlington,40664,AFX h134090,42251,261,2.28,330,339,2557.22,646.3,5.53,4.89819978432237,12.48781661,0.25696722287570195,1
25,Wisconsin,Lexington,41730,55Q27,9/14/2017,255,3.19,130,384,2603.23,765.5,8.43040223,17.784649169358875,14.75882158,0.27285167851106606,1
26,Wisconsin,Lexington,41365,FSG 415BR,41885,252,3.81,250,365,4823.96,835.9,19.55796417,18.87832738,29.25310714,0.07,2
27,Wisconsin,Lancaster,41730,Buffalo,9/15/2017,246,5.35,856,18,2024.75,804.2,19.44467848,3.4222928534295116,17.06146295,0.07,1
28,Wisconsin,Arlington,3/31/2015,DKA41-18RR,42240,260,4.47,130,330,4539.87,713.4,18.75980315,2.598068088773318,13.50556938,0.07387896353030275,2
29,Wisconsin,Marshfield,41365,Evermore,42247,252,3.59,361,1,4823.96,683.8,5.53,18.87832738,10.92,0.0748858460539667,2
30,Wisconsin,Lexington,42095,Nuton Alf,41886,262,5.96,400,302,4823.96,779.3,16.82566732,1.9150272228137868,29.25310714,0.07,1
31,Wisconsin,Lexington,4/5/2017,55Q27,9/19/2016,280,8.1,300,333,4823.96,997.5,5.53,18.52808049846779,10.92,0.3547218729834233,2
32,Wisconsin,Lexington,4/5/2017,MS Sunstra 144110*,8/12/2013,247,3.86,210,46,4290.7,740.5,17.42565531,18.87832738,24.29466966,0.11438083331873454,1
33,Kentucky,Marshfield,4/5/2016,5312,42604,251,2.73,304,317,4467.33,797.8,5.53,14.04612708246751,14.41817384,0.104778354560532,2
34,Kentucky,Arlington,41730,55V50,8/20/2018,263,1.86,294,314,1856.67,828.3,5.53,6.751827310284776,13.61697596,0.10923855822457003,1
