,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Kentucky,Lexington,41730,Saranac AR,42251,241,2.66,130,1,4823.96,852.1,14.53883153,6.452843448425812,28.53262295,0.07,1
1,Wisconsin,Lexington,4/5/2016,55V50,41889,253,2.28,1079,74,3567.71,554.0,5.53,5.710613379915969,19.37702815,0.3012050712738023,1
2,Wisconsin,Arlington,4/12/2018,55Q27,42251,254,1.19,1383,365,3904.77,753.2,17.9285423,16.401680306696004,29.25310714,0.07,1
3,Wisconsin,Lancaster,4/5/2017,GA-505,41890,279,3.46,468,57,4086.04,719.2,5.53,16.71640022839864,15.36987765,0.10499108681801476,2
4,Wisconsin,Marshfield,41133,Vernal,9/17/2015,249,10.6,504,73,2446.47,616.7,15.47102521,6.937336494083171,23.21584393,0.09389257378907155,2
5,Kentucky,Arlington,41730,AFX083003,9/18/2014,246,6.34,1268,48,3521.61,794.6,10.59435171,16.905084632853818,26.10206176,0.12072860938354671,1
6,Wisconsin,Marshfield,4/12/2018,Arc,41886,250,1.73,597,1,3764.14,523.3,16.19162212,18.87832738,11.09182773,0.07,1
7,Kentucky,Arlington,4/5/2016,AFX113010,41919,248,3.83,397,356,3244.24,814.5,5.53,4.714562249378463,12.33739992,0.07,2
8,Kentucky,Lexington,4/5/2016,Arc,9/14/2017,242,8.01,130,1,4823.96,607.3,16.56709803,15.75200195490269,29.25310714,0.5415629312929813,1
9,Kentucky,Marshfield,8/9/2012,AFX h134089,41886,241,5.29,876,46,2297.43,431.7,18.92858378,18.87832738,17.50359089,0.3304913035372997,1
10,Wisconsin,Arlington,42095,X13-9202B,41890,280,10.6,916,1,2903.9,442.3,5.6105689,18.87832738,11.84422574,0.07,2
11,Kentucky,Lexington,42095,55V50,9/14/2017,252,6.44,148,75,3693.32,731.4,5.7843658,18.87832738,26.13800658,0.07629693970345147,2
12,Wisconsin,Arlington,42095,Hybriforce-3400QR,9/19/2016,235,10.6,130,28,3719.31,727.8,21.20560512,5.81955798437452,21.02652338,0.6572329732389538,1
13,Wisconsin,Lexington,4/5/2017,BLUE JAY,9/12/2018,228,9.03,2225,1,4823.96,913.6,14.59219943,18.87832738,25.41175839,0.264060834640336,2
14,Wisconsin,Lexington,3/31/2015,MSSUNSTRA-C12*,9/14/2017,232,6.93,289,1,2850.71,707.7,23.6777589,18.87832738,29.25310714,0.07,1
15,Wisconsin,Lexington,8/9/2012,L-455HD,41886,249,9.7,153,343,3404.28,807.8,5.53,15.202688067208827,23.97048415,0.3037781397642302,1
16,Kentucky,Marshfield,8/9/2012,Ameristand 403T,9/19/2016,251,7.72,942,28,4823.96,282.1,23.79017857,17.160868422076206,14.99044778,0.08314688358572693,1
17,Kentucky,Marshfield,41365,MS Sunstra 145154*,41885,250,2.72,308,34,2884.66,813.1,22.10973875,18.87832738,29.25310714,0.10793526097774664,2
18,Kentucky,Arlington,41730,LS 706,41885,264,9.66,1210,396,4823.96,752.7,16.30030469,9.392179768613978,24.54125649,0.07,1
19,Wisconsin,Arlington,3/31/2015,54Q14,41885,249,8.4,520,380,4358.23,534.4,5.53,5.860286137871529,26.06760626,0.07,2
20,Kentucky,Lexington,41730,Caliber,42249,242,6.08,474,86,4562.02,514.6,21.4210202,18.852344252434403,13.99086144,0.08358819080516126,2
21,Wisconsin,Marshfield,40664,Caliber,9/19/2016,240,7.14,943,1,2549.76,465.7,23.2448174,6.634649070145688,23.57379014,0.10475824459803362,1
22,Kentucky,Marshfield,41365,Radiance HD,41889,241,6.36,130,1,4679.6,392.0,23.79017857,15.459152573574466,29.25310714,0.07623214275041748,3
23,Kentucky,Marshfield,41365,FSG 415BR,8/20/2018,256,3.59,130,14,4086.71,700.0,5.53,-0.53,29.25310714,0.6123752893936367,1
24,Wisconsin,Marshfield,4/5/2016,LS 905,41886,224,10.55,130,7,3918.22,695.1,17.60765875,14.394955169753992,28.55294127,0.10118069999461655,2
25,Wisconsin,Lancaster,42095,CW 085028,42243,248,5.68,1072,8,4521.75,889.4,5.81560304,14.549340993497584,15.74190188,0.0822117071103848,1
26,Kentucky,Lexington,8/9/2012,GA-497HD,41886,237,3.28,1112,401,4805.95,539.4,9.07810805,8.467107071062873,28.70154756,0.07,1
27,Kentucky,Arlington,8/9/2012,AFX h134090,41885,224,10.6,145,402,4789.42,598.7,15.06656281,12.986111990488407,24.97681433,0.30744145801559786,2
28,Kentucky,Lexington,41730,Buffalo,41885,264,10.6,966,23,4823.96,109.7,5.53,18.87832738,10.92,0.07687196194773695,1
29,Kentucky,Lexington,8/9/2012,Arc,42240,243,5.35,1118,1,4823.96,605.6,22.09707485,18.87832738,11.30384274,0.08724754376558112,1
30,Wisconsin,Arlington,4/5/2016,NF11ALF006,42604,240,2.56,955,389,4552.56,638.8,18.06471455,18.87832738,13.652275,0.08165984028012392,2
31,Wisconsin,Arlington,40664,AFX 064022,42251,229,7.26,881,94,3959.85,875.5,15.33543084,18.87832738,22.9553912,0.26466140180188025,1
32,Wisconsin,Arlington,4/5/2016,Nuton Alf,41885,257,5.46,236,1,2674.75,482.0,5.93690075,18.87832738,12.6494043,0.26108379762325096,2
33,Wisconsin,Lexington,42095,55V50,9/14/2017,229,3.51,784,395,4823.96,803.1,11.12883919,10.526119029126802,25.59781314,0.08929123916864037,1
34,Kentucky,Lexington,4/5/2017,GA-505,42251,260,4.48,361,377,4823.96,753.9,23.46116155,12.910646544618361,23.41757754,0.0988595236681435,1
35,Wisconsin,Marshfield,42095,LH 9700,9/17/2015,262,2.69,202,18,4823.96,776.1,12.57758004,1.2477640777539425,25.93236001,0.08641409273591648,1
