,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Kentucky,Lexington,41730,Ameristand 403T Plus,42604,254,10.6,648,402,4823.96,813.2,5.53,1.1098965420423799,26.92248693,0.23854165516032394,1
1,Wisconsin,Lexington,4/5/2016,Caliber,9/19/2016,258,9.78,130,25,4684.36,864.0,15.80573485,16.75823876632734,23.07990743,0.30606365352137965,1
2,Kentucky,Arlington,8/9/2012,VERNAL,42251,240,10.6,308,402,4624.09,852.6,5.53,14.012980026963799,13.25242785,0.13212291818980743,1
3,Kentucky,Lexington,8/9/2012,Oneida VR,41890,241,6.05,613,396,2922.2,570.0,18.310917,-0.53,22.07707859,0.10717275957199951,1
4,Wisconsin,Arlington,3/31/2015,AFX 095023,42243,261,4.55,453,402,3897.5,718.1,20.2677319,-0.53,14.45146602,0.10937965714530953,1
5,Kentucky,Lexington,4/5/2016,AFX095026,42251,241,5.64,1052,402,4434.45,769.5,11.18232862,4.3688864429419105,10.92,0.11977323179274926,1
6,Kentucky,Lexington,4/5/2016,5312,42613,253,7.26,489,361,2944.22,861.7,21.19221341,18.87832738,11.11501944,0.10321434494563696,1
7,Wisconsin,Lexington,4/5/2016,MSSUNSTRA-C12*,42605,253,5.89,130,392,4823.96,799.7,19.38236277,-0.53,29.25310714,0.0943133539511462,1
8,Wisconsin,Marshfield,41730,Saranac AR,41889,249,1.54,130,402,3219.83,870.0,5.79976953,12.078029675676012,12.01645609,0.07,1
9,Kentucky,Arlington,41730,FSG 408 DP,41885,263,3.36,351,402,4823.96,896.1,23.79017857,4.770986635432881,18.16747392,0.07,3
10,Wisconsin,Marshfield,4/12/2018,DKA41-18RR,9/19/2016,263,4.6,293,51,4669.56,834.9,23.79017857,2.6462612960758993,22.41194386,0.33206482124445086,1
11,Wisconsin,Arlington,40664,FSG408DP,42604,245,3.99,266,368,4703.73,903.9,18.96403328,16.92495565279052,10.92,0.26192673305150393,1
12,Wisconsin,Lexington,8/9/2012,FSG408DP,42243,258,10.6,130,402,4823.96,684.2,19.48574546,3.038580649584518,18.36634774,0.32791125830240947,2
13,Wisconsin,Lexington,42095,Legendairy XHD,41886,260,7.59,376,310,3346.57,787.5,5.53,15.277922024812506,25.87308716,0.2614290580328531,1
14,Kentucky,Lexington,3/31/2015,Arc,9/12/2018,260,9.88,130,402,4703.77,902.4,11.0970866,1.2274075751638667,10.92,0.11279898569583682,1
15,Wisconsin,Lexington,41365,Caliber,42243,246,2.63,240,402,4823.96,598.9,9.43142329,-0.53,10.92,0.1076028373977179,2
16,Wisconsin,Lexington,8/9/2012,Nuton Alf,9/19/2016,247,4.93,130,106,4823.96,764.7,12.07291154,4.12401442036718,15.5790062,0.13045856468193204,1
17,Kentucky,Marshfield,42095,Caliber,9/19/2016,259,6.72,130,359,3926.2,929.5,7.57029414,15.91581271405197,15.35582185,0.11189354080446998,2
18,Wisconsin,Lexington,42095,55Q27,9/17/2015,259,6.0,130,71,3489.7,926.9,18.4897475,-0.53,12.43806141,0.07,3
19,Wisconsin,Lexington,4/5/2016,AFX 064022,42243,242,7.41,483,372,3997.02,889.5,22.03400644,10.264019344797342,14.66211328,0.324039519225799,1
20,Wisconsin,Arlington,8/9/2012,Solargold,42247,235,9.9,130,384,4688.47,842.0,9.59728121,18.87832738,15.94022027,0.33911157134203324,2
21,Kentucky,Arlington,41730, LS 706 ,8/20/2018,241,4.02,503,56,4823.96,1043.2,13.65458777,17.853975460948224,13.79598402,0.352239817572388,1
22,Kentucky,Lexington,41730,55V50,41885,243,9.92,143,71,4131.54,1043.2,5.53,16.64682973656256,16.38241696,0.30537772823220194,2
23,Kentucky,Lancaster,41730,MSSUNSTRA-C15*,41890,255,9.82,570,64,4823.96,894.9,23.79017857,10.81378256908851,27.39990089,0.3072999988535227,1
24,Kentucky,Lexington,8/9/2012,AFX095026,9/16/2015,256,6.2,130,376,3777.99,894.3,5.53,11.427059140028122,29.25310714,0.07,1
25,Wisconsin,Lexington,4/5/2016,AFX h134090,9/17/2015,254,5.28,130,365,4358.55,463.8,5.53,11.366780789231214,15.4866743,0.33645413852210193,3
26,Kentucky,Lexington,8/9/2012,msSunstra-145159*,42249,258,8.48,800,384,1856.67,829.7,5.68527589,0.7109630633866039,29.25310714,0.09694946485277478,1
27,Wisconsin,Lexington,41730,AFX095005,42249,267,4.83,130,377,4823.96,806.6,13.43994326,13.861805396158914,13.7967382,0.31932844178775677,1
28,Kentucky,Arlington,42095,WL 365HQ,42604,272,3.94,676,79,3104.39,1043.2,7.52293062,15.161371843472574,15.90915396,0.08259604796858744,3
29,Wisconsin,Arlington,40664,Contender,9/12/2018,262,6.32,649,43,4486.49,894.5,5.53,0.8466754780919143,13.3447889,0.09397632459785896,1
30,Wisconsin,Arlington,8/9/2012,VERNAL,9/19/2016,255,10.48,285,83,4484.79,456.4,9.58951971,12.529742773082253,11.11060151,0.25084426138259436,1
31,Kentucky,Marshfield,3/31/2015, AFX h134092 ,9/19/2016,264,10.6,353,402,4823.96,905.6,19.69951928,3.8841071022853226,28.30687194,0.30458292808060355,1
32,Wisconsin,Lancaster,41365,Mssunstra-B13,9/17/2015,250,6.58,1133,382,3509.17,1027.6,5.95918248,10.632379540840827,29.25310714,0.33122448056448156,1
33,Wisconsin,Arlington,42095,Mssunstra-D16,9/18/2014,265,7.34,685,402,3508.98,1043.2,5.60761209,11.554910254690059,25.58088023,0.33243918456661214,2
34,Wisconsin,Marshfield,41730,Caliber,42243,257,7.4,559,402,3939.68,818.4,5.53,2.7635899051991473,15.70881173,0.26590998934615084,3
35,Kentucky,Lexington,41365,Vernal,9/19/2016,252,10.6,509,398,3809.11,916.4,18.7558576,3.018764817084363,29.25310714,0.2725976402661797,2
36,Wisconsin,Arlington,3/31/2015,LS 905,8/20/2018,265,1.59,427,402,4823.96,789.1,8.08574534,10.543337700472794,23.9809031,0.3235843817573607,2
37,Kentucky,Lexington,3/31/2015,GA-505,9/14/2017,245,8.54,1402,378,4823.96,810.5,5.53,12.629293643993082,20.14374819,0.3378867752119816,2
38,Wisconsin,Lexington,4/12/2018,AFX095005,42243,247,10.6,555,388,2481.98,743.5,5.53,4.223371696518579,27.78085964,0.25556116181404553,1
39,Wisconsin,Arlington,4/12/2018,4030,41886,252,7.69,349,327,3366.84,845.9,17.43340973,-0.3798041943479502,11.90953111,0.07,1
40,Kentucky,Lexington,41365,SW4107,41919,246,4.42,130,402,3774.69,334.2,16.56009372,3.3739968696666107,27.53265367,0.10502178353691594,1
41,Kentucky,Arlington,41365,LS 905,42604,253,3.76,130,402,4823.96,860.1,5.53,8.024979802993526,13.19590563,0.3451126380412532,1
42,Kentucky,Lexington,8/9/2012,MSSUNSTRA-C11*,42604,262,5.4,500,1,4316.7,739.3,5.53,-0.53,15.98010315,0.7,2
43,Wisconsin,Arlington,8/9/2012,GA-505,41885,244,7.35,153,402,3115.17,818.8,5.53,8.749037881272292,29.25310714,0.31926310811990444,1
44,Wisconsin,Marshfield,4/5/2016,AFX 103009,41886,244,6.57,130,365,2986.68,896.0,6.30810328,0.6415088182859764,12.96701443,0.0789379944944461,1
45,Wisconsin,Lancaster,42095,Caliber,41890,250,1.71,405,402,2685.32,808.2,17.05099895,15.303087789974288,14.31967865,0.30072138984900415,1
46,Kentucky,Lexington,8/9/2012,Fierce,8/12/2013,244,7.36,487,350,4823.96,900.0,16.20690024,10.214493392507233,12.5139996,0.2761493447347492,1
47,Wisconsin,Lexington,8/9/2012,Vernal,9/15/2017,249,7.08,430,402,4823.96,571.8,10.14932809,11.402388105194788,29.25310714,0.10515143095431408,1
48,Wisconsin,Lexington,4/5/2016,55H94,42604,243,7.56,975,371,4823.96,783.5,14.52501832,12.027817073073908,15.17774429,0.3103578181546844,1
49,Wisconsin,Marshfield,4/5/2017,5312,41890,246,6.5,623,3,4823.96,573.0,16.07426922,11.078960488663627,23.07530912,0.30905386537652496,1
50,Wisconsin,Lexington,42095,Caliber,9/19/2016,251,6.97,700,375,2815.97,828.7,17.21526759,2.7436986719541863,13.94390523,0.31977307877627725,3
51,Wisconsin,Marshfield,8/9/2012,Buffalo,9/15/2017,249,2.81,341,368,3762.91,816.4,5.53,13.509777185230222,16.28577197,0.2968244913838633,1
52,Kentucky,Lexington,41133,55V50,41885,232,4.52,130,57,4451.3,811.8,8.91886792,0.7934368560969367,14.62261729,0.3044975506936353,1
53,Kentucky,Marshfield,41730,Saranac AR,42604,261,4.19,267,380,4483.9,888.7,17.4231356,12.708045898884425,11.69299292,0.07,1
54,Wisconsin,Lexington,41133,Saranac AR,42243,252,4.72,665,395,4132.45,768.5,16.29606491,1.3112788361175893,17.15736944,0.339699624733795,1
55,Wisconsin,Lexington,41730,Mssunstra-B11,9/13/2018,241,6.28,1102,42,3607.57,726.5,8.40739067,14.403523196028027,16.68182373,0.09242091475772587,1
56,Wisconsin,Lexington,42095,Hybriforce-3400,9/13/2018,259,4.39,130,314,4731.77,892.8,18.97748076,10.519922282625965,24.42561664,0.2955246320693082,1
57,Wisconsin,Lancaster,8/9/2012, AFX h134093 ,42613,242,10.6,130,335,2192.17,629.4,5.9718926,3.112054329871837,29.25310714,0.2637949871888838,1
58,Kentucky,Marshfield,41730,55Q27,9/13/2018,258,3.62,130,402,3421.81,722.2,21.06564111,0.12809804138237202,25.12874901,0.08879210137855179,1
59,Wisconsin,Marshfield,41730,Ameristand 403T Plus,42240,268,5.95,1168,353,3427.36,921.4,16.88179256,17.9031754028773,29.25310714,0.09307053640018523,1
60,Wisconsin,Arlington,42095,MSSUNSTRA-D15*,41889,280,7.59,130,353,3708.41,732.1,5.53,2.7846863758945686,25.80062703,0.7,2
61,Kentucky,Marshfield,41365,Mariner IV,9/13/2018,248,4.99,368,357,4823.96,846.2,5.53,15.65874988941553,10.92,0.12352399482348328,1
62,Wisconsin,Lexington,8/9/2012,VERNAL,42249,246,2.1,130,385,4252.97,854.8,8.23040548,18.87832738,13.47008446,0.08572135562821377,1
63,Wisconsin,Lexington,42095,Rebound 6XT,9/19/2016,253,10.4,1027,362,1856.67,565.0,5.53,-0.438584125129607,21.38511276,0.13669691388211427,1
64,Wisconsin,Arlington,41730,Saranac AR,41919,265,4.64,130,366,3317.11,881.4,8.43060805,0.5971434076162511,14.86519334,0.3389542497578098,1
65,Wisconsin,Lexington,40664,Saranac AR,9/14/2017,247,2.28,313,396,4410.59,843.5,18.33855474,-0.53,13.02099957,0.07873251660558246,1
66,Wisconsin,Arlington,41730,AFX h134093,9/19/2016,255,6.67,436,399,3704.0,674.5,6.9594485,-0.53,17.24000587,0.25310219601947015,1
67,Kentucky,Lexington,8/9/2012,FSG 408 DP,9/19/2016,261,8.24,206,57,3329.23,789.6,5.80737498,15.925057284080497,12.99245193,0.3338012506068623,2
68,Wisconsin,Marshfield,41133,Caliber,42251,247,7.56,130,373,4823.96,821.2,8.04893603,0.1322453172399689,27.03433989,0.10452683101641332,2
69,Wisconsin,Marshfield,8/9/2012,55Q27,9/14/2017,259,7.78,449,372,4823.96,766.8,5.53,18.87832738,16.1875091,0.09447433741649655,1
70,Wisconsin,Arlington,41365,MSSUNSTRA-C15*,41886,258,4.73,885,365,2656.19,846.0,20.17734286,16.0546973915238,15.57613323,0.45945657358821634,2
71,Wisconsin,Lexington,41730,FSG 403LR,42604,247,7.06,1454,10,4582.1,275.2,7.72705421,-0.53,23.95647399,0.33080661979975157,1
72,Kentucky,Lexington,41730,55V50,41885,240,8.33,392,402,2793.59,722.8,9.14849454,13.073393963420257,29.25310714,0.283739108689264,1
73,Kentucky,Marshfield,41365,MSSUNSTRA-D11*,42613,243,2.39,291,43,4332.45,878.5,5.53,1.3251612054900903,14.82422033,0.7,1
74,Wisconsin,Arlington,40664,Hybriforce-3400,9/13/2018,256,10.6,376,353,3475.6,566.0,19.49313341,12.95019345497422,26.7316118,0.07,1
75,Wisconsin,Arlington,42095,AFX113010,9/19/2016,259,4.47,963,366,3905.62,850.4,5.54812507,9.29392194336189,14.13656106,0.341295188567127,1
76,Kentucky,Lexington,4/5/2016,6585Q,41885,246,3.27,184,115,3621.67,726.3,10.49938048,12.97610336229109,13.84548437,0.13689297237499676,2
77,Wisconsin,Arlington,3/31/2015,FSG-426,41886,250,7.75,130,376,2234.11,847.2,5.53,10.993655020914217,13.75837505,0.07,2
78,Wisconsin,Marshfield,8/9/2012,5312,42249,252,6.79,399,402,4823.96,734.3,14.05206865,-0.53,29.25310714,0.07442817654546467,1
79,Kentucky,Lexington,4/12/2018,HybriForce 3400,9/17/2015,242,3.81,514,402,4084.41,593.1,16.22037422,6.592775294500773,10.92547743,0.10044594554739789,2
80,Wisconsin,Lexington,4/5/2016,DKA41-18RR,42604,250,1.46,130,402,4713.7,899.6,5.53,-0.53,12.63922302,0.12023950294080143,1
81,Wisconsin,Marshfield,41365,Withstand,8/12/2013,251,4.7,130,362,2994.33,785.6,21.7129303,10.644430476222446,10.92,0.10063574974716485,2
82,Kentucky,Arlington,4/5/2017,vernal,9/18/2014,224,8.1,1153,392,4053.82,361.8,19.08301077,17.62510159677036,14.02459414,0.34696289684859205,1
83,Kentucky,Lexington,8/9/2012,VERNAL,9/13/2018,246,6.82,130,402,4823.96,774.8,5.53,3.4439383421657217,13.7604818,0.10944271673546134,2
84,Kentucky,Lexington,41365,Withstand,8/20/2018,260,6.35,130,73,3322.7,109.7,8.45000419,14.848386158109053,29.25310714,0.07734720519736395,1
85,Kentucky,Lexington,41730,Contender,9/13/2018,244,6.25,130,391,3678.34,822.5,5.53,14.928730518975595,28.63741205,0.2699537692403241,2
86,Kentucky,Arlington,40664,Evermore,41886,253,2.09,130,99,4823.96,858.8,17.31311446,13.482766392133804,12.87743303,0.11551620639479537,1
87,Kentucky,Arlington,41730,55V50,41885,255,6.42,272,402,4823.96,847.2,23.79017857,11.613727336740503,27.57270581,0.38841068708119064,1
88,Wisconsin,Lancaster,41133,Mssunstra-B10,42249,250,10.6,745,78,4817.0,792.4,22.77771465,4.922106405446719,11.87429659,0.07666670707215559,1
89,Wisconsin,Arlington,4/12/2018,GA-505,9/19/2016,240,6.83,601,402,4065.15,944.3,17.9600405,8.904387138302427,15.4092421,0.07,1
90,Wisconsin,Arlington,3/31/2015,AFX 064022,9/15/2017,258,7.93,130,11,2710.6,1008.0,23.30332234,1.6462470119374697,15.85489132,0.32220566609251355,1
91,Wisconsin,Lexington,42095,LS 905,41885,266,3.21,242,78,4823.96,932.3,17.77524537,10.764451228831383,24.73125017,0.28187468036594515,1
92,Wisconsin,Lexington,4/5/2016,Buffalo,41886,246,3.89,312,62,3463.9,741.9,20.90302541,-0.53,21.82285498,0.08702657334929155,1
93,Wisconsin,Arlington,41730,L-455HD,9/14/2017,243,7.29,571,388,3881.78,862.8,19.6547728,16.36036109772904,12.28126732,0.2864023103926502,1
94,Kentucky,Lexington,40664,AM-14-900,41886,258,6.68,847,103,3877.7,899.0,6.06747695,14.68469989992526,12.22506105,0.13949270073926434,1
95,Wisconsin,Lancaster,8/9/2012,Mssunstra-B15,8/20/2018,262,8.18,130,332,4823.96,1043.2,20.4310013,18.87832738,13.57651312,0.2786158610638109,1
96,Wisconsin,Lexington,41730,Saranac AR,42247,244,8.56,281,366,4473.34,798.4,6.2933232,13.102135600161418,12.13791639,0.2801808694286547,1
97,Wisconsin,Arlington,42095,Radiance HD,9/13/2018,256,10.6,130,388,3557.56,785.9,6.04408814,3.7528656463857155,16.25582885,0.2978070691518104,1
98,Kentucky,Marshfield,41365,MS Sunstra 145154*,41886,244,5.46,254,381,4490.17,767.6,5.53,4.840482632815095,11.50849614,0.1330101803101746,1
99,Kentucky,Marshfield,8/9/2012,Radiance HD,41890,243,10.5,251,402,3923.77,735.7,22.01537702,1.3155119507903885,13.64721774,0.28608442539161505,1
100,Wisconsin,Lancaster,8/9/2012,LS 905,9/12/2018,245,3.98,130,402,2459.64,854.8,6.50268616,18.87832738,13.54551017,0.07,3
101,Wisconsin,Arlington,41730,5312,42249,244,1.2,521,39,4623.62,854.3,9.92693818,-0.15758845133431665,14.39598709,0.1316315981446179,2
102,Wisconsin,Lexington,41365,Hybriforce-3400,42251,240,4.0,388,402,4580.58,805.3,16.6268894,15.178511065139025,13.53005615,0.32720655412465144,1
