,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%)
0,Kentucky,Lexington,3/31/2015,Contender,9/18/2014,263,7.65,130,4,4823.96,639.6,19.83010919,13.833898341180667,25.89469724,0.28273100041912946
1,Kentucky,Lexington,4/12/2018,Caliber,8/12/2013,258,1.3,555,314,2301.21,547.2,21.87930949,14.047758295025297,25.34053166,0.28937176317972396
2,Kentucky,Lexington,8/9/2012,Contender,9/16/2015,255,6.11,1206,336,3390.03,404.0,20.29645457,13.781367611109264,26.92098018,0.30482646451662965
3,Kentucky,Lexington,4/5/2016,GA-ALFG-1,9/13/2018,254,7.53,206,18,3386.41,910.1,19.64221035,16.484339071679294,25.83927562,0.29560216882475415
4,Kentucky,Lexington,8/9/2012,Rebound 6XT,9/15/2017,258,2.39,130,1,3823.09,677.9,19.99667708,15.47523734216369,25.96260077,0.3084092457643839
5,Kentucky,Lexington,8/9/2012,GA-497HD,9/19/2016,256,7.36,1283,1,3622.06,404.0,20.23444606,15.877025180998608,26.23313235,0.27537905482280056
6,Kentucky,Lexington,4/5/2016,GA-497HD,9/13/2018,254,5.06,2225,323,3470.58,739.2,20.05975367,14.183921630198181,25.90335328,0.30343323035400066
7,Kentucky,Lexington,8/9/2012,Radiance HD,8/20/2018,254,1.62,439,1,3416.24,707.4,18.94913343,12.61707097,25.80157603,0.29762223893137535
8,Kentucky,Lexington,4/5/2016,Caliber,9/17/2015,252,2.28,1407,390,3600.61,602.6,19.19315794,14.599666385499154,29.25310714,0.30130389608459174
9,Kentucky,Lexington,3/31/2015,Saranac AR,9/12/2018,249,5.56,842,316,3578.24,862.0,17.60733333,16.364940484313912,24.79846378,0.29596922267945297
10,Kentucky,Lexington,8/9/2012,GA-497HD,9/15/2017,254,2.5,130,327,4823.96,1036.2,22.47105164,14.532934074664784,26.15033965,0.2931509026740904
11,Kentucky,Lexington,3/31/2015,NF11ALF006,9/17/2015,257,1.41,130,326,3678.16,514.6,21.78536691,13.578103756846897,25.80586381,0.3006027047220189
12,Kentucky,Lexington,8/9/2012,GA-ALFG-1,9/15/2017,261,5.56,842,331,3366.15,643.7,20.18636695,16.67623332915749,25.55278376,0.289894554789639
13,Kentucky,Lexington,3/31/2015,GA-ALFG-1,9/12/2018,257,3.52,490,1,3422.51,404.0,20.00583342,15.511688442555931,25.71705173,0.30767537410990853
14,Kentucky,Lexington,4/12/2018,NF11ALF006,9/14/2017,252,1.35,1623,324,4823.96,404.0,20.19904598,15.123537142455103,22.59871398,0.27661432254543544
15,Kentucky,Lexington,4/5/2016,Saranac AR,9/19/2016,256,4.93,1023,316,3603.92,676.7,21.60923654,15.146628003125853,24.27360909,0.2923294069375563
16,Kentucky,Lexington,4/5/2016,CW 065030,9/12/2018,253,3.17,382,340,3778.65,604.0,21.09290862,15.131517525391812,25.24510781,0.2976363595263382
17,Kentucky,Lexington,3/31/2015,Caliber,9/14/2017,261,5.6,434,6,3221.18,583.7,19.88685333,15.624409951141383,25.62593187,0.313480989
18,Kentucky,Lexington,4/5/2016,Ameristand 403T Plus,9/14/2017,252,3.72,1153,31,3454.2,621.5,19.55035401,15.45861003673472,26.60523004,0.2916812093869885
19,Kentucky,Lexington,3/31/2015,Ameristand 403T Plus,9/12/2018,251,4.67,288,303,3170.26,532.7,20.33966927,14.180877347402461,24.42069329,0.299494852386668
20,Kentucky,Lexington,3/31/2015,FSG-426,9/15/2017,253,2.07,1307,1,3463.72,718.7,19.19917262,12.61707097,25.46741688,0.3046333793963699
21,Kentucky,Lexington,4/5/2016,WL 365HQ,8/12/2013,250,7.79,480,315,3630.2,404.0,21.04103388,13.628269449074903,24.07574856,0.2909398322151757
22,Kentucky,Lexington,3/31/2015,GA-505,9/12/2018,256,6.05,254,311,3801.26,595.4,20.89679747,13.732875422701095,25.86405873,0.288070731851469
23,Kentucky,Lexington,4/5/2017,Buffalo,9/12/2018,259,2.69,1680,369,3542.81,404.0,21.57342859,14.357439757111145,26.09996364,0.313480989
24,Kentucky,Lexington,8/9/2012,Phoenix,9/15/2017,261,6.21,847,340,3416.02,613.9,19.92323482,15.562890276299816,26.26606677,0.2843507078915889
