,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Harvested in Sown Year,First Date of Season,Percent Cover (%),,Class
0,Georgia,Athens,10/10/2007,TS 4010,5/6/2008,127,2.02,209,209,922.9,98.288,14.8864,8.691,21.1202,0.15088,0,1,NA,,3
1,Georgia,Athens,10/10/2007,TS 4010,6/20/2008,172,0.47,254,45,1045.84,85.106,23.02977778,16.89888889,29.45133333,0.1252,0,0,NA,,1
2,Georgia,Athens,10/10/2007,TS 4010,8/28/2008,241,0.1,323,69,953.74,134.634,25.7098,20.6416,31.9352,0.1077,0,0,NA,,1
3,Georgia,Athens,10/10/2007,TS 4010,12/5/2008,340,0.76,422,99,622.84,95.254,9.7902,3.9436,16.041,0.13408,0,0,90.91534392,,2
4,Georgia,Athens,10/10/2007,BaraWet 501,5/6/2008,127,1.66,209,209,922.9,98.288,14.8864,8.691,21.1202,0.15088,0,1,NA,,3
5,Georgia,Athens,10/10/2007,BaraWet 501,6/20/2008,172,0.56,254,45,1045.84,85.106,23.02977778,16.89888889,29.45133333,0.1252,0,0,NA,,1
6,Georgia,Athens,10/10/2007,BaraWet 501,8/28/2008,241,0.12,323,69,953.74,134.634,25.7098,20.6416,31.9352,0.1077,0,0,NA,,1
7,Georgia,Athens,10/10/2007,BaraWet 501,12/5/2008,340,0.79,422,99,622.84,95.254,9.7902,3.9436,16.041,0.13408,0,0,90.96825397,,2
8,Georgia,Athens,10/10/2007,GA-505,5/6/2008,127,1.68,209,209,922.9,98.288,14.8864,8.691,21.1202,0.15088,0,1,NA,,3
9,Georgia,Athens,10/10/2007,GA-505,6/20/2008,172,0.51,254,45,1045.84,85.106,23.02977778,16.89888889,29.45133333,0.1252,0,0,NA,,1
10,Georgia,Athens,10/10/2007,GA-505,8/28/2008,241,0.1,323,69,953.74,134.634,25.7098,20.6416,31.9352,0.1077,0,0,NA,,1
11,Georgia,Athens,10/10/2007,GA-505,12/5/2008,340,0.75,422,99,622.84,95.254,9.7902,3.9436,16.041,0.13408,0,0,87.92592593,,1
12,Georgia,Athens,10/10/2007,Bulldog 805,5/6/2008,127,1.83,209,209,922.9,98.288,14.8864,8.691,21.1202,0.15088,0,1,NA,,3
13,Georgia,Athens,10/10/2007,Bulldog 805,6/20/2008,172,0.36,254,45,1045.84,85.106,23.02977778,16.89888889,29.45133333,0.1252,0,0,NA,,1
14,Georgia,Athens,10/10/2007,Bulldog 805,8/28/2008,241,0.1,323,69,953.74,134.634,25.7098,20.6416,31.9352,0.1077,0,0,NA,,1
15,Georgia,Athens,10/10/2007,Bulldog 805,12/5/2008,340,0.7,422,99,622.84,95.254,9.7902,3.9436,16.041,0.13408,0,0,88.88359788,,1
16,Georgia,Athens,10/10/2007,Phoenix,5/6/2008,127,1.65,209,209,922.9,98.288,14.8864,8.691,21.1202,0.15088,0,1,NA,,3
17,Georgia,Athens,10/10/2007,Phoenix,6/20/2008,172,0.47,254,45,1045.84,85.106,23.02977778,16.89888889,29.45133333,0.1252,0,0,NA,,1
18,Georgia,Athens,10/10/2007,Phoenix,8/28/2008,241,0.09,323,69,953.74,134.634,25.7098,20.6416,31.9352,0.1077,0,0,NA,,1
19,Georgia,Athens,10/10/2007,Phoenix,12/5/2008,340,0.69,422,99,622.84,95.254,9.7902,3.9436,16.041,0.13408,0,0,86.88359788,,1
20,Georgia,Athens,10/10/2007,Evermore,5/6/2008,127,1.53,209,209,922.9,98.288,14.8864,8.691,21.1202,0.15088,0,1,NA,,3
21,Georgia,Athens,10/10/2007,Evermore,6/20/2008,172,0.54,254,45,1045.84,85.106,23.02977778,16.89888889,29.45133333,0.1252,0,0,NA,,1
22,Georgia,Athens,10/10/2007,Evermore,8/28/2008,241,0.12,323,69,953.74,134.634,25.7098,20.6416,31.9352,0.1077,0,0,NA,,1
23,Georgia,Athens,10/10/2007,Evermore,12/5/2008,340,0.66,422,99,622.84,95.254,9.7902,3.9436,16.041,0.13408,0,0,84.98941799,,1
24,Georgia,Athens,10/10/2007,Attention II,5/6/2008,127,1.61,209,209,922.9,98.288,14.8864,8.691,21.1202,0.15088,0,1,NA,,3
25,Georgia,Athens,10/10/2007,Attention II,6/20/2008,172,0.46,254,45,1045.84,85.106,23.02977778,16.89888889,29.45133333,0.1252,0,0,NA,,1
26,Georgia,Athens,10/10/2007,Attention II,8/28/2008,241,0.12,323,69,953.74,134.634,25.7098,20.6416,31.9352,0.1077,0,0,NA,,1
27,Georgia,Athens,10/10/2007,Attention II,12/5/2008,340,0.56,422,99,622.84,95.254,9.7902,3.9436,16.041,0.13408,0,0,85.97883598,,1
28,Georgia,Athens,10/10/2007,Bara 503,5/6/2008,127,1.57,209,209,922.9,98.288,14.8864,8.691,21.1202,0.15088,0,1,NA,,3
29,Georgia,Athens,10/10/2007,Bara 503,6/20/2008,172,0.5,254,45,1045.84,85.106,23.02977778,16.89888889,29.45133333,0.1252,0,0,NA,,1
30,Georgia,Athens,10/10/2007,Bara 503,8/28/2008,241,0.11,323,69,953.74,134.634,25.7098,20.6416,31.9352,0.1077,0,0,NA,,1
31,Georgia,Athens,10/10/2007,Bara 503,12/5/2008,340,0.72,422,99,622.84,95.254,9.7902,3.9436,16.041,0.13408,0,0,90.96825397,,1
32,Georgia,Athens,10/10/2007,CW 500,5/6/2008,127,1.48,209,209,922.9,98.288,14.8864,8.691,21.1202,0.15088,0,1,NA,,3
33,Georgia,Athens,10/10/2007,CW 500,6/20/2008,172,0.58,254,45,1045.84,85.106,23.02977778,16.89888889,29.45133333,0.1252,0,0,NA,,1
34,Georgia,Athens,10/10/2007,CW 500,8/28/2008,241,0.1,323,69,953.74,134.634,25.7098,20.6416,31.9352,0.1077,0,0,NA,,1
35,Georgia,Athens,10/10/2007,CW 500,12/5/2008,340,0.71,422,99,622.84,95.254,9.7902,3.9436,16.041,0.13408,0,0,91.93650794,,1
36,Georgia,Athens,10/10/2007,Hybri Force 600,5/6/2008,127,1.51,209,209,922.9,98.288,14.8864,8.691,21.1202,0.15088,0,1,NA,,3
37,Georgia,Athens,10/10/2007,Hybri Force 600,6/20/2008,172,0.45,254,45,1045.84,85.106,23.02977778,16.89888889,29.45133333,0.1252,0,0,NA,,1
38,Georgia,Athens,10/10/2007,Hybri Force 600,8/28/2008,241,0.08,323,69,953.74,134.634,25.7098,20.6416,31.9352,0.1077,0,0,NA,,1
39,Georgia,Athens,10/10/2007,Hybri Force 600,12/5/2008,340,0.63,422,99,622.84,95.254,9.7902,3.9436,16.041,0.13408,0,0,85.93650794,,1
40,Georgia,Athens,10/10/2007,Hybri Force 700,5/6/2008,127,1.22,209,209,922.9,98.288,14.8864,8.691,21.1202,0.15088,0,1,NA,,3
41,Georgia,Athens,10/10/2007,Hybri Force 700,6/20/2008,172,0.41,254,45,1045.84,85.106,23.02977778,16.89888889,29.45133333,0.1252,0,0,NA,,1
