,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Harvested in Sown Year,First Date of Season,Percent Cover (%),,Class
136,Georgia,Athens,10/10/2007,Bara 503,8/20/2010,232,2.63,1045,38,744.94,238.752,27.20263158,22.90263158,33.13815789,0.118289474,0,0,72.35245902,,5
111,Georgia,Athens,10/10/2007,BaraWet 501,8/20/2010,232,2.61,1045,38,744.94,238.752,27.20263158,22.90263158,33.13815789,0.118289474,0,0,83.44180328,,5
1280,Kentucky,Lexington,3/31/2015,Caliber,5/6/2016,127,2.61,402,232,824.34,105.9,12.43265306,6.540816327,18.08367347,0.273040816,0,1,96.23834197,,5
116,Georgia,Athens,10/10/2007,CW 500,8/20/2010,232,2.58,1045,38,744.94,238.752,27.20263158,22.90263158,33.13815789,0.118289474,0,0,76.81557377,,5
121,Georgia,Athens,10/10/2007,Phoenix,8/20/2010,232,2.48,1045,38,744.94,238.752,27.20263158,22.90263158,33.13815789,0.118289474,0,0,74.02704918,,5
141,Georgia,Athens,10/10/2007,TS 4010,8/20/2010,232,2.47,1045,38,744.94,238.752,27.20263158,22.90263158,33.13815789,0.118289474,0,0,66.05983607,,5
1295,Kentucky,Lexington,3/31/2015,FSG-426,5/6/2016,127,2.39,402,232,824.34,105.9,12.43265306,6.540816327,18.08367347,0.273040816,0,1,96.23834197,,5
1285,Kentucky,Lexington,3/31/2015,Fierce,5/6/2016,127,2.38,402,232,824.34,105.9,12.43265306,6.540816327,18.08367347,0.273040816,0,1,92.73056995,,5
1305,Kentucky,Lexington,3/31/2015,Buffalo,5/6/2016,127,2.36,402,232,824.34,105.9,12.43265306,6.540816327,18.08367347,0.273040816,0,1,92.73056995,,5
131,Georgia,Athens,10/10/2007,Evermore,8/20/2010,232,2.34,1045,38,744.94,238.752,27.20263158,22.90263158,33.13815789,0.118289474,0,0,71.95819672,,5
156,Georgia,Athens,10/10/2007,Hybri Force 700,8/20/2010,232,2.3,1045,38,744.94,238.752,27.20263158,22.90263158,33.13815789,0.118289474,0,0,84.2442623,,5
161,Georgia,Athens,10/10/2007,Hybri Force 600,8/20/2010,232,2.3,1045,38,744.94,238.752,27.20263158,22.90263158,33.13815789,0.118289474,0,0,74.48934426,,5
1290,Kentucky,Lexington,3/31/2015,Ameristand 403T Plus,5/6/2016,127,2.29,402,232,824.34,105.9,12.43265306,6.540816327,18.08367347,0.273040816,0,1,94.23834197,,5
1300,Kentucky,Lexington,3/31/2015,Ameristand 427TQ,5/6/2016,127,2.23,402,232,824.34,105.9,12.43265306,6.540816327,18.08367347,0.273040816,0,1,95.73056995,,5
1046,Kentucky,Lexington,8/9/2012,55V50,5/6/2016,127,2.21,1366,233,824.34,105.9,12.43265306,6.540816327,18.08367347,0.273040816,0,1,96.48453608,,5
126,Georgia,Athens,10/10/2007,GA-505,8/20/2010,232,2.2,1045,38,744.94,238.752,27.20263158,22.90263158,33.13815789,0.118289474,0,0,77.80245902,,5
1315,Kentucky,Lexington,3/31/2015,Saranac AR,5/6/2016,127,2.18,402,232,824.34,105.9,12.43265306,6.540816327,18.08367347,0.273040816,0,1,89,,5
146,Georgia,Athens,10/10/2007,Attention II,8/20/2010,232,2.17,1045,38,744.94,238.752,27.20263158,22.90263158,33.13815789,0.118289474,0,0,83.86393443,,5
1061,Kentucky,Lexington,8/9/2012,GA-505,5/6/2016,127,2.17,1366,233,824.34,105.9,12.43265306,6.540816327,18.08367347,0.273040816,0,1,94.98969072,,5
1448,Kentucky,Lexington,4/5/2016,Ameristand 403T Plus,5/2/2017,122,2.17,392,225,779.84,160.6,13.2122449,7.863265306,18.5755102,0.323795918,0,1,91.31627907,,5
1310,Kentucky,Lexington,3/31/2015,Contender,5/6/2016,127,2.15,402,232,824.34,105.9,12.43265306,6.540816327,18.08367347,0.273040816,0,1,94.73056995,,5
1503,Kentucky,Lexington,4/5/2016,AM-14-900,5/2/2017,122,2.08,392,225,779.84,160.6,13.2122449,7.863265306,18.5755102,0.323795918,0,1,92.94883721,,5
1488,Kentucky,Lexington,4/5/2016,GA-505,5/2/2017,122,2.07,392,225,779.84,160.6,13.2122449,7.863265306,18.5755102,0.323795918,0,1,90,,5
1474,Kentucky,Lexington,4/5/2016,Caliber,6/6/2017,157,2.05,427,35,618.72,113.8,18.5,12.78333333,24.06,0.308290323,0,0,94.47906977,,5
1458,Kentucky,Lexington,4/5/2016,Contender,5/2/2017,122,2.04,392,225,779.84,160.6,13.2122449,7.863265306,18.5755102,0.323795918,0,1,93.31627907,,5
1483,Kentucky,Lexington,4/5/2016,Evermore,5/2/2017,122,2.03,392,225,779.84,160.6,13.2122449,7.863265306,18.5755102,0.323795918,0,1,96,,5
0,Georgia,Athens,10/10/2007,TS 4010,5/6/2008,127,2.02,209,209,922.9,98.288,14.8864,8.691,21.1202,0.15088,0,1,NA,,5
1453,Kentucky,Lexington,4/5/2016,FSG 415BR,5/2/2017,122,2.02,392,225,779.84,160.6,13.2122449,7.863265306,18.5755102,0.323795918,0,1,91,,5
823,Kentucky,Lexington,8/9/2012,55V50,5/13/2013,133,2.01,277,177,825.03,231.5,11.886,6.564,17.102,0.34984,0,1,100,,5
835,Kentucky,Lexington,8/9/2012,Evermore,5/13/2013,133,2.01,277,177,825.03,231.5,11.886,6.564,17.102,0.34984,0,1,100,,5
829,Kentucky,Lexington,8/9/2012,Phoenix,5/13/2013,133,2,277,177,825.03,231.5,11.886,6.564,17.102,0.34984,0,1,98.43157895,,5
1449,Kentucky,Lexington,4/5/2016,Ameristand 403T Plus,6/6/2017,157,1.99,427,35,618.72,113.8,18.5,12.78333333,24.06,0.308290323,0,0,91.47906977,,5
1463,Kentucky,Lexington,4/5/2016,GA-497HD,5/2/2017,122,1.95,392,225,779.84,160.6,13.2122449,7.863265306,18.5755102,0.323795918,0,1,96,,5
