,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Harvested in Sown Year,First Date of Season,Percent Cover (%),,Class
136,Georgia,Athens,10/10/2007,Bara 503,8/20/2010,232,2.63,1045,38,744.94,238.752,27.20263158,22.90263158,33.13815789,0.118289474,0,0,72.35245902,,5
111,Georgia,Athens,10/10/2007,BaraWet 501,8/20/2010,232,2.61,1045,38,744.94,238.752,27.20263158,22.90263158,33.13815789,0.118289474,0,0,83.44180328,,5
116,Georgia,Athens,10/10/2007,CW 500,8/20/2010,232,2.58,1045,38,744.94,238.752,27.20263158,22.90263158,33.13815789,0.118289474,0,0,76.81557377,,5
121,Georgia,Athens,10/10/2007,Phoenix,8/20/2010,232,2.48,1045,38,744.94,238.752,27.20263158,22.90263158,33.13815789,0.118289474,0,0,74.02704918,,5
141,Georgia,Athens,10/10/2007,TS 4010,8/20/2010,232,2.47,1045,38,744.94,238.752,27.20263158,22.90263158,33.13815789,0.118289474,0,0,66.05983607,,5
131,Georgia,Athens,10/10/2007,Evermore,8/20/2010,232,2.34,1045,38,744.94,238.752,27.20263158,22.90263158,33.13815789,0.118289474,0,0,71.95819672,,5
156,Georgia,Athens,10/10/2007,Hybri Force 700,8/20/2010,232,2.3,1045,38,744.94,238.752,27.20263158,22.90263158,33.13815789,0.118289474,0,0,84.2442623,,5
161,Georgia,Athens,10/10/2007,Hybri Force 600,8/20/2010,232,2.3,1045,38,744.94,238.752,27.20263158,22.90263158,33.13815789,0.118289474,0,0,74.48934426,,5
126,Georgia,Athens,10/10/2007,GA-505,8/20/2010,232,2.2,1045,38,744.94,238.752,27.20263158,22.90263158,33.13815789,0.118289474,0,0,77.80245902,,5
146,Georgia,Athens,10/10/2007,Attention II,8/20/2010,232,2.17,1045,38,744.94,238.752,27.20263158,22.90263158,33.13815789,0.118289474,0,0,83.86393443,,5
0,Georgia,Athens,10/10/2007,TS 4010,5/6/2008,127,2.02,209,209,922.9,98.288,14.8864,8.691,21.1202,0.15088,0,1,NA,,5
166,Georgia,Athens,10/10/2007,CW 35106,8/20/2010,232,1.92,1045,38,744.94,238.752,27.20263158,22.90263158,33.13815789,0.118289474,0,0,61.16803279,,5
151,Georgia,Athens,10/10/2007,Bulldog 805,8/20/2010,232,1.88,1045,38,744.94,238.752,27.20263158,22.90263158,33.13815789,0.118289474,0,0,70.85655738,,5
12,Georgia,Athens,10/10/2007,Bulldog 805,5/6/2008,127,1.83,209,209,922.9,98.288,14.8864,8.691,21.1202,0.15088,0,1,NA,,5
8,Georgia,Athens,10/10/2007,GA-505,5/6/2008,127,1.68,209,209,922.9,98.288,14.8864,8.691,21.1202,0.15088,0,1,NA,,5
4,Georgia,Athens,10/10/2007,BaraWet 501,5/6/2008,127,1.66,209,209,922.9,98.288,14.8864,8.691,21.1202,0.15088,0,1,NA,,5
16,Georgia,Athens,10/10/2007,Phoenix,5/6/2008,127,1.65,209,209,922.9,98.288,14.8864,8.691,21.1202,0.15088,0,1,NA,,5
24,Georgia,Athens,10/10/2007,Attention II,5/6/2008,127,1.61,209,209,922.9,98.288,14.8864,8.691,21.1202,0.15088,0,1,NA,,5
396,Georgia,Tifton,2/21/2008,BaraWet 501,6/20/2010,171,1.61,850,45,1094.05,89.414,25.44977778,20.34777778,31.42155556,0.118066667,0,0,85.2,,5
402,Georgia,Tifton,2/21/2008,GA-505,6/20/2010,171,1.59,850,45,1094.05,89.414,25.44977778,20.34777778,31.42155556,0.118066667,0,0,66.69565217,,5
401,Georgia,Tifton,2/21/2008,GA-505,5/6/2010,126,1.58,805,149,1019.92,224.58,18.2468,12.3394,24.1904,0.15262,0,1,68.13729977,,5
28,Georgia,Athens,10/10/2007,Bara 503,5/6/2008,127,1.57,209,209,922.9,98.288,14.8864,8.691,21.1202,0.15088,0,1,NA,,5
144,Georgia,Athens,10/10/2007,Attention II,6/16/2010,167,1.55,980,54,1045.9,193.304,22.4546,17.2004,28.3842,0.14282,0,0,83.89945355,,5
384,Georgia,Tifton,2/21/2008,Hybri Force 600,6/20/2010,171,1.55,850,45,1094.05,89.414,25.44977778,20.34777778,31.42155556,0.118066667,0,0,77.39130435,,5
114,Georgia,Athens,10/10/2007,CW 500,6/16/2010,167,1.54,980,54,1045.9,193.304,22.4546,17.2004,28.3842,0.14282,0,0,79.21311475,,5
124,Georgia,Athens,10/10/2007,GA-505,6/16/2010,167,1.54,980,54,1045.9,193.304,22.4546,17.2004,28.3842,0.14282,0,0,78.63715847,,5
129,Georgia,Athens,10/10/2007,Evermore,6/16/2010,167,1.54,980,54,1045.9,193.304,22.4546,17.2004,28.3842,0.14282,0,0,75.10163934,,5
20,Georgia,Athens,10/10/2007,Evermore,5/6/2008,127,1.53,209,209,922.9,98.288,14.8864,8.691,21.1202,0.15088,0,1,NA,,5
119,Georgia,Athens,10/10/2007,Phoenix,6/16/2010,167,1.53,980,54,1045.9,193.304,22.4546,17.2004,28.3842,0.14282,0,0,74.5420765,,5
36,Georgia,Athens,10/10/2007,Hybri Force 600,5/6/2008,127,1.51,209,209,922.9,98.288,14.8864,8.691,21.1202,0.15088,0,1,NA,,5
413,Georgia,Tifton,2/21/2008,Bara 503,5/6/2010,126,1.49,805,149,1019.92,224.58,18.2468,12.3394,24.1904,0.15262,0,1,72.55606407,,5
32,Georgia,Athens,10/10/2007,CW 500,5/6/2008,127,1.48,209,209,922.9,98.288,14.8864,8.691,21.1202,0.15088,0,1,NA,,5
383,Georgia,Tifton,2/21/2008,Hybri Force 600,5/6/2010,126,1.47,805,149,1019.92,224.58,18.2468,12.3394,24.1904,0.15262,0,1,77.90617849,,5
372,Georgia,Tifton,2/21/2008,Attention II,6/20/2010,171,1.46,850,45,1094.05,89.414,25.44977778,20.34777778,31.42155556,0.118066667,0,0,60.76521739,,5
