Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
120668.5,1674.51,6.559923664,16.77180662,1
120668.5,1674.51,6.559923664,16.77180662,1
120668.5,1674.51,6.559923664,16.77180662,2
120668.5,1674.51,6.559923664,16.77180662,2
120668.5,1674.51,6.559923664,16.77180662,1
120668.5,1674.51,6.559923664,16.77180662,2
130584.37,1840.67,7.133056872,17.32080569,1
130584.37,1840.67,7.133056872,17.32080569,1
130584.37,1840.67,7.133056872,17.32080569,1
130584.37,1840.67,7.133056872,17.32080569,1
130584.37,1840.67,7.133056872,17.32080569,1
130584.37,1840.67,7.133056872,17.32080569,1
143581.62,1933.6,7.965714286,18.24795604,1
143581.62,1933.6,7.965714286,18.24795604,1
143581.62,1933.6,7.965714286,18.24795604,1
143581.62,1933.6,7.965714286,18.24795604,1
143581.62,1933.6,7.965714286,18.24795604,1
143581.62,1933.6,7.965714286,18.24795604,1
157547.41,2013.38,8.579391481,18.96014199,0
157547.41,2013.38,8.579391481,18.96014199,0
157547.41,2013.38,8.579391481,18.96014199,0
157547.41,2013.38,8.579391481,18.96014199,0
157547.41,2013.38,8.579391481,18.96014199,0
157547.41,2013.38,8.579391481,18.96014199,0
235055.43,3272.48,5.715183246,16.21633508,2
235055.43,3272.48,5.715183246,16.21633508,2
235055.43,3272.48,5.715183246,16.21633508,2
235055.43,3272.48,5.715183246,16.21633508,2
235055.43,3272.48,5.715183246,16.21633508,2
235055.43,3272.48,5.715183246,16.21633508,2
235055.43,3272.48,5.715183246,16.21633508,2
235055.43,3272.48,5.715183246,16.21633508,2
235055.43,3272.48,5.715183246,16.21633508,2
235055.43,3272.48,5.715183246,16.21633508,2
244971.3,3438.64,6.051071879,16.52880202,1
244971.3,3438.64,6.051071879,16.52880202,1
244971.3,3438.64,6.051071879,16.52880202,1
244971.3,3438.64,6.051071879,16.52880202,1
244971.3,3438.64,6.051071879,16.52880202,1
244971.3,3438.64,6.051071879,16.52880202,1
244971.3,3438.64,6.051071879,16.52880202,1
244971.3,3438.64,6.051071879,16.52880202,1
244971.3,3438.64,6.051071879,16.52880202,1
244971.3,3438.64,6.051071879,16.52880202,1
257968.55,3531.57,6.552966102,17.07116223,1
257968.55,3531.57,6.552966102,17.07116223,1
257968.55,3531.57,6.552966102,17.07116223,1
257968.55,3531.57,6.552966102,17.07116223,1
257968.55,3531.57,6.552966102,17.07116223,1
257968.55,3531.57,6.552966102,17.07116223,1
257968.55,3531.57,6.552966102,17.07116223,1
257968.55,3531.57,6.552966102,17.07116223,1
257968.55,3531.57,6.552966102,17.07116223,1
257968.55,3531.57,6.552966102,17.07116223,1
271934.34,3611.35,6.965266204,17.52929398,1
271934.34,3611.35,6.965266204,17.52929398,1
271934.34,3611.35,6.965266204,17.52929398,1
271934.34,3611.35,6.965266204,17.52929398,0
271934.34,3611.35,6.965266204,17.52929398,1
271934.34,3611.35,6.965266204,17.52929398,0
271934.34,3611.35,6.965266204,17.52929398,0
271934.34,3611.35,6.965266204,17.52929398,1
271934.34,3611.35,6.965266204,17.52929398,1
271934.34,3611.35,6.965266204,17.52929398,0
122788.22,778.85,5.531472081,16.13771574,2
122788.22,778.85,5.531472081,16.13771574,2
122788.22,778.85,5.531472081,16.13771574,2
122788.22,778.85,5.531472081,16.13771574,2
122788.22,778.85,5.531472081,16.13771574,2
122788.22,778.85,5.531472081,16.13771574,2
122788.22,778.85,5.531472081,16.13771574,2
122788.22,778.85,5.531472081,16.13771574,2
122788.22,778.85,5.531472081,16.13771574,2
122788.22,778.85,5.531472081,16.13771574,2
122788.22,778.85,5.531472081,16.13771574,2
122788.22,778.85,5.531472081,16.13771574,2
122788.22,778.85,5.531472081,16.13771574,2
122788.22,778.85,5.531472081,16.13771574,2
122788.22,778.85,5.531472081,16.13771574,2
122788.22,778.85,5.531472081,16.13771574,2
134126.73,935.76,6.389411765,17.01851765,2
134126.73,935.76,6.389411765,17.01851765,2
134126.73,935.76,6.389411765,17.01851765,2
134126.73,935.76,6.389411765,17.01851765,2
134126.73,935.76,6.389411765,17.01851765,2
134126.73,935.76,6.389411765,17.01851765,2
134126.73,935.76,6.389411765,17.01851765,2
134126.73,935.76,6.389411765,17.01851765,2
134126.73,935.76,6.389411765,17.01851765,2
134126.73,935.76,6.389411765,17.01851765,2
134126.73,935.76,6.389411765,17.01851765,1
134126.73,935.76,6.389411765,17.01851765,1
134126.73,935.76,6.389411765,17.01851765,2
134126.73,935.76,6.389411765,17.01851765,1
134126.73,935.76,6.389411765,17.01851765,1
134126.73,935.76,6.389411765,17.01851765,1
146453.83,1003.27,7.208311404,17.93894737,1
146453.83,1003.27,7.208311404,17.93894737,1
146453.83,1003.27,7.208311404,17.93894737,1
146453.83,1003.27,7.208311404,17.93894737,1
146453.83,1003.27,7.208311404,17.93894737,1
146453.83,1003.27,7.208311404,17.93894737,1
146453.83,1003.27,7.208311404,17.93894737,1
146453.83,1003.27,7.208311404,17.93894737,1
146453.83,1003.27,7.208311404,17.93894737,1
146453.83,1003.27,7.208311404,17.93894737,1
146453.83,1003.27,7.208311404,17.93894737,1
146453.83,1003.27,7.208311404,17.93894737,1
146453.83,1003.27,7.208311404,17.93894737,1
146453.83,1003.27,7.208311404,17.93894737,1
146453.83,1003.27,7.208311404,17.93894737,1
146453.83,1003.27,7.208311404,17.93894737,1
157737.78,1046.95,7.91063655,18.65053388,1
157737.78,1046.95,7.91063655,18.65053388,1
157737.78,1046.95,7.91063655,18.65053388,1
157737.78,1046.95,7.91063655,18.65053388,1
157737.78,1046.95,7.91063655,18.65053388,1
157737.78,1046.95,7.91063655,18.65053388,1
157737.78,1046.95,7.91063655,18.65053388,1
157737.78,1046.95,7.91063655,18.65053388,1
157737.78,1046.95,7.91063655,18.65053388,1
157737.78,1046.95,7.91063655,18.65053388,1
157737.78,1046.95,7.91063655,18.65053388,1
157737.78,1046.95,7.91063655,18.65053388,1
157737.78,1046.95,7.91063655,18.65053388,1
157737.78,1046.95,7.91063655,18.65053388,1
157737.78,1046.95,7.91063655,18.65053388,1
157737.78,1046.95,7.91063655,18.65053388,0
244241.54,2239.92,5.165557012,16.24311927,1
244241.54,2239.92,5.165557012,16.24311927,1
244241.54,2239.92,5.165557012,16.24311927,1
244241.54,2239.92,5.165557012,16.24311927,1
244241.54,2239.92,5.165557012,16.24311927,1
244241.54,2239.92,5.165557012,16.24311927,1
244241.54,2239.92,5.165557012,16.24311927,1
244241.54,2239.92,5.165557012,16.24311927,1
244241.54,2239.92,5.165557012,16.24311927,1
244241.54,2239.92,5.165557012,16.24311927,1
255616.65,2365.86,5.618764187,16.68960908,1
255616.65,2365.86,5.618764187,16.68960908,1
255616.65,2365.86,5.618764187,16.68960908,1
255616.65,2365.86,5.618764187,16.68960908,1
255616.65,2365.86,5.618764187,16.68960908,1
255616.65,2365.86,5.618764187,16.68960908,1
255616.65,2365.86,5.618764187,16.68960908,1
255616.65,2365.86,5.618764187,16.68960908,1
255616.65,2365.86,5.618764187,16.68960908,1
255616.65,2365.86,5.618764187,16.68960908,1
269016.87,2574.02,6.122321644,17.21613059,1
269016.87,2574.02,6.122321644,17.21613059,1
269016.87,2574.02,6.122321644,17.21613059,1
269016.87,2574.02,6.122321644,17.21613059,1
269016.87,2574.02,6.122321644,17.21613059,1
269016.87,2574.02,6.122321644,17.21613059,1
269016.87,2574.02,6.122321644,17.21613059,1
269016.87,2574.02,6.122321644,17.21613059,1
269016.87,2574.02,6.122321644,17.21613059,1
269016.87,2574.02,6.122321644,17.21613059,1
285825.46,2634.73,6.606260069,17.79072497,1
285825.46,2634.73,6.606260069,17.79072497,1
285825.46,2634.73,6.606260069,17.79072497,1
285825.46,2634.73,6.606260069,17.79072497,0
285825.46,2634.73,6.606260069,17.79072497,0
285825.46,2634.73,6.606260069,17.79072497,0
285825.46,2634.73,6.606260069,17.79072497,1
285825.46,2634.73,6.606260069,17.79072497,0
285825.46,2634.73,6.606260069,17.79072497,0
285825.46,2634.73,6.606260069,17.79072497,0
123423.86,1337.73,4.908186398,15.92521411,1
123423.86,1337.73,4.908186398,15.92521411,1
