Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
237920.06,1566.72,3.256238532,15.27348624,2
237920.06,1566.72,3.256238532,15.27348624,2
237920.06,1566.72,3.256238532,15.27348624,1
237920.06,1566.72,3.256238532,15.27348624,1
237920.06,1566.72,3.256238532,15.27348624,1
237920.06,1566.72,3.256238532,15.27348624,1
237920.06,1566.72,3.256238532,15.27348624,2
237920.06,1566.72,3.256238532,15.27348624,2
237920.06,1566.72,3.256238532,15.27348624,1
237920.06,1566.72,3.256238532,15.27348624,1
237920.06,1566.72,3.256238532,15.27348624,1
237920.06,1566.72,3.256238532,15.27348624,1
237920.06,1566.72,3.256238532,15.27348624,1
237920.06,1566.72,3.256238532,15.27348624,2
237920.06,1566.72,3.256238532,15.27348624,1
237920.06,1566.72,3.256238532,15.27348624,1
237920.06,1566.72,3.256238532,15.27348624,1
237920.06,1566.72,3.256238532,15.27348624,1
237920.06,1566.72,3.256238532,15.27348624,1
237920.06,1566.72,3.256238532,15.27348624,1
237920.06,1566.72,3.256238532,15.27348624,1
237920.06,1566.72,3.256238532,15.27348624,1
237920.06,1566.72,3.256238532,15.27348624,1
237920.06,1566.72,3.256238532,15.27348624,1
237920.06,1566.72,3.256238532,15.27348624,1
237920.06,1566.72,3.256238532,15.27348624,1
237920.06,1566.72,3.256238532,15.27348624,2
237920.06,1566.72,3.256238532,15.27348624,1
237920.06,1566.72,3.256238532,15.27348624,1
237920.06,1566.72,3.256238532,15.27348624,1
237920.06,1566.72,3.256238532,15.27348624,1
252511,1839.35,3.821579602,15.80236318,1
252511,1839.35,3.821579602,15.80236318,1
252511,1839.35,3.821579602,15.80236318,1
252511,1839.35,3.821579602,15.80236318,1
252511,1839.35,3.821579602,15.80236318,1
252511,1839.35,3.821579602,15.80236318,1
252511,1839.35,3.821579602,15.80236318,1
252511,1839.35,3.821579602,15.80236318,1
252511,1839.35,3.821579602,15.80236318,1
252511,1839.35,3.821579602,15.80236318,1
252511,1839.35,3.821579602,15.80236318,1
252511,1839.35,3.821579602,15.80236318,1
252511,1839.35,3.821579602,15.80236318,1
252511,1839.35,3.821579602,15.80236318,1
252511,1839.35,3.821579602,15.80236318,1
252511,1839.35,3.821579602,15.80236318,1
252511,1839.35,3.821579602,15.80236318,1
252511,1839.35,3.821579602,15.80236318,1
252511,1839.35,3.821579602,15.80236318,1
252511,1839.35,3.821579602,15.80236318,1
252511,1839.35,3.821579602,15.80236318,1
252511,1839.35,3.821579602,15.80236318,1
252511,1839.35,3.821579602,15.80236318,1
252511,1839.35,3.821579602,15.80236318,1
252511,1839.35,3.821579602,15.80236318,1
252511,1839.35,3.821579602,15.80236318,1
252511,1839.35,3.821579602,15.80236318,1
