,Unnamed: 0,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Harvested in Sown Year,First Date of Season,Percent Cover (%)
0,0,Kentucky,Lexington,3/31/2015,TS 8031,5/2/2017,160,2.63,266,27,768.22,80.14520234823348,23.23285923812223,16.754629586952547,27.269716774993093,0.16182144520287903,1,1,78.3449515400199
1,1622,Kentucky,Lexington,4/5/2016,Evermore,11/11/2008,264,0.12,413,40,690.66,190.50116263184717,22.949472224100372,15.367759798334493,27.11155907491722,0.3391753088293345,0,0,91.74644235648573
2,499,Georgia,Athens,10/10/2007,Hybri Force 700,5/10/2018,133,2.63,1037,217,830.66,173.8126417589496,24.96985236947743,8.370868190285691,33.53659091,0.18312914946415815,0,0,
3,791,Kentucky,Lexington,4/5/2016,Radiance HD,7/30/2009,217,0.98,2225,27,702.82,45.29070205156759,21.25956540383648,16.069383519021553,26.041282377571633,0.25882373675859016,0,0,100.0
4,810,Kentucky,Lexington,10/10/2007,4030,6/10/2014,261,0.22,961,32,970.9,126.25994985068705,23.011216817174976,3.9436,26.58865311212276,0.27958801047992754,0,0,93.25062989719348
5,1560,Kentucky,Lexington,8/9/2012,Radiance HD,8/13/2018,223,0.64,127,148,650.68,148.79955143941203,20.58545705914946,16.58148625573111,28.17765608896465,0.29185823594187,0,0,99.28439402478519
6,1144,Kentucky,Lexington,8/9/2012,Saranac AR,9/12/2018,210,1.22,2225,27,651.1,204.0762663704662,17.964686860463594,17.508564945802483,25.048805221598922,0.258679356396205,0,0,100.0
7,127,Georgia,Lexington,11/1/2007,GA-505,9/17/2015,149,0.69,1941,53,672.17,154.98696427209433,26.309031989967586,10.446624673514222,30.915505364547194,0.27402165519053817,1,0,54.86003804152106
8,0,Georgia,Tifton,4/5/2017,Caliber,6/20/2008,139,0.88,473,265,728.7,76.66219112944297,27.48725,21.945397983037097,33.53659091,0.095333333,0,0,78.0156854662331
9,1349,Kentucky,Lexington,4/5/2017,AM-09-600,5/2/2017,237,0.74,209,157,660.5,205.668084134223,22.676082098133044,17.41844252208324,26.576995825056354,0.14277739462878905,1,1,94.64412974927764
10,131,Georgia,Tifton,2/21/2008,Withstand,11/11/2008,192,0.01,447,45,660.51,80.87407161575258,23.219754602473945,4.920574929280195,32.602969023280544,0.14711499417221693,1,0,
11,484,Kentucky,Lexington,8/9/2012,CW 065030,8/12/2013,341,0.55,515,27,641.92,58.13140947278704,21.578336317171974,16.65123819683723,15.91632653,0.2526906813865153,0,0,99.77028375790377
12,1295,Kentucky,Lexington,8/9/2012,Buffalo,9/16/2013,227,1.68,701,27,551.15,41.1,22.879739463087446,15.716467217304077,26.941841907521557,0.3493237590500394,0,0,99.00442520963979
13,1553,Georgia,Athens,4/5/2016,PGI 909,8/15/2014,203,0.26,1944,36,972.69,66.59647784463718,13.405633975157743,18.28298572035776,31.83377672801383,0.25976873863932354,1,0,90.13446831654608
14,60,Kentucky,Tifton,3/31/2015,Phoenix,11/20/2008,222,0.27,349,49,723.2,118.78725083859823,25.67956483290681,5.50464213248214,16.703021117484976,0.3575694542036811,0,0,85.32934243170014
15,994,Kentucky,Lexington,8/9/2012,AM-09-600,6/26/2009,170,1.52,596,27,586.93,53.10337093472866,23.602924503740624,16.753615026807015,17.404544413160735,0.3012589797474778,0,0,82.62029574663674
16,717,Kentucky,Lexington,4/5/2016,AFX095005,6/6/2017,205,0.47,925,27,863.94,108.17863706878282,21.693656761917993,16.63577852551221,30.299817431400363,0.2609790590400643,0,0,95.60947491178423
17,58,Georgia,Athens,2/21/2008,Attention II,5/6/2008,239,0.01,115,197,1248.9,96.63607941629446,27.48725,17.617604878566958,32.43893553278652,0.211646914811097,0,1,
18,852,Georgia,Athens,10/10/2007,Hybri Force 700,9/15/2017,276,0.07,640,214,1117.98,154.79358890774208,27.48725,9.234670510541727,25.28387707609462,0.378285714,1,0,100.0
19,1199,Kentucky,Lexington,4/5/2016,GA-ALFG-1,9/18/2014,170,0.71,988,27,559.46,183.93919793595188,21.11527848991906,15.905467000677454,28.988507635782103,0.31020470651338466,0,1,97.04231085344142
20,788,Kentucky,Lexington,4/5/2016,Evermore,7/30/2010,137,1.03,335,27,642.32,131.85196986675555,21.428978308264305,12.163469620313387,26.254625044087167,0.28644393487637976,0,0,96.54816804556752
21,1216,Georgia,Tifton,8/9/2012,AM-14-900,8/13/2018,310,1.01,377,28,917.89,251.72740752490307,25.151338120993927,11.630907796526063,17.526557188646706,0.32797875390463443,1,1,87.65936955555114
22,1497,Kentucky,Lexington,8/9/2012,Ameristand 403T,5/10/2018,211,0.93,283,27,1064.61,111.70596092964274,21.45920912359756,16.36672671562654,27.01727720445939,0.32347684236037233,0,0,96.86425338325121
23,0,Georgia,Midville,8/9/2012,TS 8031,5/10/2018,143,0.28,768,205,739.06,77.93738380603386,21.406392317207878,8.220742675330742,28.02434837428157,0.31152713316820135,0,0,89.03233199102885
24,142,Georgia,Lexington,2/21/2008,FSG 415BR,11/16/2012,134,0.01,160,189,817.39,41.1,21.006986694185358,16.719964142195103,33.30894968186647,0.11289796942041126,1,0,87.14975735437466
25,1518,Georgia,Lexington,4/5/2017,Evermore,7/10/2018,146,0.01,388,73,419.61,223.08111544385534,24.022231598893104,10.705325707098222,22.924684435156728,0.276118349396116,0,1,
26,0,Kentucky,Lexington,8/9/2012,TS 4010,7/13/2016,214,1.59,316,27,739.5,80.70528805850233,19.22811157654288,3.9436,25.751369354488624,0.18840066887249965,0,0,88.14243299964657
27,1243,Kentucky,Tifton,8/9/2012,Attention II,8/12/2013,273,0.95,929,27,656.06,136.14086151980314,19.7393787285387,16.83082872060975,26.43754856911925,0.22061380162450087,0,0,90.03306464907989
28,216,Kentucky,Midville,11/1/2007,PGI 801,6/25/2009,212,0.31,484,38,919.5,127.72289691599332,16.374576419186095,20.915361601553265,29.79456143460069,0.15041471628678735,0,0,
29,358,Kentucky,Midville,3/31/2015,GA-505,8/14/2009,341,0.67,689,131,768.26,63.899344458180515,11.434666947024903,22.168005613184544,25.94828405688116,0.095333333,0,1,99.78585719366687
30,1224,Kentucky,Lexington,8/9/2012,CW 085028,9/15/2017,115,1.04,89,149,910.25,202.47081820589875,21.109207415715947,15.245415735040085,26.427391917306164,0.26667421140745023,0,1,93.41111173825696
31,1387,Georgia,Lexington,11/1/2007,AM-09-600,9/14/2017,164,0.01,314,38,609.29,124.73648212778852,24.78921658632438,10.923763740304377,29.915495348781967,0.16914389922166623,0,0,93.61422188454785
32,0,Georgia,Athens,8/9/2012,Evermore,5/13/2013,273,1.05,477,45,1175.72,45.515477306531615,27.48725,5.639699593825137,31.360411015218595,0.12959443125183226,0,0,
33,189,Georgia,Tifton,8/9/2012,TS 8031,5/10/2018,111,0.05,486,237,978.01,102.90090127325672,27.441152127947518,13.89709826676047,31.83123414429523,0.095333333,0,0,
34,486,Georgia,Lexington,4/12/2018,Fierce,5/6/2008,279,1.97,840,110,1029.78,67.03532614301528,23.420274049738378,15.777882969130689,24.12222832321276,0.2518507382966721,0,1,89.82647578739493
35,1171,Kentucky,Lexington,10/10/2007,Ameristand 403T,4/23/2010,298,1.13,1360,37,1196.28,153.7620660277149,25.02505412726547,12.777751150687639,29.025736147636703,0.378285714,0,1,100.0
36,285,Georgia,Lexington,11/1/2007,Fierce,5/10/2018,161,1.96,107,27,1177.66,41.1,27.069256901972206,12.356598870308643,17.815070542475468,0.21174725975733566,0,0,64.07166800562827
37,1450,Kentucky,Lexington,11/1/2007,CW 065030,11/4/2009,121,0.88,1209,150,672.72,117.58398820557599,16.736721344333404,16.178068948527915,27.207518665610987,0.24318696630240877,0,0,78.11077887130661
38,905,Kentucky,Lexington,4/5/2016,CW 500,5/2/2017,159,0.26,414,27,962.6,134.57105063420587,22.23208886254704,3.9436,16.0802786663819,0.24217167889767022,1,1,99.89432738200885
39,115,Georgia,Midville,2/21/2008,Buffalo,5/7/2009,120,0.01,89,34,971.58,90.8379650266888,25.25194763213674,21.087338332626796,30.71581284765922,0.14230740850522328,0,1,88.11698467994651
40,1461,Kentucky,Athens,2/21/2008,Attention II,4/23/2010,121,0.98,972,203,457.75,41.1,17.225893506326408,6.266666269474973,18.682907361983446,0.24058496805489774,0,1,91.94639993456796
41,0,Georgia,Midville,11/1/2007,Radiance HD,7/10/2018,224,0.31,1177,27,1162.59,101.38031849639803,25.680831694469596,9.63639716835875,29.54909562660689,0.17600441430476002,0,0,
42,1679,Kentucky,Lexington,8/9/2012,Evermore,7/10/2018,177,0.07,993,27,723.64,93.86507339834876,21.510177849487885,17.458439238175124,25.67404861657128,0.22336970877144402,0,0,95.88476176924911
43,322,Georgia,Midville,10/10/2007,PGI 801,5/2/2017,120,0.63,400,89,1113.97,157.18944833065382,14.323296791925337,9.213412258171925,27.53731391974787,0.25829096309910915,0,1,
44,350,Georgia,Athens,10/10/2007,Hybri Force 600,7/30/2010,258,0.39,779,101,793.75,61.23636338785152,27.48725,15.917638145069507,28.98634723274703,0.2733459647388058,0,0,79.45385771789678
45,0,Georgia,Lexington,4/12/2018,TS 4010,5/8/2014,279,1.49,1049,34,918.06,124.96305036443079,24.564220425380967,17.67364611113166,30.204693363632394,0.2984207151408933,0,0,99.3234780556436
