,Unnamed: 0,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Harvested in Sown Year,First Date of Season,Percent Cover (%),Unnamed: 19,Class
0,1556,Kentucky,Lexington,3/31/2015,NF11ALF006,8/14/2015,242,1.1,89,47,640.57,113.1,20.719890951356085,17.978668690902452,24.88531810040319,0.3303741833620325,0,1,99.2443631085164,,1
1,1341,Kentucky,Lexington,4/5/2016,Evermore,7/10/2018,122,2.13,128,96,830.07,161.1,23.363025842580445,20.98888889,28.407420566107525,0.2532156543385893,0,0,92.40410110943044,,1
2,905,Kentucky,Lexington,4/5/2016,Fierce,8/13/2018,157,1.46,223,27,1015.73,152.1,24.639889258870394,20.98888889,28.957716680920456,0.32329259948905753,0,0,95.61379501222147,,1
3,1473,Kentucky,Lexington,3/31/2015,Saranac AR,9/16/2015,272,2.36,89,37,870.09,151.2,23.880343909142926,7.963131170076385,29.969904643581415,0.26629907822067633,1,0,98.6131315173941,,1
4,1082,Kentucky,Lexington,3/31/2015,Arc,7/13/2016,231,0.58,89,220,577.16,98.1,21.83562533138745,14.227423449455081,28.466447497015412,0.2901749463494441,0,0,95.88016049058423,,0
5,1507,Kentucky,Lexington,8/9/2012,4030,11/16/2012,265,2.61,2225,36,573.25,198.4,20.905798246380474,18.36353713718087,25.88095246129753,0.2736066358419704,0,1,,,0
6,1004,Kentucky,Lexington,8/9/2012,Evermore,8/17/2017,233,2.08,113,28,690.75,207.7,20.932428787314517,10.935108100844648,20.067961252024382,0.2577651988389565,0,0,99.60798364611449,,0
7,822,Kentucky,Lexington,4/5/2016,Saranac AR,5/2/2017,264,0.54,1427,269,741.37,178.4,19.830141018857773,9.520715236513443,27.153088463612093,0.3262762892430373,0,1,95.41817793431782,,0
8,1557,Kentucky,Lexington,4/5/2017,WL 365HQ,9/19/2016,268,1.54,246,226,684.79,126.2,23.78972415554823,8.554652655944196,23.789588106846793,0.33048716005868284,0,0,93.5754021158182,,1
9,1560,Kentucky,Lexington,3/31/2015,CW 085028,9/13/2018,135,1.68,89,250,685.79,79.3,23.511851256966686,18.70153409208493,30.45,0.378285714,0,1,94.80499630314995,,0
10,965,Kentucky,Lexington,4/5/2016,GA-497HD,9/14/2017,258,1.26,321,33,999.22,241.5,21.80522563955269,8.40673885528745,23.207423527444632,0.24996858923684273,1,0,92.13975066011996,,0
11,982,Kentucky,Lexington,4/5/2017,Withstand,7/10/2018,254,0.45,162,285,1062.57,174.2,24.182782328192808,14.542534478866672,26.39624744921927,0.3293881650825279,1,0,98.57185479329983,,1
12,1080,Kentucky,Lexington,3/31/2015,NF11ALF006,9/13/2018,230,2.21,1630,228,598.43,177.1,21.74367671961235,9.572568696249675,28.400802942851055,0.2685687452823699,0,0,100.0,,1
13,860,Kentucky,Lexington,3/31/2015,Evermore,6/9/2016,195,0.72,730,198,1090.65,313.1,23.7554992073125,9.113861117615947,25.256060137893233,0.28139553524732247,0,0,92.61737375628745,,1
14,1487,Kentucky,Lexington,4/5/2016,NF11ALF006,8/17/2017,156,1.07,89,226,1090.65,226.9,23.137971839203654,7.685152720964649,27.77877028142032,0.24260391840913414,0,0,86.14025744817532,,0
