,Unnamed: 0,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Harvested in Sown Year,First Date of Season,Percent Cover (%),Unnamed: 19,Class
0,1226,Kentucky,Lexington,8/9/2012,Saranac AR,9/18/2014,273,0.31,2225,27,1090.65,139.1,21.076039468416287,18.335285354594166,28.430593686389326,0.27827770586490447,0,1,100.0,,2
1,869,Kentucky,Lexington,8/9/2012,GA-505,5/10/2018,170,1.98,924,29,635.33,149.9,15.213308063849794,18.79991444402508,27.981707809544496,0.29802756593219104,0,0,100.0,,2
2,1652,Kentucky,Lexington,8/9/2012,Phoenix,7/16/2015,204,0.42,912,34,766.72,209.8,24.658730799193652,12.306645117967864,30.45,0.2479873631143399,0,0,100.0,,1
3,1167,Kentucky,Lexington,4/5/2016,GA-505,9/19/2016,144,1.04,1518,27,794.34,228.2,21.3421079182266,8.863987093062823,26.70331072925059,0.32192042422963996,0,0,100.0,,2
4,1229,Kentucky,Lexington,4/5/2016,Withstand,8/16/2016,274,1.27,1853,231,724.72,159.0,23.90956515096848,10.213334743793446,29.943950096921032,0.23346457600093895,0,0,100.0,,2
5,1246,Kentucky,Lexington,8/9/2012,FSG-426,7/8/2017,228,1.63,666,27,1090.65,102.8,22.241649582031762,14.553416563463639,28.04620775702188,0.3586027549769853,0,0,100.0,,2
6,1679,Kentucky,Lexington,4/5/2017,Contender,6/6/2017,154,0.9,687,270,680.98,155.1,11.836116925632552,19.39478310862586,27.565149592519386,0.2882404148121848,0,1,100.0,,2
7,1580,Kentucky,Lexington,8/9/2012,Ameristand 403T,8/17/2017,321,0.58,1311,77,476.88,193.0,24.299429702906814,5.232653061000001,23.678788285969908,0.31259387145806294,0,0,,,1
8,1588,Kentucky,Lexington,3/31/2015,Contender,8/13/2015,264,0.69,620,30,842.59,173.1,25.20294118,16.70014851663217,27.38949855762931,0.28371649588481185,0,0,,,2
9,1478,Kentucky,Lexington,8/9/2012,Ameristand 403T Plus,5/2/2017,196,0.53,978,185,728.85,164.2,12.560955254578662,18.53248480004744,29.09775206486183,0.24177339326889222,0,0,100.0,,2
10,1373,Kentucky,Lexington,8/9/2012,CW 065030,7/13/2016,132,1.81,769,204,869.73,174.9,20.970821696844567,17.22773418292209,26.787534565340106,0.3614200032770844,0,1,100.0,,1
11,1124,Kentucky,Lexington,4/5/2016,NF11ALF006,6/10/2014,184,0.97,1516,194,822.31,161.4,20.630298819284636,17.446149949157988,28.971657314326166,0.30866540857756947,0,1,100.0,,1
12,1295,Kentucky,Lexington,4/5/2017,Buffalo,6/9/2016,138,1.3,840,27,877.46,206.8,21.61636389130575,17.619929294507614,26.927257413951885,0.30945531041345187,1,0,100.0,,1
13,1044,Kentucky,Lexington,4/5/2017,Contender,6/12/2013,204,1.86,240,27,559.72,185.5,20.595008147247057,14.753226772341653,25.135619297290457,0.29560468887475766,1,0,95.98376038037594,,1
14,1577,Kentucky,Lexington,3/31/2015,Saranac AR,8/8/2017,150,2.25,434,27,645.69,157.3,22.906527109917146,19.441491047443517,16.848674655565276,0.34780855705327357,0,1,,,2
15,1084,Kentucky,Lexington,4/5/2016,Withstand,9/12/2018,210,1.12,710,203,773.95,201.1,25.20294118,15.490465324026717,29.752859717956664,0.2631807766039661,0,1,96.5209746430538,,1
16,1246,Kentucky,Lexington,4/5/2016,GA-505,9/14/2017,163,0.82,1042,192,603.2,166.9,24.7744995164497,17.11827199898294,30.45,0.29226439160500606,0,0,98.03352490204662,,3
17,1578,Kentucky,Lexington,4/5/2016,Rebound 6XT,9/15/2017,204,1.37,258,212,652.11,164.5,24.839937744180727,16.920563654187113,22.448536501898445,0.3148477419145607,0,0,88.64299232774965,,1
18,1565,Kentucky,Lexington,4/5/2017,Contender,6/11/2015,130,0.59,2192,39,578.23,154.6,24.819583002819293,18.628573831764164,30.13800679258419,0.28947472722947626,0,0,90.90601421955394,,1
19,1572,Kentucky,Lexington,4/5/2016,4030,7/10/2018,276,2.61,515,27,705.74,195.0,19.01813111615012,15.10511621520475,28.045558895254356,0.2775312339215177,0,1,95.98648039746983,,1
20,1679,Kentucky,Lexington,4/5/2016,Fierce,7/8/2017,196,2.11,818,280,642.38,202.0,18.332914404795762,19.282025545583974,27.05697964008542,0.2076368840643731,0,0,97.50881267060846,,1
