,Unnamed: 0,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Harvested in Sown Year,First Date of Season,Percent Cover (%),Unnamed: 19,Class
0,1536,Kentucky,Lexington,4/12/2018,GA-ALFG-1,7/10/2018,246,0.38,123,159,673.87,74.5,21.19155986784554,16.0460151331395,17.148059420453333,0.233237254685924,0,0,100.0,,1
1,1278,Kentucky,Lexington,3/31/2015,Fierce,7/10/2018,220,0.85,89,31,582.33,79.8,13.562106544929673,14.934503038802568,29.715658555076597,0.33758212595022624,0,1,91.97582786328144,,1
2,1313,Kentucky,Lexington,8/9/2012,Evermore,9/15/2017,257,1.92,89,27,790.09,157.0,22.418947603366604,17.576872234176356,26.734227525816948,0.32071179422362417,0,0,100.0,,1
3,1296,Kentucky,Lexington,4/5/2016,GA-505,9/17/2015,268,1.09,89,28,685.69,197.4,24.96193148538292,15.936479031315688,24.49165278868883,0.3009301014264147,0,0,,,2
4,1237,Kentucky,Lexington,3/31/2015,Ameristand 403T,7/10/2018,122,1.0,761,67,880.02,123.2,24.629914606218044,17.636053069127033,27.581439277058802,0.23817941331453202,0,1,98.38856870597743,,1
5,1289,Kentucky,Lexington,4/5/2016,FSG-426,7/10/2018,216,0.9,1814,27,879.9,87.4,13.519944762090384,17.698487355755464,19.826089593196038,0.3694814653844171,0,1,53.808075477801836,,1
6,1618,Kentucky,Lexington,8/9/2012,CW 065030,7/13/2016,211,1.43,89,27,1090.65,56.4,24.980157805299385,18.450306397513675,18.18620745298473,0.2949341064203808,1,0,96.02516151435286,,1
7,993,Kentucky,Lexington,4/5/2016,FSG 415BR,7/13/2016,251,0.9,1535,27,632.38,157.2,22.638552073439318,17.342345453509783,27.98844095715854,0.378285714,0,1,92.08337550446021,,1
8,1069,Kentucky,Lexington,8/9/2012,NF11ALF006,8/18/2016,166,0.36,1303,73,539.19,215.4,24.743977779085178,19.61926685540445,30.043493234968814,0.2851532372272903,1,0,96.9803368985686,,1
9,1360,Kentucky,Lexington,8/9/2012,Saranac AR,5/6/2016,260,1.01,1181,43,629.99,65.2,14.25374943230158,18.819760648345,19.55427720766877,0.25358336565140194,0,1,86.62215840632712,,1
10,1474,Kentucky,Lexington,3/31/2015,GA-ALFG-1,9/15/2017,257,2.01,1036,29,650.17,136.6,24.919341347160795,7.073646498880543,28.594278370094575,0.25109371163851996,0,0,98.83320478287584,,1
11,1564,Kentucky,Lexington,8/9/2012,Caliber,8/13/2018,191,1.13,1755,40,650.44,152.6,25.20294118,11.232322289243514,30.45,0.24823376913301795,0,0,91.40544992443807,,2
12,926,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,181,0.43,89,197,1000.2,324.1,24.461846617743216,17.11171756340512,19.586335772744327,0.3177156964461026,0,0,92.30252135299075,,1
13,878,Kentucky,Lexington,8/9/2012,Fierce,6/10/2014,277,1.04,89,27,733.75,71.4,25.20294118,8.52989494535829,29.68653490934071,0.26504953767472655,1,1,97.48539135509324,,2
14,1145,Kentucky,Lexington,8/9/2012,GA-ALFG-1,7/14/2016,260,1.2,741,237,742.83,84.3,23.96230895118389,18.373528676864176,28.14699613001801,0.378285714,0,1,89.60010423433776,,1
15,1284,Kentucky,Lexington,3/31/2015,Ameristand 403T Plus,9/14/2017,244,1.34,149,27,1077.52,163.1,24.43661429782034,6.171037786185196,29.02255606358782,0.25220831782953274,1,0,97.21274635659515,,1
16,1224,Kentucky,Lexington,4/5/2016,Caliber,5/6/2016,218,1.16,390,27,808.51,215.1,25.20294118,19.043737809825824,30.45,0.23969139326097677,1,1,92.89106580169083,,1
17,822,Kentucky,Lexington,4/5/2016,CW 065030,8/17/2017,202,1.36,445,30,847.95,119.3,24.350144787407988,7.758809443666248,29.36525800045677,0.27858505488703644,0,0,100.0,,2
18,1054,Kentucky,Lexington,3/31/2015,GA-ALFG-1,8/13/2018,256,1.15,214,31,624.58,87.4,25.06237967399563,15.189974656978539,28.709607439761083,0.34912000187791825,1,0,89.47455581362824,,1
19,842,Kentucky,Lexington,8/9/2012,GA-ALFG-1,9/15/2017,170,0.62,1113,27,476.88,118.1,12.374339760809377,18.187014440740928,26.679876685992948,0.2069239361517847,0,0,94.92344321570147,,2
20,1328,Kentucky,Lexington,4/5/2016,GA-505,6/10/2014,122,0.96,1336,27,683.35,121.2,23.352461825789057,17.673430091566857,29.391924076363473,0.28267807688506325,0,0,86.10780861373294,,1
21,826,Kentucky,Lexington,8/9/2012,4030,5/10/2018,251,1.69,192,27,811.11,151.7,25.20294118,16.04786002065889,21.094066830706875,0.3121657705870751,0,0,94.96420184225346,,2
22,1278,Kentucky,Lexington,8/9/2012,Evermore,9/14/2017,253,0.66,924,240,621.17,101.7,23.342957608866296,12.50431648221291,29.479505964491327,0.3319668080771751,0,1,94.86254605387522,,1
23,967,Kentucky,Lexington,8/9/2012,Arc,7/16/2015,158,2.35,89,198,839.48,129.1,24.351206223505166,15.85673028683727,19.34901343375892,0.26868304415785194,0,0,91.5185189734522,,2
24,1267,Kentucky,Lexington,4/5/2017,GA-505,9/17/2015,212,0.78,89,220,476.88,48.6,21.73906658669257,18.82241277206211,27.58317833771119,0.3285715243609047,0,0,97.64090571825878,,1
25,1462,Kentucky,Lexington,4/5/2016,Contender,8/18/2016,195,0.73,109,38,826.57,142.4,25.20294118,17.55323579281664,28.489294709260324,0.3084452684146484,0,0,67.79098541215346,,1
26,1679,Kentucky,Lexington,8/9/2012,4030,9/14/2017,154,0.8,1038,194,690.42,138.1,20.390755559841104,19.69587423512432,29.27752633214095,0.27980909854763397,0,0,83.43539526265782,,1
27,1115,Kentucky,Lexington,8/9/2012,Contender,8/17/2017,157,1.3,89,28,640.4,122.3,12.36778649274065,14.354148127043324,30.45,0.34816629087580336,0,0,95.00547976704026,,1
28,1462,Kentucky,Lexington,8/9/2012,AM-14-900,9/15/2017,146,0.36,435,30,717.39,109.2,23.688465612381282,5.813253847018431,24.470745535412785,0.2498665294828859,1,0,91.99791677039256,,2
