,Julian Day,Time Since Sown (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,143,338,701.4,186.2,10.73673469,19.00731282633476,19.04652204135744,0.2585885223762846,2
1,263,521,583.16,74.4,20.010462472138176,18.508358261883807,26.42144456788887,0.30936667667758533,3
2,140,1237,534.17,110.7,17.012050219561775,17.739438159846806,27.858643674366032,0.27165684044907124,2
3,240,913,486.56,153.6,19.42086406624763,16.793923575729316,26.62627178351157,0.22403541080169048,1
4,145,2225,645.41,189.6,23.984776483092414,14.451572884384705,29.425885917587664,0.28637470454352876,2
5,145,1853,921.59,111.0,20.620643158695234,18.07665186211088,28.57614081418915,0.3190482093941572,2
6,153,1451,688.09,141.0,20.323684938295337,19.636438776070438,15.91632653,0.28692201036252185,2
7,253,694,612.5,254.9,23.26893748404743,16.300818635836116,28.623556248426315,0.2827581821118963,3
8,272,91,735.46,150.8,21.83082752430692,16.07599736295972,27.231112227371476,0.30089535970331327,1
9,321,1393,476.88,227.2,20.31362511273855,19.970480016622748,29.19986791735182,0.2746455781506293,2
10,192,89,674.41,256.1,20.262928805900938,17.91366021659479,15.91632653,0.3162857415098806,2
11,151,1968,893.06,203.9,19.93120391861102,18.28785255111278,29.949377181384623,0.29621116279381055,3
12,132,1842,551.59,89.0,22.707266776385712,19.385260923327934,28.273077566073894,0.20573529399999999,2
13,252,1305,875.95,227.9,20.574347613939494,19.670806791360505,15.953005467949795,0.27606661587180636,2
14,129,2225,954.83,163.0,17.532864256601965,20.46361449823616,28.47244957503266,0.2909012243634336,3
15,158,1365,517.03,87.9,19.497358345361004,9.810488000533717,17.983597902974346,0.250911210700811,1
16,133,376,667.75,186.1,19.356117384099043,16.052763943637547,15.91632653,0.2905630673489082,2
17,141,858,790.51,197.2,22.8966571742143,16.00822102683474,29.036098558591974,0.29147305123585776,2
18,203,775,728.35,132.9,23.945707144549967,19.333284898814103,18.135028101767595,0.24575506648228776,1
19,240,1970,559.99,149.8,20.833415307711466,20.98888889,26.420013408389945,0.30853682813150674,1
20,253,1004,559.46,184.9,17.824842917911862,19.75614901013039,16.644737294445363,0.3008622539001431,2
21,251,1565,735.43,243.3,24.06003640685044,19.24144709529513,15.91632653,0.2583809891598357,2
22,175,574,495.07,190.2,17.085953930265568,19.362474293614813,25.639485167926328,0.2703209862527926,3
23,194,899,565.83,174.6,18.77794323328946,13.889889662957057,29.544356788985297,0.3416765214452435,3
24,169,936,564.68,179.3,22.70156638267194,19.928527802392704,18.73995723266817,0.29966477845606615,2
25,261,89,599.32,205.7,24.816233078380847,16.66687192291896,15.91632653,0.358264876539103,2
26,206,916,485.89,138.5,17.703528372404875,14.454253574693585,30.45,0.2916532161529242,2
27,207,426,476.88,191.2,18.166388731032406,18.58922521650555,26.84511872055148,0.2723519444663808,3
28,248,494,630.9,241.5,16.975682200555404,17.077280890986906,28.80459958435536,0.31917194076597555,2
29,235,1400,593.18,191.8,20.43361179211706,18.43195040475041,26.548675725898054,0.23662393255769287,3
30,203,304,711.69,175.6,24.679534789425674,14.590056469889403,15.91632653,0.25377204633236766,2
31,160,244,645.35,152.9,20.222934864917384,20.266666375231026,15.91632653,0.29615795097804215,3
32,239,522,518.48,108.4,20.641028277112266,17.258133258595166,26.577226320829453,0.21853864669154788,2
33,228,391,476.88,134.8,21.571118408770374,18.240806142137018,19.895837739518917,0.2753004352836826,2
34,173,1867,936.01,184.8,20.443790385338268,18.572689368215528,28.769127985052936,0.2522615913947562,1
35,270,1143,476.88,202.0,17.42656073069832,20.98888889,27.891868078039643,0.2561155561277545,2
