,Unnamed: 0,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Harvested in Sown Year,First Date of Season,Percent Cover (%),Unnamed: 19,Class
0,0,Kentucky,Lexington,8/9/2012,LS 905,7/8/2017,256,0.87,1466,38,796.05,204.1,22.956151966323546,14.638920202657323,20.232884325975057,0.25485443670190466,0,0,93.92787902971138,,1
1,1,Kentucky,Lexington,4/5/2016,Caliber,8/16/2016,198,1.64,1485,29,765.09,108.8,23.99639797725984,18.56026568261243,26.403863793221905,0.20573529399999999,0,0,100.0,,1
2,2,Kentucky,Lexington,4/5/2017,Arc,9/14/2017,153,1.06,762,68,725.68,59.5,22.451841114781633,20.626001941038243,21.368316712250476,0.2728790050227652,1,0,92.0211252835269,,3
3,3,Kentucky,Lexington,8/9/2012,GA-505,5/2/2017,191,0.8,262,39,864.06,165.5,25.20294118,16.5448264615882,30.45,0.378285714,0,0,92.24729368125865,,3
4,4,Kentucky,Lexington,8/9/2012,GA-505,7/10/2018,203,0.69,220,28,560.83,51.6,22.35098820354895,20.98888889,24.79234999931409,0.21866683736642642,0,0,100.0,,2
5,5,Kentucky,Lexington,4/5/2017,Contender,7/12/2013,161,1.0,1862,35,797.22,265.2,24.97894008876527,20.442514261482515,30.45,0.21996377924293756,0,1,97.03314689801212,,2
6,6,Kentucky,Lexington,8/9/2012,Saranac AR,9/19/2016,228,1.07,712,27,877.52,208.7,25.05087540094616,19.27896508887898,30.45,0.2282767898835178,1,1,99.0966963631201,,2
7,7,Kentucky,Lexington,4/5/2016,AFX095026,5/10/2018,195,1.34,119,220,749.31,58.1,23.480717520178114,20.98888889,22.14648182347729,0.2413512955211729,0,0,100.0,,2
8,8,Kentucky,Lexington,4/5/2017,4030,5/2/2017,271,1.22,364,29,658.83,174.2,22.282377682001865,19.259529666989977,19.17559097266576,0.2842013697086061,0,1,96.76802060180856,,2
9,9,Kentucky,Lexington,8/9/2012,GA-505,7/14/2016,188,0.45,164,238,741.16,59.9,21.07039152522864,19.011239209796834,27.110612113883732,0.3016220908959421,0,0,88.26396828351824,,1
10,10,Kentucky,Lexington,3/31/2015,GA-497HD,7/16/2015,260,0.58,931,210,717.28,105.9,17.38022743860047,17.8428397125552,29.059798904815757,0.23419984283629172,0,0,95.10145379280854,,2
11,11,Kentucky,Lexington,8/9/2012,Ameristand 403T Plus,9/14/2017,249,0.98,147,31,694.25,210.0,25.20294118,6.895114260733563,29.16465927802639,0.27571007229504757,0,0,93.48283600613811,,2
12,12,Kentucky,Lexington,4/5/2016,NF11ALF006,8/18/2016,254,0.75,1274,46,731.33,43.6,15.200357488194626,18.827741442766,25.937566979530768,0.26093588223583547,0,0,98.45352919650715,,2
13,13,Kentucky,Lexington,3/31/2015,Contender,8/13/2018,256,1.86,444,226,933.79,41.1,21.922447000370564,8.927835458752197,26.506532793997227,0.24164457745705503,0,0,100.0,,1
14,14,Kentucky,Lexington,4/12/2018,GA-ALFG-1,9/19/2016,245,1.09,89,40,574.11,86.2,21.833833733625216,17.98026042837344,30.45,0.2741441706796951,1,1,99.32760421189002,,2
