,Unnamed: 0,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Harvested in Sown Year,First Date of Season,Percent Cover (%),Unnamed: 19,Class
0,970,Kentucky,Lexington,3/31/2015,Caliber,9/14/2017,165,1.03,817,265,504.91,129.7,23.62899564676369,17.74438948789124,26.372345646258204,0.2890483760412661,1,0,97.2043386574439,,1
1,1009,Kentucky,Lexington,3/31/2015,AM-14-900,8/8/2017,223,1.0,1218,247,813.81,108.9,19.657543146410088,5.232653061000001,21.482667548706576,0.2858005804792808,0,0,100.0,,1
2,1089,Kentucky,Lexington,4/12/2018,Contender,5/6/2016,216,0.63,91,27,876.44,128.4,14.79360543429353,11.206939807608542,25.398704242477727,0.3402793621630174,0,0,100.0,,2
3,1047,Kentucky,Lexington,8/9/2012,Withstand,11/16/2012,265,2.18,863,37,627.58,46.9,23.492686829136424,17.773829522913516,27.277628612505058,0.2809071056111127,0,0,100.0,,1
4,1624,Kentucky,Lexington,8/9/2012,4030,6/11/2018,240,1.18,136,37,659.57,101.4,25.139464824524982,14.207374790820943,20.048882064228206,0.34700583522432243,0,0,98.65919646337385,,1
5,1468,Kentucky,Lexington,8/9/2012,GA-ALFG-1,5/10/2018,252,0.65,89,257,669.99,151.7,23.603888748315462,17.982549827220087,19.53683138212602,0.3592722331254047,0,0,96.91333653348124,,1
6,1513,Kentucky,Lexington,3/31/2015,GA-505,5/10/2018,188,1.93,366,43,659.66,96.1,22.7764037522871,5.232653061000001,22.806967634350737,0.32244314683887854,0,1,86.74265038066763,,1
7,1189,Kentucky,Lexington,3/31/2015,GA-505,5/8/2015,124,0.74,89,27,661.22,220.2,24.733120818841037,15.925282021871437,15.91632653,0.26145941968955777,1,0,100.0,,3
8,950,Kentucky,Lexington,4/5/2016,Contender,7/10/2018,193,0.77,89,27,627.41,115.9,25.20294118,16.19094043893898,15.91632653,0.27813558282365547,0,1,99.11451261327929,,1
9,1151,Kentucky,Lexington,8/9/2012,Radiance HD,9/17/2015,269,1.45,902,35,707.02,101.1,24.40960611309153,5.232653061000001,18.47353636675917,0.2406805039224358,0,1,98.56097775780994,,1
10,879,Kentucky,Lexington,8/9/2012,GA-505,5/6/2016,149,0.96,138,33,808.01,84.9,24.21284345830263,16.662296871474425,16.63029270433699,0.23956094543492512,0,0,100.0,,2
11,1029,Kentucky,Lexington,4/5/2016,55V50,8/17/2017,263,1.07,300,117,880.65,286.3,24.96938360685042,12.084779890437236,27.504660105317377,0.35151333371509874,0,1,100.0,,1
12,876,Kentucky,Lexington,4/5/2017,Buffalo,5/10/2018,185,0.81,699,27,669.87,131.5,24.23363656273575,10.99037162622092,27.899634168132135,0.2626050220255402,0,1,100.0,,1
13,979,Kentucky,Lexington,4/5/2017,Saranac AR,7/8/2017,221,0.78,948,187,726.68,124.2,22.12653654359142,15.723380560396945,27.98032747738388,0.3749743511176908,1,0,97.37208479993598,,1
14,1386,Kentucky,Lexington,8/9/2012,LS 905,9/12/2018,254,0.46,89,249,748.62,107.0,18.20290591793303,16.587410378815115,28.677526518735306,0.2721048627789851,0,0,87.17525523888989,,2
15,1408,Kentucky,Lexington,3/31/2015,Contender,7/13/2016,264,1.03,1057,32,594.73,190.9,23.61572903738562,15.882019535093487,23.369558532387874,0.29247874546788033,0,0,100.0,,2
16,1660,Kentucky,Lexington,3/31/2015,Contender,9/15/2017,321,0.83,219,106,898.17,79.7,20.598050548118355,17.435841703708782,28.171226626566387,0.3675065166470758,0,0,97.33857920609893,,1
