,Unnamed: 0,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Harvested in Sown Year,First Date of Season,Percent Cover (%),Unnamed: 19,Class
0,67,Georgia,Tifton,11/1/2007,Bulldog 805,9/10/2008,103,0.01,305,37,748.87,50.913706779104814,27.48725,19.162191157409943,19.417116963139748,0.2722365035588529,0,0,,,1
1,1557,Kentucky,Lexington,8/9/2012,CW 36106,6/6/2017,268,0.01,2225,35,667.46,71.96723939069602,21.932783409770018,16.434375565181394,19.48394671732449,0.2579921673764424,0,1,96.96471469616164,,1
2,946,Georgia,Tifton,4/12/2018,CW 36106,5/10/2018,170,1.08,1764,27,688.08,255.2290627581426,18.542722198479566,17.841796883187833,28.393665164729544,0.19781450750965474,0,0,80.06644355412473,,2
3,780,Kentucky,Lexington,3/31/2015,TS 8031,5/2/2017,128,0.65,1920,39,505.76,128.06638833179608,23.111719890559073,17.363803281752325,22.49283281732372,0.378285714,0,0,95.70847421230204,,1
4,1404,Kentucky,Tifton,8/9/2012,4030,9/5/2008,156,0.45,409,48,799.47,162.29647658443915,23.18102632305485,21.44204325799617,24.556632678794834,0.2828701765331263,0,0,,,2
5,1581,Kentucky,Athens,10/10/2007,Evermore,8/12/2013,192,0.07,465,27,542.95,110.44679376838984,23.443509200354114,16.033785361276855,29.22099538929054,0.29549773162324405,0,0,96.23601879695916,,3
6,1453,Kentucky,Athens,8/9/2012,Caliber,9/13/2018,148,0.16,162,27,332.68,183.4673965886164,23.022888425317355,3.9436,15.91632653,0.30419041969781613,0,1,97.76861966530286,,2
7,1416,Kentucky,Midville,8/9/2012,Hybri Force 600,11/16/2012,159,0.95,256,37,664.72,187.61376848288526,22.49586179660685,16.683717810895146,19.081333168083866,0.378285714,0,0,59.22571761713739,,2
8,195,Georgia,Tifton,2/21/2008,CW 085028,8/13/2018,324,1.1,791,34,982.34,255.1167594692344,25.66066613752063,19.78461555591557,29.154513748334008,0.16149752493157826,1,0,78.25965814900792,,2
9,717,Kentucky,Lexington,8/9/2012,Bulldog 805,9/19/2016,203,1.34,1564,80,712.3,196.04607024236674,20.6618252453369,14.90193260434448,22.724966015164217,0.3151333440692164,0,0,90.20558666066616,,1
