,Unnamed: 0,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Harvested in Sown Year,First Date of Season,Percent Cover (%),Unnamed: 19,Class
0,1264,Kentucky,Lexington,4/5/2016,Caliber,6/11/2015,273,1.11,624,153,672.27,41.1,23.811496570769144,6.628869170284131,26.119425597025653,0.327387131937425,0,1,100.0,,0
1,965,Kentucky,Lexington,3/31/2015,Evermore,6/9/2016,203,1.07,1351,47,693.39,99.5,22.653352957537606,16.44778641124266,23.87903245576772,0.33182272585385597,0,0,89.80023819273241,,1
2,945,Kentucky,Lexington,8/9/2012,Saranac AR,8/8/2017,126,0.78,89,144,505.71,61.9,20.156049890469497,19.237671680249843,25.901876338137672,0.25112291364005,0,0,,,1
3,1391,Kentucky,Lexington,3/31/2015,Buffalo,7/10/2018,272,1.36,89,29,603.08,46.0,24.237362031955264,16.71818189594002,15.91632653,0.2522054599136864,0,1,93.7611066699445,,0
4,949,Kentucky,Lexington,3/31/2015,Saranac AR,5/10/2018,261,0.25,89,34,695.76,124.3,15.272163831134282,15.513606880665366,27.882989416464778,0.31022329674888816,0,0,73.25646970118716,,1
5,1525,Kentucky,Lexington,3/31/2015,Saranac AR,8/17/2017,167,1.27,224,37,696.76,152.0,21.727228323811513,19.240365236750193,26.146225566637902,0.27048237469175035,0,1,85.74755756299214,,1
6,1679,Kentucky,Lexington,8/9/2012,GA-497HD,8/8/2017,139,1.2,89,27,562.14,110.6,24.63594143561082,19.647487018370786,26.39352910793893,0.3256677571240228,1,0,84.39102428682911,,1
7,920,Kentucky,Lexington,4/5/2016,Phoenix,8/20/2018,263,0.33,89,39,673.67,156.8,18.439394329427223,20.079826828974305,22.226469071719073,0.24306746432081255,0,1,90.53723384750387,,1
8,1679,Kentucky,Lexington,4/5/2016,AM-14-900,8/13/2018,132,1.97,197,40,740.77,48.7,24.542386356343254,19.216908055648123,27.49307290478383,0.25936830136952804,1,0,72.2509906131705,,1
9,857,Kentucky,Lexington,4/5/2016,Ameristand 403T,7/10/2018,238,1.3,610,46,553.18,143.0,23.713045583888675,15.112346482418811,26.74258096873758,0.2908194660244669,1,0,92.81408416400649,,0
10,1364,Kentucky,Lexington,8/9/2012,Contender,7/10/2018,203,0.21,2225,42,822.81,74.0,22.67740886834303,16.880778951417824,22.72719442329726,0.28296607590384143,0,1,99.85459700483777,,0
11,987,Kentucky,Lexington,4/5/2016,GA-505,9/16/2013,276,2.59,844,40,476.88,139.4,11.10174025151085,17.444357302820325,27.407783067461633,0.25817824490851793,0,0,76.21079035680725,,1
12,1452,Kentucky,Lexington,8/9/2012,CW 085028,8/12/2013,199,1.02,89,27,685.58,44.9,19.901049850179845,14.85062181158886,23.52841978556935,0.2838330621493188,0,0,87.89242179140383,,1
13,1323,Kentucky,Lexington,8/9/2012,Caliber,7/13/2016,222,0.68,89,281,476.88,175.2,25.20294118,18.17880103717564,28.994945502273765,0.28696297181920494,0,0,83.4925081768908,,1
14,1423,Kentucky,Lexington,3/31/2015,Arc,7/12/2013,156,0.92,89,141,583.72,96.6,25.04060571571711,19.597093124878008,25.591970273999053,0.2866583671388712,0,0,92.8383383069696,,1
15,1215,Kentucky,Lexington,8/9/2012,Evermore,5/10/2018,260,0.53,450,27,833.83,41.1,23.899936496997327,5.924844118067417,22.42383738373554,0.3293941463990102,0,0,89.80590082413035,,1
16,933,Kentucky,Lexington,8/9/2012,Caliber,5/2/2017,200,1.16,89,32,640.55,211.2,24.316712974372162,18.144604824456383,28.261040003092088,0.2867906840909339,1,0,41.86666667,,1
17,822,Kentucky,Lexington,4/5/2016,FSG-426,5/2/2017,252,0.93,200,85,676.52,86.2,22.60293309571047,8.599364206636842,27.164998162650132,0.3294118672250753,0,0,53.36111817625337,,1
18,1368,Kentucky,Lexington,8/9/2012,Contender,7/10/2018,257,0.42,1750,30,719.03,129.9,25.069571863707967,17.42597590680067,15.91632653,0.30382321504922205,0,0,72.11571094261065,,0
19,855,Kentucky,Lexington,8/9/2012,Contender,7/8/2017,200,0.73,584,47,676.12,111.4,25.20294118,19.126197840162515,26.05327439167811,0.24914921829723854,0,1,94.69032048373565,,0
20,1219,Kentucky,Lexington,8/9/2012,NF11ALF006,8/13/2018,174,2.34,914,108,522.15,169.7,18.692402084043398,18.8819583802992,28.497681181967472,0.297398702084494,0,0,65.80992215371606,,0
21,1241,Kentucky,Lexington,8/9/2012,Caliber,7/8/2017,251,0.97,89,42,699.75,130.5,22.980249201221014,19.399201431177087,15.91632653,0.26854227376305917,0,0,72.92694357798338,,1
22,958,Kentucky,Lexington,3/31/2015,AM-14-900,8/18/2016,264,0.42,661,245,757.5,104.9,12.612224817863547,18.520520886737152,21.73706081963329,0.31913006331714555,0,0,96.20480684715072,,1
23,999,Kentucky,Lexington,8/9/2012,GA-497HD,7/8/2017,231,0.99,613,29,640.25,250.4,21.71413473144458,9.533466725040874,26.03256719498139,0.256584445473761,0,1,86.19085814485494,,1
24,1543,Kentucky,Lexington,4/5/2017,Withstand,6/10/2014,213,0.88,1715,40,588.05,74.5,11.119665641545817,18.910874985883176,26.170903370717557,0.3046608559629748,0,0,93.05386331876734,,1
25,953,Kentucky,Lexington,8/9/2012,CW 085028,5/13/2013,267,0.96,538,41,476.88,41.1,24.28772522818503,18.654293276177047,27.50293324860523,0.30013027114382473,0,0,87.27636455401311,,1
26,822,Kentucky,Lexington,3/31/2015,AFX095005,7/10/2018,275,0.6,778,38,707.21,193.7,21.537494815128742,19.51186280376373,27.804746873473015,0.2951302835424585,1,0,79.02648891062876,,1
27,1663,Kentucky,Lexington,8/9/2012,WL 365HQ,6/11/2018,169,1.52,129,34,655.67,117.9,23.045522729308693,18.808655006463553,26.50574450726318,0.22190200067489751,0,0,96.60002907145193,,0
28,822,Kentucky,Lexington,8/9/2012,Fierce,7/10/2018,136,0.6,89,38,720.45,129.8,22.606009177280036,18.86174357719424,24.849834282623178,0.2755555854470685,1,0,,,0
29,1007,Kentucky,Lexington,8/9/2012,Contender,8/18/2016,237,0.9,287,41,541.63,41.1,23.862285322668384,17.80723190946293,25.605060523893346,0.30207561372504915,1,0,87.81985078815002,,0
30,898,Kentucky,Lexington,4/5/2017,NF11ALF006,7/13/2016,128,1.75,1148,40,596.5,108.2,22.359169236612434,19.271103837448806,17.566351955569687,0.30432072610427324,0,0,92.52415736062702,,0
31,852,Kentucky,Lexington,4/5/2016,GA-ALFG-1,7/10/2018,197,0.37,89,47,713.49,107.4,22.628190376515875,18.842494882887344,27.300378370592018,0.28236243685110046,0,0,90.27214305710885,,1
32,1518,Kentucky,Lexington,8/9/2012,Saranac AR,9/14/2017,230,2.38,89,38,707.48,137.0,25.20294118,10.076287164999231,30.039010407975507,0.29368083547057616,0,0,97.66948305234291,,1
33,1085,Kentucky,Lexington,8/9/2012,GA-505,8/20/2018,321,1.14,693,49,678.19,220.7,23.700578618445594,18.744882509367493,27.88530527955401,0.26849941773768826,0,0,,,1
34,1297,Kentucky,Lexington,8/9/2012,Withstand,7/12/2013,164,1.05,1178,46,711.14,149.0,18.740445177907972,19.6611322116664,29.74959687353325,0.28506535160629054,0,0,86.54629787289336,,1
35,822,Kentucky,Lexington,8/9/2012,CW 065030,8/8/2017,233,1.22,89,48,627.38,102.6,24.8193463167706,14.780131084138862,27.763216765200482,0.2554014784944386,1,1,99.06920857547063,,0
