,Unnamed: 0,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Harvested in Sown Year,First Date of Season,Percent Cover (%),Unnamed: 19,Class
0,1485,Kentucky,Lexington,4/5/2016,Saranac AR,5/2/2017,215,0.89,1421,27,682.78,159.2,21.806605350611534,17.534560275496048,27.164966436408665,0.378285714,0,0,94.98952944160848,,1
1,827,Kentucky,Lexington,8/9/2012,Ameristand 403T Plus,8/15/2014,254,1.07,1589,38,645.83,160.5,23.41213075033762,19.575609824490527,29.706141709658247,0.280988899077238,0,0,100.0,,4
2,1436,Kentucky,Lexington,3/31/2015,4030,6/11/2018,270,0.68,800,32,757.51,249.2,23.710169895801673,18.113958951003553,26.408963637152915,0.3219693859685494,0,0,80.60104462512619,,4
3,1593,Kentucky,Lexington,4/5/2017,AFX095005,9/18/2014,169,1.42,773,240,1090.65,141.2,19.086748390985584,7.7983980881559605,28.273218349451827,0.3722240688134089,0,1,94.78716615941279,,5
4,1066,Kentucky,Lexington,8/9/2012,Fierce,7/8/2017,206,2.41,702,38,621.59,148.8,21.41684325558423,17.045759077412967,29.617745922194835,0.2330957195248007,0,0,92.15075685083752,,5
5,1043,Kentucky,Lexington,8/9/2012,Saranac AR,9/12/2018,177,0.5,129,35,709.88,146.4,23.083559173621957,19.646435017808177,29.644024693610877,0.28567428480987245,1,0,88.68056350872783,,3
6,1463,Kentucky,Lexington,4/5/2016,4030,6/11/2018,256,0.42,1030,43,742.79,160.0,24.457430157492283,18.115280028888968,30.45,0.3194882278637527,1,0,93.11505801175232,,2
7,878,Kentucky,Lexington,8/9/2012,Arc,5/8/2014,197,1.05,492,202,845.18,106.1,22.5707914733506,17.11430113900829,30.45,0.30912878180989023,0,0,95.63234484011465,,3
8,1536,Kentucky,Lexington,8/9/2012,Evermore,7/8/2017,170,0.63,922,38,655.75,101.1,21.510462830360403,17.570841801425303,30.091639076097515,0.2863059832942588,0,0,96.83246565761392,,3
9,1452,Kentucky,Lexington,8/9/2012,AM-14-900,8/12/2013,197,1.17,133,48,672.28,166.7,11.145771495047416,17.78319248103736,29.849228584402354,0.33748034586274755,0,0,70.63338384638718,,4
10,1115,Kentucky,Lexington,8/9/2012,Caliber,5/6/2016,216,0.73,1881,31,673.94,197.4,23.639762657921455,18.35659651566046,30.45,0.2609134642205621,0,0,92.98545906028562,,1
11,1167,Kentucky,Lexington,3/31/2015,Evermore,9/17/2015,265,1.42,628,32,646.26,149.2,20.654814009674073,9.10389605929306,28.112583970533052,0.29504242187518787,0,0,99.59804761842,,2
12,1318,Kentucky,Lexington,4/12/2018,Ameristand 427TQ,8/8/2017,255,0.54,1192,113,605.32,179.7,24.396620720655978,7.080859631712197,15.91632653,0.2862810961032489,0,0,86.67253709073202,,4
13,1679,Kentucky,Lexington,8/9/2012,CW 065030,8/13/2015,136,0.96,854,27,497.5,151.0,23.314161080499648,8.629460319491832,25.973860322721723,0.29715285840810585,0,1,96.16765577698732,,2
14,1147,Kentucky,Lexington,8/9/2012,Saranac AR,8/13/2018,232,1.47,2117,274,671.59,77.6,13.100780494361256,18.63451505019812,28.881439244707344,0.21007477295981314,0,1,97.99245674197745,,1
15,1432,Kentucky,Lexington,4/5/2017,Saranac AR,5/10/2018,261,0.98,1454,40,663.6,196.0,21.932380962696534,16.30410889941814,30.45,0.2735697432895041,0,1,91.39423095325922,,4
