,Unnamed: 0,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Harvested in Sown Year,First Date of Season,Percent Cover (%),Unnamed: 19,Class
0,829,Kentucky,Lexington,4/5/2016,AM-14-900,9/19/2016,195,1.31,89,135,894.65,73.0,21.229714924162483,15.920545902668485,27.674557511506322,0.3239462804062204,0,0,86.45705699203074,,1
1,1510,Kentucky,Lexington,4/5/2016,Caliber,9/12/2018,253,1.79,747,233,728.82,45.9,24.639804253063087,18.456736133775426,30.45,0.26158478168872956,0,0,90.29123676155672,,2
2,1350,Kentucky,Lexington,8/9/2012,Phoenix,9/18/2014,146,0.35,644,289,656.39,52.2,24.922565807745983,16.697265884215625,28.796681203436258,0.2782035938184999,0,0,93.70667083893572,,1
3,822,Kentucky,Lexington,4/5/2017,CW 085028,8/8/2017,215,0.83,851,42,1090.65,76.4,23.77321042909717,16.428913145298225,19.92996879050059,0.25804954650925627,0,0,87.09544081801283,,2
4,1290,Kentucky,Lexington,8/9/2012,AM-09-600,9/12/2018,245,0.71,1688,36,588.54,109.9,24.817403501912608,16.7946352147396,26.40216111542645,0.3257885633158754,1,1,83.90982225672425,,2
5,1004,Kentucky,Lexington,3/31/2015,NF11ALF006,9/19/2016,136,1.09,1696,27,951.87,132.7,10.73673469,17.02279377444026,27.72973914128756,0.2722455812232611,0,1,96.82004285208185,,1
6,854,Kentucky,Lexington,4/5/2017,Caliber,6/10/2014,201,0.31,633,180,937.47,129.2,21.761537213374048,16.37576416385855,29.53102159235152,0.3280549699796934,0,0,41.86666667,,2
7,1152,Kentucky,Lexington,4/5/2017,Ameristand 403T Plus,7/13/2016,131,1.26,89,43,632.3,227.6,19.75704161989962,18.181428346686314,28.80613407343971,0.2963442587934492,0,0,93.80090096274208,,2
8,976,Kentucky,Lexington,3/31/2015,Saranac AR,7/16/2015,218,0.69,89,44,747.24,146.7,24.44244749952728,20.045379575416916,28.701850914348967,0.21776373285656223,0,1,99.27802723289477,,1
9,1168,Kentucky,Lexington,8/9/2012,Caliber,9/14/2017,229,2.29,255,38,727.08,313.5,23.75521909429317,10.675442135159113,27.543199722689927,0.2771497023590071,0,0,,,1
10,1420,Kentucky,Lexington,8/9/2012,Ameristand 403T Plus,7/8/2017,264,2.24,608,28,705.73,61.4,20.641459277127023,16.910431000730313,27.86601385242227,0.30954789407280076,0,0,99.18816991720738,,2
11,1006,Kentucky,Lexington,4/5/2016,Arc,6/9/2016,216,1.29,379,36,842.8,208.9,11.878938596073214,17.821852981768313,27.502554700148135,0.3560585388388049,0,0,78.82718733304736,,1
12,1436,Kentucky,Lexington,4/5/2016,Ameristand 403T Plus,6/6/2017,126,0.63,871,240,673.93,249.4,24.412930063389854,16.415652186139834,20.525938438608417,0.2791341864372431,0,0,86.49811496495583,,3
13,862,Kentucky,Lexington,8/9/2012,Saranac AR,9/17/2015,133,1.2,282,40,854.29,129.9,22.538866715934244,5.232653061000001,28.984575307875723,0.2624143260294925,0,0,90.98396269899172,,2
14,862,Kentucky,Lexington,8/9/2012,GA-ALFG-1,8/13/2018,206,1.49,591,27,709.0,171.4,25.20294118,16.06139370708489,15.91632653,0.274888675980201,0,0,93.995425750523,,2
15,1094,Kentucky,Lexington,4/5/2016,Saranac AR,5/2/2017,191,1.43,1002,44,796.66,163.5,23.55392252605069,15.974555464644881,25.48324209875242,0.2422636237864484,1,0,85.99110988980526,,1
16,1390,Kentucky,Lexington,8/9/2012,Ameristand 403T Plus,8/13/2018,125,0.82,1119,226,669.27,226.0,13.209912877191199,12.36254453158138,29.885032035933474,0.23161550922235474,0,0,94.06979417751461,,1
17,1556,Kentucky,Lexington,3/31/2015,GA-505,11/16/2012,156,0.61,511,29,717.2,141.4,22.416878255992113,10.693611669995766,27.055735463795127,0.27730338507551855,0,0,93.35261012343345,,2
18,1541,Kentucky,Lexington,8/9/2012,Withstand,5/8/2015,237,0.85,253,29,831.3,198.1,18.893119337004617,15.61264068519689,26.491094268871375,0.20573529399999999,0,0,93.82345243732605,,1
19,1337,Kentucky,Lexington,3/31/2015,Caliber,5/13/2013,164,1.41,89,257,824.44,214.0,14.098603040357713,17.18221082464774,24.8189400322925,0.2849261213619465,1,1,98.87416457372726,,2
20,1146,Kentucky,Lexington,8/9/2012,Withstand,7/10/2018,185,1.02,740,43,538.39,73.6,22.61216754381233,16.939290329320325,27.31243782004651,0.3033989141880865,1,0,94.48647431746647,,2
21,1084,Kentucky,Lexington,8/9/2012,Evermore,8/8/2017,200,1.5,1136,27,675.68,124.2,21.439857327967864,13.080925837934519,27.56431155490692,0.24693834399877407,0,0,89.00555836930607,,1
22,1495,Kentucky,Lexington,3/31/2015,Arc,7/8/2017,229,0.45,828,44,568.11,217.5,24.136726329885594,5.232653061000001,27.393245673504264,0.2735281906664816,0,1,91.79974996978049,,1
23,822,Kentucky,Lexington,4/5/2016,Saranac AR,6/13/2018,228,0.42,1350,100,711.14,211.6,23.719758358213795,19.190619048022278,19.921618831806764,0.34508427455970553,0,0,92.99224296723074,,2
24,1173,Kentucky,Lexington,4/5/2016,Ameristand 403T Plus,7/8/2017,163,1.91,609,225,600.75,160.4,24.985550970195753,15.815507623895481,26.045906460036523,0.26596924914347325,1,0,92.51908826021663,,2
