,Annual Avg Yield,Annual Avg Min Temp,Annual Avg Max Temp,Total Accumulated Rain,Total Accumulated Radiation,Class
0,1.240506046,2.413606305,15.27465745,4277.44,741390.0,1
1,1.529514676,1.485303794,16.09940875,2497.69,502360.0,1
2,1.237744559,1.530644537,15.82044549,2631.7,561565.0,1
3,1.215726668,3.343752643,15.14634402,1991.11,559540.0,0
4,2.307093733,3.203761462,16.27990044,5443.3,1083447.0,2
5,0.902605748,1.487062177,15.84297149,2897.56,480709.0,1
6,1.479675848,2.886099196,15.91606317,2154.29,509192.0,0
7,1.444161311,1.691396393,13.26885706,4279.29,774272.0,1
8,1.23693157,3.278876664,16.08637521,4355.73,736365.0,2
9,1.167057652,3.269091478,13.81355827,2212.45,450221.0,0
10,1.394164987,3.411813157,15.81801714,2406.36,469854.0,0
11,2.568810473,3.103630936,13.68089065,10590.91,1044208.0,2
12,1.223132382,3.103179567,15.99410907,2723.15,549814.0,1
13,1.245315978,3.601956754,15.33429323,8920.36,1486746.0,0
14,1.749804834,0.249995175,12.149687,8503.91,1097669.0,0
15,1.335903012,2.855096256,15.89100635,2787.27,527918.0,0
16,1.479957972,3.405809148,16.41053233,7046.45,1076441.0,1
17,1.40689759,3.082043881,15.969375,2726.46,516471.0,1
18,1.167872775,2.515562848,14.01352099,2769.23,414531.0,1
19,1.503237017,3.480929304,15.75501789,5237.17,1085271.0,1
20,1.576723979,1.479285969,15.57430222,4144.32,569976.0,1
21,2.535253874,1.468381967,13.03007043,2953.98,1088844.0,1
22,1.221857895,1.54888553,15.6012215,5700.12,529808.0,1
23,1.275088484,1.489156965,12.86794309,5924.08,1112922.0,0
24,1.331259994,2.788671027,13.64180127,9289.86,1468198.0,0
25,1.922047637,1.512507271,16.36746673,4878.26,1093395.0,2
26,2.393279404,3.078286645,15.74384599,3051.55,531414.0,2
27,2.064551599,1.320880236,12.91674135,6074.26,1037271.0,1
28,2.070473577,2.802656091,13.2404561,9409.27,1419330.0,1
29,2.013140898,2.754737201,15.14614536,2882.01,451799.0,1
30,1.968633699,3.548112271,15.87107798,11000.66,1502009.0,1
31,1.904476172,1.56435656,15.48613976,2615.76,464139.0,2
32,1.771961422,1.742089296,16.35550349,7147.82,1089217.0,1
33,1.029197767,3.955985386,15.77115268,6711.04,1032440.0,0
34,1.362910213,1.423544361,12.20910064,6666.47,1043890.0,1
35,1.463455647,3.292451243,15.86646957,1942.04,463082.0,1
36,1.255813212,1.782803546,15.57746985,2987.96,424531.0,1
37,1.311247322,1.469368787,13.4948835,4569.69,773835.0,1
38,1.056433848,3.149255321,16.22908334,1942.04,504384.0,0
39,1.186226692,1.614941886,13.91363188,7249.63,1035123.0,1
40,1.315634777,1.441432075,15.49839716,2583.29,462060.0,1
41,0.436666667,3.420640208,15.80616235,5604.83,1113415.0,0
42,1.421672211,3.399523276,15.7796613,4262.65,569171.0,1
43,1.32513277,3.666165679,16.6743383,2635.07,504836.0,0
44,1.34553438,3.022282878,16.07938211,2446.79,427705.0,1
45,1.500227325,1.470523184,15.67973734,7071.33,990282.0,1
46,1.206001922,1.745610526,13.60585852,5797.8,1083492.0,0
47,1.354385377,1.722947507,15.23141732,2374.47,485085.0,1
48,1.542906367,2.980237117,12.66097837,4277.06,782873.0,1
49,2.651531849,3.28245077,15.57102602,3042.77,523745.0,2
50,2.108106078,2.241397795,15.51105709,5279.99,1016753.0,2
51,1.470347093,2.87225483,16.44886849,5236.88,789063.0,1
52,2.508882467,3.672911525,15.45943554,5427.56,1099561.0,1
53,1.2128472,3.395052729,16.30368045,2480.43,531664.0,1
54,1.139481735,3.626187906,16.25670328,2606.71,513663.0,0
55,1.460751616,0.249995175,11.94841688,3047.09,454391.0,0
56,1.255639685,3.397637668,16.09580908,2430.28,555086.0,0
57,1.311812643,3.367178231,15.67710128,8883.29,1113821.0,0
58,1.408792216,2.902259422,13.1515667,9620.01,1065366.0,0
59,2.230450269,3.373980716,16.21414825,2557.2,462198.0,2
60,1.098599573,2.68838272,15.55070055,2163.93,416666.0,0
61,1.266171908,1.355697892,13.43508795,5630.44,1133594.0,0
62,1.853268337,3.189474916,15.5834131,5464.31,789956.0,1
63,2.782926882,1.421736503,15.40844708,3889.02,525245.0,2
64,1.121122205,2.725399532,13.00962319,5531.23,1055564.0,1
65,1.315734784,3.285392582,15.82740362,5692.74,1081348.0,1
66,1.238049718,2.976770203,15.71590665,2668.58,407733.0,1
67,1.659109565,1.545731356,15.01736974,2569.29,503417.0,1
68,1.446038233,1.848397323,15.64928315,5279.91,1099267.0,1
69,1.688090003,3.378307296,15.57828857,9030.2,478275.0,2
70,2.219070992,3.418296203,15.85596663,2749.34,521344.0,2
71,1.633776613,1.453730372,15.63860313,2649.34,468890.0,1
72,1.950950968,0.663179955,12.32874818,10668.12,1045456.0,0
73,1.351919754,3.157549092,16.12948636,2236.14,503485.0,1
74,1.378703152,1.352673195,13.66223494,5622.75,1038717.0,1
75,1.718307548,2.729696949,15.43847889,8853.7,1390315.0,2
76,2.627038284,1.707554072,15.5129054,5191.4,1061611.0,2
77,1.410691261,3.671872289,16.07068303,9490.19,446854.0,2
78,2.07840842,3.724092941,15.63085269,2653.55,565303.0,2
79,1.130731237,1.548193501,13.6278717,4007.6,754073.0,1
80,1.500270631,2.786104061,16.12971082,2577.32,432022.0,1
81,1.480983528,3.486414434,15.91916592,2260.59,473376.0,1
82,1.629244205,2.772154586,15.57465118,4676.6,775366.0,1
83,1.746146181,2.575272875,14.00934003,8295.57,1031667.0,0
84,1.482905064,1.528439136,15.8059351,4982.24,1094532.0,1
85,1.68447629,3.138496457,16.10156188,4991.7,1484836.0,1
86,1.170555033,3.63448878,15.77786478,4083.27,471201.0,0
87,1.488863376,3.022362161,15.8620094,4886.35,1072487.0,1
88,1.301639092,3.662826787,16.07639619,9596.19,1442554.0,2
89,1.501089103,2.509630843,15.55840183,8736.29,1070587.0,1
90,2.206794719,3.081107932,15.90828382,5342.95,1078887.0,2
91,1.269119533,2.745906937,12.70970024,4480.17,745313.0,1
92,2.694177303,3.097067042,13.25814328,5007.7,1060254.0,1
93,1.256401276,2.955846025,16.06009138,2938.06,544888.0,0
94,1.187800144,3.502865889,16.28444752,6908.87,1013323.0,1
95,1.007707727,3.351951416,15.74144402,2603.96,565348.0,1
96,2.789067526,2.294557182,13.74007221,5018.64,1056803.0,2
97,1.359803416,2.789832765,16.11346191,4337.85,560981.0,1
98,1.519271872,1.285784108,15.34421579,2986.26,426721.0,1
99,1.241267919,1.337298944,15.66676025,2467.08,737397.0,1
100,2.267026897,2.319291149,16.00473309,5045.89,1089858.0,2
101,1.314598535,2.651323112,15.70509501,2402.18,451704.0,1
102,1.259275043,1.45227425,16.17165887,6903.58,1032276.0,1
103,1.240824654,3.127988448,16.22724999,2335.02,446529.0,1
104,1.504278316,3.13388985,15.65867912,3000.81,431846.0,1
105,1.805112593,2.974316622,15.92358242,9837.99,1515469.0,0
106,1.512557125,1.443403642,15.70802158,5335.21,495699.0,1
107,2.140955552,3.337387977,13.58575837,2464.03,1055411.0,2
108,1.671705088,3.265692086,15.89486353,9132.76,439098.0,2
109,2.956063262,3.425028562,15.79273811,2459.49,480646.0,2
110,1.221281238,3.633707072,16.40186566,6087.29,1065370.0,1
111,1.282626007,1.441578867,13.28180591,6072.54,1074866.0,0
112,1.223796298,3.261803308,16.0737468,4331.69,765440.0,1
113,1.657754315,3.598604996,16.141333,2833.04,530631.0,1
114,1.364465931,3.410636485,15.89136629,5504.45,532184.0,1
115,1.649890833,2.556848207,14.10093426,2887.16,527452.0,2
116,1.077294705,1.428459274,15.35657996,2848.0,512292.0,0
117,2.105817146,2.916727457,15.7141407,9855.71,1088936.0,2
118,1.31272969,1.460950125,12.23605918,2755.86,442450.0,0
119,1.289963573,0.249995175,12.36501033,2932.48,500891.0,0
120,1.28875713,2.863109471,16.26028065,2735.4,527518.0,1
121,1.142847831,3.078258245,13.73329364,5589.42,1071500.0,1
122,1.323214719,1.481910573,15.55544823,2661.98,422388.0,1
123,1.397693777,2.823043812,16.04496538,3931.44,751008.0,1
124,2.520002882,2.960088682,13.83526422,4601.83,750088.0,1
125,1.863110831,2.834413613,12.46942811,10894.18,1509882.0,2
126,1.481502752,1.41237558,15.9189951,5613.56,763145.0,1
127,1.451144199,1.388785973,12.75632253,4546.35,773294.0,1
128,2.262271024,3.157934379,15.86160702,2896.79,504090.0,2
129,2.634326764,2.547004749,14.66215029,10697.26,1427325.0,2
130,1.424172525,3.077555797,16.30494493,2464.27,468043.0,1
131,1.244560406,1.450031736,12.91958891,4036.98,784182.0,1
132,1.357220986,3.151897333,14.50985197,2404.85,488111.0,1
133,2.367154859,3.478172671,16.15681649,2689.16,463567.0,2
134,1.16944938,1.530912066,16.2794769,3833.25,781033.0,1
