,Annual Avg Yield,Annual Avg Min Temp,Annual Avg Max Temp,Total Accumulated Rain,Total Accumulated Radiation,Class
0,1.269614774,2.973219899,13.22374271,4244.89,744135.0,1
1,1.118633247,3.149474679,16.78346513,9407.11,450578.0,1
2,1.324359023,1.422705852,13.90987265,4928.13,745046.0,1
3,2.462791836,2.955025525,15.65664249,5767.38,593581.0,2
4,1.251546368,2.981921587,16.09241622,4313.9,497647.0,1
5,2.342758614,2.59672727,15.32999993,10559.85,1515469.0,2
6,1.914163647,2.502321719,14.2839928,2690.51,439505.0,1
7,1.688815652,3.583248014,15.34608976,5631.39,1094574.0,1
8,1.428524353,3.52880762,15.55769566,4178.03,568626.0,1
9,2.500437189,2.678810783,15.72011228,10165.4,1465884.0,2
10,2.629904554,3.749259432,13.22898595,9222.53,1441395.0,2
11,1.849188621,1.529833563,13.0234402,5376.42,758474.0,1
12,1.32167888,2.682600315,16.84147144,2257.16,540154.0,1
13,1.342702557,1.720045957,15.71772318,3186.65,502647.0,1
14,1.281285595,3.75144667,16.32085651,7928.72,1083806.0,1
15,1.35228325,3.326011661,16.00191041,2671.66,534540.0,1
16,1.302033143,1.689308118,13.94887681,5924.1,1066906.0,1
17,1.185928113,1.287851916,16.10229015,5339.05,461910.0,0
18,1.477601898,3.328695045,16.36266274,2972.9,441321.0,1
19,1.345459552,1.587649099,12.74540843,2000.22,490703.0,0
20,1.314148432,1.508856533,15.18236189,2721.57,464787.0,1
21,1.220825537,1.225154813,13.31310246,4770.79,1067012.0,1
22,1.248741617,3.59554678,16.08637358,4639.67,471428.0,1
23,1.514393321,1.573038954,15.15789128,4399.18,773872.0,1
24,1.186384519,1.237991759,12.16853362,2575.66,506976.0,0
25,1.210561547,1.381226342,13.34906355,5499.76,1054927.0,0
26,1.656359381,1.705319584,15.64690251,4629.6,538072.0,1
27,1.85837325,3.386186818,16.36253671,2519.39,483335.0,2
28,1.413848512,1.327658473,12.74180301,5404.86,1076487.0,1
29,1.456527577,2.725743501,13.87839132,3249.41,393495.0,1
30,1.040780719,1.154403936,12.91709915,4249.9,730372.0,1
31,1.178526347,3.624884273,16.18601242,9338.6,542389.0,0
32,2.581977491,3.717740833,15.31628627,6133.48,583030.0,2
33,1.566967817,1.475376511,13.10376486,2742.43,432751.0,1
34,1.552903645,3.650688115,16.2741054,6081.34,1126050.0,1
35,1.315020675,0.804251722,12.63923334,4281.19,718500.0,0
36,1.354360377,1.391979538,15.87743409,4096.47,754806.0,1
37,1.322137699,3.211999995,16.70708003,2245.91,412975.0,1
38,1.305969079,3.378184524,16.79468134,2687.36,420280.0,1
39,1.523233616,3.59931122,16.24273356,4244.15,586989.0,1
40,1.107931652,3.412122646,15.74380479,2449.01,515768.0,0
41,1.15934713,0.271977661,12.99572552,5731.4,753538.0,0
42,1.375975679,1.589361794,14.22540222,4117.81,513027.0,1
43,1.597149123,3.355612904,15.34942739,2362.52,469635.0,1
44,1.261108657,1.338217677,13.52264912,3759.76,758113.0,1
45,1.411592836,1.325072969,13.9855427,4322.61,748612.0,1
46,1.581427069,1.148801574,14.77110462,5234.24,1091602.0,1
47,2.859350797,2.3831773,15.49385544,5201.68,1050740.0,2
48,1.948503805,2.68827196,16.32799475,9810.69,1456554.0,2
49,1.921237738,2.920005068,15.17512182,2633.02,582533.0,2
50,1.334525038,1.301924578,12.05459712,5686.26,1113448.0,1
51,1.147741192,1.103810897,12.94908158,2699.52,747278.0,1
52,1.34122044,3.641493039,16.20094907,9672.49,1079234.0,1
53,1.343745984,1.278471406,14.12181651,4683.15,776074.0,1
54,1.342450854,2.751536486,13.08956965,2979.5,463555.0,1
55,1.564884299,3.234879758,16.20462083,3239.25,500850.0,1
56,1.130392162,3.974135357,15.86561766,3073.04,534822.0,0
57,1.378923652,3.411073728,15.86197903,8517.17,1053741.0,0
58,1.521245639,3.011575829,16.59604862,2308.29,446055.0,1
59,1.417134251,4.032111034,16.36128942,7063.1,1037056.0,1
60,1.597423884,2.800336077,15.21371484,10073.39,1515469.0,2
61,1.362583142,1.51852618,12.48984716,5666.48,779773.0,0
62,1.179530461,1.526162271,15.95331708,2839.92,569675.0,0
63,1.987944667,1.702302767,15.36604728,2820.96,497288.0,2
64,1.812945377,3.113404241,15.42570741,2871.2,490290.0,2
65,2.065973116,3.358835055,16.53486808,2908.24,518427.0,0
66,1.119481981,1.37656439,16.0473531,2920.74,528040.0,0
67,1.358025357,2.979896994,15.843025,2379.63,449527.0,1
68,1.23041183,1.441540611,15.0145468,4887.24,768195.0,1
69,1.493118219,3.572900074,16.25942492,8130.21,1430084.0,1
70,1.468403553,1.43073696,14.8941222,3901.29,460660.0,1
71,1.137921699,3.422056165,16.29928705,2590.49,466216.0,1
72,1.129721388,1.43737837,15.21031181,4128.54,473769.0,1
73,1.110101052,3.2694554,16.21157751,2631.72,552203.0,0
74,1.802788929,4.032111034,16.51341164,2152.88,512002.0,0
75,1.066211106,1.298135239,13.05767816,5297.88,1071467.0,0
76,2.461912919,2.503459744,15.43663107,3139.46,455336.0,2
77,2.232400929,3.098462809,15.38503129,2900.63,458971.0,2
78,1.167767709,2.721320805,13.72612383,7909.7,748595.0,1
79,1.294015097,1.698415401,11.65794382,4210.37,722867.0,1
80,1.432727455,3.626594501,16.04112459,2303.71,439815.0,1
81,2.126235544,3.072366433,15.78872157,5619.05,630523.0,2
82,1.303840274,1.264064645,12.24785881,4073.68,708802.0,1
83,1.460895651,1.647408365,16.03836655,6913.5,1036717.0,1
84,2.309526506,3.140151309,13.87914215,3096.93,463815.0,2
85,1.44681839,1.48837099,12.42810126,4750.6,773934.0,1
86,1.544254707,3.122911972,16.15995792,4349.35,787702.0,1
87,1.307544945,3.775956123,16.33652523,7144.02,1054137.0,0
88,0.940379982,0.731926026,13.28433386,4393.0,769002.0,0
89,1.394820138,3.260918029,16.16691706,2945.18,519051.0,1
90,1.098557201,1.44292079,15.95466582,5231.22,757509.0,0
91,1.27011443,2.820751546,16.07793667,1942.04,1050057.0,1
92,1.47273922,1.611377335,13.20449701,4667.95,811265.0,1
93,1.54363076,3.494055727,16.02846992,5577.38,1065537.0,1
94,1.39688677,2.78408196,16.2036716,2601.28,413249.0,1
95,1.249319196,2.703994899,16.19760064,2716.09,469117.0,1
96,1.327678155,1.446555714,14.27937013,6467.44,1130281.0,1
97,1.265047299,1.255690608,12.51891179,4353.09,753998.0,0
98,1.23125259,3.384872975,16.45841583,9662.42,1492344.0,1
99,1.679237812,3.232106709,16.26209602,3056.33,476269.0,1
100,1.082372386,3.30282552,15.93488432,5758.04,1056243.0,0
101,2.615845751,3.725491316,16.37666721,4347.43,491748.0,1
102,1.217721414,4.032111034,15.84808922,4133.06,556421.0,1
103,1.10796739,1.469853743,12.3145639,4131.93,784936.0,0
