,Annual Avg Yield,Annual Avg Min Temp,Annual Avg Max Temp,Total Accumulated Rain,Total Accumulated Radiation,Class
0,1.560570776,1.120671783,12.28156031,4286.31,489409.0,0
1,1.639916805,1.199929711,15.43303991,5698.39,1494119.0,1
2,1.603043179,1.160802111,15.65789317,8258.1,546592.0,2
3,1.693481105,1.665765912,16.42100144,5428.77,640390.0,1
4,1.574792589,0.970336482,15.56272434,11113.79,734490.0,1
5,1.716649464,2.12016551,16.85328339,2951.49,1077726.0,0
6,1.793740451,1.512448826,14.2303036,4266.75,493796.0,0
7,2.526321057,3.614203311,16.85328339,5136.77,831066.0,0
8,1.600483461,1.959034514,15.782499,1942.04,653462.0,1
9,1.415387365,0.944335866,16.85328339,11080.16,802906.0,0
10,1.911310469,1.242037804,15.57194734,6110.19,391732.0,1
11,1.373367924,2.244218142,16.4799055,5493.05,542065.0,1
12,3.158386692,1.011288225,13.56173832,6326.32,665409.0,1
13,0.927257077,1.152184788,16.81860568,6923.06,666084.0,1
14,1.656393823,2.233317777,15.9214569,7035.36,559735.0,0
15,1.798069681,3.34590979,14.93327868,2788.56,784011.0,1
16,1.718277897,3.678026057,16.3213919,3186.58,1183527.0,2
17,1.552920172,2.486507861,14.29747808,5114.14,492156.0,0
18,1.303884562,2.665416803,13.26918818,10806.83,1508547.0,2
19,1.864801267,2.066060643,15.61698533,3395.78,391732.0,1
20,1.845436126,1.321071783,16.66031818,4906.11,1147708.0,1
21,1.78410745,2.20427617,15.92702533,5221.99,602176.0,0
22,1.755013371,4.032111034,16.5008831,2124.79,448962.0,0
23,3.163333333,1.887213003,12.64257073,6655.19,1329971.0,1
24,1.792685602,2.273318999,16.0586629,2605.31,604562.0,1
25,1.470437765,2.417731665,16.2533729,10863.06,790725.0,0
26,1.63270932,1.640559823,16.27208853,11113.79,524646.0,2
27,1.920466752,2.778529419,15.69325312,5661.79,678233.0,2
28,1.506607436,1.152542105,16.43287103,5795.5,1515469.0,0
29,1.415863505,1.237250826,13.56493654,4589.21,1515469.0,1
30,1.389141078,1.655274876,16.41710027,5045.02,516409.0,1
31,1.960571757,3.44724129,16.46497277,6494.74,523991.0,0
32,1.41738754,1.396506552,15.36059675,2815.32,686484.0,1
33,1.536736467,2.037883977,16.85328339,10026.16,575665.0,1
34,1.592971361,3.914127409,16.32886485,9977.69,460253.0,1
35,1.977968457,0.597447743,15.40836869,9035.0,1058318.0,0
36,2.361243752,1.852618704,16.04948438,7823.1,391732.0,1
37,1.371787191,3.656487388,16.14388387,5886.27,1515469.0,1
38,1.772007815,1.135695623,13.62606034,5538.46,1176009.0,0
39,1.943637942,1.764211821,16.42679048,5102.33,592805.0,1
40,1.495578671,2.123681381,16.04357792,5753.3,865941.0,1
41,0.812559661,0.878602362,16.15199511,7633.12,399321.0,1
42,2.337366445,2.140600528,15.44497123,2427.47,594382.0,1
43,2.283126998,1.923975115,14.75671257,6637.45,416806.0,0
44,1.456042646,1.061580948,15.98003126,2166.14,528839.0,0
45,2.029064105,0.913843838,12.89325856,6976.08,1093567.0,2
46,1.665209182,2.02691506,13.48374164,2863.38,817009.0,0
47,1.274582591,0.350295779,16.85328339,9881.82,551963.0,0
48,1.385658388,1.104403454,15.40598365,3817.15,670503.0,0
49,1.413608968,1.294296922,15.75110337,5542.76,485166.0,0
50,1.999110677,1.384197369,16.25200915,8348.88,454081.0,1
51,1.65614317,0.884664829,16.20158733,5807.93,391732.0,1
52,1.755228534,1.652251759,15.69074314,6544.42,622350.0,1
53,1.717130149,3.784971536,14.98900992,2845.49,845933.0,1
54,2.764314316,1.124018805,15.73501334,8764.16,829107.0,0
55,2.83082271,2.848288476,16.51256671,1942.04,575727.0,1
56,1.562866782,0.249995175,15.51113911,5256.9,436863.0,1
57,2.015176171,2.115028984,15.87808472,9178.71,493767.0,1
58,2.290436404,2.107717236,16.11183909,5175.97,1515469.0,1
59,1.535082357,1.505265399,15.82148187,5028.49,549281.0,1
60,1.669352071,1.711824934,15.55675479,3897.56,547567.0,1
61,3.163333333,1.867481319,13.16724598,4547.2,675732.0,0
62,1.30939306,0.88237465,16.03401787,2756.85,1445718.0,0
63,1.557294684,4.032111034,15.81807079,5773.41,610916.0,1
64,1.904544178,3.405333202,14.66205573,4226.47,509716.0,2
65,1.586803825,0.718816242,15.67975244,5930.11,443321.0,1
66,1.849035175,1.679940405,15.79236744,5057.22,521586.0,1
67,1.844771186,3.291582478,15.57212696,7889.08,813598.0,1
68,1.540388489,1.872489935,15.5938178,3474.82,1111466.0,1
69,1.733558317,1.008734574,15.9638244,5135.55,563630.0,1
70,1.057586835,1.176539904,12.92032255,6618.2,391732.0,1
71,0.993263572,1.87199821,16.85328339,5679.42,584149.0,1
72,1.64633061,3.365777528,16.60303731,4069.47,622359.0,1
73,1.602230441,0.992102718,16.46338441,4507.57,1515469.0,0
74,1.890284191,0.644281842,15.72555695,3338.18,840080.0,0
75,1.676300051,3.00491214,15.47102395,5758.4,391732.0,2
76,1.849783794,1.66764413,15.91086288,6341.01,546562.0,1
77,1.986295837,1.295216245,15.87329572,4703.81,1515469.0,2
78,1.137214345,3.683488889,14.9576261,2774.11,579644.0,1
79,1.652833078,2.762006826,15.68362144,4548.21,578519.0,1
80,1.763934787,1.371945169,16.24855547,4731.83,605057.0,0
81,1.504545711,2.810876523,15.27075438,2323.7,533564.0,0
82,3.163333333,1.899365936,14.2908324,3702.1,1482073.0,1
83,1.765915734,4.032111034,15.79472858,4527.23,779768.0,1
84,1.651755328,1.362374642,15.8213312,8561.28,582973.0,0
85,1.324688404,1.140559521,14.4909883,10929.36,395044.0,1
86,1.106921972,3.791885274,16.20332364,4598.34,693247.0,0
87,1.730770004,0.922623568,16.25659198,3555.9,1515469.0,1
88,1.628633304,3.314430304,16.85328339,3852.07,1112739.0,0
89,1.640607157,1.455762278,13.61889075,6729.39,1368852.0,0
90,1.40663223,2.31441323,15.44244033,6028.2,762439.0,1
91,1.220876138,3.146921082,16.51637059,3397.87,756780.0,1
92,1.935569339,1.611651038,16.50701128,8465.53,792589.0,0
93,1.736895023,2.083504653,16.44396744,9056.9,627449.0,1
94,3.163333333,4.032111034,12.91588009,4110.55,748610.0,1
95,1.544853597,1.857194942,14.73099723,6659.08,503226.0,0
96,1.578730134,1.422849577,16.85328339,4365.14,567789.0,1
97,1.504067955,1.827011017,15.21450244,3457.99,534381.0,0
98,0.91001219,1.90985633,16.81020166,2971.8,592232.0,0
