,Annual Avg Yield,Annual Avg Min Temp,Annual Avg Max Temp,Total Accumulated Rain,Total Accumulated Radiation,Class
0,1.736493974,2.739819206,16.2273055,5497.15,446563.0,2
1,1.147470322,2.447906876,15.2111364,2075.29,997077.0,1
2,1.717913897,3.643182852,16.85328339,6555.98,1074437.0,1
3,1.347468188,3.457375132,15.61993794,7085.41,664848.0,1
4,1.656242565,1.725415967,11.67527966,3197.81,1317948.0,1
5,1.663953921,3.566400428,15.52558272,5571.25,391732.0,1
6,1.535787948,2.345017643,16.85328339,8610.04,432409.0,2
7,1.404855419,1.251751384,16.02006892,7419.9,1007525.0,1
8,0.71615133,0.974347394,14.07084976,6552.81,1204989.0,1
9,0.643507865,1.343616815,14.66600397,5562.32,755747.0,1
10,0.908814415,3.787563101,15.8327977,7521.76,473213.0,1
11,1.91179995,2.549595215,16.85328339,6341.45,677108.0,1
12,1.42555296,1.813170853,14.79040434,7658.88,678759.0,1
13,1.533237927,2.887238083,16.34471242,8403.14,391732.0,1
14,1.752441854,1.504475175,12.3788229,3717.35,718222.0,1
15,1.739898683,2.638664649,15.61698525,4240.17,737961.0,1
16,1.663363555,1.763017776,15.25525322,5164.73,771997.0,1
17,1.232126703,2.246380188,14.06027889,5163.34,678305.0,1
18,1.613701514,0.249995175,16.85328339,5516.43,766316.0,1
19,1.832307846,2.76563074,16.50676621,5389.03,1098971.0,1
20,2.074376804,2.014417246,15.90674964,5317.99,423385.0,1
21,1.786189611,3.011600509,14.67390407,10474.91,752471.0,0
22,1.062760206,1.830354801,15.36577955,3293.08,468375.0,1
23,1.71269078,0.249995175,16.85328339,6320.23,391732.0,1
24,0.833206675,2.636458112,14.76947435,4520.93,1083469.0,1
25,1.645115211,2.15247738,16.35722852,2342.84,671518.0,1
26,1.475679864,1.730854362,15.87430238,3699.44,413292.0,1
27,1.587668807,2.932082971,15.75490049,2591.1,955455.0,1
28,1.815611688,1.891429395,16.85328339,7454.74,788344.0,1
29,1.173654673,2.877128741,16.39759856,2444.11,391732.0,2
30,2.210712583,1.922402498,16.26452514,5675.0,757402.0,1
31,1.764329469,1.592732247,15.83527425,4992.88,735936.0,1
32,1.574122285,0.959573458,16.82957969,5806.57,418124.0,1
33,1.64547053,1.129754465,16.85328339,10066.65,1406865.0,1
34,0.854879761,0.249995175,15.34995973,2595.27,485658.0,0
35,3.163333333,2.106400629,16.39571098,3687.58,722732.0,2
36,1.521209776,0.895926606,16.85328339,4714.08,699982.0,1
37,1.713836354,3.34131615,15.45368296,6749.12,696194.0,1
38,2.851527874,0.249995175,15.14523994,4596.63,575856.0,1
39,1.796055599,2.984777735,15.20699398,4462.23,750821.0,1
40,1.068605552,0.249995175,16.85328339,8548.26,708745.0,1
41,1.238177035,0.940471383,15.34867865,3228.02,736317.0,1
42,1.274989255,2.820870194,15.06491348,5761.0,963776.0,1
43,1.524528212,1.606031251,15.15222114,4811.39,753076.0,1
44,1.284798315,1.910987177,15.88469457,5726.67,806979.0,1
45,1.840086203,1.24328632,14.86588874,3206.1,391732.0,1
46,1.793039299,1.604445436,13.67254307,4808.61,391732.0,0
47,2.579333039,2.118301098,16.85328339,6680.78,1056316.0,1
48,3.120836131,2.732137869,16.85328339,5391.71,460004.0,2
49,2.821392161,2.973458735,16.71188221,8346.92,485995.0,2
50,2.848517596,2.752552514,16.52109315,10780.14,620550.0,1
51,1.175634002,1.035373923,15.13804399,6123.13,1015740.0,1
52,1.597262235,1.108777169,16.17265252,2665.04,1430228.0,1
53,2.044914654,1.037369858,15.3798265,3679.41,671059.0,1
54,1.534735755,1.002170408,12.5324382,4850.79,410634.0,1
55,1.082123686,0.938160909,15.8048658,4219.49,1145981.0,1
56,1.703783791,2.203461864,16.85328339,4320.11,735919.0,1
57,2.8553481,3.815975717,16.85328339,3152.29,976675.0,1
58,0.794645901,0.950227643,13.92053901,5516.91,401770.0,2
59,1.567249696,3.561262813,15.61661214,11113.79,1423634.0,1
60,1.026856372,2.400357641,15.24974002,6606.67,695357.0,1
61,1.1963242,1.131326455,16.69844336,4139.26,1505624.0,1
62,1.754155292,3.676072891,16.19767114,4161.68,1022519.0,1
63,2.536642142,4.030345356,16.40541002,4143.96,712522.0,1
64,2.742770951,2.688175329,15.98371486,4311.45,723882.0,1
65,1.525607261,2.618155102,16.85321547,10102.85,1487470.0,1
66,0.603222213,1.828441119,14.71144726,2498.67,744539.0,0
67,1.733030454,2.528284966,16.85328339,5019.47,1143570.0,1
68,2.344520117,3.362832283,16.53239994,4347.45,740027.0,1
69,0.92009873,2.190502297,12.51120093,4340.34,1159619.0,1
70,1.094746254,2.538858884,16.11225792,7429.67,391732.0,1
71,1.762682764,1.1997155,16.52060788,4461.04,678348.0,1
72,1.714331833,1.483943989,13.97943239,8006.05,391732.0,1
73,0.937101439,2.309127389,16.52347896,6130.57,786126.0,1
74,1.560233835,2.182134073,15.10065366,3426.18,987625.0,1
75,3.163333333,2.74620814,16.55009655,6163.19,391732.0,1
76,1.051216182,0.931353319,12.05385895,5445.94,391732.0,1
77,1.080701283,1.291365585,11.68090525,3365.97,964801.0,1
78,1.389227554,2.482756304,14.366963,4561.21,544850.0,1
79,1.449092001,2.333166509,14.98560372,5447.14,671536.0,1
80,1.250227026,2.372147364,15.09615428,4887.38,955602.0,1
81,1.100232947,2.393175486,16.40053283,8160.11,1515469.0,1
82,1.452608552,2.425528506,14.63221449,11113.79,730483.0,1
83,1.149881507,0.658579139,14.84126829,10580.84,921762.0,1
84,0.805007806,0.249995175,15.22165954,6551.73,668482.0,1
85,1.445510899,1.487593445,15.72281034,3021.14,745269.0,2
86,0.963931442,2.237887596,15.58279315,5684.28,664116.0,1
87,0.885292583,2.934348927,12.30555403,7343.04,735113.0,1
88,2.110574879,1.726793944,16.47961837,3719.44,1105167.0,1
89,1.090901347,1.260500781,15.77227239,5215.64,1174114.0,1
90,1.141453845,2.074934573,15.36653628,5347.13,1125907.0,1
91,1.399645996,2.156534476,15.04870485,5529.96,947312.0,1
92,2.667393343,1.46395176,15.3633372,3597.8,488125.0,1
93,1.557791014,3.370191344,16.85328339,6147.59,1359651.0,0
94,1.137727835,1.891326666,16.12398821,6140.46,590970.0,1
95,0.898552231,2.029505384,16.85328339,7775.14,853232.0,1
96,1.153949953,0.937300937,16.5317482,7632.82,781731.0,1
97,1.358041842,1.779100579,15.7783387,7158.14,517122.0,1
98,1.596530106,2.021405992,16.85328339,5095.77,1155598.0,1
99,1.354828793,0.249995175,15.97720109,3115.95,1110831.0,0
100,1.528941866,1.400169055,15.03502887,4993.33,1101077.0,1
101,1.91856261,3.641485963,16.13390672,5113.31,391732.0,1
102,1.493885933,0.886819739,16.0407818,4983.86,750244.0,1
103,1.940491957,3.069322679,16.85328339,4771.82,1023252.0,1
104,1.392418126,2.041944312,16.42080003,4603.51,1005509.0,1
105,0.966643104,1.946087458,14.55430525,3648.87,719202.0,1
106,1.547183032,1.171703107,15.79482664,4564.99,516114.0,1
107,1.603130162,2.587075739,16.85328339,4680.08,850223.0,1
108,1.462165728,2.516819594,15.6990138,3269.05,684151.0,1
109,1.340497547,3.320484915,16.20991952,2952.52,1108997.0,1
110,1.673978474,1.977330311,16.30302238,5136.46,979253.0,1
111,1.122969432,1.177555881,15.35800452,4998.87,644964.0,1
112,1.475825665,1.061907489,11.65794382,6115.38,428169.0,1
113,1.464027348,3.543654712,16.58207403,4940.87,528480.0,1
114,1.716035367,0.249995175,16.58414085,6415.21,750031.0,1
115,1.899617101,2.357399323,16.85328339,3570.87,402114.0,1
116,1.951293609,3.254100245,16.53112661,5512.91,1018136.0,1
117,0.744942133,2.377390065,16.62323634,5008.11,728759.0,1
118,3.163333333,2.056475462,16.85328339,3231.42,391732.0,1
119,1.332678285,2.352771457,16.85328339,6776.1,739224.0,1
120,1.411858593,1.954865638,16.85328339,3282.84,1515469.0,1
121,1.426186605,2.820947696,16.85328339,4957.93,492139.0,1
122,1.661673807,0.962270435,11.65794382,3500.5,391732.0,1
123,1.67926851,2.356043992,13.81753501,4357.44,830949.0,1
124,1.589121641,1.339617864,16.85328339,8131.96,1070515.0,1
125,1.939718296,2.003652543,15.5106456,2031.48,1427355.0,1
126,3.126931958,1.978867773,16.85328339,5732.84,1019469.0,1
127,1.258513127,0.817098382,15.27489723,3596.87,1151234.0,2
