,Annual Avg Yield,Annual Avg Min Temp,Annual Avg Max Temp,Total Accumulated Rain,Total Accumulated Radiation,Class,avg,std,num stds
0,1.542562834,3.348397884,15.96091357,9177.62,1087198.0,1,1.452725263,0.429985311,-1.10171171
1,1.568063505,3.248153115,16.48779311,4305.03,534636.0,1,1.452725263,0.429985311,0.335110397
2,1.260007586,1.298556608,16.03093108,4575.73,794232.0,1,1.452725263,0.429985311,-0.384971437
3,1.233915804,3.126402977,15.99017757,4383.21,1065223.0,1,1.452725263,0.429985311,-0.093250446
4,1.423603761,3.222781506,15.7516208,4510.26,482018.0,1,1.452725263,0.429985311,0.252042763
5,1.571110883,3.200352604,16.00814344,4515.57,595690.0,1,1.452725263,0.429985311,0.172044671
6,1.24427033,2.902261806,15.86323663,2064.15,408770.0,1,1.452725263,0.429985311,0.146781355
7,1.303551461,1.321910697,15.41655708,5873.12,1067095.0,1,1.452725263,0.429985311,0.137104298
8,1.535554254,3.358856185,15.86388242,2553.96,581277.0,1,1.452725263,0.429985311,-0.099807354
9,1.218714457,3.698247599,16.33083876,4148.78,528588.0,1,1.452725263,0.429985311,-0.565510372
10,1.650605069,3.51430342,16.38314982,2356.9,494112.0,1,1.452725263,0.429985311,0.328958578
11,1.621804693,3.575492599,16.06200366,4521.45,778475.0,1,1.452725263,0.429985311,0.42278234
12,1.435523899,1.427623178,12.81361388,5710.63,776806.0,1,1.452725263,0.429985311,-0.871770179
13,1.564315321,1.395180349,15.44549448,5292.2,1054498.0,1,1.452725263,0.429985311,-0.991551574
14,1.394758514,3.221055473,12.27505157,2722.68,1009621.0,1,1.452725263,0.429985311,-0.113718943
15,1.313744907,1.314782259,13.84829745,4101.22,790154.0,1,1.452725263,0.429985311,-0.475174862
16,1.224309773,1.061040598,13.01282784,6176.5,1041207.0,0,1.452725263,0.429985311,-0.40993811
17,0.969350326,3.294479547,16.20324532,8777.37,1076216.0,1,1.452725263,0.429985311,-0.957209631
18,2.263281857,2.556400182,15.64968327,8321.17,434381.0,2,1.452725263,0.429985311,1.237450273
19,1.290738921,1.31255087,15.14349148,4081.2,438931.0,1,1.452725263,0.429985311,-0.192654569
20,1.440693881,1.43085018,13.97644373,4593.83,790842.0,1,1.452725263,0.429985311,0.363023663
