,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Standard Deviation,Average Yield,Number of Deviations,Class
0,Kentucky,Arlington,40664,vernal,41890,229,7.27,642,351,3544.34,713.0,23.03961252,17.030582347810963,29.25310714,0.30581614158005477,2.08282129,5.981551724,1.1408116509192952,3
1,Kentucky,Marshfield,41730,Saranac AR,41890,246,7.41,1312,352,4823.96,328.5,12.68739216,17.118894526142782,29.25310714,0.2503804140125889,2.08282129,5.981551724,0.7294730427875694,2
2,Kentucky,Arlington,8/9/2012,MS Sunstra 145159,9/19/2016,233,10.63,726,362,4823.96,930.7,20.08288623,-0.53,23.14767522,0.7,2.08282129,5.981551724,0.6859518844351012,1
3,Kentucky,Lexington,42095,Ameristand 405T RR,41885,224,11.08,842,358,3567.85,971.9,23.51330882,18.186426392305062,11.12087443,0.3083225506823602,2.08282129,5.981551724,-1.1467894849369435,2
4,Kentucky,Lexington,41730,5312,42247,275,6.88,1351,369,4823.96,1043.2,16.8721479,18.87832738,29.25310714,0.6195656982934523,2.08282129,5.981551724,1.1486188613695563,1
5,Wisconsin,Arlington,41730,Radiance HD,42249,248,5.18,570,350,2727.82,763.2,18.10793946,18.87832738,16.24240322,0.08961858314411644,2.08282129,5.981551724,-0.2294970068163709,2
6,Kentucky,Lexington,40664,Contender,42247,257,11.08,257,376,3823.37,365.3,23.79017857,11.389551198811338,29.25310714,0.10791046154425711,2.08282129,5.981551724,1.1778071177801912,2
7,Wisconsin,Lexington,8/9/2012,GA-ALFG-1,42249,248,10.18,780,356,4589.29,976.9,17.2119221,0.981266651037501,20.14628959,0.3305104361856359,2.08282129,5.981551724,0.8920449656157791,2
8,Wisconsin,Arlington,41730,55V50,9/12/2018,244,6.54,799,388,3038.61,846.6,6.41902022,-0.53,27.3821129,0.29611362616633147,2.08282129,5.981551724,1.5425285400032598,2
9,Kentucky,Marshfield,4/5/2017,Withstand,42604,234,2.4,594,361,3167.6,871.2,15.79717587,4.316515667349333,15.29459937,0.7,2.08282129,5.981551724,-1.1308368118020018,1
10,Wisconsin,Arlington,4/5/2016,CW 085028,41885,249,8.9,362,4,4658.13,737.2,17.82787399,0.32845464741018593,25.42027981,0.07,2.08282129,5.981551724,0.741252585949976,2
11,Wisconsin,Arlington,41730,Nuton Alf,41885,242,3.98,371,359,4585.84,1043.2,5.69412066,-0.53,11.87425771,0.09153679855635116,2.08282129,5.981551724,1.1037416716380206,2
12,Kentucky,Lexington,40664,LEGENDAIRY XHD,9/18/2014,224,7.35,1169,354,4734.67,930.7,23.49326723,11.863738688617268,10.92,0.7,2.08282129,5.981551724,0.8589941441696471,2
13,Wisconsin,Arlington,41365,LEGENDAIRY XHD,42604,249,11.08,1185,353,4638.48,956.3,5.53,1.0441425033549745,24.53970051,0.3276623057142613,2.08282129,5.981551724,0.9440150221112702,2
14,Kentucky,Marshfield,41365, SW 4332 ,42604,280,6.59,877,347,3694.84,974.1,6.20793883,3.0415963840868736,23.26283121,0.33825703580685124,2.08282129,5.981551724,2.447856808,2
15,Wisconsin,Arlington,41730,FSG 408 DP,42251,252,4.46,238,54,3396.18,826.7,8.44065141,0.2364875306508467,23.07937704,0.09858395255628508,2.08282129,5.981551724,0.5863217583762977,3
16,Wisconsin,Arlington,41365,Withstand,9/18/2014,256,9.41,539,356,3688.62,1043.2,19.64839743,16.612309289809673,12.13229949,0.10153338559478373,2.08282129,5.981551724,1.0567054806307983,1
17,Wisconsin,Arlington,41730,HYBRIFORCE-3400**,9/15/2017,248,6.13,662,367,4823.96,993.4,15.94348342,-0.53,10.92,0.11291401673242085,2.08282129,5.981551724,0.7560275063665716,2
18,Kentucky,Arlington,41730,Contender,9/12/2018,261,9.88,947,387,3806.96,815.5,19.49926551,13.419978717464751,24.39126707,0.3297779609980711,2.08282129,5.981551724,2.447856808,2
19,Kentucky,Lexington,4/5/2016,AFXA 113010,9/19/2016,231,7.23,773,371,3484.51,780.3,23.79017857,18.87832738,14.04644593,0.10387332160167465,2.08282129,5.981551724,2.447856808,1
20,Wisconsin,Arlington,4/5/2017,AFX 095023,42604,245,1.53,978,365,3237.95,953.8,21.65062732,1.9760047536468957,27.72269546,0.10571259527598657,2.08282129,5.981551724,2.1793915425847916,2
21,Wisconsin,Arlington,42095,Raven,8/12/2013,232,8.43,665,357,4744.96,769.0,5.99757034,14.278412119244495,28.7744969,0.29054204674375317,2.08282129,5.981551724,0.765890774620758,2
22,Wisconsin,Arlington,41365,DSB-45,41885,231,6.84,583,361,3330.41,785.6,17.23503596,13.066902264467824,19.59995668,0.10669584786219971,2.08282129,5.981551724,1.1086362016631768,2
23,Kentucky,Marshfield,3/31/2015,Ameristand 403T,41886,224,9.63,663,363,4823.96,846.6,18.18196883,8.866400043866344,24.82063757,0.09113967384198622,2.08282129,5.981551724,0.8368983533793856,3
24,Wisconsin,Marshfield,3/31/2015,Mssunstra-D14,9/12/2018,255,6.56,975,374,4823.96,981.0,6.58119602,17.03890235991622,25.58299186,0.32423340367878095,2.08282129,5.981551724,1.1244913447701452,2
25,Kentucky,Marshfield,41730,SW 4332,9/15/2017,258,6.31,664,384,4823.96,454.1,6.26133655,1.249111166353797,11.2957391,0.28183051906239,2.08282129,5.981551724,0.52589233587814,3
26,Kentucky,Marshfield,41730,MS Sunstra 145159*,42251,233,8.46,847,380,4823.96,1043.2,18.93767923,0.5713272409708356,24.2307266,0.0833551625846503,2.08282129,5.981551724,0.8402951369468711,1
27,Wisconsin,Lexington,41365,AFX h134093,41919,242,7.94,505,1,3755.49,765.1,9.57135805,17.820131144346018,29.25310714,0.08157861501975065,2.08282129,5.981551724,0.28985124045949806,3
28,Wisconsin,Lancaster,40664,Caliber,9/18/2014,248,7.34,216,386,3506.95,441.5,23.79017857,12.839200112076416,13.70402176,0.11536288231541866,2.08282129,5.981551724,1.4439999817204208,2
29,Kentucky,Lexington,42095,55V50,9/15/2017,256,3.85,995,363,4823.96,730.3,5.53,12.737704379994664,16.80423732,0.31188182014163673,2.08282129,5.981551724,-0.7109084428434687,1
30,Wisconsin,Lexington,3/31/2015,MALLARD 5,42240,242,9.1,547,1,4823.96,452.7,6.71322462,11.158654940388782,26.54380081,0.10072400661282893,2.08282129,5.981551724,1.1964091004499395,2
31,Kentucky,Lexington,41730,Lancer,42613,255,6.17,704,359,4059.07,892.0,6.93787722,3.5309643514745277,21.26800269,0.10988349319062354,2.08282129,5.981551724,1.4437617526203823,2
32,Kentucky,Marshfield,41730,AFX103009*,41919,246,3.07,2215,365,4823.96,1043.2,15.64250823,-0.27361834804241614,12.93659437,0.1067351029192157,2.08282129,5.981551724,1.9211021125580408,2
33,Kentucky,Lexington,40664,L-455HD,9/12/2018,243,6.85,2136,341,4725.83,681.8,23.79017857,5.830963298975397,24.78055691,0.3486778198895163,2.08282129,5.981551724,0.6513778311096681,2
34,Kentucky,Lexington,41730,Mssunstra-D11,9/19/2016,254,4.48,509,370,4823.96,520.6,15.98346048,15.700997709462843,26.74854246,0.2796100207907956,2.08282129,5.981551724,-0.9258814559983417,1
35,Kentucky,Arlington,4/5/2017,AFX095005,42605,234,3.02,2225,376,3463.6,468.9,6.24187369,1.544127896666479,10.92,0.323315855009628,2.08282129,5.981551724,0.09858689013854517,2
36,Wisconsin,Arlington,4/5/2017,FSG 424,42251,237,6.26,574,361,4495.93,814.1,5.53,4.78963492159299,10.92,0.09816933437952238,2.08282129,5.981551724,0.7391681436113917,2
37,Kentucky,Marshfield,41730,Optimus,9/13/2018,244,6.35,555,379,2752.57,725.3,16.66610313,3.141316267056985,15.05874687,0.09420070370515533,2.08282129,5.981551724,1.1986144353846875,1
38,Wisconsin,Arlington,41730,55V50,41885,244,4.17,608,360,3910.1,563.1,7.42962852,3.063272671651113,27.3074925,0.32951267638117343,2.08282129,5.981551724,1.1315549619042198,2
39,Wisconsin,Lexington,41133, 55V50 ,42604,278,7.09,939,363,3632.98,843.9,15.84663245,2.5085969808248665,11.61402046,0.2912189699858163,2.08282129,5.981551724,0.0033174635522325076,2
40,Kentucky,Lexington,8/9/2012,Mariner IV,41885,243,9.31,796,372,3541.48,932.9,22.33789765,-0.53,21.60465913,0.32720880212209297,2.08282129,5.981551724,1.0849085047683655,1
41,Kentucky,Arlington,42095,L-455HD,9/13/2018,252,6.0,452,1,4823.96,857.6,18.63406434,3.2914232521620983,29.25310714,0.09855377362764778,2.08282129,5.981551724,0.16902121187030716,2
42,Wisconsin,Lexington,41730,AFX064022*,9/19/2016,238,7.49,606,379,3011.02,838.7,19.23264047,1.8268910749712632,15.86416067,0.32974857375769184,2.08282129,5.981551724,0.268122785161134,2
43,Wisconsin,Lexington,41730,FSG 415BR,9/16/2015,246,7.81,301,19,3348.13,992.0,23.14263979,5.903085615073666,13.5025549,0.10803954782243472,2.08282129,5.981551724,0.8742857375200116,2
44,Wisconsin,Arlington,3/31/2015, AFX 103009 ,42243,250,1.19,1025,382,4823.96,771.5,17.54933136,15.820004474906145,15.94153346,0.11762443916537141,2.08282129,5.981551724,2.1892033136979547,2
45,Kentucky,Lexington,41133,Mssunstra-C15,42251,274,3.12,502,1,4823.96,994.1,14.68460812,14.050247275011271,29.25310714,0.31687110051028794,2.08282129,5.981551724,1.1253855120080047,1
46,Wisconsin,Marshfield,41365,MS Sunstra 144142,42249,258,8.83,599,355,4739.48,1031.7,23.79017857,18.590797521661308,25.56249663,0.10487861774114676,2.08282129,5.981551724,0.9001678222959959,2
47,Wisconsin,Arlington,41365,HybriForce 3400,42247,224,6.08,642,376,3829.82,793.8,16.11604957,1.3971308582839486,27.13084846,0.10278648997204431,2.08282129,5.981551724,2.447856808,2
48,Wisconsin,Lexington,41365,Oneida VR,9/13/2018,254,9.95,466,359,4823.96,389.7,13.3891149,15.60063630109597,28.14990765,0.7,2.08282129,5.981551724,0.8014803335122236,2
49,Kentucky,Lexington,41365,MALLARD 5,41889,237,4.73,1449,380,4823.96,688.4,12.91844013,3.0905591011206317,26.56491279,0.32885637948372437,2.08282129,5.981551724,0.5731487547119454,2
50,Wisconsin,Arlington,8/9/2012,Ameristand 427TQ,9/19/2016,238,5.1,563,17,4823.96,1043.2,13.66079531,12.007366215976308,14.41608664,0.3470966515801364,2.08282129,5.981551724,1.0787501256143397,2
51,Wisconsin,Arlington,4/5/2016,AFX064022,41886,245,3.6,668,365,4823.96,823.6,18.00990867,17.924240063954283,24.54042486,0.31694274995920013,2.08282129,5.981551724,1.1956495831692482,2
52,Wisconsin,Marshfield,41133,Mssunstra-B17,8/12/2013,245,8.57,468,364,4634.93,503.8,22.06785854,3.013879708257316,12.75964184,0.09197369280202917,2.08282129,5.981551724,1.8040963666669205,2
53,Kentucky,Lancaster,41730,BYS5028,42604,232,3.7,957,347,3435.57,761.8,6.00129039,2.4677579512186067,10.92,0.07476033309569319,2.08282129,5.981551724,0.18104714950600365,2
54,Wisconsin,Lexington,42095,C/W-104038*,9/15/2017,246,7.95,130,20,4495.76,1043.2,5.97764742,16.835382671226238,27.27828142,0.2806898067201859,2.08282129,5.981551724,0.601028083240351,2
55,Kentucky,Lexington,41730,AFX064022*,9/17/2015,230,11.08,217,380,3798.41,879.5,23.79017857,8.58556086265504,28.68980978,0.3250356489717271,2.08282129,5.981551724,1.0315776416541123,2
56,Kentucky,Marshfield,3/31/2015,Mssunstra-B11,42249,267,8.6,239,352,3777.0,321.4,22.38119774,10.310250784833208,29.25310714,0.3308831238203562,2.08282129,5.981551724,0.7557120821554172,2
57,Wisconsin,Lancaster,41133,PGI 557,41885,246,3.45,801,27,4804.86,465.6,5.53,-0.53,16.08031163,0.7,2.08282129,5.981551724,0.9345874459302123,1
58,Wisconsin,Marshfield,41730,GA-ALFG-1,42249,243,7.34,130,360,3503.18,845.7,5.53,14.324517950873044,14.39053384,0.10026324610495368,2.08282129,5.981551724,0.9130194598081234,2
59,Kentucky,Marshfield,4/5/2016,Nuton Alf,9/14/2017,236,4.93,130,387,3874.11,706.9,17.71322818,11.474951773538146,13.52476843,0.3049861403922553,2.08282129,5.981551724,1.971964562704865,2
60,Wisconsin,Lexington,4/5/2016,VERNAL,9/15/2017,251,9.11,1159,362,3160.22,457.9,7.98970836,0.41446231164793274,28.97069223,0.09659059048925411,2.08282129,5.981551724,0.9511577847344755,2
61,Wisconsin,Lexington,41730,Caliber,9/13/2018,243,5.69,358,374,4652.57,744.7,20.71449395,3.0248166210826266,20.53637293,0.2796926700499509,2.08282129,5.981551724,-0.685435473464356,3
62,Wisconsin,Lancaster,41365,Mssunstra-B14,42604,249,8.36,1030,371,4823.96,1043.2,19.6151281,2.7384686566658583,13.82281465,0.11106159656944731,2.08282129,5.981551724,1.1122823193590141,3
63,Wisconsin,Arlington,3/31/2015,AFX113010*,42604,247,10.29,605,1,3308.24,715.1,18.29540565,10.308207065956074,28.50228831,0.07669746600344293,2.08282129,5.981551724,0.03595724523541417,2
64,Wisconsin,Arlington,4/5/2016,PGI 212,42604,241,2.77,611,360,3463.08,823.1,5.89469758,3.5212101346279345,14.973882,0.09060245309948607,2.08282129,5.981551724,0.2906544612740129,2
65,Wisconsin,Lexington,41730,55V50,41885,254,6.2,746,385,4748.24,780.3,19.76337185,18.87832738,29.25310714,0.7,2.08282129,5.981551724,0.47801870750029707,3
66,Kentucky,Arlington,8/9/2012,AFX 103009,41886,257,6.41,956,374,3869.84,1043.2,18.70982668,13.287857247843178,27.17696551,0.7,2.08282129,5.981551724,1.2684139633034743,2
67,Wisconsin,Lancaster,4/5/2016,Vernal,9/18/2014,247,6.11,488,376,2397.01,968.2,20.75189414,1.8542904798714839,14.85211249,0.09559590187438008,2.08282129,5.981551724,1.7344657282153266,2
68,Kentucky,Lexington,41730,AFX 095026,42240,244,4.93,422,366,3240.08,109.7,19.15137274,13.417673881590526,20.7903373,0.3379569477568594,2.08282129,5.981551724,-0.5298796641897368,2
