,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Wisconsin,Arlington,40664,Caliber,9/19/2016,254,4.27,316,372,4707.31,863.5,19.93268843,6.82832283,15.47220852,0.093487972,2
1,Wisconsin,Lexington,8/9/2012,C/W-104038,9/16/2015,242,3.94,1148,402,2924.89,813.5,11.25849904,18.87832738,26.24158125,0.7,1
2,Kentucky,Lexington,4/5/2016,LS 905,9/14/2017,243,5.88,137,344,3267.73,1026.8,11.45140353,-0.53,24.67536527,0.117725477,2
3,Wisconsin,Arlington,41730,Caliber,9/19/2016,256,5.54,213,332,3112.34,879.5,23.79017857,-0.53,12.98552944,0.287953158,3
4,Wisconsin,Marshfield,3/31/2015,Nuton Alf,41919,228,2.3,152,1,3482.57,1043.2,8.1038046,16.48740772,12.11871695,0.07,1
5,Wisconsin,Lexington,4/5/2016,Legendairy XHD,42251,246,6.87,385,1,4823.96,939.7,18.97685531,3.32352749,18.59671722,0.113467302,1
6,Wisconsin,Arlington,41730,PGI 212,41890,250,4.62,441,330,2058.62,828.5,12.01896458,9.99883503,27.65746469,0.290295034,1
7,Wisconsin,Lexington,8/9/2012,Rebound 6XT,9/15/2017,249,5.86,238,5,2089.62,587.9,12.92838308,2.68552391,23.33838564,0.266750524,2
8,Wisconsin,Marshfield,41730, LS 706 ,41885,243,3.63,480,1,2767.63,1016.8,8.00979896,11.6401731,25.75014209,0.10830583,3
9,Kentucky,Marshfield,42095,Arc,41885,254,1.83,1108,374,3574.74,871.3,12.0447756,-0.53,14.19650822,0.085030688,3
10,Wisconsin,Marshfield,8/9/2012,Phoenix,9/12/2018,233,3.52,475,317,4305.29,794.1,16.92653297,12.86028097,22.96416481,0.231496552,2
11,Wisconsin,Marshfield,41133,Contender,9/18/2014,247,3.76,503,18,4823.96,719.8,7.25681502,17.06828627,19.03747331,0.099598706,3
12,Wisconsin,Lexington,8/9/2012,SW 4332,8/20/2018,252,7.44,1387,379,4617.15,557.0,10.52981594,1.34205035,20.03789422,0.070952818,2
13,Wisconsin,Marshfield,41365,MSSUNSTRA-C11*,9/13/2018,242,7.82,497,394,2998.46,937.1,10.31991956,16.46421259,14.9699588,0.105727309,3
