,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Kentucky,Lexington,41365,55V50,9/13/2018,263,4.67,923,365,4654.76,800.2,7.09125039,-0.15692481,11.88607131,0.296415119,2
1,Kentucky,Lexington,4/5/2016,55V50,9/14/2017,257,5.6,549,361,4776.83,963.8,21.77616813,15.36532963,25.6524517,0.294578161,2
2,Wisconsin,Arlington,41365,FSG 424,42251,250,4.84,844,366,4643.81,716.7,6.04970034,-0.53,11.50063873,0.075277703,2
3,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,260,5.41,1280,363,3379.75,804.2,19.71898358,15.63392049,24.98665279,0.290691088,2
4,Wisconsin,Arlington,41730,Vernal,41886,247,1.7,130,3,2565.92,368.4,16.33222283,10.62642375,23.94206594,0.073760758,1
5,Wisconsin,Arlington,41365,55V50,41885,244,5.33,524,366,4610.28,849.9,6.7715132,-0.00680571,24.36740203,0.077084324,2
6,Wisconsin,Marshfield,41730,55Q27,42240,238,4.76,130,1,2693.84,752.3,16.29411734,10.97646309,25.34741983,0.078634076,2
7,Wisconsin,Arlington,41133,55V50,41885,245,5.29,1005,364,4540.75,776.2,5.53,-0.28259077,11.19935831,0.073909457,3
8,Kentucky,Lexington,4/5/2016,Caliber,9/19/2016,264,6.38,886,363,4563.16,944.6,20.10176951,15.98071848,26.20438158,0.287456748,2
9,Wisconsin,Arlington,41365,FSG 424,41885,248,4.69,1112,364,4646.4,778.4,6.57949362,0.0996279,11.65734403,0.076073634,2
10,Kentucky,Lexington,4/5/2016,Contender,9/19/2016,254,2.85,197,365,4619.35,1030.5,20.6941572,16.65240352,24.95114511,0.289091394,1
11,Wisconsin,Marshfield,41730,55V50,42249,246,6.08,556,362,4670.63,727.3,8.87917258,1.02211151,11.25675702,0.082857177,2
12,Wisconsin,Marshfield,42095,MS Sunstra 144110*,42243,232,1.63,205,1,2679.22,449.2,16.56945591,11.61193541,25.17573919,0.075137529,1
13,Wisconsin,Marshfield,41730,55Q27,41890,262,2.69,151,3,2594.53,448.7,15.75418629,10.50266093,24.08526297,0.077770171,1
14,Kentucky,Lexington,8/9/2012,Saranac AR,9/12/2018,255,6.34,613,365,3497.27,802.4,21.41687763,15.2204339,25.53689087,0.291203433,2
15,Wisconsin,Arlington,41730,55V50,41886,247,2.03,194,1,2769.89,431.6,16.13675626,10.48261093,24.46927345,0.073320682,1
16,Wisconsin,Arlington,41730,55V50,42249,247,9.39,503,364,4522.36,723.3,6.46728122,0.81994517,25.65063552,0.076817903,3
17,Wisconsin,Arlington,41730,55V50,41885,245,6.19,1055,365,4726.63,784.9,7.77449783,1.16263982,12.25138101,0.079314951,3
18,Wisconsin,Marshfield,42095,Vernal,42243,232,2.02,130,1,2406.06,565.8,16.38657385,11.11586709,24.04229325,0.072998147,1
19,Wisconsin,Arlington,41730,55V50,42249,248,5.69,526,362,4639.18,814.7,6.78398944,1.77643148,11.72841372,0.072161153,3
20,Kentucky,Lexington,8/9/2012,Caliber,9/13/2018,258,4.91,1158,369,4683.53,791.1,19.83350692,15.72472742,25.19528931,0.288003813,2
21,Wisconsin,Arlington,41365,5312,42251,246,5.84,844,364,4513.79,749.9,5.6717749,-0.12977106,12.16582034,0.081137049,3
22,Kentucky,Lexington,4/5/2016,Caliber,9/19/2016,260,5.86,547,364,3385.22,976.3,21.23044013,14.82702829,26.56242444,0.279495022,3
23,Kentucky,Lexington,8/9/2012,Caliber,9/18/2014,259,6.42,1145,368,4635.83,805.3,21.33641035,14.00439689,25.13008573,0.288165538,3
24,Wisconsin,Arlington,41365,55V50,41885,248,5.58,480,364,4786.76,773.9,6.31074203,0.04812745,11.27681224,0.07603899,2
25,Wisconsin,Arlington,41730,55V50,42249,246,8.34,557,364,4823.96,995.2,8.60745418,2.6070529,12.94812783,0.076969116,3
26,Kentucky,Lexington,3/31/2015,Contender,9/14/2017,259,4.72,1092,359,3451.72,878.9,20.55751333,17.218739,26.01157726,0.286730191,2
27,Wisconsin,Lexington,41730,55V50,42613,224,9.53,1060,362,4672.56,896.0,7.8866379,13.91322777,26.53665171,0.083324711,3
28,Wisconsin,Arlington,41365,55V50,42251,246,6.27,1018,364,4723.73,719.7,6.96067159,-0.53,11.70373433,0.082326612,3
29,Wisconsin,Arlington,41365,55V50,42251,248,5.56,1311,365,4698.15,753.0,7.32899774,1.41288899,12.71981204,0.080268588,2
30,Wisconsin,Arlington,41730,55V50,41886,247,2.37,170,4,2874.82,109.7,15.81430044,9.54703104,23.2396747,0.075809704,1
31,Kentucky,Lexington,4/5/2017,Ameristand 403T Plus,9/14/2017,256,1.26,138,2,2857.93,607.0,21.26554303,16.81111319,25.73631339,0.285738436,1
32,Wisconsin,Arlington,41365,5312,42251,247,4.62,1036,366,4523.93,778.6,7.91868855,2.74982287,12.9801906,0.07903048,2
33,Wisconsin,Lexington,41365,55V50,41885,280,5.54,941,364,4753.22,797.6,6.33603006,-0.53,12.30847119,0.074722649,2
34,Kentucky,Lexington,8/9/2012,Caliber,9/19/2016,258,5.8,1099,365,4724.13,810.0,21.10344817,14.90650686,25.25172248,0.284482169,3
35,Kentucky,Lexington,4/5/2017,Saranac AR,9/14/2017,252,2.27,214,4,2865.79,484.4,21.27651267,17.45209185,23.56822572,0.284549146,1
36,Wisconsin,Marshfield,42095,Vernal,42243,239,1.87,130,4,2772.76,446.0,17.43814888,9.80409679,24.08138245,0.076194745,1
37,Kentucky,Lexington,8/9/2012,55V50,9/14/2017,259,4.77,524,362,2916.51,808.5,20.65557052,14.3105833,25.07826158,0.28797605,2
38,Wisconsin,Arlington,41730,55V50,41885,245,5.45,482,361,4823.96,787.1,7.08320519,-0.53,11.16000989,0.083392175,3
39,Kentucky,Lexington,8/9/2012,Saranac AR,9/14/2017,256,2.13,164,4,3153.41,531.5,21.20305056,15.52466726,24.33995069,0.284475593,1
40,Wisconsin,Marshfield,41730,55V50,42243,243,2.94,289,1,2333.4,563.0,17.19320993,10.47108701,23.00884505,0.078810309,1
41,Kentucky,Lexington,8/9/2012,Caliber,9/19/2016,263,5.4,1708,366,3541.6,537.3,20.61958149,16.17375336,26.82219805,0.27970112,3
42,Wisconsin,Marshfield,41730,55V50,42240,235,5.99,554,363,4703.93,727.9,8.38610804,0.71295255,11.88789473,0.083557961,2
43,Wisconsin,Arlington,41730,55V50,42249,244,9.95,515,362,4578.17,1001.7,8.11299315,2.6436364,12.60470028,0.077993895,3
44,Kentucky,Lexington,8/9/2012,Saranac AR,9/12/2018,258,6.38,1013,364,3277.62,766.6,19.55769606,17.23809145,25.72614778,0.285014733,2
45,Wisconsin,Arlington,41730,55V50,41886,246,2.39,201,4,2865.91,269.1,16.92194534,9.89685913,23.62797793,0.07365951,1
46,Wisconsin,Arlington,41365,55V50,41885,247,6.67,535,364,4823.96,822.0,6.00220875,1.34824404,24.19106087,0.07273981,2
47,Kentucky,Lexington,8/9/2012,Caliber,9/14/2017,256,5.74,1608,363,3487.72,782.6,19.58908486,13.91527122,26.98238961,0.299109017,3
48,Wisconsin,Arlington,41365,55V50,41885,246,5.52,1047,367,4768.23,811.2,6.14102622,1.2208138,11.66785054,0.075685822,3
49,Wisconsin,Lexington,8/9/2012,55V50,8/12/2013,266,4.83,223,6,2598.98,868.2,19.87781264,16.2663577,24.39217708,0.286909837,2
50,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,268,6.31,532,365,3299.95,747.7,20.71186829,12.32174924,23.51511604,0.278521803,3
51,Wisconsin,Arlington,41730,55V50,41886,249,2.69,130,1,4667.32,232.9,15.89995729,9.38368914,21.80428933,0.07,3
52,Kentucky,Lexington,4/5/2016,Saranac AR,9/13/2018,259,5.87,899,363,4532.6,786.9,22.86379975,15.80830489,25.90846045,0.291543228,2
53,Wisconsin,Arlington,41730,55V50,41886,244,5.68,135,365,4761.44,109.7,6.00490703,0.42835633,11.15138197,0.074056981,3
54,Kentucky,Lexington,8/9/2012,55V50,9/13/2018,245,6.16,911,368,4638.96,745.4,7.83783296,16.60318668,12.82220023,0.290483404,2
55,Wisconsin,Marshfield,41730,55V50,42240,233,5.42,1061,365,4563.18,742.5,7.8105273,2.46395425,12.66432457,0.077175945,2
56,Wisconsin,Arlington,41730,55V50,41885,245,6.01,505,367,4669.87,799.6,6.09741645,0.38580567,24.2981828,0.075224658,3
57,Wisconsin,Lexington,4/5/2016,55V50,9/19/2016,266,2.63,166,1,2929.95,497.9,22.22478578,17.27662487,27.23970953,0.28282045,1
58,Wisconsin,Marshfield,41365,55V50,41919,243,5.39,555,363,4758.68,780.1,6.05321261,1.23183131,11.63235697,0.08358765,2
59,Wisconsin,Arlington,41730,55V50,42251,245,7.75,911,364,4558.35,784.5,6.4870329,1.51630569,12.23024375,0.078536998,3
60,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,257,5.06,444,362,3591.81,757.7,19.00857957,15.16570875,26.75510165,0.289531522,2
61,Wisconsin,Marshfield,41730,Vernal,41886,247,1.34,135,2,2692.76,574.6,17.02199277,10.18461003,21.06739093,0.071060829,1
62,Kentucky,Lexington,3/31/2015,Contender,9/19/2016,256,2.21,228,1,4661.95,1039.6,22.11434834,17.4521202,28.46880778,0.279829567,1
63,Kentucky,Lexington,8/9/2012,Saranac AR,9/12/2018,257,6.65,1206,365,3352.24,855.8,20.96025675,16.51272639,25.37607687,0.291902209,2
64,Kentucky,Lexington,8/9/2012,Caliber,9/14/2017,260,2.69,151,1,2760.53,531.8,20.06749602,15.65606658,22.34080686,0.287822687,1
65,Kentucky,Lexington,8/9/2012,55V50,41885,264,5.9,859,364,4628.59,799.7,19.98376051,15.53572844,26.21170012,0.277497496,2
66,Wisconsin,Arlington,41730,55V50,41886,245,2.42,130,1,2418.3,116.3,16.84555838,11.18521809,24.83228579,0.077559286,1
67,Wisconsin,Marshfield,41730,55V50,42240,238,5.16,460,364,4659.47,763.1,20.45739666,16.05212753,25.84175824,0.081865172,2
68,Wisconsin,Arlington,41365,55V50,42251,246,5.86,1155,364,4715.66,716.2,7.01623148,1.78978638,11.88191983,0.08070902,3
69,Wisconsin,Arlington,41365,55V50,42240,246,5.53,983,363,4743.26,683.4,7.1140049,0.46860696,12.31164025,0.076007751,3
70,Wisconsin,Lexington,8/9/2012,55V50,9/14/2017,258,3.48,225,1,2782.97,554.5,22.17590981,16.90067566,25.76141331,0.282452885,1
71,Wisconsin,Marshfield,41365,55V50,41919,237,5.58,1324,365,4667.53,743.8,6.50734229,0.3751658,23.64822433,0.079259866,2
72,Kentucky,Lexington,3/31/2015,Saranac AR,9/13/2018,258,4.82,922,363,3277.51,755.4,19.99265662,15.29205544,25.26512706,0.293595328,2
73,Wisconsin,Marshfield,41730,55V50,42613,237,6.04,130,3,4564.33,998.6,7.25742489,0.37955655,11.97700135,0.078526301,1
74,Wisconsin,Marshfield,41730,55V50,42240,245,6.03,508,365,2736.38,793.1,6.89262046,0.50168877,25.79456775,0.086245857,2
75,Wisconsin,Arlington,41730,55V50,41885,248,6.98,585,365,4702.99,781.6,6.09385645,1.12966329,11.92486065,0.078348198,2
76,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,258,5.81,575,364,3284.01,727.3,19.80738613,15.70775358,24.56093577,0.291057428,2
77,Wisconsin,Arlington,40664,55V50,41885,245,6.01,580,363,4823.96,787.0,7.78045109,0.83779774,12.10373707,0.07,3
78,Kentucky,Lexington,3/31/2015,Caliber,9/19/2016,257,5.04,927,369,3206.44,783.9,21.40438795,16.68808476,25.89049962,0.283217458,2
79,Wisconsin,Lexington,41730,55V50,42243,258,1.64,130,4,2417.3,542.3,16.47257032,15.61781296,23.90299192,0.077147996,1
80,Kentucky,Lexington,4/5/2016,Ameristand 403T Plus,9/19/2016,258,2.32,153,4,4621.96,521.7,23.06779561,15.27112306,26.59441734,0.282651466,1
81,Wisconsin,Marshfield,41730,55Q27,41890,237,6.13,174,4,2695.59,692.6,15.86958549,10.51674461,23.95910742,0.084691892,2
82,Kentucky,Lexington,8/9/2012,Caliber,9/18/2014,259,6.67,961,375,4775.46,810.3,21.31368893,13.52448383,24.42998678,0.280325936,3
83,Wisconsin,Marshfield,42095,55V50,42243,230,2.27,250,2,2577.22,1026.5,17.17962179,10.49756502,26.69604353,0.076280982,1
84,Wisconsin,Arlington,41365,55V50,41885,257,5.48,484,362,4788.89,761.2,6.33696924,0.59272012,23.5944396,0.07316759,2
85,Wisconsin,Lexington,41730,55V50,42604,239,6.3,869,365,4629.26,1043.2,7.77765937,18.06358425,12.31666239,0.081884828,3
86,Wisconsin,Marshfield,41730,55Q27,41890,233,5.63,216,1,2539.37,775.6,15.94453763,10.11427368,24.43307393,0.690607506,2
87,Kentucky,Lexington,4/5/2016,Contender,9/19/2016,257,6.18,557,367,3242.41,1025.6,22.09835269,15.03754964,24.91967186,0.289681751,3
88,Kentucky,Lexington,8/9/2012,Saranac AR,9/12/2018,256,5.35,611,363,3599.18,816.0,20.6072248,15.13413424,24.96347598,0.304235001,2
89,Wisconsin,Marshfield,41730,55Q27,8/12/2013,255,4.5,541,362,2338.39,755.1,20.9806375,9.89591669,22.20119983,0.292777101,2
90,Wisconsin,Arlington,41730,55V50,41886,248,5.47,180,1,4809.17,359.3,7.15425027,1.37936699,12.15759812,0.074104576,3
91,Kentucky,Lexington,3/31/2015,Caliber,9/13/2018,255,5.58,1048,362,3503.7,835.2,21.94198461,14.87626067,27.00749931,0.29658871,3
92,Wisconsin,Arlington,41730,55V50,42604,246,8.66,1048,366,4671.78,1002.3,7.44789697,2.74789814,13.97578182,0.079868363,3
93,Kentucky,Lexington,8/9/2012,Contender,9/19/2016,260,2.03,166,4,3256.72,583.0,21.96456599,15.79169558,24.62437729,0.279865446,1
94,Wisconsin,Marshfield,42095,Vernal,42243,235,2.42,130,2,2920.9,492.5,16.73821296,10.46806726,25.54738069,0.07,1
95,Wisconsin,Arlington,41365,55V50,41885,246,5.83,1062,365,4578.82,732.2,6.30894779,0.8786908,11.71967862,0.07519334,3
96,Wisconsin,Arlington,41730,55V50,41886,248,2.79,195,6,2758.97,109.7,16.59327107,1.67918991,24.62894999,0.07032239,1
97,Wisconsin,Marshfield,41730,55V50,42613,238,8.58,528,361,4540.03,969.7,7.82174955,1.38217068,13.05239885,0.084896487,3
98,Wisconsin,Marshfield,41730,55V50,42243,233,1.52,140,1,2706.47,511.2,20.75635202,11.00287003,26.76993694,0.076811531,1
99,Kentucky,Lexington,4/5/2016,Saranac AR,9/19/2016,257,2.51,249,5,2643.85,490.2,21.42161957,15.31074338,24.41184018,0.286861522,1
100,Wisconsin,Marshfield,41730,55V50,41890,234,1.3,131,1,3138.3,731.8,15.93737032,9.58730385,24.28761232,0.66242186,1
101,Kentucky,Lexington,8/9/2012,55V50,9/18/2014,257,5.37,1185,367,4727.69,754.0,20.91671487,16.52204342,25.17112123,0.285349067,2
102,Wisconsin,Marshfield,41365,FSG 424,42240,240,4.72,878,365,4473.34,730.2,6.61437076,2.72057799,11.55197864,0.083598879,2
103,Kentucky,Lexington,8/9/2012,Caliber,9/13/2018,256,6.16,962,365,3353.22,739.1,20.93884229,14.86293117,25.12320347,0.292243986,2
104,Kentucky,Lexington,8/9/2012,55V50,9/18/2014,252,6.4,983,367,4710.46,822.3,21.67732338,14.60084234,26.70903678,0.282340383,2
105,Wisconsin,Arlington,41730,55V50,42251,247,6.84,1092,365,4733.23,746.9,6.8245323,2.72399334,12.71157446,0.077909482,3
106,Wisconsin,Marshfield,41365,55V50,42251,245,6.61,974,364,4603.57,725.8,7.6404308,1.11368328,12.60512575,0.081272553,2
107,Wisconsin,Marshfield,42095,Vernal,42243,235,1.68,147,1,2971.5,576.1,16.50485647,11.16565548,23.65476736,0.07,1
108,Wisconsin,Arlington,41365,5312,42251,249,6.18,934,364,4689.33,720.2,6.9668611,1.83860197,11.90350478,0.085927046,2
109,Wisconsin,Marshfield,41730,55V50,41886,245,8.49,438,4,4678.31,952.2,7.10125583,1.30680794,23.55690143,0.077101159,3
110,Wisconsin,Marshfield,41730,55V50,42240,244,4.97,811,366,4677.74,820.8,7.61518442,1.63841257,12.71032823,0.079864136,2
111,Wisconsin,Arlington,41730,55V50,42249,249,5.99,455,363,4705.16,741.8,6.74284349,0.0432357,11.57179602,0.082160451,3
112,Kentucky,Lexington,8/9/2012,Caliber,9/12/2018,258,5.18,1087,364,3213.39,778.4,19.42489027,15.92821222,25.05901845,0.288104719,2
113,Kentucky,Lexington,4/5/2016,55V50,42613,235,8.66,450,363,4639.83,886.9,22.33170487,17.73899746,28.04903108,0.291124481,3
114,Kentucky,Lexington,4/5/2016,55V50,42613,231,6.23,974,368,4546.9,1010.3,21.07257541,17.50508974,27.87690387,0.28872532,3
115,Wisconsin,Marshfield,41730,55V50,42240,233,4.14,975,366,4649.25,708.5,8.0112854,1.13242659,13.1670705,0.074852101,2
116,Wisconsin,Marshfield,41365,55V50,41919,279,5.47,1077,367,4777.4,742.7,6.20717579,-0.44139005,11.4020859,0.077960005,2
