,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Kentucky,Lexington,8/9/2012,55V50,9/18/2014,257,6.19,1151,369,4705.11,784.8,19.90652067,14.38993784,26.2088689,0.284753355,3
1,Wisconsin,Lexington,8/9/2012,55V50,41885,260,5.6,769,368,4750.72,798.1,6.9573549,0.31982069,11.45770843,0.284901351,3
2,Kentucky,Lexington,8/9/2012,Saranac AR,9/14/2017,258,6.09,467,3,3652.38,504.6,19.01065884,16.04123072,24.39535345,0.299125566,3
3,Wisconsin,Arlington,41365,55V50,42251,248,5.71,1084,369,4693.45,751.3,6.80174318,2.37476272,11.7009685,0.082600457,3
4,Wisconsin,Marshfield,41365,55Q27,41919,265,5.6,539,364,4823.96,723.4,6.00734077,0.04975325,11.37922291,0.075389134,2
5,Kentucky,Lexington,4/5/2017,Contender,9/14/2017,260,2.2,158,6,3023.71,620.1,17.95690561,14.98433788,25.1961727,0.281469945,1
6,Wisconsin,Lexington,8/9/2012,55V50,41885,259,6.32,1144,363,3076.29,804.8,18.90144725,12.98982706,23.94672673,0.281568382,3
7,Wisconsin,Marshfield,41365,55V50,42240,249,5.39,461,368,4719.6,763.0,6.7681665,1.38147029,12.17064888,0.081665176,2
8,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,260,5.45,518,361,4689.81,706.5,19.15704896,16.82852437,25.18473201,0.284260834,2
9,Kentucky,Lexington,4/5/2017,Saranac AR,9/14/2017,258,1.38,192,1,3208.69,501.3,20.26381032,16.50757047,24.80207461,0.286663863,1
10,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,263,5.23,532,360,3277.41,768.2,20.57517928,14.02887657,24.10646654,0.282343407,2
11,Kentucky,Lexington,4/5/2016,Saranac AR,9/14/2017,259,3.14,139,3,3051.96,475.5,20.53776408,16.7186204,24.26872661,0.286599357,1
12,Kentucky,Lexington,4/5/2016,Caliber,9/14/2017,259,5.77,530,361,3324.63,923.1,18.04355,16.22661149,26.1484153,0.279846444,2
13,Kentucky,Lexington,3/31/2015,Saranac AR,9/14/2017,260,3.35,165,3,2680.37,504.1,19.02141352,15.46378395,24.93309069,0.279618984,1
14,Wisconsin,Arlington,41365,5312,42251,245,7.55,921,365,4620.91,750.8,7.25072146,1.21651955,11.90861063,0.075205039,2
15,Wisconsin,Marshfield,41365,55V50,42240,230,6.08,716,364,4691.09,719.7,6.49973526,1.19539856,12.1533142,0.07,2
16,Wisconsin,Marshfield,41730,55V50,42613,231,5.23,569,366,4700.93,927.1,7.75848339,3.53027295,12.88782647,0.078643541,3
17,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,264,5.6,993,368,4823.96,757.2,19.28501846,14.15868153,24.10133301,0.289107785,3
18,Wisconsin,Marshfield,41365,55V50,42240,238,4.83,1012,366,4597.8,796.5,7.43953751,1.49884014,11.7001528,0.080858739,2
