,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Standard Deviation,Average Yield,Number of Deviations,Class
0,Wisconsin,Arlington,41730,55V50,42604,244,9.24,484,364,4635.87,1019.2,9.87974054,2.61207149,12.88081845,0.081718676,2.08282129,5.981551724,-0.183732188,2
1,Wisconsin,Arlington,41730,55V50,42604,235,3.35,130,364,4705.93,979.4,7.85989752,2.05448541,13.81892171,0.078773474,2.08282129,5.981551724,-0.062966556,2
2,Wisconsin,Arlington,41730,55V50,42249,247,9.9,525,365,4624.48,738.6,7.44643637,3.87329194,12.48735105,0.077674333,2.08282129,5.981551724,0.977520801,3
3,Kentucky,Lexington,8/9/2012,55V50,9/19/2016,260,6.49,1199,363,2624.11,799.6,19.85337688,16.95163985,26.12987963,0.285350267,2.08282129,5.981551724,-0.305453556,2
4,Wisconsin,Arlington,41730,55V50,42251,248,5.68,504,364,4589.0,739.6,8.07176177,1.71765452,12.24941291,0.07647148,2.08282129,5.981551724,-0.486645806,2
5,Wisconsin,Marshfield,41730,55V50,42604,234,5.99,494,363,4711.8,776.7,8.30932255,2.66324671,13.20697354,0.08323205,2.08282129,5.981551724,-0.224195884,2
6,Wisconsin,Lexington,8/9/2012,55V50,9/15/2017,253,4.8,850,362,3399.27,747.4,19.29838241,14.29947244,26.09451587,0.289043772,2.08282129,5.981551724,0.102459454,2
7,Wisconsin,Arlington,41730,55V50,42604,233,8.25,480,363,4637.3,1043.2,8.58355077,3.15784351,14.00348381,0.079912427,2.08282129,5.981551724,0.568653076,3
8,Wisconsin,Arlington,41730,55V50,42604,234,8.56,500,365,4606.89,991.9,8.28462536,2.34151735,13.59132107,0.077734857,2.08282129,5.981551724,1.463432595,3
9,Wisconsin,Marshfield,41730,55V50,9/14/2017,255,1.27,143,3,3276.8,533.8,21.49610186,14.68977604,24.32647651,0.27985302,2.08282129,5.981551724,-2.300510249,1
10,Wisconsin,Arlington,41730,55V50,42251,247,6.81,510,364,4663.55,773.7,7.26593324,1.14650976,12.94730872,0.081362671,2.08282129,5.981551724,-0.298560564,2
11,Kentucky,Lexington,41730,55V50,9/19/2016,261,2.33,165,4,3373.96,1035.7,21.02331767,16.63804,25.92401631,0.279260739,2.08282129,5.981551724,-2.051944805,1
12,Wisconsin,Marshfield,41730,55V50,41890,251,2.67,203,2,2725.82,503.7,20.11860656,10.3936151,23.49221804,0.080974497,2.08282129,5.981551724,-1.905723535,1
13,Wisconsin,Arlington,41730,55V50,42604,246,9.19,471,364,4733.86,746.5,7.97927177,1.3105246,13.20807037,0.081184563,2.08282129,5.981551724,0.824210249,3
14,Kentucky,Lexington,8/9/2012,55V50,9/19/2016,261,6.04,1240,364,4694.9,967.1,20.49288001,14.19819745,23.97936117,0.276618077,2.08282129,5.981551724,0.01156994,2
15,Wisconsin,Marshfield,41730,55Q27,41890,234,2.51,173,4,2711.81,511.4,16.98008651,9.94502165,24.2608181,0.076515344,2.08282129,5.981551724,-1.520255548,1
16,Wisconsin,Arlington,41730,55V50,42251,245,9.02,890,365,4657.8,764.3,8.264444,2.07495409,11.83067461,0.077111142,2.08282129,5.981551724,1.068089822,2
17,Wisconsin,Arlington,41730,Vernal,41886,246,2.34,147,5,2793.36,109.7,15.98457669,10.48617001,22.83025797,0.07239641,2.08282129,5.981551724,-2.158839908,1
18,Wisconsin,Arlington,41365,55V50,42604,236,8.29,863,365,4685.44,1006.7,9.76173749,2.19747997,13.22462495,0.082769382,2.08282129,5.981551724,0.59135172,3
19,Kentucky,Lexington,41730,55V50,9/14/2017,258,2.45,172,3,3016.7,521.3,22.61472665,15.13948585,25.56376716,0.284034816,2.08282129,5.981551724,-1.73324972,1
20,Wisconsin,Marshfield,41730,55V50,41886,246,2.79,159,365,2810.35,532.7,21.61430504,1.73519935,24.45541162,0.080296338,2.08282129,5.981551724,0.199779157,2
21,Wisconsin,Marshfield,41730,55V50,9/19/2016,260,5.79,792,364,4668.65,789.7,21.05786158,16.70643045,24.75709336,0.077986739,2.08282129,5.981551724,-0.501177053,2
22,Wisconsin,Arlington,41730,55V50,42604,232,9.33,538,363,4655.8,1043.2,7.97279,3.40773662,12.61157889,0.076620648,2.08282129,5.981551724,0.952369101,3
23,Kentucky,Lexington,8/9/2012,Evermore,9/14/2017,253,5.22,1469,364,3194.94,780.8,19.14743897,14.71729969,24.48711451,0.284802646,2.08282129,5.981551724,-0.171127947,2
24,Wisconsin,Marshfield,41730,55V50,41890,242,1.75,137,1,3052.44,788.9,15.80265777,9.55697978,24.23731803,0.078957646,2.08282129,5.981551724,-1.240692998,1
25,Wisconsin,Lexington,8/9/2012,55V50,9/15/2017,261,6.57,796,364,3003.54,759.1,21.14741733,15.91005332,23.90263666,0.286361587,2.08282129,5.981551724,0.483225401,2
26,Wisconsin,Arlington,41365,55V50,42251,262,4.98,910,365,4728.65,765.2,8.17409546,0.83526616,13.28101343,0.07354756,2.08282129,5.981551724,-0.301382118,2
27,Wisconsin,Arlington,41730,55V50,42251,244,6.09,488,364,4707.16,755.8,9.60101624,1.46756261,11.76241482,0.078710815,2.08282129,5.981551724,0.3655189,2
28,Wisconsin,Arlington,41365,55V50,42251,257,6.13,835,365,4652.44,722.5,8.52669101,1.4675063,13.05759045,0.084858003,2.08282129,5.981551724,-0.01214458,2
29,Kentucky,Lexington,41365,55V50,9/19/2016,258,4.19,948,365,4675.29,996.0,20.52454491,17.80265925,14.42830104,0.285060224,2.08282129,5.981551724,0.268981894,2
30,Wisconsin,Marshfield,41730,55Q27,42604,239,2.02,207,4,4559.0,1027.8,21.02622564,17.40288187,25.25180636,0.075099674,2.08282129,5.981551724,-1.54667037,1
31,Wisconsin,Marshfield,41730,Vernal,42243,244,1.94,130,4,2748.74,109.7,16.92604948,10.78928957,23.99265358,0.073354543,2.08282129,5.981551724,-1.3581032,1
32,Wisconsin,Arlington,41730,55V50,42249,245,7.86,470,364,4664.03,778.1,7.12433983,1.40201011,13.60695906,0.083100753,2.08282129,5.981551724,1.456680728,3
33,Wisconsin,Marshfield,41730,Vernal,42243,246,3.05,160,6,2548.29,247.0,16.76823923,0.36053774,25.20332972,0.080248679,2.08282129,5.981551724,-2.152043541,1
34,Kentucky,Lexington,4/5/2016,Caliber,9/19/2016,263,2.66,130,2,2964.69,419.6,20.48746396,16.95203891,25.09751396,0.275567597,2.08282129,5.981551724,-1.962797956,1
35,Wisconsin,Marshfield,41730,55V50,42604,234,9.42,844,362,4690.93,1043.2,8.27836534,3.8916682,13.9603005,0.076848376,2.08282129,5.981551724,1.535462762,2
36,Wisconsin,Marshfield,41730,55V50,42243,261,2.04,163,5,2752.81,586.7,16.60237133,10.86491569,25.20386002,0.076166654,2.08282129,5.981551724,-1.492058247,1
37,Kentucky,Lexington,4/5/2016,Ameristand 403T Plus,9/19/2016,252,2.31,138,3,2841.76,534.4,23.23681441,18.87832738,26.92824541,0.288733789,2.08282129,5.981551724,-2.033759097,1
38,Kentucky,Lexington,41730,Saranac AR,9/19/2016,260,3.15,130,3,4673.97,1011.7,21.2381326,17.63778125,27.89687816,0.284045085,2.08282129,5.981551724,-1.844437498,1
39,Wisconsin,Arlington,41730,Mariner IV,41886,246,2.43,500,363,4616.72,691.6,6.85498657,1.60269103,11.63832514,0.07575152,2.08282129,5.981551724,0.320888675,2
40,Wisconsin,Marshfield,41730,55V50,42251,258,5.07,816,365,4605.77,767.8,19.99535214,1.63791374,13.99552896,0.081508325,2.08282129,5.981551724,0.335621874,2
41,Wisconsin,Marshfield,41730,Vernal,41886,245,2.67,130,1,2686.61,214.4,15.15807369,9.99931649,24.747319,0.073621607,2.08282129,5.981551724,-1.908376976,1
42,Wisconsin,Arlington,41730,55V50,42251,247,5.82,506,364,4650.53,754.2,7.18209894,2.51431697,12.70742046,0.079076828,2.08282129,5.981551724,0.234354142,2
43,Wisconsin,Arlington,41730,55V50,42251,248,6.68,764,365,4664.66,768.8,7.7600584,4.15009192,13.12834119,0.081396532,2.08282129,5.981551724,0.063977609,2
44,Wisconsin,Arlington,41730,55V50,42604,233,9.06,591,364,4633.73,1023.5,7.81817519,1.34091584,13.05201849,0.080071738,2.08282129,5.981551724,1.399662653,3
45,Wisconsin,Arlington,41730,55V50,42604,236,9.06,820,362,4616.43,974.2,8.36891977,4.06097588,13.04413256,0.076189123,2.08282129,5.981551724,0.856582529,2
46,Kentucky,Lexington,3/31/2015,Caliber,9/19/2016,264,6.36,1855,364,3154.93,1033.9,19.43043796,14.70718906,24.49849162,0.287151058,2.08282129,5.981551724,-0.144679767,2
47,Wisconsin,Marshfield,41730,55Q27,42243,232,1.57,130,2,2897.52,536.6,16.74173434,10.99428029,23.66016303,0.074351875,2.08282129,5.981551724,-1.702502082,1
48,Wisconsin,Arlington,41730,55Q27,42604,236,8.04,529,365,4607.16,1043.2,9.37133987,2.89882102,13.90015588,0.079324043,2.08282129,5.981551724,1.268717928,3
49,Wisconsin,Arlington,41365,55V50,42604,234,4.74,1225,366,4720.21,752.1,8.11227756,3.92584143,12.68260894,0.079607892,2.08282129,5.981551724,1.817826517,2
50,Wisconsin,Lexington,41730,55V50,42604,237,7.67,801,367,4728.34,1028.4,8.79510271,4.12626533,14.57685191,0.07730431,2.08282129,5.981551724,1.54567241,2
51,Wisconsin,Lexington,42095,FF42.A2,9/19/2016,238,2.99,130,1,2589.12,465.0,23.39417444,17.84891371,24.64551326,0.071561017,2.08282129,5.981551724,-1.901029794,1
52,Wisconsin,Marshfield,41730,55V50,42604,237,9.63,861,364,4608.22,995.1,8.20477081,2.07853067,13.59835622,0.080505815,2.08282129,5.981551724,1.544141065,2
53,Wisconsin,Arlington,41730,55V50,42604,244,5.87,487,364,4721.46,844.5,8.08106808,2.05701357,12.77469418,0.08340141,2.08282129,5.981551724,0.297998316,2
54,Kentucky,Lexington,8/9/2012,55V50,9/19/2016,257,6.44,1331,365,4773.63,807.6,20.936745,17.54355406,27.17010286,0.282811861,2.08282129,5.981551724,-0.380723588,2
55,Wisconsin,Marshfield,42095,55V50,42243,234,1.47,226,4,2990.18,458.0,20.26493635,15.72735826,25.66109843,0.07024651,2.08282129,5.981551724,-2.163083304,1
56,Wisconsin,Marshfield,41730,55V50,41890,256,2.31,177,3,2658.75,659.6,16.00797995,10.42103861,24.35452828,0.077466927,2.08282129,5.981551724,-1.467030707,1
57,Wisconsin,Arlington,41730,55V50,42604,234,8.27,535,364,4705.12,1043.2,7.50500472,3.07484785,13.4270803,0.080592458,2.08282129,5.981551724,1.333104412,3
58,Wisconsin,Marshfield,41730,55V50,42243,239,2.77,130,2,2752.9,541.4,17.91824493,10.1121107,24.81881235,0.071578438,2.08282129,5.981551724,-2.083127043,1
59,Wisconsin,Marshfield,41730,55V50,41890,243,3.36,186,5,3021.29,767.4,16.41879827,10.15472104,24.91033075,0.083088725,2.08282129,5.981551724,-2.087990285,1
60,Wisconsin,Arlington,41730,55V50,42604,236,9.0,835,363,4791.7,1007.2,7.68297382,2.2397241,13.48036498,0.078077254,2.08282129,5.981551724,0.194263353,3
