,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Standard Deviation,Average Yield,Number of Deviations,Class
0,Kentucky,Lexington,41730,C/W-104038,42240,260,10.89,638,384,3692.98,749.9,10.9581783,2.768180118618814,14.65648242,0.2957791433773094,2.08282129,5.981551724,-2.2922357272140266,2
1,Wisconsin,Marshfield,3/31/2015,LEGENDAIRY XHD,42251,257,10.14,497,366,3379.0,955.3,9.39975347,3.2800647556281377,10.92,0.11169418837058213,2.08282129,5.981551724,-0.8471989322407403,2
2,Kentucky,Lexington,40664,55Q27,42249,238,7.17,838,374,3664.83,686.4,23.79017857,-0.53,27.06714092,0.3091841723092729,2.08282129,5.981551724,-1.2450345942126788,2
3,Wisconsin,Lexington,4/5/2016,Vernal,41885,256,4.38,1142,373,1856.67,921.8,7.44818396,3.9041085831371363,10.92,0.10541896697837097,2.08282129,5.981551724,-1.4106563397486584,1
4,Kentucky,Lexington,41365,Saranac AR,9/18/2014,237,3.21,490,17,3107.27,755.7,11.31861177,-0.09604309045122417,21.8497962,0.10093577941686191,2.08282129,5.981551724,-0.1978808714491605,2
5,Kentucky,Lexington,41730,NF11ALF006,41885,238,11.08,492,10,4466.01,899.5,11.58259133,-0.04564661674700454,26.27531109,0.08864315965333817,2.08282129,5.981551724,-2.3005102490000002,2
6,Kentucky,Lexington,41730,Ameristand 427TQ,9/15/2017,254,4.33,831,362,4680.95,530.3,19.68041346,1.9159774415823634,10.92,0.07092797647956808,2.08282129,5.981551724,-0.49014604119062444,2
7,Wisconsin,Lexington,4/5/2016,WL 355 RR,9/12/2018,237,6.13,740,362,2428.02,762.3,5.53,10.307500990529046,13.97260643,0.30622005853955875,2.08282129,5.981551724,-0.7991093349190079,2
8,Kentucky,Lexington,41365,GA-505,42251,249,11.08,130,32,4675.52,696.8,21.69555155,1.96616552832592,22.49511097,0.32141252843688134,2.08282129,5.981551724,-0.28466854580131873,3
9,Wisconsin,Lexington,3/31/2015,Mariner IV,9/15/2017,235,2.13,130,365,1991.11,807.1,21.85026526,7.073492212078283,13.35948365,0.11457453330015704,2.08282129,5.981551724,-2.3005102490000002,3
10,Wisconsin,Lancaster,41730,LH 9700,9/16/2015,280,7.38,723,371,4683.27,907.9,9.91189242,3.521845231655984,22.46340622,0.2937705304970144,2.08282129,5.981551724,0.08260181396176156,1
11,Wisconsin,Marshfield,41133,Caliber,42251,254,5.51,516,362,4620.72,1013.2,23.79017857,3.6593362315616718,13.10353568,0.3370133372888994,2.08282129,5.981551724,0.31252105112900697,1
12,Wisconsin,Lexington,8/9/2012,MSSUNSTRA-C10*,42249,245,9.14,155,362,4410.54,327.4,20.78087884,2.14939143178644,28.08918127,0.3108275553542106,2.08282129,5.981551724,1.1011058394181021,2
13,Kentucky,Lexington,41365,Evermore,9/19/2016,234,11.01,1048,6,3268.87,1000.2,14.20093087,2.2212596422249,21.27989341,0.07675944578677632,2.08282129,5.981551724,-1.1915927994170659,2
14,Kentucky,Lexington,41730,CW 065030,9/14/2017,248,2.53,433,357,3121.89,1043.2,17.09097309,2.381528117042781,10.92,0.07204764583188072,2.08282129,5.981551724,-2.3005102490000002,2
15,Wisconsin,Marshfield,41730,MALLARD 5,9/19/2016,237,9.5,869,372,3382.66,1043.2,22.96581174,7.22858112008183,12.1725555,0.33704340850271897,2.08282129,5.981551724,-0.611913861691316,2
16,Kentucky,Lexington,4/5/2016,MSSUNSTRA-D16*,8/20/2018,264,8.99,809,370,1856.67,695.3,11.51557554,3.738257137913447,25.64703264,0.2570831112309122,2.08282129,5.981551724,-0.42939336121558735,2
17,Kentucky,Lexington,4/5/2016,Evermore,42604,249,11.08,130,374,4580.99,696.6,17.61088374,18.87832738,13.17000228,0.08655749419731729,2.08282129,5.981551724,-1.2361603131878907,2
18,Wisconsin,Lexington,41730,FSG 403LR,9/12/2018,257,8.04,963,48,4597.49,1011.5,23.79017857,5.096640747892403,12.86382053,0.7,2.08282129,5.981551724,-1.2809581655794395,2
