,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Standard Deviation,Average Yield,Number of Deviations,Class
0,Wisconsin,Arlington,41365,55V50,42251,246,6.33,822,367,4648.71,753.1,6.40388816,0.49415204098795285,11.8944853,0.07637020926076486,2.08282129,5.981551724,0.1399835223803718,2
1,Wisconsin,Lexington,41365,55V50,42613,258,6.37,906,365,4563.84,740.9,9.57412627,3.9317750960606763,14.64139871,0.07554757821817029,2.08282129,5.981551724,-0.3306041850710372,2
2,Wisconsin,Marshfield,41730,55V50,41889,257,5.06,188,11,2452.64,551.7,18.58766856,10.081256055309852,24.0452887,0.7,2.08282129,5.981551724,-0.09071414371666442,2
3,Wisconsin,Arlington,41730,55V50,42613,235,11.08,914,364,4591.05,1020.0,9.46719207,4.444764125159793,14.8740208,0.0794670432369963,2.08282129,5.981551724,-0.2672646627605716,2
4,Kentucky,Lexington,8/9/2012,Caliber,9/19/2016,259,5.39,774,365,3375.82,1043.2,20.07001723,14.914659693502895,25.19584852,0.29131232910486526,2.08282129,5.981551724,0.2085208943709639,2
5,Kentucky,Lexington,8/9/2012,55V50,8/12/2013,257,5.82,894,366,3406.49,816.4,18.41751808,14.145561461544872,24.81541736,0.2964983964231586,2.08282129,5.981551724,-0.40899593287935654,2
6,Wisconsin,Marshfield,41365,55Q27,42613,247,4.92,523,366,4768.77,1032.1,6.48473611,0.9972749517261892,11.9077849,0.07622673131896301,2.08282129,5.981551724,-0.2888957970753987,2
7,Wisconsin,Lexington,41730,55V50,9/18/2014,258,5.22,563,366,4701.73,827.5,19.10607864,15.080126943800542,24.62214669,0.07432256649968019,2.08282129,5.981551724,-0.3553207912045222,2
8,Wisconsin,Arlington,41365,55V50,41885,247,6.51,455,366,4724.81,828.6,6.4125969,-0.20426210722429827,12.48900279,0.07544063105562762,2.08282129,5.981551724,0.17201990988968163,2
9,Wisconsin,Arlington,41730,55Q27,42251,236,4.78,857,365,4585.15,737.4,7.06766535,2.1709916227171924,11.99388436,0.08158888570646167,2.08282129,5.981551724,0.1093361064858209,2
10,Wisconsin,Marshfield,41365,55V50,42240,235,4.81,885,366,4608.59,746.0,6.81568039,0.0679566441559506,11.33353768,0.0807154181572474,2.08282129,5.981551724,-0.4357661193084782,2
11,Wisconsin,Marshfield,41730,55V50,41919,261,6.89,547,366,4701.1,820.4,19.01699509,13.388709270621383,25.54843719,0.0776365587273554,2.08282129,5.981551724,-0.5665271843439511,2
12,Wisconsin,Marshfield,41730,55V50,42613,257,6.58,234,366,2437.34,983.6,18.10930552,16.081329094781438,24.86773283,0.08245556713068991,2.08282129,5.981551724,0.6207759778834008,2
13,Kentucky,Lexington,8/9/2012,55V50,9/18/2014,260,5.82,535,366,4684.62,1017.0,18.90510847,16.17861097563937,25.2355735,0.28903446610105,2.08282129,5.981551724,-1.0247597208267143,2
14,Wisconsin,Arlington,41365,55V50,41885,247,5.77,517,365,4701.09,829.2,6.2794522,0.10847246781204439,11.89377366,0.0810517924041275,2.08282129,5.981551724,-0.33308947202240924,2
15,Kentucky,Lexington,8/9/2012,Caliber,9/19/2016,262,6.56,904,365,3492.01,839.9,19.22073795,16.69177841079676,25.67144711,0.2895905877488747,2.08282129,5.981551724,-0.0595323145143464,2
16,Wisconsin,Marshfield,41730,55V50,41889,253,4.99,294,364,2474.8,811.8,19.32379886,14.371299457289556,24.27803248,0.2989244398742091,2.08282129,5.981551724,-0.5551922148363178,2
17,Wisconsin,Arlington,41730,55V50,41885,246,5.45,458,364,4788.55,818.4,18.21699894,15.771031798600912,22.98053601,0.07861934236260787,2.08282129,5.981551724,0.011572274641574301,2
