,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Standard Deviation,Average Yield,Number of Deviations,Class
0,Wisconsin,Marshfield,8/9/2012,L-455HD,9/17/2015,248,7.52,844,348,3655.3,832.2,18.25483378,14.5611871,25.35070817,0.330589952,2.08282129,5.981551724,1.495438987,2
1,Kentucky,Marshfield,4/5/2017,5312,42604,249,7.26,130,348,4823.96,805.3,19.27962705,13.08112267,15.44127945,0.276378431,2.08282129,5.981551724,0.792946837,1
2,Wisconsin,Arlington,41365,Buffalo,42240,252,7.53,482,355,2749.63,1043.2,6.53139577,4.73565564,26.899704,0.07,2.08282129,5.981551724,-0.950719227,2
3,Kentucky,Arlington,41730, LS 706 ,9/15/2017,244,3.4,700,356,3526.53,1043.2,20.32372459,12.95659747,22.92011114,0.256409709,2.08282129,5.981551724,-1.837669928,2
4,Wisconsin,Lancaster,41365,AFX 064022,42243,243,4.5,639,353,4612.96,893.1,23.79017857,18.01622848,13.70923531,0.07,2.08282129,5.981551724,1.532723943,2
5,Wisconsin,Arlington,41730,FSG 415BR,41890,244,5.02,130,369,4680.21,818.9,7.10969962,1.96004708,24.18441327,0.07,2.08282129,5.981551724,1.012719515,1
6,Kentucky,Lancaster,41365, Vernal ,41885,243,6.08,497,350,3594.41,726.4,7.66251924,17.91780047,12.69073701,0.07,2.08282129,5.981551724,2.244757265,2
7,Wisconsin,Lexington,4/5/2016,FSG 424,9/13/2018,257,6.21,866,352,3611.79,768.7,6.73545092,4.47898961,28.10727222,0.2725293,2.08282129,5.981551724,-1.356096224,1
8,Wisconsin,Arlington,41730,Ameristand 403T,41889,253,5.99,200,351,4616.71,792.0,11.05590297,13.92604093,29.25310714,0.296957126,2.08282129,5.981551724,-1.981602061,3
9,Wisconsin,Arlington,41133,GA-505,9/15/2017,251,3.8,1002,361,3510.35,782.5,17.0437817,14.49051963,16.86041538,0.07,2.08282129,5.981551724,0.885842785,2
10,Kentucky,Marshfield,8/9/2012,MS Sunstra 145159*,41886,250,7.44,130,360,3474.93,763.7,23.00632813,2.72523717,28.52096333,0.07,2.08282129,5.981551724,-0.225393789,3
11,Kentucky,Lexington,4/12/2018,L-455HD,41919,264,3.08,1671,368,4823.96,804.5,23.79017857,10.34687889,26.03726043,0.07,2.08282129,5.981551724,-1.374233653,1
12,Wisconsin,Marshfield,40664,LS 706,42251,244,4.03,846,348,3734.7,814.8,23.79017857,18.06443082,16.09664453,0.07,2.08282129,5.981551724,0.678239166,2
13,Kentucky,Arlington,41730,FSG-426,41885,263,8.43,479,350,3122.69,1043.2,8.39968137,18.87832738,11.18475723,0.07,2.08282129,5.981551724,-1.361909004,1
14,Wisconsin,Arlington,41365,Evermore,9/15/2017,249,8.44,296,348,4823.96,853.9,21.51714876,14.63702149,15.99617315,0.382542914,2.08282129,5.981551724,0.094124175,3
15,Kentucky,Arlington,41133,AFX h134089,41919,245,10.91,474,359,2770.93,862.9,7.42874016,3.61729018,29.25310714,0.606731156,2.08282129,5.981551724,-1.616768973,2
16,Kentucky,Lexington,3/31/2015,CW 085028,42604,232,8.47,780,354,4823.96,791.8,19.42591437,3.29183212,29.25310714,0.264463953,2.08282129,5.981551724,1.861765674,2
17,Kentucky,Lexington,41730,Radiance HD,42251,230,5.64,1179,344,4823.96,831.3,8.57514684,14.56861699,29.25310714,0.291618129,2.08282129,5.981551724,-0.475600338,2
18,Wisconsin,Marshfield,41133, AFX h134089* ,41885,276,8.04,130,351,4722.47,904.0,23.79017857,3.31805375,13.65484183,0.249152368,2.08282129,5.981551724,1.394999186,3
19,Kentucky,Marshfield,41365,FSG-426,9/19/2016,243,3.75,457,340,4684.82,960.9,21.74790156,16.62693445,15.564318,0.271064185,2.08282129,5.981551724,-0.317066462,2
20,Kentucky,Lexington,41365,Caliber,42247,242,5.81,530,369,4823.96,868.4,9.4145431,13.17044519,23.49911135,0.07,2.08282129,5.981551724,-0.480516509,2
21,Wisconsin,Arlington,40664,LS 706,42249,232,7.99,542,346,4823.96,810.0,18.15221522,12.09256081,12.28048751,0.07,2.08282129,5.981551724,0.369014158,2
22,Wisconsin,Lexington,4/5/2016,Mssunstra-B17,42605,244,3.3,911,352,4547.7,784.2,23.55236172,18.87832738,29.25310714,0.295282681,2.08282129,5.981551724,-0.844395896,2
23,Kentucky,Lancaster,8/9/2012,AM-09-600,9/17/2015,260,9.78,495,344,3792.59,742.7,8.13373821,12.02629472,16.49977493,0.07,2.08282129,5.981551724,-0.083566547,3
24,Wisconsin,Arlington,4/5/2016,55V50,42613,244,4.91,1029,353,4612.89,813.1,23.79017857,12.49089163,26.11515893,0.07,2.08282129,5.981551724,0.405527774,1
25,Wisconsin,Lexington,41365,LH 9700,42249,252,7.85,822,341,4699.94,468.1,5.78049312,18.87832738,16.70592378,0.079637236,2.08282129,5.981551724,-0.02013517,2
26,Wisconsin,Arlington,8/9/2012,GA-497HD,41885,254,5.42,984,339,3363.18,653.2,21.73488269,2.77580867,14.65852973,0.267767742,2.08282129,5.981551724,-0.836761568,3
27,Wisconsin,Arlington,4/5/2016,Vernal,9/12/2018,249,1.35,153,351,3662.09,590.1,23.79017857,18.87832738,16.20690915,0.298076073,2.08282129,5.981551724,-0.451034021,2
28,Kentucky,Marshfield,41133,L-455HD,41885,247,4.81,1141,365,4526.87,933.3,7.45188607,14.06652889,15.08170633,0.07,2.08282129,5.981551724,-1.313272724,2
29,Wisconsin,Marshfield,4/5/2017,5312,42613,235,7.11,1288,348,3524.63,1043.2,6.31151303,15.12770479,26.49679932,0.283458194,2.08282129,5.981551724,0.395208507,2
30,Wisconsin,Arlington,3/31/2015,Mssunstra-C11,42604,257,5.0,385,356,3491.38,988.9,17.30127953,3.54436233,13.556601,0.087432533,2.08282129,5.981551724,-0.111091144,3
31,Kentucky,Marshfield,4/12/2018,Ameristand 403T Plus,42240,254,8.79,1075,352,4769.65,870.6,23.79017857,6.04522536,26.24450963,0.07,2.08282129,5.981551724,-0.956963697,1
32,Wisconsin,Arlington,42095,FSG 415BR,9/12/2018,251,6.51,893,351,4823.96,741.0,5.53,9.98109638,17.050458,0.07,2.08282129,5.981551724,-1.014121926,2
33,Wisconsin,Marshfield,4/12/2018,Raven,9/14/2017,257,7.22,2225,310,4823.96,859.3,23.2679361,0.12488836,15.75750317,0.277583275,2.08282129,5.981551724,-2.300510249,2
34,Wisconsin,Lancaster,41365,Foragegold,9/19/2016,251,5.22,1330,363,4823.96,509.8,22.3175717,18.51114938,11.66945109,0.085084659,2.08282129,5.981551724,0.35265937,3
35,Kentucky,Marshfield,42095,AFX095005,9/17/2015,246,7.37,998,359,3565.07,1043.2,5.53,0.06907288,11.32473028,0.256829912,2.08282129,5.981551724,0.729761295,2
36,Wisconsin,Arlington,41730,AFX064022,8/12/2013,241,7.17,1036,347,4823.96,872.5,6.06836137,13.47442409,13.04410486,0.273536478,2.08282129,5.981551724,1.511752477,3
37,Kentucky,Lancaster,4/5/2016,Saranac AR,42613,245,7.87,1048,1,3856.07,587.7,18.83146136,18.87832738,14.93522794,0.249842409,2.08282129,5.981551724,-1.831453643,1
38,Wisconsin,Arlington,40664,Solargold,9/19/2016,255,6.51,901,343,4675.34,758.7,8.34300214,0.6875049,15.60564513,0.07,2.08282129,5.981551724,0.966882744,3
39,Wisconsin,Lexington,3/31/2015,Ameristand 403T,42249,242,6.95,1306,351,3795.35,881.1,22.98061227,10.66265168,13.63446927,0.252261134,2.08282129,5.981551724,0.538338362,3
40,Kentucky,Lancaster,4/5/2017,GA-ALFG-1,9/17/2015,243,7.73,828,363,3681.36,681.4,17.93183927,15.24275181,16.3971911,0.07,2.08282129,5.981551724,-1.610763703,1
41,Wisconsin,Arlington,42095,Evermore,42249,234,3.81,915,344,3107.67,855.0,20.95184725,18.0162467,26.09885715,0.285356483,2.08282129,5.981551724,-0.372009731,3
42,Kentucky,Lexington,8/9/2012,Vernal,9/18/2014,242,4.68,130,356,4737.93,1043.2,23.79017857,5.60978762,26.60828854,0.07,2.08282129,5.981551724,-0.658352267,1
43,Wisconsin,Arlington,40664, AFX  095026 ,42613,257,5.52,175,345,2389.42,797.2,8.05935501,6.41694442,14.28955646,0.255872836,2.08282129,5.981551724,-0.153129758,3
44,Kentucky,Arlington,8/9/2012,Caliber,41919,243,5.28,561,363,4823.96,700.7,5.79077558,11.75483066,14.47409289,0.283839997,2.08282129,5.981551724,2.038775497,1
45,Kentucky,Arlington,40664,AFX 095023,41919,256,1.19,1148,340,3296.29,548.8,22.57415885,17.37835164,12.51559162,0.264501381,2.08282129,5.981551724,-0.283540864,2
46,Wisconsin,Lexington,41730,AFX 064022,42613,254,5.58,429,370,2912.32,799.9,23.50172692,3.40143677,29.25310714,0.304787371,2.08282129,5.981551724,0.925718659,2
47,Kentucky,Lancaster,41365,55Q27,9/13/2018,224,5.27,1439,348,4823.96,828.0,7.21539767,2.95698502,26.41090712,0.251331256,2.08282129,5.981551724,-0.123191239,1
48,Kentucky,Arlington,41365,55H94,42247,248,10.28,1181,31,3298.41,853.7,9.53152535,18.87832738,15.10318638,0.07,2.08282129,5.981551724,0.453720769,2
49,Kentucky,Arlington,41365,VERNAL,41889,280,6.41,833,348,4823.96,841.2,6.87686137,-0.53,10.92,0.401334937,2.08282129,5.981551724,-0.431181001,1
