,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Standard Deviation,Average Yield,Number of Deviations,Class
0,Wisconsin,Arlington,8/9/2012,AFX095005,42604,260,6.13,824,352,3592.74,109.7,7.28107396,0.37758637,29.25310714,0.099824539,2.08282129,5.981551724,0.465961319,3
1,Wisconsin,Marshfield,41365,WL 365HQ,9/15/2017,250,4.54,465,349,4823.96,994.9,23.79017857,14.91387315,11.79720138,0.07,2.08282129,5.981551724,-2.300510249,2
2,Kentucky,Marshfield,8/9/2012,Evermore,9/13/2018,226,6.49,909,360,3142.45,464.4,13.22420241,-0.53,27.89987595,0.085944964,2.08282129,5.981551724,0.388596589,3
3,Kentucky,Lexington,41133,SW5208*,42251,239,6.44,739,365,3459.93,1043.2,8.27553501,12.74232202,28.37828558,0.071884893,2.08282129,5.981551724,-2.300510249,2
4,Wisconsin,Lexington,41730,Withstand,42243,254,7.79,957,363,2116.05,805.6,19.00846681,18.87832738,27.20238322,0.114453905,2.08282129,5.981551724,0.995450401,1
5,Wisconsin,Arlington,41133,54Q14,41919,246,10.33,898,402,3482.2,764.0,6.41075352,-0.05874954,12.74738976,0.7,2.08282129,5.981551724,0.841689754,2
6,Wisconsin,Arlington,8/9/2012,MSSUNSTRA-D15*,41885,254,5.16,600,377,4823.96,1024.3,8.80802065,0.63337247,27.25989209,0.279842239,2.08282129,5.981551724,0.914073594,2
7,Kentucky,Lancaster,41133,5312,42604,258,1.94,564,350,3171.48,809.6,5.53,13.70523173,29.25310714,0.105156393,2.08282129,5.981551724,-1.178043499,2
8,Wisconsin,Marshfield,40664,AFX 064022,42240,225,10.01,508,1,2726.74,1043.2,6.08299591,14.1236816,29.25310714,0.093382932,2.08282129,5.981551724,-0.456599833,1
9,Kentucky,Arlington,8/9/2012,54Q14,9/16/2015,249,5.86,1287,368,4676.66,728.8,19.60810179,0.53005114,16.70635122,0.10337767,2.08282129,5.981551724,-0.036439785,2
10,Wisconsin,Marshfield,41730,AFX095005,9/18/2014,246,7.68,966,354,4805.05,831.4,6.14788132,-0.53,29.25310714,0.308420137,2.08282129,5.981551724,-0.226531083,2
11,Wisconsin,Marshfield,41133,Radiance HD,42613,264,5.93,1429,365,2894.18,717.7,5.53,12.47810445,11.86769034,0.325245088,2.08282129,5.981551724,-0.742894962,2
12,Wisconsin,Arlington,41730,AFX 095023,9/16/2015,248,2.84,622,369,3064.65,1036.3,5.63938742,0.53637439,23.63288556,0.268234769,2.08282129,5.981551724,-2.300510249,2
13,Wisconsin,Lexington,41365,MS Sunstra 144142,42243,246,4.75,1861,346,4662.88,595.7,8.25246439,0.73236238,25.25463456,0.07,2.08282129,5.981551724,-1.485234426,3
14,Wisconsin,Lancaster,41365,Ameristand 427TQ,42251,224,6.26,130,374,3665.0,762.9,17.34502687,0.06469717,27.28620091,0.7,2.08282129,5.981551724,-0.927853771,2
15,Wisconsin,Marshfield,41365,DSD06-M,42613,247,5.15,1038,350,3542.11,820.0,7.3119142,-0.53,29.25310714,0.344199751,2.08282129,5.981551724,0.557794028,2
16,Kentucky,Marshfield,3/31/2015,ROADRUNNER,8/20/2018,253,4.64,505,366,4796.74,1043.2,15.56100527,2.40419169,27.24681776,0.7,2.08282129,5.981551724,-0.735623585,2
17,Wisconsin,Lexington,41365, LH 9700 ,42604,250,6.35,798,368,1979.55,1004.3,5.53,-0.53,10.92,0.288823573,2.08282129,5.981551724,-0.469664367,2
18,Wisconsin,Lexington,41730,LS 706,42251,263,5.22,133,379,2233.36,707.3,8.08313703,14.27989244,29.25310714,0.097644759,2.08282129,5.981551724,0.287056881,1
