,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Standard Deviation,Average Yield,Number of Deviations,Class
0,Wisconsin,Arlington,41365,55Q27,8/20/2018,243,8.0,382,358,4478.68,773.8,7.39638378,4.7188518,10.92,0.099141196,2.08282129,5.981551724,0.434267705,2
1,Wisconsin,Arlington,41730,DG 4210,42613,249,8.95,395,359,4648.72,735.2,8.42301081,-0.52315551,20.0239094,0.097063883,2.08282129,5.981551724,0.667149262,2
2,Kentucky,Lexington,3/31/2015,Caliber,9/19/2016,232,8.16,1118,355,4541.17,561.0,16.85874705,9.29748608,12.85075525,0.29594776,2.08282129,5.981551724,0.625253164,2
3,Kentucky,Marshfield,4/5/2017,Ameristand 427TQ,42240,224,1.19,598,338,4435.65,817.3,13.58867687,-0.53,22.66693126,0.338313998,2.08282129,5.981551724,0.471970136,2
4,Wisconsin,Marshfield,41730, SW 4332 ,9/13/2018,233,3.75,933,370,1856.67,860.7,5.53,8.79185704,29.14902982,0.095665133,2.08282129,5.981551724,2.447856808,2
5,Kentucky,Arlington,40664,55H94,9/12/2018,244,9.64,917,351,1981.03,773.2,23.79017857,15.45641865,24.66447189,0.342318269,2.08282129,5.981551724,0.201946051,2
6,Wisconsin,Lancaster,3/31/2015,55V50,9/18/2014,243,5.49,130,371,3380.41,385.1,7.64251201,2.90501972,10.92,0.076256852,2.08282129,5.981551724,0.448864377,2
7,Wisconsin,Arlington,41730,AFX083003,42604,251,4.96,130,1,1862.26,1043.2,5.53,-0.10448751,21.77033964,0.092948792,2.08282129,5.981551724,-1.655536326,2
8,Kentucky,Arlington,41365,NF11ALF006,41886,255,4.68,384,347,3026.22,776.8,6.63709254,2.98988677,10.92,0.326676564,2.08282129,5.981551724,-1.840510939,2
9,Wisconsin,Lexington,41730, 55V50 ,42251,250,6.82,443,357,4644.53,109.7,10.32875731,14.03272107,10.92,0.336949354,2.08282129,5.981551724,0.264633072,2
10,Wisconsin,Lexington,41730,Roadrunner,9/16/2015,245,5.88,450,370,3364.09,453.2,7.96666786,-0.53,18.86881531,0.108245734,2.08282129,5.981551724,1.459380626,2
11,Kentucky,Lexington,8/9/2012,Evermore,9/19/2016,246,7.58,774,364,2092.82,752.1,21.71691523,-0.53,10.9606429,0.321339271,2.08282129,5.981551724,1.819599572,3
12,Kentucky,Lexington,3/31/2015,Caliber,42605,224,1.52,796,338,3579.99,886.4,13.30936301,11.06348804,19.01975752,0.096880715,2.08282129,5.981551724,0.243027298,2
