,Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,3319.27,852.5,21.17518205,16.32115217,26.3240015,0.295225092,1
1,3265.72,724.6,20.37459738,14.94866516,26.16118432,0.290185376,2
2,3569.34,875.7,20.0253421,16.11719893,25.94866368,0.295885788,2
3,3191.37,800.7,20.12982427,15.48202709,25.9023213,0.277244188,2
4,3667.17,806.7,19.12519937,16.53561679,25.74370537,0.304231943,2
5,3437.81,479.6,20.76329928,15.57724716,29.25310714,0.287441389,1
6,3601.32,730.7,20.28496283,15.55781225,24.75071728,0.293299989,2
7,3254.96,820.6,20.62061206,14.52509923,25.02639084,0.297574175,2
8,3329.9,812.3,21.17165412,16.1690211,26.37672656,0.291694239,2
9,3611.6,767.2,20.62854694,16.16427616,25.63321403,0.294493182,2
10,3169.61,589.4,20.5280499,16.19902907,26.20588845,0.293662935,2
11,3353.93,751.7,21.07638298,16.49461007,25.79360567,0.293962495,2
12,3190.51,740.6,19.1735552,18.82837633,26.29563298,0.284504634,1
13,3323.26,760.2,20.84454601,13.89294793,26.33357637,0.294097259,2
14,3532.23,751.1,18.95426564,15.78234011,25.83131282,0.305684948,2
15,2634.65,826.4,21.17380196,15.9584268,29.25310714,0.297943532,3
16,3367.53,628.5,20.59891786,16.84224462,26.45776254,0.30246351,2
17,3392.52,803.6,20.01472368,16.22703867,26.67616762,0.274639789,3
18,3128.71,771.4,19.64319949,16.47258359,26.08420183,0.293826007,2
19,3659.07,686.1,20.48762997,15.38144645,25.62045308,0.282736575,2
20,3643.58,794.9,20.06799334,15.89941546,26.14781795,0.301717928,2
21,3451.02,587.6,21.43322892,16.74141656,26.0758003,0.290425464,2
22,3242.87,749.4,19.2922756,16.22588953,26.15125488,0.310493651,2
23,3214.05,798.1,19.509932,17.72241872,25.32672571,0.303905545,1
24,3250.13,756.6,19.94631115,15.86479789,26.39092339,0.28836411,1
25,3214.35,818.8,19.97095878,15.87831058,26.1626137,0.294667975,1
26,3451.79,814.8,20.44440367,18.53459604,25.73836919,0.294000276,2
27,3372.03,747.3,19.50796047,14.17415457,25.46806052,0.287399586,2
28,3564.22,871.0,23.79017857,15.94016669,25.06230917,0.293111225,2
29,3375.14,712.4,19.597647,16.06421246,25.78147225,0.292616273,3
30,3126.58,759.4,18.67477638,16.26811977,22.59871398,0.292562442,3
31,3562.27,666.5,23.79017857,14.18940218,24.29123309,0.2729625,2
32,3559.93,992.0,20.09564748,15.90833951,24.51706433,0.302573006,3
33,2958.82,552.2,19.53162371,15.22540553,26.52859918,0.299346656,2
34,3324.48,716.5,21.07097154,16.29024264,26.37090597,0.290179701,2
35,3529.22,426.3,19.22259648,16.11073637,25.74138662,0.2729625,3
36,4124.87,718.8,21.48942505,15.40352775,25.58031782,0.294086753,2
37,3419.45,756.0,20.73890735,15.91277649,26.85021085,0.290433553,2
38,1856.67,741.6,23.79017857,16.20009046,29.25310714,0.296647493,3
39,3431.81,824.1,19.29193112,16.0872464,25.80455492,0.293669695,2
40,3523.6,728.4,20.48984735,13.76694771,25.92663461,0.276662604,2
41,3345.85,782.1,20.93034031,14.70091289,25.35395242,0.295485561,2
42,3196.83,722.6,20.56156831,15.49012667,25.65901498,0.292042065,3
43,3015.77,789.7,20.81047207,16.52856017,26.34199727,0.290241784,2
44,3488.03,708.3,22.70948072,12.61707097,29.25310714,0.278209835,2
45,3402.62,687.2,21.1585969,14.52741882,25.0768397,0.296563537,2
46,3457.95,762.1,20.08166783,16.22499158,26.18199106,0.288854084,3
47,3586.31,827.5,20.15467185,15.78845767,26.57609497,0.292195339,2
48,3586.02,771.2,21.11777671,18.87832738,25.35143996,0.287218555,2
49,3044.54,1038.0,20.7897834,16.28571946,29.25310714,0.306160725,2
50,3544.01,550.8,20.46177036,16.40747237,25.89929139,0.295409603,2
51,3214.76,823.8,20.92439883,16.56437134,26.55775831,0.299877621,2
52,3375.83,736.0,19.96431774,15.95522376,26.30786287,0.305340639,2
53,3330.7,777.3,21.19910656,15.87099852,26.5800896,0.285041041,2
54,3007.86,705.0,20.54214248,18.87832738,26.44094154,0.2729625,2
55,2535.3,858.4,20.79390082,16.4205359,26.05720349,0.286244519,2
56,3629.64,762.3,19.7998034,16.13332187,25.53432809,0.289697172,2
57,3181.51,970.9,19.87919572,15.01210002,25.19718804,0.280820423,2
58,2418.06,1043.2,20.17137987,16.4264676,22.98354659,0.288577124,2
59,3357.68,778.9,20.29569127,15.74544204,28.65412877,0.293886715,2
60,3476.52,788.4,20.16707253,14.52868005,25.94012006,0.313480989,1
61,3623.22,404.0,20.64477666,16.09216675,26.08731211,0.29431607,2
62,3446.6,656.6,18.84653238,15.98636684,26.64250424,0.290449851,2
63,3383.74,854.0,23.79017857,16.0499378,26.33582188,0.293979461,2
64,3645.36,767.8,19.48829151,14.61367576,25.93463781,0.2729625,2
65,3143.39,768.7,20.02472009,15.99579768,26.12297153,0.274246859,2
66,3443.34,861.4,19.74075016,13.37740707,26.08633955,0.279816737,3
67,4209.13,441.7,19.51231807,16.34669745,25.64851437,0.294743027,2
68,3458.46,559.9,23.79017857,16.66393749,26.65480088,0.287911045,2
69,3248.26,619.1,21.15673242,15.82811782,26.57417407,0.2729625,2
70,3244.33,705.1,20.82357898,16.79525663,25.64570215,0.309893225,2
71,1856.67,829.7,20.18534067,16.53848839,25.89816325,0.276399671,2
72,3241.92,821.2,19.30670759,15.86249309,26.07482011,0.300404863,2
73,3562.45,656.1,20.62897435,15.77677429,26.16006962,0.299872109,2
74,3237.76,708.2,20.94129413,16.48889124,24.93382194,0.300070603,2
75,3139.98,781.6,20.03230754,15.18924094,25.72883298,0.2729625,3
76,3421.5,1043.2,20.51498306,16.13535303,25.9448564,0.297950887,2
77,1951.84,799.5,23.38103541,14.99151296,25.12051222,0.2729625,2
78,3401.63,845.4,21.23435697,17.1640644,25.63433337,0.291983515,2
79,3424.25,790.4,21.6700707,16.06138478,29.25310714,0.283807028,3
80,3353.09,719.3,19.70167687,16.32405564,26.36686506,0.294751498,2
81,3566.8,776.1,19.51933963,16.28262937,29.25310714,0.313480989,2
82,3707.62,824.5,20.64060159,15.94960734,25.5144318,0.302057568,1
83,3119.97,946.2,19.74383134,15.16053852,25.60517918,0.29479432,2
84,3390.45,750.0,20.54898663,15.85247438,25.73598374,0.2729625,2
85,3429.6,624.1,21.67742304,16.10572178,25.46023514,0.282242799,2
86,3119.5,661.6,20.37569786,16.12514166,24.75463981,0.297234538,2
87,3327.02,853.2,19.03346219,15.45659699,25.64655928,0.277808231,2
88,3706.09,552.2,20.58623266,16.60004886,26.02502424,0.289796984,3
89,3661.3,784.7,19.8307238,16.4713009,25.43646692,0.292802293,3
90,3435.41,613.3,19.93090678,16.18498396,25.59902882,0.298431599,2
91,3302.79,823.5,20.54595978,16.65564157,29.25310714,0.29054841,2
92,3469.65,455.0,20.64396545,15.87710724,24.37737611,0.292482623,1
93,4218.73,1043.2,22.95893739,14.54459625,25.52560875,0.283513511,2
94,3421.31,833.9,20.6625766,16.58719553,25.12251361,0.278638642,2
95,3267.06,596.1,20.17707092,13.73151808,25.2785368,0.301154034,2
96,3238.71,554.7,21.01813842,15.80120339,25.79543859,0.27402455,2
97,3091.33,837.6,21.17225815,14.01823244,28.42454867,0.286673156,1
98,3508.76,455.4,18.81813352,16.73713163,26.26898291,0.291122458,3
99,2492.15,780.8,19.29266322,15.75337023,26.03478767,0.279688052,2
100,3441.71,780.3,20.15984535,16.81889997,24.5017388,0.290162698,2
101,3151.06,714.3,20.71105735,14.47811897,26.39629839,0.285750766,2
102,3172.36,708.1,20.9888658,16.36401335,26.27189737,0.285109138,2
103,3627.81,878.5,23.79017857,16.17045605,25.04799921,0.275946175,2
104,3421.95,735.4,18.96289352,16.00322734,25.84153308,0.307050425,2
105,3392.95,862.7,20.49049198,16.08867076,25.16601994,0.2729625,2
106,3371.85,635.2,22.28865456,15.84328326,26.09786438,0.2729625,2
107,3306.92,870.8,23.11533179,15.2670891,26.52007513,0.29959542,3
108,3375.34,730.0,20.95470723,15.77610668,24.10506177,0.293531772,2
109,3336.23,564.3,22.8689272,15.96932741,25.55214342,0.296261942,2
110,3186.14,802.2,18.69655262,16.08820895,26.77669619,0.282522063,2
111,3584.94,731.4,20.4389377,14.97463388,25.51521432,0.283608591,3
112,3073.17,755.0,19.41461584,16.44027954,25.83148381,0.291475602,2
113,3637.12,670.0,21.57253593,16.13814857,26.11473435,0.295186845,1
114,3689.15,714.9,20.37144273,16.34293501,26.40993093,0.287473743,3
115,2634.39,450.1,17.60733333,15.67013257,24.99117892,0.290662552,2
116,3395.01,441.5,21.03764785,14.3105951,26.61657768,0.295989095,2
117,3205.36,819.2,20.50571281,16.53899856,25.00406368,0.295985089,3
118,3469.26,766.7,20.14938238,14.54299116,25.48355219,0.291922328,1
119,2802.51,777.2,19.82325766,13.94923305,29.25310714,0.274623626,2
120,3204.82,786.6,20.07776233,15.69849536,25.82351568,0.292875068,2
121,3412.0,600.7,21.08489246,14.29763952,22.59871398,0.29605378,1
122,3533.13,775.0,21.65106193,14.06862665,26.69193978,0.285421116,2
123,3198.71,813.9,20.18972385,14.34760936,29.25310714,0.292809727,2
124,3368.02,404.0,20.81021472,15.57717809,26.44394044,0.313480989,3
125,3168.93,873.7,20.12298676,15.86907782,26.39124062,0.285440233,1
126,3467.29,800.5,19.52442117,15.89120356,24.64825298,0.287255406,2
127,3171.83,626.6,19.75798672,16.0186997,26.37489144,0.293282414,2
128,3318.55,849.4,19.99812787,16.67274383,26.65811413,0.277663804,2
129,3163.14,645.3,21.09961846,18.87832738,26.26309741,0.290071927,1
130,3207.54,748.0,20.34770292,15.74834677,25.36139404,0.296470122,3
131,3199.09,824.6,20.49802492,16.20638569,25.88309803,0.295614912,1
132,3577.78,790.8,20.86274805,15.10343142,26.44698702,0.276606131,2
133,3339.06,822.8,20.34597925,16.24697387,25.43410226,0.292199125,2
134,3347.57,669.8,19.29858284,16.11832057,26.67221556,0.287222117,2
135,3098.37,783.8,20.4980734,18.09700075,26.23264858,0.289952814,2
136,3455.51,878.0,21.2712329,16.78481723,26.132961,0.29345204,2
137,3095.54,673.9,20.71558888,16.53963498,26.48696395,0.29932698,3
138,3705.22,631.2,20.39810778,15.24270329,24.66632709,0.275422233,2
139,3047.48,452.0,20.22801271,15.35413098,26.36285705,0.292069818,2
140,3399.22,734.8,19.66856369,16.28003265,26.17489898,0.295590766,2
141,3270.01,754.6,20.85465084,16.30346901,26.61586078,0.274117892,2
142,3186.34,616.3,21.3227767,15.9558426,26.23960794,0.295291117,1
143,3309.77,773.8,20.4672394,16.77907996,22.59871398,0.291809332,2
144,3774.15,742.6,20.15338884,14.83587577,25.66281231,0.292162422,2
145,3178.62,867.2,19.03077145,14.97639247,24.78915135,0.275264898,2
146,3369.7,1043.2,19.94861529,16.16531533,26.41622635,0.28172075,2
147,3340.44,598.8,19.80920278,16.61943658,25.50101911,0.287076677,3
148,3288.85,1043.2,20.37690218,15.60593852,25.09254388,0.27942621,3
149,3533.14,1043.2,19.25512003,16.38412065,25.01521532,0.284621919,2
150,3223.16,978.8,17.6519759,18.87832738,24.14257324,0.307653444,2
151,1856.67,795.9,19.41592542,15.78470879,22.59871398,0.279544301,3
152,3297.39,819.7,20.22830257,12.61707097,26.45184804,0.303091413,2
153,3382.63,742.2,20.04969578,15.84696792,26.37841702,0.279483249,2
154,3249.75,807.7,17.60733333,15.25121982,26.08374012,0.294626573,3
155,3176.76,813.6,19.95888973,15.96744289,24.31650295,0.278478601,2
156,3327.49,868.4,23.73692867,16.23095806,26.68698226,0.287616768,1
157,3230.06,556.6,20.6165059,13.11875765,26.95591255,0.299371479,2
158,3240.82,721.5,20.62163533,16.08439659,29.25310714,0.274787806,2
159,3523.0,418.0,20.24197344,15.17047889,25.81240982,0.294060407,2
160,3227.17,818.3,19.07825434,16.49610333,26.58635308,0.2729625,2
161,3722.06,733.3,20.36231982,18.87832738,26.53178217,0.293236752,2
162,3548.97,683.9,18.49083081,16.74930318,25.92841276,0.297157688,2
163,3629.65,798.0,19.83755885,16.15509185,25.54937675,0.293181291,2
164,3469.94,749.9,20.42065113,14.31104939,29.25129754,0.2729625,2
165,3253.4,686.7,20.88745758,15.87812887,26.03511107,0.284904259,2
166,2779.85,763.4,20.79600399,16.29069996,25.74410655,0.289768334,2
167,2431.92,732.3,19.24981349,15.5582589,26.04480212,0.299866922,2
