,Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,3342.61,828.4,20.75251143,15.95420792,26.2340461,0.297350063,2
1,2286.19,455.9,23.77521992,18.63289877,28.90235981,0.28130839,1
2,3364.26,797.2,20.74013873,12.73818418,25.93825209,0.297255845,2
3,3513.09,514.3,19.73602075,15.0678942,25.38850397,0.275419204,2
4,3276.22,818.8,20.7960045,16.02090384,25.84524125,0.296674157,2
5,3382.09,794.7,20.7244129,16.02877745,25.6033333,0.296302907,2
6,3298.76,808.2,20.89051777,16.02563436,25.77681338,0.297926889,2
7,3432.95,738.3,20.11225012,14.40116307,24.48311629,0.291865431,2
8,3373.74,946.9,19.67514689,14.59663484,25.82664215,0.277584351,2
9,3236.36,815.6,17.60733333,13.18977358,22.59871398,0.313480989,2
10,3365.51,946.9,19.63251694,14.38399865,24.90258683,0.288876928,2
11,3310.17,808.5,17.60733333,12.74599406,22.96429674,0.313178576,2
12,3467.21,598.9,20.10337649,14.96656502,26.10995776,0.277524014,2
13,3462.35,673.7,20.49097863,14.81123204,24.84098143,0.275758226,2
14,3458.45,797.6,19.50893591,14.45938227,25.93622192,0.297320682,2
15,2328.02,522.1,22.79714467,18.42242656,24.90009604,0.279942369,1
16,3394.28,800.9,19.70110774,14.30203874,25.53886523,0.277439074,2
17,3419.37,596.8,20.88172516,14.98759229,25.90697866,0.277848583,2
18,3314.81,789.9,20.38079803,15.6951337,25.5325358,0.297627006,2
19,3301.3,797.8,19.91381054,15.18583575,25.62248896,0.282266932,2
20,4319.87,825.0,19.83814389,14.61352779,25.71893162,0.282604938,3
21,3317.83,796.6,20.62595081,14.02082395,25.07391975,0.297867639,2
22,3430.89,699.0,19.51895703,14.6666689,24.82224103,0.288712637,2
23,3449.26,1035.7,19.7422706,14.96241703,25.85316092,0.282806919,2
24,3369.26,637.7,20.46993224,14.43414742,26.25082717,0.277163835,2
25,3202.92,802.3,21.95827442,17.38326873,25.9587145,0.278831477,2
26,3478.41,717.0,19.93206714,14.3698311,25.46605456,0.290403068,2
27,3383.69,792.1,20.68489189,14.48005235,25.43293077,0.294309987,2
28,3314.88,808.0,19.87367196,14.5388642,26.05990986,0.282521449,2
29,3400.99,506.2,20.69303362,16.14563167,25.98167687,0.273393177,2
30,3487.48,731.5,19.45218231,15.17796649,25.7367693,0.288900955,2
31,3397.94,708.2,19.15344683,14.69602183,25.46634323,0.290874302,2
32,3330.59,795.8,19.29973342,13.31001523,25.03868983,0.298220837,2
33,3384.13,804.9,20.74279302,13.55445531,22.96734376,0.301670277,2
34,3361.65,527.1,19.53875721,14.43473355,24.58962398,0.280948867,2
35,3358.36,799.2,20.61075407,12.8634389,25.24425026,0.277989106,2
36,3294.07,801.9,20.43623963,14.94104108,25.61142119,0.278971946,2
37,3452.08,717.8,19.83159977,14.66975212,25.07165113,0.293175439,2
38,3503.62,737.0,19.09039696,13.98114771,24.83028946,0.29140292,2
39,3388.24,508.7,20.68752962,14.98291753,25.63616091,0.277925331,1
40,3308.94,716.4,19.32219778,13.96328592,24.44644345,0.29078289,3
41,3539.89,915.1,20.17775236,15.08023299,25.94112821,0.276065457,2
42,3261.95,801.3,20.80937158,15.93002373,26.07853112,0.301458187,2
43,3454.1,642.5,20.46376719,14.45743086,25.77990012,0.281004319,2
44,3257.43,789.7,21.12860943,16.02930023,26.20779754,0.301356631,2
45,3463.6,793.0,20.66810782,16.18934584,25.46851493,0.299986938,2
46,3319.21,814.0,20.27851735,15.91773725,25.93469221,0.301544182,2
47,3391.1,706.8,19.62905299,14.57922428,24.76839297,0.28888526,2
48,3377.28,819.3,19.62632966,12.61707097,24.82989626,0.291639206,2
49,3412.38,794.5,21.16704546,14.87372883,25.60293707,0.280178914,2
50,3390.66,622.7,20.79050115,15.21881369,25.71336719,0.283126589,2
51,3446.04,739.2,19.66485374,14.55032622,25.27051247,0.288486972,2
52,3286.32,813.1,18.98383345,13.14211646,25.84132984,0.31333674,2
53,2223.44,404.0,23.51830355,18.84239228,29.05476243,0.275654428,1
54,3432.96,1005.6,19.75169457,14.78760125,25.70379804,0.299035916,2
55,3401.75,794.5,21.11348628,16.08945209,25.77199532,0.295989319,2
56,4264.4,579.0,22.29736206,14.32610463,29.11023888,0.277172926,1
57,3400.2,799.0,20.6643914,12.97302002,25.95694079,0.298483988,2
58,3217.5,799.9,20.83493332,15.82352386,25.4868226,0.299438509,2
59,3376.54,804.3,20.99822242,15.91567786,25.60635655,0.300519159,2
60,3261.78,796.4,20.56249546,14.82253096,25.6999979,0.279743579,2
61,3227.9,783.6,20.34903326,15.79996826,25.72764521,0.299468717,2
62,3381.79,741.8,19.73067563,14.79820417,25.4640389,0.293619888,2
63,3308.36,800.9,20.66449081,15.07422337,25.95776209,0.280962257,2
64,3442.17,606.5,19.73217208,14.52529334,24.76890802,0.277923789,2
65,3532.68,817.5,20.03893734,14.30360377,25.87554615,0.278642958,2
66,3408.21,729.4,19.88563331,14.48975954,25.15222838,0.28865081,2
67,3411.29,797.7,19.99642785,14.40902105,24.95291572,0.289687055,2
68,3353.56,804.8,19.50009465,12.61707097,25.71497852,0.298225853,2
69,3354.69,712.1,19.58127623,14.34085508,24.4926118,0.29190003,2
70,3353.64,813.7,20.95123098,15.98175981,26.38207214,0.295258021,2
71,3391.09,819.0,19.61077035,14.14093228,24.65547454,0.293201074,3
72,4544.8,450.4,21.00667974,18.45665665,26.24195615,0.279702946,1
73,3354.82,807.8,20.86347541,13.88011104,24.43308417,0.29552433,2
74,3386.52,792.3,20.83303062,15.9603771,25.64877956,0.297187186,2
75,3448.35,652.8,19.66136656,14.75495115,25.14779327,0.290972896,2
76,2262.72,404.0,23.79017857,18.28312959,28.1848421,0.273484572,1
77,3394.96,801.7,20.68549857,13.91816724,26.05010959,0.280655008,2
78,3349.86,737.7,19.80223336,14.93097423,24.14354704,0.290432249,2
79,3269.43,786.0,20.68395729,13.42482329,23.04920027,0.299596334,2
80,3335.01,802.7,19.94750245,14.66482964,26.03403228,0.282652339,2
81,3473.77,794.1,20.73264438,15.93036364,25.55635725,0.300208247,2
82,2507.27,501.6,23.72353375,18.42227341,29.08559328,0.275113517,1
83,3453.55,960.0,19.66152755,14.08864701,25.45216109,0.280845614,2
84,3288.31,823.0,21.01536571,14.46390023,25.88645467,0.280934235,2
85,3297.54,788.9,19.71378819,13.52551921,22.59871398,0.313145911,2
86,3384.73,817.3,20.13671521,12.7110079,25.85713009,0.276322663,2
87,3399.79,822.6,21.18805796,15.99855926,25.39660117,0.300358095,2
88,3362.45,722.1,19.80860106,14.51413872,24.97017149,0.284823555,3
89,3507.6,925.0,19.99855171,14.30630278,25.85762589,0.278891137,2
90,3288.49,809.4,19.79586228,15.1443928,25.55626863,0.292553654,2
91,2343.94,492.1,23.5941015,17.9616287,29.25310714,0.276521814,1
92,3449.01,601.6,20.74359513,14.54446201,26.04680371,0.281210032,2
93,3278.3,817.9,19.35391705,14.59503156,24.77957367,0.278941656,2
94,3390.9,812.9,19.19556792,14.97695136,24.97317135,0.278635095,2
95,3502.48,680.4,20.51701136,14.58899209,25.79955546,0.279543024,2
96,3372.88,644.9,20.04472469,14.59316413,25.23091864,0.290815104,2
97,3402.03,735.0,19.72171844,14.89133395,24.96220873,0.288930835,2
98,3239.55,779.3,20.53600368,15.98576915,25.80692781,0.298910463,2
99,3400.36,921.2,19.76782101,14.80740573,25.7640659,0.298736018,2
100,3298.39,799.9,17.60733333,13.01617284,22.59871398,0.311491313,2
101,3355.85,806.0,20.1776959,13.06791987,22.97661282,0.277583765,2
102,3371.71,813.4,20.44916533,13.51706016,26.02686107,0.275829621,2
103,3417.32,783.9,20.44699042,14.95609153,25.94554433,0.294941994,2
