,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Wisconsin,Arlington,41730,Vernal,41886,249,3.38,200,3,2659.93,149.2,16.34411656,11.26824835,24.92439643,0.074659241,1
1,Wisconsin,Arlington,41730,Vernal,41886,249,3.43,139,2,2814.5,109.7,16.02548609,10.77671835,23.12545732,0.07,1
2,Wisconsin,Marshfield,41365,55V50,41919,248,5.47,914,363,4686.37,757.3,6.89960175,0.5706571,11.85101852,0.084868834,2
3,Wisconsin,Arlington,41730,55V50,41886,249,6.45,130,7,2518.47,497.8,15.6061453,9.98656201,21.09178108,0.074175027,1
4,Kentucky,Lexington,3/31/2015,Contender,9/14/2017,260,6.15,161,370,3008.67,611.1,20.84130627,15.34898796,23.5438283,0.285546167,2
5,Wisconsin,Arlington,41365,55V50,41885,245,6.01,497,366,4689.37,802.7,7.48034849,-0.41903556,12.15449773,0.070413035,3
6,Kentucky,Lexington,4/5/2016,Caliber,9/19/2016,257,10.15,550,364,4781.94,1043.2,20.54829072,16.98851638,25.74561915,0.291658074,3
7,Kentucky,Lexington,41730,55V50,41890,231,2.67,139,1,2480.72,521.3,19.42307633,15.84717479,24.87944631,0.282517828,1
8,Kentucky,Lexington,8/9/2012,Caliber,9/18/2014,266,5.4,773,373,4487.37,829.3,20.0592747,14.65894387,26.71048217,0.290139839,3
9,Kentucky,Lexington,41730,55V50,9/15/2017,231,6.12,430,364,3423.86,807.4,21.02414539,16.19090655,25.32267152,0.292349079,3
10,Kentucky,Lexington,3/31/2015,Contender,9/14/2017,261,4.7,1127,368,3435.81,1043.2,22.89807008,15.03774745,23.8980375,0.28586054,2
11,Kentucky,Lexington,8/9/2012,Caliber,9/12/2018,264,5.58,1062,362,3446.95,812.6,20.22314154,14.67028536,24.04422167,0.297738156,2
12,Kentucky,Lexington,8/9/2012,55V50,9/15/2017,255,5.02,512,359,3420.33,772.4,18.71148462,13.592606,25.78714302,0.286347245,2
13,Kentucky,Lexington,3/31/2015,Contender,9/14/2017,264,5.79,148,364,3418.95,520.8,20.31794547,15.30241536,25.24772405,0.282683719,2
14,Wisconsin,Marshfield,41730,55V50,9/14/2017,258,5.08,276,364,2913.31,536.6,20.70586889,16.02333541,25.87967683,0.074615505,2
15,Kentucky,Lexington,4/5/2016,Caliber,9/19/2016,262,6.25,1046,367,4788.65,912.3,22.62698263,16.30114918,25.47983387,0.281031439,3
16,Kentucky,Lexington,4/5/2017,Evermore,9/13/2018,253,4.97,542,363,3355.56,1043.2,20.81635176,15.13537444,26.3094245,0.288373475,2
17,Kentucky,Lexington,8/9/2012,55V50,9/19/2016,258,5.39,1037,366,4740.71,801.7,20.79212832,16.42929338,23.91343282,0.284430202,2
18,Kentucky,Lexington,4/5/2016,55V50,9/19/2016,237,6.16,1074,359,4749.49,1043.2,22.2015046,17.64631401,27.83269882,0.292003645,3
19,Kentucky,Lexington,8/9/2012,Caliber,9/19/2016,259,5.12,938,366,4594.35,838.3,21.7381602,15.22206365,26.12313408,0.280955296,2
