,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Wisconsin,Marshfield,41730,55V50,42240,233,4.55,524,360,4697.29,757.9,5.77968067,0.88049062,11.79654237,0.080147448,2
1,Wisconsin,Arlington,41133,5312,42251,248,6.25,752,365,4609.74,763.5,7.57801245,1.14579358,11.96120681,0.077282525,3
2,Wisconsin,Marshfield,41365,55V50,42240,243,5.44,873,360,4495.6,774.3,8.13284423,2.75706663,12.42174769,0.073883488,2
3,Wisconsin,Arlington,41730,55V50,41889,249,6.77,161,5,2561.1,770.4,19.48197797,9.75075889,22.85792536,0.07,3
4,Kentucky,Lexington,4/5/2016,NF11ALF006,9/19/2016,258,1.88,140,4,2487.06,532.9,21.22242629,17.50974238,25.2119067,0.285896433,1
5,Wisconsin,Arlington,41730,55V50,41886,246,2.01,135,4,3078.91,517.8,16.50834694,10.37055876,22.88151881,0.07,1
6,Wisconsin,Arlington,41730,55V50,42249,247,8.52,1188,364,4555.37,794.6,7.16077024,1.57386101,11.31272227,0.071050077,3
7,Kentucky,Lexington,41365,55V50,42240,237,5.91,554,364,4823.96,759.7,6.24035406,0.56327843,12.13404943,0.286969267,2
8,Kentucky,Lexington,8/9/2012,Phoenix,9/15/2017,262,6.19,424,362,3641.55,738.0,19.54902408,14.08448167,24.67470498,0.292453921,3
9,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,258,5.56,1139,363,3682.41,754.2,20.77491186,15.57866584,23.96211982,0.287350132,2
10,Wisconsin,Lexington,41365,55V50,42240,257,5.66,608,362,4644.2,760.5,6.48112391,1.63168293,11.88492857,0.081254604,2
11,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,255,7.31,489,361,3419.78,772.3,20.26824653,15.8608637,26.65244463,0.289344027,3
12,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,259,6.79,1111,365,4717.27,790.5,20.59681064,15.88987101,25.77368006,0.285945173,3
13,Wisconsin,Lexington,41730,55V50,8/12/2013,234,5.67,549,363,2931.65,750.3,19.56352892,14.29984266,22.91592106,0.075072891,2
14,Wisconsin,Arlington,41730,55V50,41886,244,2.47,182,1,2720.7,796.5,16.47396727,10.17631345,23.77500845,0.072427048,3
15,Wisconsin,Marshfield,41730,55V50,42243,237,2.47,130,1,2907.21,558.4,16.73299053,10.20330648,24.40107312,0.07,1
16,Kentucky,Lexington,8/9/2012,Caliber,9/14/2017,263,5.37,1761,361,3091.43,677.2,21.0374964,15.36555794,24.92365975,0.282206439,3
17,Wisconsin,Marshfield,41365,55V50,41885,245,6.39,556,365,2934.11,834.5,5.53,-0.06429007,22.89166551,0.081158461,2
18,Kentucky,Lexington,8/9/2012,Caliber,9/14/2017,256,6.64,856,363,3034.95,779.5,21.35999002,14.31122801,24.85284304,0.285876801,3
19,Wisconsin,Marshfield,41730,55V50,41886,239,2.14,130,1,2674.36,129.7,15.94165837,10.60742053,24.44361507,0.072430854,1
20,Wisconsin,Marshfield,41730,55V50,42240,230,5.48,525,363,4806.82,733.4,7.91600736,2.60543238,12.61435728,0.076777276,2
21,Kentucky,Lexington,8/9/2012,Caliber,9/12/2018,264,2.83,1734,363,3453.02,828.2,20.44260715,14.27762484,24.87567181,0.282621739,2
22,Wisconsin,Marshfield,41365,55V50,42240,235,6.0,473,364,4823.96,790.2,7.41973105,2.0020133,12.62492278,0.073818676,2
23,Wisconsin,Arlington,41730,55V50,42251,245,7.77,473,365,4791.08,775.7,7.31984722,1.32417379,12.07167561,0.080830036,3
24,Kentucky,Lexington,8/9/2012,Caliber,9/19/2016,263,2.39,133,4,2385.3,412.5,20.61293132,15.99581903,24.57271966,0.279948887,3
25,Kentucky,Lexington,4/5/2016,Saranac AR,9/19/2016,259,1.73,193,1,2205.5,531.9,22.02743153,17.30705719,26.57063549,0.280764088,1
26,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,258,5.51,564,363,4812.51,812.2,20.29860862,15.66476948,24.06180865,0.291173367,2
27,Kentucky,Lexington,8/9/2012,Phoenix,9/15/2017,256,6.68,550,365,4526.06,777.4,18.91345402,15.19135276,23.81117211,0.279836372,3
28,Wisconsin,Arlington,41730,55V50,42604,232,8.84,525,365,4620.34,1043.2,8.10979221,1.97758337,12.28254286,0.080060637,3
29,Wisconsin,Marshfield,41365,55V50,42240,233,5.28,449,364,4748.84,804.2,7.48879745,0.84220128,12.17053089,0.076417319,2
30,Wisconsin,Marshfield,42095,55V50,9/19/2016,235,4.86,204,1,4639.28,568.0,22.30463336,17.42214037,26.90911461,0.071592854,2
31,Wisconsin,Lexington,41730,55V50,9/15/2017,227,8.94,475,364,4823.96,750.8,19.80310748,2.25881481,23.37408189,0.088364053,3
32,Kentucky,Lexington,8/9/2012,Arc,9/15/2017,260,6.13,1167,360,3364.47,877.6,20.17530503,14.85502784,24.63458924,0.295316456,2
33,Wisconsin,Lexington,41730,55V50,8/12/2013,236,5.03,426,364,3320.92,773.9,19.14737268,15.87167001,23.28858578,0.285933171,3
34,Kentucky,Lexington,4/5/2016,Contender,9/19/2016,265,2.57,175,10,2505.23,480.1,22.66872569,17.0651685,26.11660501,0.281792109,1
35,Wisconsin,Arlington,41730,55V50,42249,244,9.56,441,365,4670.75,770.5,6.97847317,0.70546373,11.47067668,0.077080729,3
