,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Standard Deviation,Average Yield,Number of Deviations,Class
0,Kentucky,Arlington,8/9/2012,WL 354 HQ,9/12/2018,262,1.38,1229,335,4682.78,836.6,23.79017857,-0.53,29.17582987,0.31240899837279623,2.08282129,5.981551724,2.447856808,3
1,Kentucky,Lexington,8/9/2012,55Q27,9/14/2017,248,6.27,329,367,4642.66,768.7,21.6641824,13.036842235091493,23.85413132,0.07,2.08282129,5.981551724,-1.3577233411778797,2
2,Kentucky,Lexington,40664,Contender,42604,258,1.19,1340,353,4399.16,862.2,18.52370983,4.213844140976253,13.79372318,0.07,2.08282129,5.981551724,-1.0222148370991169,2
3,Wisconsin,Marshfield,41365,Rebound 6XT,9/13/2018,260,4.22,1116,353,2366.04,557.3,10.70238366,2.675121936806977,23.13375363,0.2715102907216237,2.08282129,5.981551724,-0.5162330898616025,2
4,Wisconsin,Lancaster,4/12/2018,GA-505,41889,250,3.61,130,354,4545.47,769.2,18.59424417,3.7089856400129277,16.7393111,0.2510553023644564,2.08282129,5.981551724,0.7934234305213363,2
5,Kentucky,Arlington,41365, LS 706 ,9/12/2018,254,2.65,433,380,3099.84,859.7,20.91629009,-0.53,26.35787834,0.2621100304357674,2.08282129,5.981551724,0.5212750224676083,2
6,Wisconsin,Arlington,42095,GA-505,8/20/2018,265,3.82,1065,342,3280.1,745.3,19.32333105,12.165342197180982,23.38756374,0.3080321670725277,2.08282129,5.981551724,0.9059638864886927,2
7,Wisconsin,Lexington,4/5/2017,GA-505,42613,248,5.01,466,351,4801.63,742.8,15.18884067,1.3149503832755092,13.92405969,0.28111113279743094,2.08282129,5.981551724,0.566134908937778,2
8,Kentucky,Lexington,4/12/2018,Caliber,42249,266,5.59,1414,353,4616.44,910.8,16.46836229,-0.2349321644755873,14.67584816,0.07,2.08282129,5.981551724,-0.6181662961009282,1
9,Wisconsin,Marshfield,41730,Ameristand 427TQ,41886,269,4.28,518,342,2790.32,760.0,14.16095177,9.935350124230567,28.1031634,0.07,2.08282129,5.981551724,2.1212259222271217,1
10,Wisconsin,Arlington,41730,Ameristand 403T Plus,9/13/2018,270,3.65,257,346,3238.67,1043.2,17.17918432,12.959564807004174,24.99715032,0.07322501706931511,2.08282129,5.981551724,-0.9661811053238729,1
11,Kentucky,Lexington,40664, AFXh 134090 ,42240,264,3.84,388,348,3137.43,757.4,10.38388894,15.527493918328087,26.42829465,0.28461710431183174,2.08282129,5.981551724,-1.991313000580333,3
12,Wisconsin,Lexington,41730,55H94,41886,267,5.12,971,1,4823.96,465.0,22.27939471,3.8060463812760745,23.97633444,0.27754504095140026,2.08282129,5.981551724,0.8163603036635148,1
13,Kentucky,Marshfield,8/9/2012,MS Sunstra 145154,42251,249,4.93,471,1,4823.96,509.5,19.66496412,17.96651225083763,28.06654351,0.25477342139641507,2.08282129,5.981551724,0.8588502986531493,2
14,Kentucky,Lexington,41365,Caliber,9/12/2018,251,3.72,493,369,4455.78,394.0,10.11246301,18.87832738,27.38433923,0.2510889264277423,2.08282129,5.981551724,0.4017942082281936,2
15,Wisconsin,Arlington,8/9/2012,Raven,9/14/2017,246,5.6,795,1,3122.93,714.8,7.34056524,15.097981869473035,12.90631676,0.07380739225249869,2.08282129,5.981551724,1.3594341808699169,2
