,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Standard Deviation,Average Yield,Number of Deviations,Class
0,Wisconsin,Marshfield,41365,55V50,42251,246,5.67,843,365,4688.6,742.3,6.49279365,0.4716601072922629,11.55265147,0.07909237669332338,2.08282129,5.981551724,0.07299633455182691,2
1,Wisconsin,Arlington,41730,55V50,42251,245,5.39,865,365,4634.35,731.6,6.68059077,1.5159915556919363,11.79461158,0.07709159814722373,2.08282129,5.981551724,0.3428621597530306,2
2,Wisconsin,Arlington,41365,55V50,42251,238,5.13,783,366,4601.49,757.5,6.58773626,0.7482281735988666,11.28346422,0.07945262024489298,2.08282129,5.981551724,-0.24699458130839677,2
3,Wisconsin,Arlington,41730,55V50,42604,247,10.2,579,365,4712.19,1005.9,9.14500883,3.8606163896709473,14.22520375,0.07153873237191537,2.08282129,5.981551724,0.3363837967310064,2
4,Kentucky,Lexington,8/9/2012,55V50,9/12/2018,255,5.4,525,365,3137.83,830.2,19.68465147,14.398244042832214,24.33268748,0.2843839258329215,2.08282129,5.981551724,0.2358770384785583,2
5,Wisconsin,Marshfield,41365,55V50,42240,238,6.07,823,366,4662.12,744.8,6.39209711,0.9079775475297394,11.79007196,0.07854477250376736,2.08282129,5.981551724,-0.38964609950821033,2
6,Wisconsin,Lexington,41730,55V50,41889,251,5.09,196,1,2863.49,539.9,17.40654544,12.56931245267587,23.58243963,0.28706247684310743,2.08282129,5.981551724,0.3268571161074598,2
7,Wisconsin,Arlington,41730,55V50,42613,233,8.07,808,365,4681.14,1036.6,9.20533021,4.020446753191899,14.20171308,0.07612207708582776,2.08282129,5.981551724,-0.3179785930346221,2
8,Wisconsin,Arlington,41730,55V50,42604,234,9.66,841,363,4618.96,1003.1,9.50085531,4.084924856969917,14.45177309,0.08090573528622415,2.08282129,5.981551724,1.1876688353674008,3
9,Wisconsin,Marshfield,41365,55V50,42240,238,5.75,875,365,4737.29,755.1,6.31904744,0.5371373543242501,11.69520148,0.07868379971159879,2.08282129,5.981551724,-0.5403772867968212,2
10,Kentucky,Lexington,8/9/2012,55V50,9/15/2017,260,7.08,844,365,4654.34,727.5,20.33701079,13.229295985783892,25.03645913,0.28609755858462976,2.08282129,5.981551724,0.1717074700886685,2
11,Wisconsin,Arlington,41730,55V50,42251,246,6.89,787,363,4698.94,755.3,6.99469806,0.9717545518750014,12.0658435,0.07731979690649603,2.08282129,5.981551724,-0.42661702785314476,2
12,Wisconsin,Arlington,41730,55V50,42251,248,6.98,840,366,4705.56,763.2,6.32616608,-0.036829296179327065,12.05745124,0.08011640232337155,2.08282129,5.981551724,0.7236242908188373,2
13,Wisconsin,Arlington,41365,55V50,42251,245,6.13,866,365,4695.7,755.3,6.79278616,0.799956422508117,11.69726405,0.07747632773148315,2.08282129,5.981551724,0.09056880694392211,2
14,Kentucky,Lexington,8/9/2012,55V50,9/15/2017,261,6.34,822,364,3430.83,825.4,18.08656727,12.773437975762203,24.78450654,0.2882530293158882,2.08282129,5.981551724,-0.3325399360467082,2
15,Wisconsin,Marshfield,41730,55V50,42604,233,8.95,515,363,4724.46,1004.7,9.22769795,3.933286557334022,14.52863454,0.08316484016661314,2.08282129,5.981551724,2.447856808,2
16,Wisconsin,Arlington,41365,55V50,41885,246,6.1,804,365,4715.0,755.0,5.80618441,0.463038544302547,11.72330123,0.076753779134168,2.08282129,5.981551724,0.676129850796887,2
17,Wisconsin,Arlington,41730,55V50,41890,246,6.49,161,5,2970.66,813.5,17.46990931,11.886245422805233,22.58922258,0.08139307750440548,2.08282129,5.981551724,-0.21767123333133687,2
18,Wisconsin,Lexington,8/9/2012,55V50,8/12/2013,257,6.42,196,2,2722.32,807.4,17.73293808,12.145327369953957,23.01789861,0.2996275989798025,2.08282129,5.981551724,-0.08575405938346778,2
19,Wisconsin,Marshfield,41365,55V50,42613,233,5.72,875,366,4736.25,1018.0,9.21610796,3.8801047542623923,14.42354897,0.07743372154062952,2.08282129,5.981551724,-0.25398367141657074,2
