,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Standard Deviation,Average Yield,Number of Deviations,Class
0,Kentucky,Lancaster,41365,AFX103009*,41885,255,5.62,488,383,3427.55,757.2,9.49541124,15.31621474988482,10.92,0.26583344698491485,2.08282129,5.981551724,0.48010364167625724,2
1,Wisconsin,Marshfield,40664, AFX h134092* ,9/16/2015,247,5.36,835,365,4653.77,695.2,7.04914901,-0.5120273239076463,28.29430258,0.07,2.08282129,5.981551724,1.442525823443881,2
2,Wisconsin,Lexington,3/31/2015,msSunstra-144110*,9/14/2017,247,2.18,727,360,4476.99,802.9,5.97173993,6.191033377762913,29.25310714,0.24401420620284037,2.08282129,5.981551724,1.7128927811547205,1
3,Wisconsin,Arlington,8/9/2012,Fierce,41886,249,7.37,610,90,3650.26,763.8,21.95684084,-0.53,13.52294203,0.07,2.08282129,5.981551724,-0.21440690995381806,1
4,Kentucky,Marshfield,3/31/2015,Arc,9/19/2016,243,4.05,130,380,4823.96,791.7,17.35596284,1.883612047954669,13.31047328,0.07379564415011393,2.08282129,5.981551724,0.8900655815876845,2
5,Wisconsin,Arlington,41730,ROADRUNNER,42604,247,1.19,833,369,2098.54,673.8,9.54946207,7.535487808347267,13.00593281,0.07,2.08282129,5.981551724,0.5001136901046364,2
6,Wisconsin,Arlington,41730,CW054004*,9/12/2018,237,5.43,640,383,4629.83,751.6,6.39223769,14.567437576512352,28.88716091,0.07,2.08282129,5.981551724,0.2652366983208626,3
7,Kentucky,Lexington,41730,MSSUNSTRA-C16*,42605,245,9.86,482,12,1856.67,305.6,17.72792508,15.573982028094271,13.15090003,0.2531346332532348,2.08282129,5.981551724,0.838822535080818,2
8,Wisconsin,Lexington,41365,AFX h134094,42613,250,11.08,835,384,4447.22,688.0,9.28917368,15.28438381171033,13.24097128,0.07344108703805906,2.08282129,5.981551724,-0.7216258391970267,2
9,Kentucky,Lexington,8/9/2012,Caliber,9/19/2016,238,5.66,829,72,4729.77,877.3,5.99620393,2.2407023179338688,12.15294147,0.07,2.08282129,5.981551724,1.6060981473830531,1
10,Kentucky,Lexington,40664,Saranac AR,41885,241,8.18,510,388,1982.36,351.7,10.36139488,14.560337384441622,29.16928079,0.6745533101947293,2.08282129,5.981551724,0.7612954804125394,1
11,Wisconsin,Arlington,3/31/2015,5312,8/12/2013,249,6.73,634,361,4566.4,731.4,23.79017857,2.8334263474913284,26.7841124,0.07,2.08282129,5.981551724,0.8669058451835779,1
12,Kentucky,Lexington,41730,55V50,42604,249,6.37,894,31,4606.85,809.0,5.53,1.718109834582275,28.27522344,0.09206645394887097,2.08282129,5.981551724,-1.0483983810958093,1
13,Wisconsin,Arlington,40664,AFX h134090,41890,247,6.33,477,372,3372.53,730.9,21.70791203,2.912886731796127,24.03139894,0.08304558654134403,2.08282129,5.981551724,1.565055253151523,1
14,Kentucky,Lexington,41365,Buffalo,9/14/2017,241,8.13,130,376,4503.4,109.7,9.64297771,13.304016592275255,29.25310714,0.3032070017470909,2.08282129,5.981551724,0.43597417370075225,2
15,Wisconsin,Marshfield,8/9/2012,msSunstra-144131*,41885,240,5.12,612,383,4572.33,945.4,19.4214982,14.202554843905455,28.36820834,0.07104860386480769,2.08282129,5.981551724,-0.09980132837672244,2
16,Kentucky,Lexington,8/9/2012,AFX083003*,41886,246,8.24,778,19,4607.25,712.3,21.86908416,14.650643595474548,28.77047026,0.07,2.08282129,5.981551724,1.3193863637912857,2
17,Wisconsin,Arlington,8/9/2012,Saranac AR,41886,237,7.09,860,375,4583.51,760.0,19.12410275,3.7247419071434122,11.97126155,0.0754964767434488,2.08282129,5.981551724,0.2962292558545271,2
18,Wisconsin,Marshfield,3/31/2015,Vernal,9/19/2016,246,6.77,795,380,3721.0,384.1,20.62506508,4.2552004850190706,29.25310714,0.07,2.08282129,5.981551724,-0.49557519061034644,2
19,Wisconsin,Arlington,40664,55Q27,42604,243,7.08,962,381,3058.38,506.3,9.39342026,13.279281970911004,13.1972631,0.2827018409338006,2.08282129,5.981551724,0.8281642141053804,2
20,Kentucky,Marshfield,41730,FSG 408 DP,9/12/2018,262,2.06,897,387,4823.96,801.6,14.29043803,-0.53,26.06377763,0.07,2.08282129,5.981551724,0.909207996203974,2
21,Wisconsin,Arlington,41730,AFX095026,42604,247,10.01,807,67,3083.89,842.9,20.01888443,1.0837704746139656,23.31908465,0.07,2.08282129,5.981551724,2.447856808,2
22,Kentucky,Lexington,8/9/2012,55V50,41885,249,8.02,1306,61,4765.75,902.8,21.28246601,9.62751986868702,24.51412227,0.07,2.08282129,5.981551724,0.9014335440177441,3
23,Kentucky,Lexington,8/9/2012,C/W-104038*,8/20/2018,265,5.27,1783,38,1856.67,943.7,20.8986961,-0.1986550463733613,26.75517486,0.2578268562310043,2.08282129,5.981551724,1.1788320771244853,2
24,Kentucky,Lexington,4/5/2016,Mariner IV,42247,259,8.36,130,24,4663.18,813.1,8.53998405,2.2252735131261456,29.25310714,0.07,2.08282129,5.981551724,-1.7471787269246273,1
25,Kentucky,Arlington,8/9/2012,Mssunstra-D14,8/12/2013,245,2.47,1076,376,4411.65,788.0,20.47037531,13.109662195522361,11.48662257,0.5839971580884912,2.08282129,5.981551724,0.8716507257146783,2
26,Wisconsin,Marshfield,41730,HybriForce-3400,9/15/2017,246,6.7,1332,391,4528.13,844.8,8.76289068,13.655409185691097,28.9727099,0.07,2.08282129,5.981551724,1.203218237025271,2
27,Kentucky,Arlington,41133,Nuton,41885,240,4.5,450,47,2933.52,876.9,6.20419039,14.42991012185583,29.25310714,0.07,2.08282129,5.981551724,-0.2971145461858631,2
28,Kentucky,Lexington,8/9/2012,PGI 557,9/18/2014,246,2.9,130,1,4629.49,546.4,23.77296719,16.353304738311177,25.39044023,0.2634979466499849,2.08282129,5.981551724,0.09255497318955726,2
29,Wisconsin,Arlington,41133,Mssunstra-C10,41885,243,4.56,325,379,2483.32,774.2,19.47633424,-0.53,13.42905337,0.2638516120161439,2.08282129,5.981551724,-1.7118658199595997,2
30,Wisconsin,Lexington,41730,CW 085028,42605,245,7.41,517,123,1856.67,759.7,5.53,0.31997028467865285,13.64240689,0.07,2.08282129,5.981551724,1.2366585998893351,2
31,Kentucky,Lexington,8/9/2012,Consistency 4.10RR,42604,248,4.62,246,1,3484.53,126.4,19.38068469,-0.53,29.25310714,0.07867223808468332,2.08282129,5.981551724,0.06354460132227871,2
32,Wisconsin,Marshfield,41730,AFX h134091,42249,259,7.52,1197,78,4519.58,867.7,6.9262386,5.119787726064996,14.4607064,0.254833755268119,2.08282129,5.981551724,2.447856808,2
33,Wisconsin,Lexington,41730,Contender,9/14/2017,250,6.74,1230,383,4588.68,1043.2,15.8554933,11.031004975968127,29.25310714,0.07,2.08282129,5.981551724,1.9853092523969127,3
34,Wisconsin,Arlington,8/9/2012,MS Sunstra 144110,8/12/2013,251,6.58,862,379,4403.65,791.1,5.56344472,2.7404624063869534,29.25310714,0.25149819239215554,2.08282129,5.981551724,0.11650518517211965,2
35,Kentucky,Arlington,41365,BLUE JAY,42605,280,1.19,919,391,4429.39,774.4,8.22971293,7.303298453333259,13.98115979,0.07,2.08282129,5.981551724,1.1999653973207784,2
36,Wisconsin,Lexington,41365,NF11ALF006,41885,238,11.08,295,387,4613.22,773.4,11.60989073,9.64547519212341,29.25310714,0.07300496265048112,2.08282129,5.981551724,0.29472548891920236,1
37,Kentucky,Arlington,41730,Vernal,42604,247,6.89,130,386,2909.7,826.4,17.17112314,3.3658366734257705,12.30596501,0.07,2.08282129,5.981551724,1.798139536964984,3
38,Wisconsin,Marshfield,41133,Hybriforce-3400QR,41885,239,11.08,214,360,4489.98,710.4,6.78638889,-0.53,29.25310714,0.07733517154115932,2.08282129,5.981551724,1.0185327671780418,2
