,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Standard Deviation,Average Yield,Number of Deviations,Class
0,Wisconsin,Lexington,8/9/2012,Roadrunner,9/16/2015,277,10.17,347,362,4584.02,1043.2,9.01740426,9.900116720052699,22.60309517,0.2780280474791772,2.08282129,5.981551724,-2.3005102490000002,2
1,Kentucky,Marshfield,4/5/2017,FSG408DP,42243,251,3.03,1097,356,4823.96,801.0,20.59784793,18.87832738,19.12207156,0.25889089605976434,2.08282129,5.981551724,-1.9992144503602345,1
2,Kentucky,Lexington,41365,DSB-45,42613,262,7.26,1172,27,3587.56,879.5,22.57135798,14.484027314771316,10.92,0.29221270181223674,2.08282129,5.981551724,-2.3005102490000002,2
3,Wisconsin,Lancaster,40664,CW 065030,42247,247,8.47,908,345,4823.96,521.7,5.53,1.43244510984165,20.60550665,0.2626615740580376,2.08282129,5.981551724,-0.027930130375972414,2
4,Wisconsin,Arlington,42095,5312,41889,245,6.02,1089,353,4667.49,604.0,6.1042129,-0.53,14.41079413,0.26001855142106267,2.08282129,5.981551724,-2.087685843626283,2
5,Wisconsin,Arlington,40664,DSB-45,42251,247,6.43,1065,360,4714.88,811.0,9.846416,12.241772041244054,20.10840533,0.07,2.08282129,5.981551724,-0.9975632770047443,1
6,Wisconsin,Lexington,3/31/2015,Vernal,9/14/2017,249,10.22,1126,373,3306.49,748.3,17.67794389,0.2908954885212721,26.86771752,0.7,2.08282129,5.981551724,0.18752542052011312,2
7,Wisconsin,Arlington,42095,FSG 415BR,9/13/2018,241,9.7,1110,380,3768.05,798.6,5.53,18.87832738,26.59940468,0.2601392646715594,2.08282129,5.981551724,-1.6395827293132115,2
8,Wisconsin,Arlington,8/9/2012,C/W-104038*,9/13/2018,245,3.83,1227,370,4629.37,806.7,9.12298299,12.010451734865047,16.08950092,0.25714070357641144,2.08282129,5.981551724,-1.2762806644491342,3
9,Wisconsin,Lancaster,41365,Legendairy XHD,41886,263,7.92,1128,1,4823.96,477.0,13.53872161,3.8393073666576814,25.11364627,0.11057619664082212,2.08282129,5.981551724,-0.4001422794356573,2
10,Kentucky,Lexington,41730,X13-9202B,41885,252,3.49,609,47,4760.22,1026.4,5.53,2.40738869786388,19.62696767,0.07273432547431573,2.08282129,5.981551724,-2.3005102490000002,2
11,Wisconsin,Marshfield,40664,6472A,42243,245,8.09,130,22,4823.96,1043.2,14.42155503,5.7972864752797175,11.74160664,0.7,2.08282129,5.981551724,-1.0509125278807576,2
12,Kentucky,Lexington,4/5/2016,FSG 424,9/15/2017,250,2.91,196,1,4823.96,835.7,18.00330335,2.336398639139254,14.81236381,0.7,2.08282129,5.981551724,0.9669408236803525,2
13,Wisconsin,Arlington,4/5/2017,MSSUNSTRA-C10*,9/14/2017,244,4.98,470,1,4823.96,755.6,17.32750406,15.670814328754187,22.515993,0.07517930312119608,2.08282129,5.981551724,0.5294791131963548,1
14,Wisconsin,Arlington,41133,Consistency 4.10RR,42613,244,10.64,161,356,4662.5,756.7,6.43893703,18.87832738,10.92,0.07,2.08282129,5.981551724,-1.1948356733293997,2
15,Wisconsin,Lexington,41730,AM-09-600,42251,233,4.11,1216,1,4677.61,780.7,20.71875874,11.681025862981656,22.4865021,0.3152173794132391,2.08282129,5.981551724,-0.8983595376416847,2
