,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Standard Deviation,Average Yield,Number of Deviations,Class
0,Wisconsin,Arlington,41365,55V50,42251,248,5.87,746,365,4724.35,742.8,6.82301254,0.8430051813574475,11.53517256,0.07388281601086753,2.08282129,5.981551724,0.1447336913152128,2
1,Kentucky,Lexington,8/9/2012,Saranac AR,9/19/2016,262,1.63,188,8,2724.72,451.3,21.48734362,15.930985734295179,25.0624407,0.2846296597163179,2.08282129,5.981551724,-2.3005102490000002,2
2,Wisconsin,Lexington,41730,55V50,42613,235,6.24,514,362,4582.66,984.7,20.17912079,15.696366002231542,26.44389821,0.08151149019824251,2.08282129,5.981551724,0.4671933925978075,2
3,Wisconsin,Arlington,41365,55V50,41885,248,7.24,557,364,4740.11,810.1,6.56554198,0.559062900657221,11.57532979,0.07821787085829891,2.08282129,5.981551724,-0.00443670750964768,2
4,Kentucky,Lexington,8/9/2012,55V50,9/13/2018,260,4.8,917,364,3220.95,801.3,21.17984928,13.686525933194982,24.73795366,0.2906417198338815,2.08282129,5.981551724,0.0770683611094238,2
5,Wisconsin,Marshfield,41365,55V50,42240,243,5.94,912,364,4593.93,758.8,6.50754621,1.1259018731832073,11.80017758,0.08089174715110631,2.08282129,5.981551724,-0.2058910746873722,2
6,Kentucky,Lexington,8/9/2012,Caliber,9/12/2018,255,4.37,2155,360,3312.44,786.5,21.2888821,15.201317246803766,25.56813686,0.3032576645835141,2.08282129,5.981551724,-0.4748214612609041,2
7,Kentucky,Lexington,8/9/2012,55V50,9/15/2017,258,6.37,777,364,3289.54,1027.9,19.81250862,13.593306232320959,25.50778308,0.28864354990734487,2.08282129,5.981551724,1.6244727474100724,2
8,Kentucky,Lexington,8/9/2012,Saranac AR,9/19/2016,255,5.12,535,364,3359.07,687.0,20.99951824,14.886585955048796,25.90298613,0.29237121555057055,2.08282129,5.981551724,0.19528571120171254,2
9,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,257,5.02,533,364,3473.11,966.1,19.59554803,14.594399531615105,25.46232744,0.2846443614572716,2.08282129,5.981551724,-0.4579510116663133,2
10,Kentucky,Lexington,8/9/2012,55V50,9/12/2018,259,5.63,504,365,3455.74,828.7,20.18641036,14.49129682227372,25.05258347,0.2991004662225374,2.08282129,5.981551724,-0.3389664752828892,2
11,Wisconsin,Arlington,41365,55V50,42251,246,6.47,886,367,4695.71,745.1,6.87048721,0.8298203572274738,11.92757571,0.07539439776642619,2.08282129,5.981551724,0.16683107215976317,2
12,Wisconsin,Marshfield,41365,55V50,42240,255,5.41,940,364,4705.88,837.2,6.00079364,-0.32054719077957194,11.52601409,0.07804613039338258,2.08282129,5.981551724,0.11466639328658106,2
13,Kentucky,Lexington,8/9/2012,Caliber,9/19/2016,260,4.27,870,366,3428.85,830.0,20.90231654,16.310620820176684,25.27500302,0.29756677309454604,2.08282129,5.981551724,-0.30477055428697203,2
14,Kentucky,Lexington,3/31/2015,Caliber,9/19/2016,255,5.54,808,364,4654.61,606.5,21.91450376,16.525545045410496,26.19142997,0.2895821693915433,2.08282129,5.981551724,-0.07995911050477787,2
15,Wisconsin,Lexington,41365,55V50,42240,254,5.14,719,364,4658.15,815.7,6.46514311,0.59364688876711,11.54342025,0.29284166418931296,2.08282129,5.981551724,-0.07767318717112727,2
16,Wisconsin,Marshfield,41730,55V50,41889,260,4.46,137,1,2614.02,623.9,18.06810635,13.607194641976696,23.75749485,0.07579248938605415,2.08282129,5.981551724,0.43312778479842745,2
