,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Standard Deviation,Average Yield,Number of Deviations,Class
0,Kentucky,Marshfield,40664,Nuton,42604,239,5.01,515,55,4645.39,769.5,5.53,17.54282697,12.54033666,0.07,2.08282129,5.981551724,-0.031817534,2
1,Kentucky,Arlington,8/9/2012,4030,42251,243,1.19,438,46,3104.98,803.8,17.53558487,15.30951722,24.73417014,0.078862776,2.08282129,5.981551724,-2.300510249,2
2,Wisconsin,Arlington,41365,Radiance HD,41919,238,8.13,468,49,3519.01,806.0,9.03445425,11.01598558,25.83659385,0.292592333,2.08282129,5.981551724,0.814167317,2
3,Kentucky,Lexington,4/5/2016,Ameristand 427TQ,9/13/2018,224,8.05,518,377,4533.32,941.6,16.16377776,1.58048853,12.65957543,0.07,2.08282129,5.981551724,0.02472654,2
4,Wisconsin,Arlington,41730,CW 085028,9/12/2018,224,1.96,1103,381,4625.4,484.9,6.21834485,9.82498565,11.52555542,0.298988963,2.08282129,5.981551724,-0.108362825,3
5,Wisconsin,Arlington,40664,BYS5028,41886,236,5.41,391,376,3404.23,702.9,5.53,16.99707477,13.65944764,0.249330764,2.08282129,5.981551724,-2.300510249,2
6,Kentucky,Arlington,8/9/2012,Radiance HD,42604,249,7.16,205,367,1856.67,715.4,16.68306306,15.43735255,27.21636818,0.074509198,2.08282129,5.981551724,0.532175168,2
7,Wisconsin,Arlington,8/9/2012,Nuton Alf,42240,255,5.69,388,77,4550.71,728.1,10.44253386,15.37167983,10.92,0.280722061,2.08282129,5.981551724,0.002555591,1
8,Kentucky,Arlington,40664,Fierce,8/12/2013,253,2.99,926,381,1856.67,529.0,18.40196167,18.87832738,19.45153639,0.071078185,2.08282129,5.981551724,-1.207178265,2
9,Kentucky,Arlington,41133,RAVEN,9/14/2017,240,2.24,950,372,4506.8,794.1,7.10772665,15.64334473,12.0310947,0.312974572,2.08282129,5.981551724,0.141728921,2
10,Wisconsin,Lexington,41365,ONEIDA VR,9/18/2014,234,8.47,130,394,4717.63,547.2,17.86363747,14.09743554,26.5044549,0.307263579,2.08282129,5.981551724,0.32532502,2
11,Kentucky,Arlington,40664,C/W-104038*,9/16/2015,242,2.05,506,7,3192.14,833.6,23.79017857,15.60659313,12.88969996,0.573988637,2.08282129,5.981551724,0.049663488,1
12,Kentucky,Marshfield,4/5/2016,Mssunstra-B13,42247,257,4.37,759,351,4476.98,745.7,14.86171465,18.87832738,13.2394265,0.07,2.08282129,5.981551724,-2.300510249,2
13,Kentucky,Lexington,8/9/2012,WL 354 HQ,9/14/2017,255,2.59,130,379,4575.01,740.5,8.77601065,1.01312065,23.38824453,0.289493453,2.08282129,5.981551724,0.903954558,3
14,Wisconsin,Marshfield,4/5/2017,Roadrunner,9/19/2016,240,8.57,455,385,4487.88,802.4,7.26307993,10.92201479,29.25310714,0.072567241,2.08282129,5.981551724,0.812536664,3
