,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Standard Deviation,Average Yield,Number of Deviations,Class
0,Wisconsin,Marshfield,3/31/2015,Caliber,41886,240,3.9,612,366,4823.96,322.1,10.82604365,-0.53,10.92,0.314576882,2.08282129,5.981551724,0.180894229,2
1,Wisconsin,Lexington,41730,Saranac AR,9/16/2015,267,6.79,1390,40,2754.14,702.9,19.17771271,-0.53,24.1092907,0.33176796,2.08282129,5.981551724,-0.110616423,2
2,Wisconsin,Arlington,41730,FF42.A2,42240,264,7.6,731,377,4823.96,855.8,21.41843372,1.43295345,15.6995315,0.331140046,2.08282129,5.981551724,-1.585746128,3
3,Wisconsin,Marshfield,41365,ONEIDA VR,42613,260,6.56,138,1,4681.41,297.7,9.10073609,8.99948194,24.44506245,0.076428775,2.08282129,5.981551724,-1.866942479,2
4,Wisconsin,Arlington,41365,Phoenix,8/20/2018,233,6.67,1244,356,4474.35,749.3,8.30798199,0.81842814,12.07634407,0.103405457,2.08282129,5.981551724,-0.384007096,2
5,Wisconsin,Arlington,42095,SW 4332,41885,280,5.36,209,19,3022.13,824.1,22.8358022,3.18468689,13.52924042,0.082374812,2.08282129,5.981551724,0.357487388,2
6,Kentucky,Arlington,41730,Oneida VR,9/16/2015,253,7.24,917,369,4746.05,235.7,5.53,18.31938934,11.48375535,0.312736838,2.08282129,5.981551724,-1.611977671,2
7,Wisconsin,Marshfield,41730,Mssunstra-C14,41919,280,6.58,616,116,1856.67,748.8,23.79017857,-0.53,16.9918406,0.075382365,2.08282129,5.981551724,-2.027247278,3
8,Wisconsin,Arlington,8/9/2012,Ameristand 427TQ,41886,235,2.79,892,373,2620.26,795.1,22.86985854,-0.53,12.8994777,0.091174822,2.08282129,5.981551724,1.466622537,1
9,Wisconsin,Arlington,41133, 55V50 ,41885,261,10.9,1047,15,3117.1,686.9,16.16083523,-0.53,17.15263753,0.326885157,2.08282129,5.981551724,0.692696577,3
10,Kentucky,Lexington,3/31/2015,PGI 212,42605,242,5.17,990,359,3624.86,776.1,15.65101966,2.6408659,26.13530774,0.316447633,2.08282129,5.981551724,-0.922137422,2
11,Kentucky,Lexington,40664,GA-505,8/20/2018,245,7.83,1166,372,4619.5,697.1,12.77521701,15.68431219,28.73767096,0.336241974,2.08282129,5.981551724,0.858915185,2
12,Wisconsin,Arlington,3/31/2015,Mariner IV,42243,251,7.12,327,364,2544.55,1029.1,23.74897926,16.37326105,29.25310714,0.106364019,2.08282129,5.981551724,0.445129893,2
13,Wisconsin,Lexington,42095,Evermore,42251,237,4.96,1006,352,4823.96,993.3,8.67631635,14.32329707,24.0512544,0.307826521,2.08282129,5.981551724,0.134376441,2
14,Kentucky,Marshfield,3/31/2015,GA-505,41919,246,5.31,456,39,3074.24,756.6,5.53,4.17325394,10.92,0.322383918,2.08282129,5.981551724,0.737965755,2
15,Kentucky,Marshfield,41133,Saranac AR,9/14/2017,235,5.52,1315,30,4812.1,737.6,9.8050717,18.87832738,28.23673513,0.302583437,2.08282129,5.981551724,0.225525478,2
16,Kentucky,Lexington,40664,SW 4332,41919,247,2.31,438,373,4551.39,754.9,8.38877929,14.62696103,14.08016117,0.082769589,2.08282129,5.981551724,1.451727976,2
17,Kentucky,Lexington,41133,Vernal,42613,256,6.94,420,372,2416.2,952.9,16.55499763,5.39059398,13.3417945,0.094080259,2.08282129,5.981551724,-0.33543633,2
18,Wisconsin,Lexington,3/31/2015,Mssunstra-C15,42249,238,6.29,2225,38,4543.71,764.9,18.44228616,6.18596776,13.56312168,0.096387683,2.08282129,5.981551724,-1.478906189,2
19,Kentucky,Lexington,42095,55V50,9/19/2016,269,8.32,963,86,2006.93,389.9,5.53,1.94888616,14.72335305,0.298076591,2.08282129,5.981551724,2.169415664,2
20,Kentucky,Marshfield,41365,AFX 095023,42243,247,4.51,1094,355,2469.57,811.6,10.78062359,15.42522046,24.1703545,0.312702746,2.08282129,5.981551724,0.287708266,1
21,Wisconsin,Arlington,41365,LH 9700,41885,253,5.63,852,386,3348.34,780.2,20.08157634,6.49253711,14.53392316,0.299500252,2.08282129,5.981551724,-2.150152292,1
22,Wisconsin,Arlington,4/12/2018,Caliber,42604,265,5.87,1124,387,4542.76,926.5,22.73056213,-0.53,29.25310714,0.100370847,2.08282129,5.981551724,-1.324147158,1
23,Kentucky,Marshfield,41730,Vernal,42251,248,5.78,996,1,2296.82,797.1,7.02270904,10.7138116,13.13818495,0.340208284,2.08282129,5.981551724,-0.712959477,3
24,Wisconsin,Arlington,41133,MS Sunstra 144142,41885,243,8.59,130,375,4687.4,865.2,8.4786931,9.65815462,20.76948152,0.11682833,2.08282129,5.981551724,0.326123062,2
