,Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,3666.07,668.4,21.32665857,15.77125251,26.00301111,0.2729625,2
1,2455.88,658.3,17.60733333,15.76000268,25.32314556,0.284064738,2
2,2674.07,710.2,21.02752009,18.87832738,25.26347453,0.29759848,2
3,3517.37,696.6,21.74904999,14.8233593,25.12472161,0.293867433,2
4,3536.12,678.9,21.07282682,17.83805719,26.22784972,0.293471398,2
5,2432.88,725.8,19.48816724,17.79862574,25.53784264,0.280352771,2
6,3223.16,821.3,20.71978523,15.13587415,25.92413928,0.294894615,2
7,3607.12,664.8,18.88592119,13.02086599,25.37783794,0.286147385,2
8,3601.29,692.8,23.58562709,13.66700454,25.82335601,0.280596742,3
9,3599.56,773.4,19.20064143,13.84650947,29.25310714,0.301276436,3
10,3349.16,727.7,19.7269938,15.58681976,25.2181914,0.273233078,2
11,3734.53,774.2,20.54073462,12.61707097,25.39868199,0.288214444,2
12,3688.63,655.5,22.98562977,15.32798614,25.79551062,0.296287863,2
13,4509.99,678.3,23.79017857,13.92640545,25.78411725,0.29694926,2
14,3743.12,797.6,20.09479997,12.61707097,25.30212515,0.294993565,2
15,2337.19,700.4,20.10882404,14.19206137,24.43902957,0.276424066,1
16,3747.02,562.7,23.17993508,15.59533315,29.25310714,0.288956572,2
17,3494.28,771.2,23.71019792,16.30335688,27.67591417,0.290522907,2
18,4667.64,685.2,18.96598547,12.61707097,24.39642597,0.282212772,2
19,3261.99,645.6,20.69693702,15.89830274,26.31897018,0.285852308,2
20,4348.2,768.5,20.33945306,17.7168974,25.48039947,0.302410858,2
21,3588.41,737.8,21.24660615,14.79476497,28.24512541,0.291980568,1
22,3286.98,816.4,21.06050975,16.33462536,25.26904418,0.292986112,2
23,2818.38,716.3,18.95910836,18.01811588,24.50378189,0.292823554,2
24,3870.19,404.0,19.2470888,14.60979054,25.77382313,0.300444359,2
25,3610.44,646.4,20.21341821,13.57976771,25.90510568,0.308511393,2
26,3643.51,740.1,20.57447728,14.19506665,25.53166531,0.290933239,2
27,3024.51,669.8,20.39056481,14.23378509,25.60467386,0.294959763,2
28,4635.71,677.8,20.46909374,15.29342364,26.05021373,0.275046773,2
29,3521.22,776.5,19.23108374,16.24272484,25.6150012,0.277140749,2
30,3598.68,794.7,18.24615262,18.09949604,25.20117204,0.292263492,2
31,3450.34,404.0,21.71232485,14.34419914,25.67397614,0.296487828,2
32,2773.95,559.8,21.89196967,15.60013913,25.24762181,0.286782863,2
33,3471.31,757.5,20.08547018,14.50690639,24.73293739,0.29733801,2
34,3648.77,698.3,19.26119259,13.8834458,25.55053233,0.313480989,2
35,2357.16,448.1,18.13265167,14.84515275,25.11490434,0.290618572,2
36,3470.57,707.2,20.54973371,16.53686906,25.94509796,0.288632004,3
37,3336.75,737.4,19.86027419,12.61707097,25.39456542,0.298443469,3
38,3187.87,580.4,18.86073587,14.15233571,25.47848488,0.288315261,2
39,2735.95,404.0,21.31801984,14.66897679,25.14311538,0.288088304,2
40,2679.62,788.0,20.12751102,13.88166866,25.64815338,0.294695875,2
41,3590.01,485.4,17.60733333,15.44311668,25.96959042,0.282051235,3
42,2847.99,477.9,21.06484418,12.61707097,25.83239499,0.293124742,2
43,2956.0,725.6,20.81134922,15.27397699,25.89296344,0.294155737,2
44,2855.68,716.0,19.97469393,16.44561437,24.41371333,0.274595294,2
45,2754.81,563.3,21.88831322,18.87832738,25.17097439,0.298013609,2
46,3181.01,444.5,17.60733333,14.1235469,25.80544351,0.289935845,2
