,Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,3183.73,795.5,20.91031375,15.96424713,26.07897471,0.296148689,2
1,3326.23,810.9,20.34099722,15.57927363,25.73147896,0.311442801,2
2,3358.94,787.1,21.05077684,16.28954227,25.70696871,0.300690589,2
3,3357.19,703.7,20.71315895,14.74600861,26.00960632,0.282297343,2
4,3295.8,631.9,20.46643138,14.71434346,26.25851366,0.276340318,2
5,3456.58,708.1,20.55971783,15.29895018,25.63596779,0.27667294,2
6,3421.81,795.2,19.92310652,14.47668636,25.48882266,0.27962258,2
7,3376.53,584.5,20.5742484,14.70250864,25.71365682,0.282883975,2
8,3312.51,825.8,20.97733431,16.17847372,26.28629562,0.298268204,2
9,3362.27,806.9,20.6677186,14.53926248,25.81667808,0.278191274,2
10,3382.4,689.5,19.66780045,13.57577768,24.29485247,0.288818355,2
11,3405.6,685.3,20.61480083,14.5783219,25.69689794,0.280199897,2
12,3232.85,853.0,18.48197307,13.1082668,25.94558147,0.313480989,2
13,3450.29,805.4,20.81022236,16.14022587,25.83706341,0.296884962,2
14,3404.4,721.9,17.60733333,13.1510996,23.83947854,0.291814803,2
15,3281.09,722.2,17.9633909,12.61707097,23.25321479,0.313480989,2
16,3557.65,819.6,19.42501417,14.28592811,24.63634622,0.291410087,3
17,3530.5,404.0,20.30025628,14.7063834,25.92286671,0.275351186,1
18,4517.82,895.6,23.79017857,17.64679546,28.50084201,0.280384326,1
19,3268.97,814.2,20.54333964,15.89002681,25.54112341,0.277816561,2
20,3465.73,597.2,20.4444214,14.94903249,25.82708906,0.280270649,2
21,3311.68,818.7,20.86291794,15.87239182,25.74580138,0.300838024,2
22,3380.75,724.7,20.93670547,14.90875342,25.88413784,0.29644676,2
23,3357.15,726.4,20.75836024,14.22700222,25.64023057,0.278806585,2
24,3509.48,1043.2,20.49246688,15.23196056,26.1739957,0.276961836,2
25,3383.75,745.7,19.85808701,14.54590359,25.11526946,0.289033097,2
26,3389.18,721.6,20.21719533,14.59194683,25.23514183,0.288805825,2
27,4229.76,814.2,19.17974632,14.65459353,25.56817646,0.277162838,3
28,4315.81,796.7,20.37145694,14.9566538,25.67755784,0.283616244,2
29,3335.24,673.0,20.39460381,14.09206216,25.78889543,0.313480989,2
30,3387.83,804.9,19.73165448,14.41015756,26.04611046,0.275207614,2
31,3293.26,832.0,20.84760711,15.77187246,25.69778848,0.300558771,2
32,3326.72,737.5,19.13525261,13.68218876,24.53189714,0.313480989,2
33,4176.23,841.4,20.30753937,14.88757539,25.67259325,0.28188751,2
34,3418.33,670.0,19.44143898,15.03119445,25.64889416,0.289582157,2
35,4430.98,901.0,20.82977778,18.39970446,25.69689057,0.280254256,1
36,3305.44,635.0,20.98537169,16.26251632,25.84087253,0.278381632,1
37,3363.1,860.1,20.17923932,14.98550621,26.17358318,0.285445103,2
38,3414.76,745.5,20.03431833,15.23417539,25.92131214,0.280177123,2
39,3356.19,689.8,20.9719404,14.6768215,26.01144149,0.297381133,2
40,3300.29,789.5,20.64102671,12.61707097,25.66540967,0.313480989,2
41,3305.79,791.5,20.78969545,15.68960129,25.93249968,0.294239787,2
42,3315.61,797.5,20.95308167,15.82158829,25.56518963,0.29809356,2
43,3358.01,706.5,19.6648258,14.79437857,24.4638581,0.29074887,2
44,3456.98,677.6,20.92309405,15.14533262,25.71579209,0.273501815,2
45,3357.65,755.1,20.18013547,14.93539405,25.30324053,0.289164796,2
46,2362.98,404.0,23.20836753,18.74281916,28.82410963,0.274938697,1
47,3385.7,723.3,19.52038794,14.15462356,24.9440466,0.288488527,2
48,3481.68,617.1,20.55185946,14.36815766,25.47865953,0.277741119,2
49,3368.07,701.8,19.62038402,14.31774338,24.96778416,0.287340397,2
50,3421.24,808.6,19.68788192,14.46432703,25.98427272,0.27976311,2
51,3330.02,947.2,20.91465543,15.9717764,25.97281551,0.277433333,2
52,3372.78,693.5,20.97419304,14.3519079,25.4245081,0.278052011,2
53,3513.24,759.7,20.33985761,14.83455019,25.72622041,0.279500052,2
54,4377.44,591.7,19.70876913,14.82704594,28.5985101,0.276962478,1
55,3402.56,807.2,20.45110954,15.79670482,25.79566943,0.299361501,2
56,3379.66,805.8,21.00345209,15.82392265,25.91825959,0.297089794,2
57,3340.95,798.8,20.94144828,15.01034031,25.70062133,0.297968928,2
58,3467.89,767.5,19.68592268,14.37249541,25.42513856,0.289335101,2
59,3427.63,847.7,20.78189737,14.38320803,25.85861546,0.281214171,2
60,3327.57,946.0,21.01778997,14.85871863,25.6537889,0.278842904,2
61,3510.57,710.9,20.38901261,14.70285346,24.91719995,0.287991153,2
62,3306.18,816.2,21.05068061,15.82297349,26.36875104,0.300744249,2
63,3206.22,775.3,20.97732013,15.66904988,25.60189373,0.313480989,2
64,3304.82,793.5,21.14196014,16.16296932,25.65671904,0.304682009,2
65,3278.37,808.0,20.73372026,16.24152813,25.58870222,0.3010467,2
66,3397.67,811.0,20.90771788,16.05781357,25.90971939,0.296012633,2
67,3403.17,412.2,19.56280086,14.65044777,25.55655175,0.281835192,1
68,3340.15,798.8,20.97251777,15.72724044,25.68376422,0.29898715,2
69,3458.45,683.4,20.91779338,15.903455,26.07028268,0.28121503,2
70,3452.72,723.7,19.31254951,14.91837731,25.1135916,0.29292118,2
71,2218.81,476.7,22.629801,17.64868826,26.79536345,0.280255333,1
72,3375.46,808.0,20.1042193,14.09431372,25.34057501,0.277236199,2
73,3410.64,993.3,19.69664125,15.12715785,25.26143452,0.281983547,2
74,3414.11,633.7,20.30025554,18.42003465,27.37015632,0.27661073,2
75,4212.38,820.4,19.55316823,15.45142107,25.42494298,0.278607594,2
76,1999.51,453.5,22.59981979,18.41901882,28.72873299,0.275806959,1
77,3431.66,724.6,19.91168725,14.63694069,24.7203457,0.289897313,2
78,3431.68,805.7,20.78942114,18.24792133,25.47145369,0.280124962,2
79,3431.66,416.7,20.56295213,18.60790615,26.21006694,0.27989401,2
80,2138.72,426.5,23.31697595,18.30872147,28.08149731,0.281158403,1
81,3395.22,731.4,19.90397636,15.10657651,25.7973861,0.282160618,2
82,3486.52,811.5,19.90965687,14.78297828,25.47746412,0.276198964,2
83,3489.49,636.5,20.64937038,14.42919284,25.65864342,0.282054032,2
84,3397.83,817.7,20.79070231,14.11287324,25.81530242,0.280548108,2
85,3461.55,787.3,20.00142137,14.89753488,25.82895728,0.279186245,2
86,3491.8,699.9,20.81323109,18.87832738,25.8334684,0.276100148,2
87,3367.71,667.5,19.8778484,15.10761297,24.91887745,0.289809986,2
88,4545.26,926.9,21.40032277,16.11489562,25.99485075,0.278755528,2
89,3427.18,721.1,19.54943278,14.16819784,24.90039318,0.290011517,2
90,3451.64,534.6,19.93740052,14.06109706,25.80360958,0.278832552,2
91,3264.95,821.8,20.94372088,15.85882063,25.93130038,0.299060225,2
92,3273.96,474.2,20.81387743,18.4785915,26.17488264,0.276607892,2
93,2297.12,474.0,23.08400048,18.73645704,28.60912263,0.275782867,1
94,3364.58,851.5,20.64783524,16.22101486,26.20619272,0.277800195,2
95,3444.4,692.1,19.70508941,14.45447724,24.82217759,0.291191573,2
96,4797.62,981.7,20.13939825,14.64543669,25.49807318,0.278324944,2
97,3337.83,801.1,20.20083159,14.32495516,24.78787957,0.291071891,3
98,3203.27,804.8,20.67186837,15.9099846,25.58801659,0.297653916,2
99,3181.96,766.5,20.51770744,15.76242076,25.46887849,0.297606572,2
100,3433.84,627.4,20.47339137,14.40076987,25.65788707,0.277216138,2
101,3369.79,690.3,19.6330727,14.83109504,24.83326509,0.289702416,2
102,3404.15,800.8,20.6370561,12.61707097,25.70369785,0.307081451,2
103,3416.59,718.9,20.04071077,15.12606558,26.22378761,0.277313515,2
104,3491.87,842.6,20.58272772,15.99286347,26.0693251,0.294546017,2
105,3337.46,821.8,21.06038775,15.83751284,25.6232439,0.299601501,2
106,3350.15,789.8,20.86500923,16.04279141,25.83150468,0.295590051,2
107,3318.8,784.5,19.23608759,13.94181998,24.57337034,0.308317937,2
108,3249.79,429.8,20.93931929,18.32792828,25.68350472,0.276793379,2
109,3421.26,807.1,19.92088658,14.92528807,24.79992399,0.287483422,2
110,3297.44,452.0,23.49855079,17.42537605,28.47006492,0.281796269,1
111,3320.39,815.2,20.60530021,15.88381771,25.99175781,0.299942939,2
112,3401.52,748.1,20.03209391,14.55976533,24.60227442,0.287801987,2
113,2399.24,494.6,23.68517916,17.01332598,28.82312774,0.278132299,1
114,3454.97,587.4,20.93144527,14.43741231,26.06245176,0.30048345,2
115,3451.22,714.6,19.86625689,14.16903461,24.32556478,0.291890013,2
116,3471.52,753.4,19.67603831,14.57112946,25.1497795,0.291216697,2
117,3428.43,679.3,20.5256258,14.35451324,25.80531993,0.275035663,2
118,3415.36,404.0,20.42689849,16.00457034,26.46154317,0.276293412,1
119,3509.22,715.2,19.99049897,14.79935621,24.84847554,0.290817251,2
120,3418.31,956.1,19.74144125,15.00933449,25.79514798,0.27914587,2
121,3268.39,786.9,20.67000123,15.78265262,26.03403459,0.297641871,2
122,3486.23,701.4,19.96428675,14.80732345,26.15914305,0.280971759,2
123,3420.83,904.1,20.14119921,15.34215004,25.54785985,0.283790869,2
124,3252.52,811.9,20.31409434,15.85054237,25.60423851,0.295484071,2
125,4082.32,800.3,20.10888996,15.19744842,25.44817908,0.280170871,2
126,3401.45,814.3,21.05948014,15.97305794,25.90810335,0.298775607,2
127,3399.14,823.1,20.07587398,13.88210105,25.52604402,0.278602634,2
128,2352.68,567.3,22.65727966,18.77073597,28.69017078,0.277522224,1
129,3413.77,801.0,20.07561951,14.83814657,25.83385093,0.28348272,2
