,Annual Avg Yield,Annual Avg Min Temp,Annual Avg Max Temp,Total Accumulated Rain,Total Accumulated Radiation,Class
0,1.246821952,3.316845996,16.17367875,1982.64,484991.0,1
1,1.506675873,3.487869913,15.2898835,4329.5,570324.0,1
2,1.315048042,0.462365487,12.52502688,5768.09,1083182.0,0
3,1.329346311,2.50075824,15.77900068,2363.2,483455.0,0
4,1.288420245,2.241695086,14.21940603,2610.15,475527.0,0
5,1.339329238,2.285088572,14.41535886,2758.07,491198.0,1
6,1.083407033,1.585241148,15.22007853,2333.03,1063270.0,0
7,1.489607724,2.352500137,15.61154179,5621.47,756437.0,1
8,1.388830234,3.458086817,13.72789571,5584.88,1063818.0,1
9,1.075510733,3.765644892,16.84893431,2334.06,446128.0,0
10,1.22344981,2.61128829,15.5120858,2557.84,476805.0,1
11,1.259959183,1.434637374,13.1650402,4955.59,769952.0,1
12,1.399299297,1.674746317,15.32463747,6710.02,1077201.0,1
13,1.092758601,2.380482114,15.60654568,2444.92,478813.0,0
14,1.497675831,3.764791522,16.18707699,3971.01,498646.0,2
15,1.21974699,3.816893908,15.16673427,4594.43,547250.0,0
16,1.179424371,1.657129671,15.44377542,4452.44,525871.0,1
17,1.393140946,1.369886758,15.91022388,2913.77,501255.0,1
18,1.359092574,2.95268652,13.14665511,5510.31,1071540.0,0
19,1.370459076,2.563287055,16.28228445,2446.37,410718.0,1
20,1.792125683,3.205016429,15.46455956,2709.56,487252.0,2
21,1.24958319,1.403376075,15.376072,5206.56,594177.0,1
22,2.144192566,3.591169285,15.41273752,5264.42,1075711.0,2
23,1.279762059,0.558108404,13.45877532,3636.31,770783.0,0
24,2.675228787,2.661439139,14.70103385,3077.91,1071003.0,2
25,1.490696354,2.856675407,15.12931637,5617.41,749813.0,2
26,1.119236109,1.547499592,13.23578261,5336.09,1049262.0,1
27,1.326424719,3.672971898,15.59665535,5913.78,1074395.0,1
28,1.505678222,2.632346051,16.01107543,5084.94,1107544.0,1
29,1.22095192,3.646192713,16.17802474,2710.08,475843.0,1
30,1.312928303,2.557307615,16.83366856,2041.44,466234.0,1
31,1.643117473,1.645718406,12.67739409,2273.2,510922.0,1
32,1.302250539,2.559463938,13.43532425,8426.65,462261.0,1
33,1.348762278,2.33505864,13.9346396,3785.64,780640.0,1
34,1.235948193,2.81021588,15.61275216,2799.15,391732.0,1
35,1.286462274,3.971524394,16.33172807,7478.86,1053671.0,0
36,2.230651603,2.038545548,15.33706114,9366.68,1505532.0,2
37,1.273501194,1.430710416,15.62881902,2944.89,509375.0,1
38,1.489956716,2.602739723,15.13969918,2466.38,487232.0,1
39,1.202077243,2.591434527,15.46827416,5731.35,1091779.0,0
40,1.186351074,1.757376414,15.26611696,6006.15,1072775.0,0
