,Annual Avg Yield,Annual Avg Min Temp,Annual Avg Max Temp,Total Accumulated Rain,Total Accumulated Radiation,Class
0,1.706525504,2.091322857,16.73657254,7657.51,1121727.0,2
1,1.526680072,2.246776066,16.41078386,4988.39,629221.0,1
2,2.168884522,1.385858629,16.17417426,4484.47,871463.0,1
3,1.832444422,3.31402504,16.59718491,6119.45,1129950.0,1
4,3.163333333,1.740013474,16.85328339,4295.55,795086.0,2
5,1.06657371,2.770312369,11.65794382,4499.24,393877.0,1
6,0.873794743,3.765200013,15.30548566,6979.58,657920.0,1
7,1.198691496,3.079968488,14.76883957,3491.1,560723.0,1
8,1.877325084,3.404434399,12.5681551,2047.08,445193.0,2
9,1.763855537,1.952537049,16.3813122,5033.37,631062.0,0
10,2.385247562,1.325749925,16.85328339,4376.33,679943.0,1
11,1.559351281,0.804651541,14.30803218,3544.53,1092369.0,2
12,1.82277098,1.523601676,15.64793258,4720.52,831376.0,1
13,1.759550168,1.485477515,15.90842046,3277.06,535275.0,1
14,2.584810428,2.879515704,14.53362931,2230.97,1515469.0,1
15,1.534645921,2.271188823,11.65794382,11074.25,579771.0,0
16,1.432683391,1.413137684,12.11439645,9279.66,764999.0,0
17,1.672771405,1.812668629,16.85328339,4185.19,612029.0,0
18,1.595766996,0.628025007,16.49574212,4096.09,641694.0,1
19,1.586678465,2.657986111,13.38278648,5562.18,857361.0,0
20,1.935852857,2.460301554,15.74398445,3980.91,781058.0,1
21,3.163333333,1.676152434,15.0953163,6514.58,1058296.0,1
22,1.528650396,1.117201673,12.5943551,6255.04,666733.0,1
23,1.779013189,2.967420444,16.85328339,4822.24,647900.0,1
24,2.016846219,3.28506951,14.34155321,4207.13,677167.0,0
25,2.664872228,3.659764182,16.85328339,2959.47,391732.0,1
26,0.839385693,1.275517933,11.65794382,3523.67,616042.0,0
27,2.34128927,3.245529827,13.46622245,5774.72,587681.0,2
28,2.41465351,1.150212444,16.85328339,4887.67,858808.0,2
29,0.915092742,1.624878848,15.01584751,7287.44,709124.0,0
30,2.111910477,1.834719485,15.64156616,4558.16,467001.0,2
