,Annual Avg Yield,Annual Avg Min Temp,Annual Avg Max Temp,Total Accumulated Rain,Total Accumulated Radiation,Class
0,2.745177796,3.072437415,12.93888121,9853.04,1058333.0,2
1,1.307673862,3.643666677,16.04245313,2758.01,530332.0,1
2,1.309564118,3.677267392,13.58433068,2470.48,502751.0,0
3,1.56324571,2.687146834,13.64439702,5194.93,1040546.0,1
4,1.37007688,3.427782606,15.36490737,2529.97,467893.0,1
5,1.309224967,1.698340812,16.05677566,2417.4,468712.0,1
6,0.917409374,1.574111852,13.06063422,4206.43,802339.0,1
7,1.548834026,1.572385362,15.96965103,2331.4,438102.0,1
8,1.583680712,3.490908192,15.56097911,9784.74,534096.0,0
9,0.948327835,1.706288329,12.90378599,2830.29,491183.0,0
10,1.846896464,1.458152429,12.49344182,5793.35,1063155.0,1
11,1.463908501,3.274192913,15.94158433,8584.0,1500163.0,0
12,1.573569552,1.465419269,13.27216159,5065.54,727491.0,1
13,1.193304216,1.511862309,12.95813587,5395.64,1060336.0,1
14,1.138889206,3.273934963,15.91551202,2346.99,478608.0,1
15,1.551024925,3.20976104,15.74991551,3475.92,1061790.0,1
16,1.578462528,2.658351302,16.05814072,10136.32,1515469.0,2
17,1.557069968,3.653033853,16.4260368,2059.57,522773.0,1
18,1.550418113,1.456158458,15.37265238,3034.58,541945.0,1
19,1.592000066,1.262300281,12.99520101,4510.85,761413.0,1
20,2.641716715,3.288957825,15.45422932,3924.71,572767.0,2
21,0.982018502,2.449844504,14.71106237,2949.65,442100.0,1
22,1.424199025,3.090683442,13.30152771,4131.99,739257.0,1
23,1.318848779,1.295852371,15.53182614,4320.9,770460.0,1
24,1.277474473,3.258823219,15.9962256,2490.39,445369.0,1
25,1.414040754,3.151230443,13.75191428,4768.86,768915.0,1
26,1.430568802,1.608122967,13.40199814,6833.81,1048358.0,1
27,1.183431236,1.346616783,15.80682961,4561.27,478921.0,1
28,1.278782128,3.752119912,16.85328339,8983.38,1494675.0,0
29,1.489231942,2.40089903,13.74348413,4090.24,739025.0,1
30,1.305402301,3.265100645,16.09024707,2390.78,507183.0,0
31,1.191441939,3.64478752,15.54458199,10057.63,1488165.0,0
32,1.04759205,3.026305012,16.3818273,4615.82,489066.0,1
33,1.873172222,1.439653193,12.43143649,2980.55,482400.0,1
34,1.346691637,1.477125381,16.12619,5772.41,758802.0,1
35,1.073929242,3.151696158,15.77613464,2773.99,590798.0,0
36,1.339073708,1.506052581,13.249816,5568.23,1082121.0,0
37,2.450511166,3.566234093,16.04885374,9744.03,1462558.0,1
38,1.445393798,3.599105368,15.84431225,5268.48,593676.0,1
39,2.257995747,3.363896043,15.78585806,8362.46,1515469.0,2
40,1.296854969,3.48469995,15.4382969,2388.51,479858.0,1
41,1.485883776,1.460185399,12.79961062,5330.7,1070782.0,1
42,2.18281057,2.75076417,14.05959346,8343.39,1022497.0,2
43,1.391324569,1.678867669,13.05498005,2489.02,562218.0,1
44,1.63344817,3.042703123,16.27334507,2146.71,489712.0,1
45,0.954984397,3.452951329,15.99912825,2017.37,521130.0,0
46,1.441146525,1.527313062,15.31980088,3117.99,451901.0,1
47,1.278396245,3.069444186,16.21001817,4655.41,559939.0,1
48,1.597726283,1.470235352,15.31637923,4529.76,783059.0,1
49,2.518607709,2.066416219,13.77117961,10223.72,1030060.0,2
50,1.396988512,3.724676638,15.74534634,2922.21,511532.0,1
