,Annual Avg Yield,Annual Avg Min Temp,Annual Avg Max Temp,Total Accumulated Rain,Total Accumulated Radiation,Class,avg,std,num stds
0,1.084553709,2.254476926,16.28950955,3844.19,677302.0,0,1.452725263,0.429985311,-0.743747576
1,1.347093246,2.460716179,14.45709694,4848.61,974775.0,1,1.452725263,0.429985311,0.672142473
2,1.526439308,2.733193391,16.8199437,5191.39,694981.0,1,1.452725263,0.429985311,-0.731912584
3,1.691360609,1.215285628,15.73581226,3611.05,685208.0,0,1.452725263,0.429985311,-1.01776276
4,0.818393528,0.987958576,13.66166014,3221.48,731334.0,1,1.452725263,0.429985311,-0.484928305
5,1.551784789,0.997657309,16.29097694,6659.09,708698.0,1,1.452725263,0.429985311,0.300691037
6,1.942863183,2.19878188,14.20656378,10481.07,765395.0,1,1.452725263,0.429985311,0.807300494
7,1.35155965,0.547020205,12.26307904,4345.28,1158963.0,1,1.452725263,0.429985311,0.013085685
8,1.385981152,3.874042686,15.7330517,2893.08,743198.0,2,1.452725263,0.429985311,-0.126587057
9,1.153917665,2.35941868,13.684903,2064.15,553928.0,2,1.452725263,0.429985311,-1.378654475
10,1.070546051,1.032358388,14.37189732,4699.45,761825.0,1,1.452725263,0.429985311,-0.522888966
11,1.662590948,1.988013261,13.93459253,4235.57,871237.0,1,1.452725263,0.429985311,-1.39921763
12,1.008031054,2.25164429,13.420273,3826.3,739363.0,1,1.452725263,0.429985311,-1.109001823
13,2.222565989,2.389382452,14.48391299,4854.39,391732.0,1,1.452725263,0.429985311,3.978294206
14,1.318756298,2.004490473,15.23698237,8996.5,1313494.0,1,1.452725263,0.429985311,-0.151951387
15,1.165105545,2.802516408,13.13389055,5744.18,1379349.0,1,1.452725263,0.429985311,0.146296611
16,3.163333333,0.249995175,12.8466006,11113.79,1300582.0,1,1.452725263,0.429985311,0.759450982
17,1.412269605,2.588031645,15.45972721,7163.76,635242.0,1,1.452725263,0.429985311,-0.225112034
18,1.492500153,2.174591502,15.75185084,5411.75,952493.0,1,1.452725263,0.429985311,-0.113650012
19,1.216259935,3.310153914,16.27924041,4653.73,840623.0,1,1.452725263,0.429985311,-0.368119308
20,1.572887955,1.209242548,11.65794382,8871.99,1449096.0,1,1.452725263,0.429985311,-2.363007689
21,1.464069122,0.249995175,16.17370685,2758.42,798978.0,1,1.452725263,0.429985311,-0.303141234
22,1.308018523,1.240210252,15.71675647,3453.54,734518.0,1,1.452725263,0.429985311,2.1734082
23,1.613846398,2.61420829,13.1012668,11070.49,698446.0,0,1.452725263,0.429985311,-0.635971953
24,1.190634436,1.548145678,16.43253129,10360.78,816344.0,1,1.452725263,0.429985311,-0.144410922
25,1.213701956,1.118490629,16.84745914,4522.87,838653.0,1,1.452725263,0.429985311,-0.581276974
26,0.962509396,2.160013872,12.11441053,2567.23,1155025.0,1,1.452725263,0.429985311,-0.580030775
27,1.30555152,2.355876142,12.07826846,3664.09,1440990.0,1,1.452725263,0.429985311,-0.267088681
28,2.374037388,2.854736976,15.08610707,2064.15,667529.0,2,1.452725263,0.429985311,-0.037070375
29,1.492432504,3.787419345,13.19747502,5572.99,1060519.0,1,1.452725263,0.429985311,-0.348801848
30,0.996285701,0.249995175,12.7587271,2915.32,1515469.0,1,1.452725263,0.429985311,-0.73361526
31,1.214039938,1.300460286,14.75901051,4046.02,674790.0,2,1.452725263,0.429985311,2.556209537
32,1.306298408,1.271902689,15.67055855,5517.3,1403128.0,1,1.452725263,0.429985311,-0.42264581
33,2.230097798,2.745328323,11.65794382,5144.26,624253.0,1,1.452725263,0.429985311,0.669860887
34,0.900960981,1.210044969,11.65794382,5025.67,391732.0,1,1.452725263,0.429985311,-0.266529872
35,1.586526041,2.388903652,14.32302501,6118.1,777054.0,1,1.452725263,0.429985311,-0.204872312
36,1.52556395,3.445140336,16.00093355,3822.73,1515469.0,1,1.452725263,0.429985311,-0.085263076
37,1.034576517,2.183917528,13.27069719,6276.58,1108237.0,1,1.452725263,0.429985311,-0.656772496
38,1.428428409,3.060076119,13.54160337,2971.93,1406919.0,1,1.452725263,0.429985311,0.08389421
39,1.578918988,2.007120649,13.26387861,2736.77,1342502.0,1,1.452725263,0.429985311,-0.953087759
40,1.623780391,1.138742108,12.75339952,2790.56,1109515.0,1,1.452725263,0.429985311,-2.363007689
41,1.909839911,2.639054898,13.29023874,4164.59,618956.0,1,1.452725263,0.429985311,-0.690372223
42,1.589144813,1.533641521,13.91044499,4010.25,718072.0,1,1.452725263,0.429985311,-1.11086308
43,1.712252083,1.008565087,16.62396051,4260.16,1157445.0,1,1.452725263,0.429985311,-0.952176249
44,1.020825577,3.023516621,15.43611872,2770.95,854682.0,0,1.452725263,0.429985311,-0.061775262
45,1.356258112,0.646833282,16.15351374,2580.57,1515469.0,1,1.452725263,0.429985311,-0.76666799
46,0.883930687,2.47454417,16.73733868,10321.71,1088642.0,1,1.452725263,0.429985311,-0.699216155
47,1.034883536,1.900094032,13.96730449,3222.84,792674.0,1,1.452725263,0.429985311,-2.363007689
48,2.134030521,2.441590964,16.10854133,4896.09,391732.0,1,1.452725263,0.429985311,-0.760504486
49,1.259112189,2.286856977,13.3719335,3483.48,1116607.0,2,1.452725263,0.429985311,-1.271192667
50,1.552705761,2.656246547,16.24333553,9394.14,1415235.0,1,1.452725263,0.429985311,0.311383576
51,2.073093856,2.199784404,15.5025105,8018.95,391732.0,1,1.452725263,0.429985311,-0.67170716
52,1.233444785,2.008498918,15.87493268,4266.81,699326.0,1,1.452725263,0.429985311,1.536082676
53,1.202150112,2.686274877,12.84363145,5017.19,675436.0,1,1.452725263,0.429985311,-0.755300208
54,1.272193744,2.767887188,11.65794382,4600.95,598464.0,1,1.452725263,0.429985311,-0.802077612
55,1.757705465,1.037375334,13.75344909,7179.34,834191.0,0,1.452725263,0.429985311,-1.118214195
56,1.199226549,2.31724156,13.47443868,4201.7,709497.0,1,1.452725263,0.429985311,0.29649953
57,1.136646545,1.758763437,16.19230433,3606.47,1047483.0,1,1.452725263,0.429985311,-1.222954535
58,1.348504196,1.058109427,11.65794382,2064.15,1067014.0,1,1.452725263,0.429985311,0.885420547
59,1.498578176,2.000682821,16.19878674,2864.56,827230.0,1,1.452725263,0.429985311,-1.55963706
60,1.235973874,1.546193861,11.8940916,3120.36,1083323.0,1,1.452725263,0.429985311,-1.002242236
61,1.797215334,3.033390442,15.52108732,2257.85,536333.0,1,1.452725263,0.429985311,0.499504525
62,1.590606806,2.413541124,13.84617013,8278.02,1319853.0,1,1.452725263,0.429985311,-0.144683535
63,1.21585595,1.282880019,13.09208317,2407.26,397156.0,1,1.452725263,0.429985311,-1.1092248
