,Annual Avg Yield,Annual Avg Min Temp,Annual Avg Max Temp,Total Accumulated Rain,Total Accumulated Radiation,Class,avg,std,num stds
0,1.325701572,3.913490125,15.80352846,2847.52,432402.0,1,1.452725263,0.429985311,0.314902034
1,1.144973723,3.640824526,16.03207401,2542.88,508537.0,0,1.452725263,0.429985311,-0.86112251
2,1.462819872,2.839812492,14.86631261,3136.36,456416.0,1,1.452725263,0.429985311,0.35571133
3,1.548387107,1.250489623,13.45191193,5489.15,778162.0,1,1.452725263,0.429985311,-0.334030997
4,1.537819157,3.660667753,15.49392025,3075.72,507526.0,1,1.452725263,0.429985311,0.459309122
5,2.226178136,3.620320532,16.22745956,3171.37,494609.0,1,1.452725263,0.429985311,0.154063122
6,1.486330456,3.501632104,16.00865337,2440.92,535785.0,1,1.452725263,0.429985311,-0.468509783
7,1.46957521,3.526578982,16.36344764,3267.44,1105747.0,1,1.452725263,0.429985311,0.185540319
8,1.394091082,3.703671246,16.15015916,7585.28,1048870.0,1,1.452725263,0.429985311,-0.993043448
9,1.004892129,3.53968405,15.92808349,2117.04,509296.0,1,1.452725263,0.429985311,-0.674832628
10,1.397743575,3.333060789,15.50377027,6125.97,1017593.0,1,1.452725263,0.429985311,0.211407538
11,1.697885585,3.724708324,15.8165132,3209.57,481740.0,1,1.452725263,0.429985311,0.23684392
12,1.21216052,3.210053013,16.036007,2846.16,1034733.0,1,1.452725263,0.429985311,-0.14388866
13,1.046040716,3.391449449,15.74769818,4647.23,551082.0,0,1.452725263,0.429985311,-0.696716296
14,1.179506359,1.415679458,13.84686485,4560.81,777704.0,1,1.452725263,0.429985311,-0.967214433
15,1.806965477,3.419304506,15.61786165,2537.02,481186.0,1,1.452725263,0.429985311,1.090359529
16,0.990774764,3.35976792,13.40287955,4595.63,771325.0,1,1.452725263,0.429985311,-0.967402912
17,1.311651928,1.379299226,12.01103617,5548.23,1107136.0,1,1.452725263,0.429985311,-0.311690708
18,1.298357922,3.022201054,12.57684293,2752.57,1078287.0,1,1.452725263,0.429985311,-0.38406889
19,1.526539575,2.630317403,13.45723687,4334.32,762414.0,1,1.452725263,0.429985311,0.497408882
20,1.337336086,3.209615467,16.15974189,5603.86,1062241.0,1,1.452725263,0.429985311,0.478305521
21,1.266617346,3.096614545,15.9112104,2822.32,445224.0,1,1.452725263,0.429985311,-0.511021991
22,1.402620601,3.119868805,15.50720506,2892.04,1036374.0,1,1.452725263,0.429985311,0.769705933
23,1.545746329,3.140463271,16.1332878,2633.9,521267.0,1,1.452725263,0.429985311,0.244074127
24,1.320071529,2.969318597,15.67611491,4219.96,642795.0,1,1.452725263,0.429985311,0.520174715
25,1.336033779,3.557075697,15.63347787,4986.06,1056466.0,1,1.452725263,0.429985311,0.042542609
26,1.064716786,3.108178382,15.52219987,2453.8,465144.0,1,1.452725263,0.429985311,-0.770528479
27,1.177931472,2.865041793,13.38351561,4262.37,746314.0,1,1.452725263,0.429985311,-0.619533523
28,1.470660555,3.443285131,15.27390304,5663.71,1114232.0,1,1.452725263,0.429985311,0.716322896
29,1.337153616,2.884142502,15.67134677,2371.71,481962.0,1,1.452725263,0.429985311,0.065514901
30,2.006622766,2.952310933,15.93008306,2887.39,461625.0,1,1.452725263,0.429985311,0.382117502
