,Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,3356.33,580.8,23.79017857,18.51628024,27.90287533,0.256486408,1
1,4823.96,768.3,5.53,0.87766153,12.3321872,0.07,2
2,4667.96,741.6,7.40009538,5.56385224,15.62653587,0.07,2
3,2441.0,750.0,19.59360327,17.39306155,25.70931589,0.276608312,2
4,3285.74,1002.8,20.31712896,17.69178677,24.39778169,0.290469533,2
5,4763.75,1043.2,9.2032786,4.88332775,11.55698533,0.07,3
6,4822.26,721.8,5.53,-0.39736422,10.92,0.07,3
7,4753.02,969.3,8.86921125,2.89150638,25.95650456,0.07,2
8,2596.62,795.6,16.66571284,14.57659988,25.49089236,0.291733091,2
9,3554.94,789.1,19.0306622,12.18019766,26.99415722,0.262485091,2
10,4594.91,1035.8,8.93942368,0.25229228,15.10492126,0.072550526,3
11,3262.69,746.2,11.30752624,0.64974182,14.89334142,0.07,3
12,3490.78,528.2,20.97115222,15.49064335,27.011746,0.290036068,2
13,4458.1,755.2,10.4792173,1.89623595,15.29729569,0.071935603,3
14,4787.32,785.1,9.81908987,2.71373809,14.16399608,0.07,2
15,4665.28,810.4,9.32562998,3.82327142,10.92,0.07,2
16,3630.15,540.7,17.67419048,12.78286016,22.44822164,0.07,2
17,3620.58,547.1,22.13741141,15.52157807,27.07366172,0.268585706,1
18,2671.86,613.9,20.79308185,16.60745029,28.4948393,0.271021511,2
19,4798.91,812.8,6.38002376,-0.40897016,10.92,0.0716802,3
20,2118.24,701.7,14.88184058,9.84636254,15.3869385,0.072410914,2
21,4823.96,747.5,6.9135893,1.01358609,11.86746884,0.07,2
22,4810.83,812.2,20.32327351,13.69018028,14.03054732,0.080721416,2
23,4616.3,142.0,18.36094173,16.68047659,23.5863578,0.304710481,2
24,4516.71,814.4,20.20979431,15.52957582,27.57658865,0.274740456,2
25,3525.96,109.7,19.00918292,17.58963067,25.77557325,0.301685616,1
26,4804.09,1002.1,8.21973794,0.1827766,11.60214121,0.07,2
27,4574.33,1032.0,8.53634471,-0.27884555,11.57235269,0.070779037,2
28,2083.69,835.2,19.73234021,4.08186475,13.24354401,0.089715955,1
29,4683.88,811.7,8.49934584,9.52198971,22.11474629,0.292829689,2
30,2558.65,468.5,17.92360126,17.65537822,29.24002428,0.278810493,1
31,2641.86,832.2,9.17021652,-0.53,14.51002165,0.07,2
32,4596.99,742.4,6.5313929,0.19517074,11.2224932,0.074163959,2
33,4680.18,1043.2,19.39033879,9.60046737,27.71976998,0.083449902,2
34,4799.03,752.1,7.00529436,0.21412496,12.52469723,0.079510056,2
35,4620.94,1043.2,9.79768308,1.81471909,14.17087265,0.072206358,2
36,3330.67,634.8,23.17342882,11.61347685,28.08677405,0.292297631,2
37,2827.19,1014.4,5.53,10.13497266,22.68509096,0.082887388,2
38,3375.19,603.5,20.01034698,10.44495255,26.04357883,0.291722486,2
39,4586.27,768.6,6.40573919,5.00059553,12.63100132,0.093214191,2
40,3480.36,821.7,7.59566049,17.34626761,23.28015294,0.08530957,2
41,4625.78,849.9,8.46889335,1.48215696,11.27944251,0.07,2
42,4606.95,1043.2,6.84258348,1.93292711,11.41135097,0.07,2
43,4659.52,741.6,15.54584406,8.74219281,23.33091766,0.07,2
44,3171.76,445.6,22.104091,5.33518312,25.79769592,0.301765474,2
45,3648.68,812.5,17.69277924,14.1299877,25.77949008,0.7,2
46,2930.19,516.0,21.77033521,18.20010702,25.8641767,0.273051783,1
47,4674.49,707.3,9.32011675,1.60460992,15.65642436,0.076676485,2
48,4758.54,851.7,7.17415808,-0.42218139,13.93393943,0.075186007,2
49,2651.59,789.0,15.35473137,9.76772121,22.99197213,0.07768388,2
50,4734.84,738.6,6.41590886,2.96809606,12.28086133,0.07,2
51,2779.57,1020.7,17.398507,15.88440082,14.01274936,0.082878054,2
52,4604.42,738.8,17.63390881,3.94897361,15.48724198,0.085472234,2
53,3486.79,594.3,20.03179223,17.59424807,25.94138126,0.261515477,1
54,4679.31,743.6,9.47460838,1.21041323,10.92,0.075201342,2
55,4705.61,729.9,6.07666778,-0.48248686,11.22937941,0.070675551,2
56,3500.89,372.1,19.54959484,14.74631749,27.29770469,0.274651244,1
57,3882.15,813.7,22.14158331,2.38379886,25.59393608,0.289859075,2
58,4589.03,780.7,9.77839492,5.58093462,14.85627977,0.084278375,2
59,4683.63,745.3,5.61692219,-0.53,11.76434665,0.07054993,2
60,4763.21,813.8,9.78465606,17.8788288,10.92,0.07,2
61,4823.96,827.0,8.05520916,-0.53,10.93554725,0.07,2
62,3543.93,109.7,16.95968698,14.38497343,27.84618448,0.291621218,2
63,4698.04,746.6,8.69286814,1.19511262,10.92,0.07,2
64,3406.57,829.6,18.60943979,14.52705241,24.51546641,0.268612349,2
65,4680.99,364.2,9.75659599,3.80937484,13.61872823,0.073913053,2
66,4687.04,819.6,6.30024747,0.45419529,11.06682047,0.082412856,3
67,3382.68,1032.3,23.79017857,18.44504714,28.58564044,0.300024184,1
68,4585.15,701.1,10.06138983,4.28816992,12.59519087,0.087717236,2
69,4716.8,742.3,6.40617216,0.57435445,10.92,0.072499489,2
70,4605.35,749.1,6.52751133,1.08201234,10.92,0.07,2
71,3426.44,593.5,20.63281874,15.32435753,24.13183815,0.285331084,1
72,2854.73,586.1,21.32161028,16.64299573,24.42750765,0.27644198,1
73,4682.56,1043.2,11.25165029,1.24524971,15.25134628,0.07,2
74,4607.75,830.5,6.35669293,5.40474617,15.5166314,0.07,3
75,4613.77,753.5,10.68069872,-0.21130129,12.38847751,0.07,2
76,3526.47,296.1,10.17999565,13.69094294,26.00460735,0.07,2
77,2188.24,793.5,17.50944467,17.20217352,24.8714235,0.296994612,2
78,4641.56,1033.8,9.06838912,2.3454508,13.50168021,0.075897687,2
79,4700.3,819.5,8.62368192,3.85422826,24.73378571,0.282459166,2
80,4809.74,729.8,7.56055462,0.70562805,11.89867518,0.083867842,2
81,2721.94,818.5,21.81246023,15.50090964,25.45025809,0.27470594,2
82,2539.54,861.8,20.11090167,16.34956623,27.72677909,0.281241131,1
83,4711.66,750.3,19.55487895,9.65304014,14.92347489,0.07,1
84,4767.62,734.1,7.73860899,2.62006188,12.72167312,0.070577327,2
85,4733.79,734.6,7.35950745,1.00477982,15.06831373,0.08738886,2
86,4241.23,1010.7,21.18976437,11.73569442,22.99141433,0.085390458,2
87,3653.99,831.6,5.53,16.66893859,25.16952614,0.297375725,2
88,4766.64,787.1,9.19294826,3.79119124,24.53262823,0.078785889,2
89,2884.44,331.6,9.98058944,5.1038839,24.05812061,0.076412906,2
90,2961.88,504.0,15.29925561,16.34019369,24.54277886,0.263673897,2
91,3163.66,1039.0,9.41488274,17.15534564,14.34776848,0.084397471,2
92,3563.63,953.5,21.16854786,17.23044994,25.99404561,0.267024792,2
93,3126.54,1043.2,20.42568278,17.28558095,25.67032102,0.294656131,2
94,4592.91,569.0,6.66446687,2.42013029,24.83152293,0.091010168,2
95,4626.12,750.9,5.82860976,-0.15166922,10.92,0.089995537,2
96,4626.48,736.7,7.80838297,2.48682853,13.21107383,0.074824378,2
97,2868.38,516.3,17.20486398,15.12349299,25.78065058,0.272749511,2
98,3419.66,818.0,19.8197846,15.60143531,11.1826218,0.08171746,2
99,4740.39,1001.3,9.79312687,16.08942634,25.12195568,0.07,2
100,3292.33,507.8,20.96666782,14.75374195,26.3466601,0.294007959,1
101,2442.51,1022.7,8.97042467,3.2374798,10.95052572,0.098221394,2
102,4823.96,764.6,8.89787166,1.42318549,10.95617492,0.07,2
103,3191.83,582.7,14.80957897,12.98722835,21.47265309,0.296971036,2
104,2826.68,453.7,21.69619064,15.77432653,28.45336752,0.26624128,1
105,4823.96,837.6,6.12310825,0.88751852,12.36724942,0.07,2
106,4615.31,1022.4,21.4409957,0.58270526,15.52753376,0.079112598,2
107,4505.84,848.8,5.96013486,1.03611028,11.78881711,0.081256454,3
108,2910.98,540.7,22.91524112,14.620915,27.46192764,0.271902493,2
109,4757.88,812.4,18.24323411,4.00699271,20.9566901,0.275186265,2
110,4585.68,742.0,8.82875775,0.10538288,14.38082875,0.090119678,2
111,4644.65,757.4,9.24937835,1.30512662,12.63928881,0.084927091,3
112,3365.44,851.2,19.85269438,16.86263827,24.18133609,0.284712234,2
113,4609.72,760.7,7.69877159,1.09331802,11.00643751,0.072605684,2
114,3501.88,193.2,18.88904287,15.70832647,28.11645076,0.273582869,2
115,4768.92,944.6,6.31201272,-0.53,10.92,0.07,2
116,4706.43,843.3,9.83439788,0.21284576,14.98785109,0.07,2
117,3363.21,519.3,23.59504181,11.62559448,27.78820886,0.289487495,2
118,4684.55,801.0,5.8592655,3.79025425,15.0714695,0.306813851,2
119,4728.7,824.5,16.55846266,13.39816199,25.46917661,0.265835894,2
120,3375.33,599.7,23.79017857,18.21649424,29.25310714,0.256949034,2
121,4527.59,729.7,9.59866593,3.84952636,14.50759478,0.098810075,2
122,4633.4,812.4,5.57314642,0.65110498,11.13122788,0.07,2
123,4584.84,739.1,21.28933468,-0.1865538,12.49857089,0.07,3
124,3410.16,534.0,20.66666922,14.48106643,15.96956423,0.284370117,1
125,4659.95,854.0,7.67493132,1.52342826,12.10545426,0.074096689,2
126,3524.49,513.8,17.19674704,12.01251688,26.46480644,0.274654907,2
127,3474.41,753.5,22.0337209,14.73307773,24.92626324,0.28911223,2
128,4774.54,772.7,7.45894045,2.55716301,11.6666714,0.07,2
129,4722.55,742.7,9.2851878,8.68010812,14.28812688,0.080037433,2
130,2754.29,601.5,22.69190901,15.80513163,26.70745895,0.285911507,2
131,4599.25,726.0,6.58236494,2.43188995,12.99357766,0.070180614,2
132,4612.27,717.7,6.06817636,2.52660551,12.5497845,0.07,2
133,3317.1,751.0,21.11047012,15.98139508,26.96480105,0.301214728,2
134,3486.31,796.2,20.60178029,4.17506251,26.04492091,0.271251999,2
135,3560.2,783.0,17.68030953,-0.33250526,23.79452906,0.07,1
136,4674.06,726.0,5.53,0.23566404,10.92,0.07,2
137,4823.96,735.6,9.31395323,11.00352988,14.7372953,0.079656897,1
138,4724.18,739.0,9.19080643,3.81046928,11.61789803,0.07,2
139,4748.01,754.3,9.58232699,15.38036446,23.55519127,0.281625551,1
140,3480.81,804.8,19.77626044,15.88628574,29.05590857,0.272291598,2
141,3277.57,489.5,23.08802055,15.14109649,28.53883439,0.256627415,1
142,3282.78,822.7,20.76594589,4.10479484,26.05350779,0.506613479,2
143,3056.62,625.9,21.07898315,18.87832738,26.82004883,0.286213204,2
144,4622.62,840.6,19.47564385,4.54788474,25.17968837,0.258237178,1
145,4642.08,838.0,6.84287814,0.83893241,12.29305894,0.071767039,2
146,4598.07,730.5,5.84509611,0.43050659,12.35821089,0.076202507,2
147,4823.96,752.5,5.6221132,-0.53,10.92,0.07,2
148,4823.96,760.1,6.85277122,5.41440695,12.65698519,0.074850189,2
149,2905.15,829.6,9.75858083,4.82663864,14.21883394,0.080758167,1
150,4634.63,736.3,5.53,-0.53,10.92,0.085346092,3
151,4643.49,740.0,6.67945896,3.20998114,10.92,0.088824861,2
152,3468.05,475.2,17.78119575,4.85952636,28.12568121,0.28451756,2
153,3337.65,790.6,20.98870973,18.59131924,27.15191639,0.273135728,2
154,3659.24,808.9,19.17233167,14.75886554,14.40887469,0.285421218,1
155,3093.81,950.8,6.27421862,10.33991963,14.76864915,0.073940906,1
156,3453.07,838.1,21.26433351,13.79538421,27.47004404,0.266915442,2
157,4626.38,490.5,20.48602693,1.84663661,25.53115216,0.07,2
158,4535.54,744.3,9.27857743,5.47055835,11.96270311,0.078760525,3
159,3439.59,401.0,17.00297485,13.85849717,28.10863139,0.295931801,1
160,4635.76,1003.8,6.18940123,4.66437299,11.80629311,0.07,2
161,3499.14,813.7,10.61083071,15.32250195,28.99654058,0.266330836,2
162,4467.61,1022.9,9.12954319,15.01505388,23.79362771,0.7,2
163,2607.14,805.7,17.77485702,0.62549027,22.97804824,0.28179851,2
164,4757.04,756.0,6.58295177,-0.21226565,11.48743021,0.07,2
165,3426.32,801.3,18.39014885,4.28795114,15.08526319,0.292315701,2
166,2227.04,843.9,16.98900509,4.4987022,25.42404682,0.297999293,2
167,4586.25,964.3,8.60627597,3.97789699,13.93395219,0.093030564,2
168,4631.96,709.4,6.07303455,1.34858083,11.46969764,0.07,2
169,3281.04,818.5,16.23329084,14.88528197,28.18289647,0.316944016,2
170,4755.97,764.6,6.61548781,1.74115508,14.64161383,0.082451715,3
171,3380.44,830.0,19.41151475,12.62286892,24.53510657,0.286050885,1
172,3381.16,519.6,18.97519811,16.36524948,26.01975521,0.278546246,1
173,4560.01,726.9,7.10644562,0.0432531,11.05473521,0.090769361,3
174,4511.5,769.1,6.93087785,2.79637235,12.81037376,0.078459007,2
175,4694.82,568.7,20.67476682,17.97035582,15.47110481,0.286494244,2
176,3304.0,565.1,15.27487767,3.47782823,23.29789894,0.319734652,2
177,3069.96,819.9,20.34019377,13.2299506,24.99599071,0.269066195,2
178,4823.96,736.4,7.11640109,0.4381852,12.28537342,0.074633659,2
179,4750.64,1039.9,6.57119042,16.38141518,14.53226733,0.077872366,2
180,4544.05,960.7,19.06472459,4.08342325,13.88220287,0.096124451,3
181,4713.94,730.5,6.10614662,10.51634349,12.16162146,0.07,2
182,4532.89,130.0,21.79109513,3.9561588,27.80391725,0.289645941,3
183,4567.5,739.3,10.34544665,15.45344591,15.55265007,0.076939545,3
184,2031.88,1043.2,9.3318287,13.37836374,22.53734223,0.28802557,1
185,3294.96,421.0,18.072009,16.46920437,26.44127335,0.269968944,2
186,2515.76,435.5,8.69406915,14.15424297,25.41880519,0.287130741,1
187,4595.4,515.9,19.92243167,2.89845301,25.34279446,0.07,2
188,4823.68,1003.3,21.39482253,2.32769025,27.22597071,0.076507556,2
189,4756.86,739.9,5.70816873,-0.09340547,11.14330542,0.07,2
190,4737.25,1010.2,6.55992072,0.65783679,12.33775958,0.088605157,2
191,3266.87,989.8,18.63086568,2.92038542,24.84842321,0.270351977,2
192,4763.2,756.9,21.09173672,-0.53,14.87949797,0.7,2
193,3216.08,817.1,23.79017857,17.97857821,28.69209566,0.288056297,1
194,4568.52,728.7,5.85701831,1.34605127,11.11965796,0.075792763,2
195,4776.22,758.3,8.57104318,0.44047157,14.30827737,0.072352634,2
196,4823.96,794.4,5.53,-0.53,12.14913865,0.082257647,2
197,4752.25,993.9,5.95615787,4.30930826,11.40846022,0.07470259,2
198,4687.55,757.8,5.53,0.18217429,11.38193295,0.081466787,2
199,3483.84,417.1,20.78367682,15.78704475,27.98240867,0.284684215,1
200,4561.88,755.7,7.1988954,2.50778981,12.05701495,0.081687129,3
201,4656.29,834.5,9.32637016,16.30331937,13.44764403,0.080371362,2
202,3025.73,473.2,19.04103402,14.92767396,22.95697387,0.269977601,2
203,3536.48,109.7,21.16575062,16.43152629,29.25310714,0.248649043,2
204,4772.59,350.9,9.17364625,5.055154,14.48702415,0.081225882,2
205,4660.15,721.4,10.08039246,11.61016208,12.093155,0.080261391,2
206,4761.34,808.5,9.55045024,13.24543427,11.12027983,0.07,2
207,4595.04,999.8,21.87638264,18.87832738,26.28430378,0.091570961,2
208,4763.14,754.2,6.89862486,4.57494966,12.25515726,0.07,3
209,3320.09,817.2,18.10512058,9.34577218,24.63573108,0.267181219,1
210,4584.01,754.3,6.33349916,2.22770448,12.74419859,0.07212012,3
211,4667.44,1038.1,7.93986083,0.14192803,12.35898487,0.080766403,2
212,4696.96,109.7,9.14749371,4.54982315,27.40051269,0.077822993,2
213,4658.24,663.3,9.49687146,9.17162073,14.4412686,0.083648564,2
214,3286.56,730.1,20.07769901,17.7957439,25.67638506,0.259751498,1
215,4534.66,803.1,8.71181919,3.73900706,13.78818678,0.076327075,2
216,3468.98,524.8,19.21930595,15.19207965,22.59778321,0.30364224,2
217,4823.96,756.2,6.1647129,-0.53,11.08690725,0.07,2
218,3220.44,824.1,23.79017857,14.75871995,29.25310714,0.282623651,1
219,4711.33,746.1,6.22568689,1.59248575,25.91084724,0.076442173,3
220,3380.37,513.7,23.79017857,15.86067129,24.05590447,0.312607928,1
221,4659.56,749.9,6.81238604,1.44897167,11.8305792,0.080323469,2
222,2383.52,796.1,22.57880573,17.06797171,23.99272146,0.280573472,2
223,3603.34,726.8,18.71862504,15.13860926,22.85329052,0.279296827,2
224,4790.23,760.7,6.35993912,-0.53,12.11685229,0.07,2
225,4774.04,772.3,5.53,-0.53,12.19477908,0.075460394,2
