,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Standard Deviation,Average Yield,Number of Deviations,Class
0,Wisconsin,Arlington,41730,55Q27,42240,245,6.95,842,363,4724.96,754.9,6.18269537,1.1004372299401504,11.26708023,0.07934944165801011,2.08282129,5.981551724,-0.21909508616348927,2
1,Wisconsin,Arlington,41730,55V50,42251,248,5.38,808,366,4717.88,751.0,6.27553557,0.032394665062979944,11.57747594,0.0741021371416593,2.08282129,5.981551724,0.28868328969933876,2
2,Kentucky,Lexington,8/9/2012,55V50,9/18/2014,260,5.42,806,366,4682.14,828.6,19.9334806,14.386762248049678,24.47509949,0.28545527289543343,2.08282129,5.981551724,0.5265582791735233,2
3,Kentucky,Lexington,4/5/2016,Saranac AR,9/19/2016,259,6.97,234,363,2705.78,567.0,20.37462478,16.086438557614738,25.11865849,0.29049493738629156,2.08282129,5.981551724,-1.69045672999639,2
4,Kentucky,Lexington,8/9/2012,Saranac AR,9/13/2018,258,6.05,793,364,3303.97,823.6,18.98337133,15.074002706959588,24.56171583,0.2875503528608069,2.08282129,5.981551724,0.6774972975566551,2
5,Wisconsin,Arlington,41730,55Q27,42249,247,9.83,555,366,4620.2,757.7,6.64278803,1.2926841545442262,11.97650577,0.0786537083816163,2.08282129,5.981551724,1.0455652089358645,2
6,Wisconsin,Marshfield,41365,Vernal,41919,257,6.71,492,365,4676.55,829.8,5.78993822,-0.1392818949847544,11.24878583,0.07574081589077397,2.08282129,5.981551724,-0.08092096061530724,2
7,Kentucky,Lexington,8/9/2012,55V50,8/12/2013,262,6.42,130,1,2621.5,513.9,18.15110242,14.56606147898065,23.31318797,0.29149218450172026,2.08282129,5.981551724,-1.9110755396278192,2
8,Kentucky,Lexington,8/9/2012,Saranac AR,9/13/2018,261,4.54,871,366,3404.26,818.3,19.95797172,14.124883663942937,25.41156609,0.2860452666789126,2.08282129,5.981551724,-0.2500191507708107,2
9,Wisconsin,Arlington,41730,55V50,42604,236,7.74,850,366,4656.5,1013.8,9.82701287,4.273877734096273,15.0938607,0.07787033674873642,2.08282129,5.981551724,1.0072876007785998,2
10,Wisconsin,Arlington,41365,55V50,41885,244,6.74,545,365,4813.95,823.4,5.74016169,0.802579495700221,11.55124402,0.07476186956728999,2.08282129,5.981551724,-0.1494045724885501,2
11,Kentucky,Lexington,8/9/2012,Saranac AR,8/12/2013,257,7.07,543,363,3455.11,813.2,18.52825494,16.109026819658514,23.12973063,0.2844710172264953,2.08282129,5.981551724,-0.048913046755354246,2
12,Wisconsin,Arlington,41730,55V50,41885,245,5.98,921,367,4633.56,992.9,18.6096457,0.35375806573028157,24.22604921,0.07618023075190113,2.08282129,5.981551724,0.9519937284546411,2
13,Wisconsin,Arlington,41730,55Q27,41885,245,6.07,481,367,4748.19,820.3,5.71587039,0.12423754717726243,11.57711304,0.07433781251351222,2.08282129,5.981551724,-0.1782062913472802,2
14,Wisconsin,Marshfield,41730,55V50,42240,235,4.23,924,363,4720.08,730.5,6.54215449,0.760286033190097,11.59606519,0.08253712025078608,2.08282129,5.981551724,-0.15113887680238206,2
15,Wisconsin,Marshfield,41365,55Q27,42240,246,6.6,870,364,4746.55,766.5,6.70698785,0.771416963924173,11.85625074,0.07610609540763325,2.08282129,5.981551724,-0.7021130250421913,2
16,Kentucky,Lexington,4/5/2016,Saranac AR,9/13/2018,258,4.89,838,363,3314.31,728.2,20.34826184,14.827759808844567,25.91669833,0.29231366264334036,2.08282129,5.981551724,-1.4479631949144045,2
17,Wisconsin,Arlington,41365,55Q27,42251,249,4.71,868,365,4780.65,756.3,6.6773284,0.7268167600958927,11.39099527,0.07774899386857115,2.08282129,5.981551724,-0.03101960825722052,2
18,Wisconsin,Arlington,41730,55V50,41885,248,6.16,848,363,4658.51,841.4,6.20882283,1.6179856213143526,11.35656395,0.07725796808086915,2.08282129,5.981551724,0.3828187248133191,2
19,Wisconsin,Marshfield,41365,55V50,42240,235,4.77,881,363,4670.89,807.9,18.3494539,-0.07878814881364105,23.94115428,0.0801305760632671,2.08282129,5.981551724,0.20415165900339988,2
20,Wisconsin,Marshfield,41730,55Q27,42613,236,6.11,504,364,4681.89,1043.2,9.28629325,4.126715832514464,14.53015068,0.07963735059089577,2.08282129,5.981551724,-0.4139118854994272,2
21,Kentucky,Lexington,8/9/2012,Saranac AR,9/19/2016,263,6.19,832,364,2707.98,539.3,19.62954542,15.731159444204568,25.30158715,0.29039553730222745,2.08282129,5.981551724,-0.5531121838485,2
22,Wisconsin,Arlington,41730,55Q27,42604,236,8.39,838,366,4688.5,1043.2,9.37832849,3.8317144294226053,14.43993798,0.08127400432358103,2.08282129,5.981551724,1.237102710892985,2
23,Kentucky,Lexington,8/9/2012,55V50,8/12/2013,258,5.34,831,365,3438.97,820.2,19.30078807,14.338604871018145,24.53665059,0.3029975264476199,2.08282129,5.981551724,-0.2660428572513134,2
24,Wisconsin,Arlington,41365,55Q27,42251,248,4.55,890,365,4778.86,755.4,6.58423188,0.4428843875033938,11.47289553,0.0742374659372087,2.08282129,5.981551724,0.049846986768186594,2
25,Wisconsin,Marshfield,41730,55V50,41889,235,4.49,181,9,2876.43,571.5,19.17820047,10.359882228123093,24.37686243,0.07636524370567212,2.08282129,5.981551724,-0.7330768040194755,2
26,Wisconsin,Marshfield,41365,Vernal,41919,247,5.45,591,365,4800.0,857.1,5.53,-0.29671760866561525,10.92,0.07175739366478762,2.08282129,5.981551724,-0.6558792954775646,2
27,Wisconsin,Arlington,41365,55Q27,42251,245,6.57,841,364,4678.24,742.2,6.58209907,0.8609886618533102,11.92321986,0.07911798735098735,2.08282129,5.981551724,-0.1268283911212778,2
28,Wisconsin,Arlington,41365,Vernal,41885,246,7.19,564,364,4679.63,840.8,5.74410147,0.2983656976088263,10.9495096,0.07488533748682077,2.08282129,5.981551724,-0.7587529990084194,2
29,Kentucky,Lexington,8/9/2012,55V50,9/15/2017,260,7.47,777,362,3323.27,745.6,19.25343091,14.481659852072738,24.85935447,0.29829419481322983,2.08282129,5.981551724,0.5783446711047912,2
30,Kentucky,Lexington,8/9/2012,Saranac AR,9/13/2018,258,4.36,809,363,3506.09,840.2,19.18786123,14.501633269687526,24.26669481,0.29127569346057186,2.08282129,5.981551724,-0.10616828917256399,2
31,Wisconsin,Arlington,41365,55Q27,41885,245,5.51,547,364,4763.88,834.1,5.87612813,0.42878923344101805,11.447077,0.07250599605537118,2.08282129,5.981551724,0.3864980800689636,2
32,Kentucky,Lexington,8/9/2012,Saranac AR,9/13/2018,260,5.06,861,366,3399.43,816.8,20.24426092,15.441224030112043,24.8230157,0.2825873566382947,2.08282129,5.981551724,-0.2974627188641388,2
33,Kentucky,Lexington,8/9/2012,Contender,9/19/2016,256,6.33,549,365,4725.27,826.9,19.45003737,14.889456142672772,24.48082819,0.2816692980545758,2.08282129,5.981551724,-0.6691476720661164,2
34,Wisconsin,Arlington,41730,55V50,42249,245,7.62,528,364,4726.77,751.8,6.2004792,1.3206027604380564,11.85410984,0.07608811280735056,2.08282129,5.981551724,1.06553125272796,2
35,Wisconsin,Arlington,41365,55V50,42613,245,5.02,905,364,4799.07,1043.2,6.04657483,0.5386428373743628,11.79072918,0.0774868797513056,2.08282129,5.981551724,0.27489049868145815,2
36,Wisconsin,Arlington,41365,55V50,41885,247,6.16,496,368,4697.03,819.0,18.51079197,-0.53,24.0598242,0.073688625734785,2.08282129,5.981551724,-0.20717534272339572,2
37,Wisconsin,Arlington,41365,55Q27,41885,244,6.62,524,363,4819.92,828.3,5.84473856,0.24096893294150218,11.07626564,0.07385360128357554,2.08282129,5.981551724,-0.3328231360478355,2
38,Wisconsin,Arlington,41730,55V50,42604,245,10.86,517,364,4651.61,1041.2,9.4249236,4.296331995883204,14.67380782,0.07963746978020098,2.08282129,5.981551724,1.6791996388069144,3
39,Kentucky,Lexington,41365,55V50,9/13/2018,260,6.5,905,363,4713.38,827.8,19.27794335,15.126684214734494,25.01591475,0.2866082049650872,2.08282129,5.981551724,-0.8207714043927519,2
40,Wisconsin,Arlington,41730,55V50,41886,248,5.34,520,365,4676.26,812.2,5.53,1.1922916953108482,11.21379855,0.07245575626611454,2.08282129,5.981551724,-0.6599107720671363,2
41,Kentucky,Lexington,8/9/2012,Saranac AR,9/15/2017,260,6.66,835,364,3551.33,991.7,20.30758008,14.164108606584666,24.9069009,0.28653496153202135,2.08282129,5.981551724,-0.6303516474239501,2
42,Wisconsin,Arlington,41365,55V50,41885,246,6.61,532,363,4760.15,741.7,6.70773339,0.5464703273089506,11.61669844,0.0782615868939153,2.08282129,5.981551724,0.32726421233556036,2
43,Wisconsin,Arlington,41730,55V50,42604,246,9.63,472,365,4769.63,1031.7,9.35835701,4.428469899358789,13.98474802,0.07666797690597595,2.08282129,5.981551724,0.6271731039978621,2
