,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Standard Deviation,Average Yield,Number of Deviations,Class
0,Wisconsin,Marshfield,41730,55V50,42613,234,5.68,890,363,4719.87,1033.2,9.54082341,4.07721044,14.46362881,0.078822549,2.08282129,5.981551724,1.831156572,2
1,Wisconsin,Arlington,41730,55V50,42604,234,8.31,503,363,4564.88,1028.3,9.8840991,4.11147039,14.35038793,0.078651731,2.08282129,5.981551724,1.504608294,3
2,Wisconsin,Marshfield,41730,55V50,42613,235,5.08,949,364,4823.96,1009.1,9.7207994,4.62098614,14.53032196,0.074624613,2.08282129,5.981551724,0.399653738,2
3,Wisconsin,Arlington,41365,55V50,41885,245,5.37,800,364,4764.66,828.5,6.689568,0.27752314,11.5320049,0.075439077,2.08282129,5.981551724,-0.484102565,2
4,Kentucky,Lexington,4/5/2016,Caliber,9/19/2016,257,5.66,798,363,4671.55,501.0,20.95615883,15.83208325,25.90759022,0.283415155,2.08282129,5.981551724,0.360787426,2
5,Kentucky,Lexington,8/9/2012,Caliber,9/19/2016,261,5.39,483,363,3317.07,523.1,21.33701371,14.50292772,25.23127195,0.28569331,2.08282129,5.981551724,-0.187882548,2
6,Wisconsin,Marshfield,41365,55V50,42240,237,5.46,807,364,4594.3,755.5,6.05408045,0.77604417,11.83619216,0.079107167,2.08282129,5.981551724,0.216603516,2
7,Wisconsin,Lexington,8/9/2012,55V50,42604,234,8.34,833,363,4681.55,989.3,9.26432772,14.53991467,14.72192019,0.075227921,2.08282129,5.981551724,1.555769413,2
8,Wisconsin,Arlington,41730,55V50,42613,246,6.32,510,364,4652.02,1029.0,9.41073007,3.80820961,14.32305578,0.075136171,2.08282129,5.981551724,-0.279856505,2
9,Kentucky,Lexington,41730,55V50,9/19/2016,260,5.52,847,364,4610.35,513.4,22.50998488,15.53263778,25.12184316,0.293117351,2.08282129,5.981551724,-0.092888101,2
