,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Standard Deviation,Average Yield,Number of Deviations,Class
0,Kentucky,Marshfield,40664, SW 4332 ,41886,264,4.44,1423,373,4631.4,982.5,7.73439654,2.94273517,27.94700174,0.288988946,2.08282129,5.981551724,1.40514593,1
1,Kentucky,Lexington,4/5/2016,55V50,42604,248,11.08,1020,358,3119.22,874.0,23.79017857,2.06402591,12.38837771,0.308044144,2.08282129,5.981551724,-0.080461034,1
2,Kentucky,Lexington,8/9/2012,FSG 415BR,9/12/2018,262,3.53,1043,55,4422.49,972.7,22.55281664,2.7111066,12.66042327,0.324986886,2.08282129,5.981551724,-2.181444858,1
3,Wisconsin,Marshfield,41730,Caliber,9/12/2018,247,7.73,1406,358,4624.8,776.9,6.96107784,18.00920958,12.76700202,0.332731117,2.08282129,5.981551724,0.704333466,3
4,Kentucky,Arlington,3/31/2015,Radiance HD,9/14/2017,255,10.34,603,366,4516.16,818.0,7.55085997,4.63473468,14.54444285,0.078239857,2.08282129,5.981551724,0.814028172,2
5,Wisconsin,Arlington,41730,Rebound 6XT,9/13/2018,262,5.09,632,363,4484.58,1043.2,6.27918561,1.79120123,23.08855824,0.309064176,2.08282129,5.981551724,0.360972641,2
6,Wisconsin,Lancaster,3/31/2015,AM-14-900,41885,228,7.26,416,362,1866.42,804.7,5.72372406,4.16842197,29.25310714,0.077176917,2.08282129,5.981551724,1.281221859,2
7,Wisconsin,Lancaster,8/9/2012,C/W-104038,42251,239,2.68,377,375,4708.99,538.2,8.87414807,3.09228613,12.14599499,0.25385283,2.08282129,5.981551724,-0.015907393,1
8,Wisconsin,Marshfield,8/9/2012,LH 9700,41890,248,4.46,1026,93,4681.5,722.2,10.98834587,16.86537055,14.92346983,0.087870699,2.08282129,5.981551724,-0.201886335,2
9,Kentucky,Marshfield,41730,DSD05-T,8/20/2018,263,5.84,707,364,4598.69,804.0,9.78254429,16.27980575,29.25310714,0.301486248,2.08282129,5.981551724,-0.95516167,2
10,Kentucky,Lexington,8/9/2012,HybriForce 3400,8/12/2013,264,5.5,540,33,4456.6,775.6,10.47679735,11.92959767,13.90564948,0.073729629,2.08282129,5.981551724,-0.50473737,1
11,Kentucky,Arlington,42095,Contender,9/15/2017,265,7.28,286,376,4703.93,794.8,23.0566181,-0.53,25.97798064,0.077929557,2.08282129,5.981551724,2.447856808,1
12,Kentucky,Lexington,41730,Contender,41885,260,2.89,1393,385,1856.67,754.0,19.04071947,-0.53,29.18591358,0.10144379,2.08282129,5.981551724,2.163993121,2
13,Kentucky,Lexington,8/9/2012,MS Sunstra 144142,42243,263,3.08,864,1,4501.9,718.2,23.79017857,2.15266164,10.92,0.076163181,2.08282129,5.981551724,-1.630990474,2
14,Kentucky,Lexington,3/31/2015,Nuton Alf,9/12/2018,247,5.06,570,380,4612.1,745.1,21.40575274,14.88285348,14.68009233,0.319886537,2.08282129,5.981551724,-0.042361594,2
15,Wisconsin,Arlington,41730,WL 365HQ,9/18/2014,249,5.97,1450,385,4524.19,766.4,6.14896948,3.27105059,14.73955133,0.271611028,2.08282129,5.981551724,-0.72979118,1
16,Wisconsin,Arlington,41730,Mariner IV,9/12/2018,248,4.43,990,1,4570.08,710.0,19.80335404,5.96539451,21.64939628,0.288026645,2.08282129,5.981551724,0.726239836,1
17,Wisconsin,Arlington,8/9/2012,Radiance HD,9/18/2014,246,3.55,821,372,4531.1,823.9,19.59348668,2.88471956,14.97088548,0.313617373,2.08282129,5.981551724,0.273358943,2
18,Kentucky,Arlington,8/9/2012,Caliber,42249,259,5.09,659,371,2145.22,779.7,18.78189611,18.87832738,22.76789296,0.280577277,2.08282129,5.981551724,-1.759366068,3
19,Wisconsin,Arlington,42095, AFX h134091* ,9/18/2014,261,6.59,582,33,4569.19,730.3,9.32585909,1.20493506,15.11626756,0.304134751,2.08282129,5.981551724,-0.307539799,3
20,Wisconsin,Lexington,41365,MSSUNSTRA-D12*,42249,249,7.83,914,361,4463.85,718.4,23.79017857,11.12162917,28.61363727,0.083464101,2.08282129,5.981551724,-0.595121911,3
21,Wisconsin,Arlington,41730,Evermore,41885,239,6.29,422,344,3555.35,620.3,7.56874289,0.81249681,14.81708382,0.293556276,2.08282129,5.981551724,0.851349601,1
22,Kentucky,Lexington,41730,AFX h134093,42613,238,7.67,843,356,4559.96,725.1,20.07703687,5.2179765,29.25310714,0.312550672,2.08282129,5.981551724,-0.037834364,2
23,Kentucky,Lexington,3/31/2015,PGI 212,42613,259,3.54,479,385,4391.2,752.4,18.68939903,3.71734673,15.52139978,0.304786799,2.08282129,5.981551724,-1.971297644,1
24,Wisconsin,Arlington,4/5/2016,Caliber,42251,243,9.41,1064,390,2240.56,339.1,20.5891606,5.72623537,28.59171947,0.07,2.08282129,5.981551724,-0.052405588,3
25,Wisconsin,Lancaster,3/31/2015,AFX103009,8/20/2018,260,6.17,825,355,4518.49,729.0,15.47153153,1.06603381,25.71355855,0.100704563,2.08282129,5.981551724,-0.676046726,2
26,Kentucky,Arlington,41133,NF11ALF006,9/19/2016,256,4.53,1158,368,2196.1,851.5,22.90200108,14.37889928,28.73329572,0.301978634,2.08282129,5.981551724,-2.270790431,2
27,Kentucky,Arlington,41365,AFX h134093,9/18/2014,249,8.63,882,370,3222.93,778.4,10.64529549,2.22221284,23.01260294,0.306925397,2.08282129,5.981551724,1.228969325,1
28,Wisconsin,Arlington,42095,Ameristand 403T,9/15/2017,254,6.98,685,379,4420.84,867.7,18.283033,12.25076115,10.9879024,0.281010347,2.08282129,5.981551724,0.812533622,1
29,Kentucky,Arlington,4/12/2018,Caliber,8/12/2013,229,5.94,690,368,4612.6,811.7,18.28480289,17.25515672,24.28662835,0.108215121,2.08282129,5.981551724,0.770609601,2
30,Wisconsin,Lancaster,3/31/2015,AFX h134089,9/18/2014,247,5.72,616,371,4667.13,739.0,9.1287345,2.02938525,28.11020516,0.694424712,2.08282129,5.981551724,-0.536629654,1
31,Kentucky,Lexington,41365,55Q27,42240,256,5.42,678,385,4540.29,740.1,17.65669444,10.57132169,27.57384527,0.7,2.08282129,5.981551724,-0.844952496,2
32,Wisconsin,Arlington,4/5/2017,MS Sunstra 144142,41885,260,9.32,774,1,4702.99,539.6,11.21164324,-0.53,26.59640559,0.300769507,2.08282129,5.981551724,0.538772644,1
33,Wisconsin,Arlington,8/9/2012,WL 365HQ,41890,279,3.24,190,69,4634.83,727.1,9.47504267,2.1331736,14.81830449,0.07,2.08282129,5.981551724,-0.904301365,2
34,Kentucky,Arlington,8/9/2012,X13-9202B*,42604,256,1.86,1463,387,4388.92,706.6,15.04540713,2.40580293,27.61818387,0.255304154,2.08282129,5.981551724,0.017572115,1
35,Kentucky,Lexington,41730,L-455HD,9/15/2017,262,4.48,1416,369,4646.04,716.5,22.65918694,-0.48024707,10.92,0.303102822,2.08282129,5.981551724,-0.929720543,1
36,Kentucky,Marshfield,41365, AFX 064022* ,42251,256,6.79,440,354,4542.93,814.4,14.37140346,12.03133562,26.31629155,0.104800543,2.08282129,5.981551724,-0.390909821,1
37,Wisconsin,Lexington,8/9/2012,Mssunstra-D11,9/17/2015,234,1.19,1199,370,4791.62,555.4,18.93879094,-0.17314431,28.79511526,0.328641188,2.08282129,5.981551724,1.554484567,2
38,Wisconsin,Lexington,41365,SOLARGOLD,9/12/2018,261,3.34,341,368,4571.18,725.7,20.59287256,17.45656037,28.41964834,0.078948415,2.08282129,5.981551724,0.07309593,2
39,Wisconsin,Arlington,3/31/2015,ROADRUNNER,42605,280,9.01,323,1,3760.29,720.7,5.85753414,5.06163789,18.95508567,0.292125315,2.08282129,5.981551724,-2.300510249,2
40,Wisconsin,Arlington,4/5/2016,FSG 408 DP,41885,270,5.15,898,390,4511.36,950.3,9.02685579,0.4861125,13.56591493,0.323389187,2.08282129,5.981551724,-0.487274117,2
41,Wisconsin,Lexington,3/31/2015,FSG-426,9/14/2017,266,3.02,915,386,4466.7,879.1,23.79017857,-0.36457898,29.25310714,0.7,2.08282129,5.981551724,0.407211934,2
42,Wisconsin,Arlington,8/9/2012,AFX113010*,42247,238,6.76,1377,366,4544.53,825.1,19.32782828,-0.53,14.54967421,0.323962701,2.08282129,5.981551724,1.797624615,1
43,Wisconsin,Arlington,4/5/2016,Fierce,42251,245,6.16,920,372,3739.85,748.0,23.79017857,9.87821676,11.19136994,0.07,2.08282129,5.981551724,2.046642988,2
44,Kentucky,Lexington,41730,FF42.A2*,41885,261,5.21,433,41,2204.99,755.3,17.41087062,18.87832738,27.7796833,0.330476775,2.08282129,5.981551724,1.096226433,2
45,Wisconsin,Arlington,41730,Buffalo,9/15/2017,247,7.0,377,1,3524.88,620.4,20.81907742,2.07135349,22.04962616,0.07,2.08282129,5.981551724,2.06335617,1
46,Wisconsin,Lexington,41365,PGI 529,41886,254,7.98,1308,379,4697.11,772.1,20.37384522,2.65109176,26.08923525,0.259262941,2.08282129,5.981551724,-1.019816735,3
47,Wisconsin,Lexington,41365,GA-505,8/12/2013,236,9.78,258,369,4400.08,879.6,23.79017857,10.32383497,24.49284285,0.287513881,2.08282129,5.981551724,0.459502499,1
48,Kentucky,Marshfield,41730,Saranac AR,42249,236,7.58,709,382,2123.42,713.9,5.53,18.87832738,25.13779813,0.260901463,2.08282129,5.981551724,0.017190719,2
49,Kentucky,Lexington,42095,Contender,42251,250,1.19,1442,367,4419.49,922.9,22.23547803,1.37114027,26.9238491,0.086829502,2.08282129,5.981551724,1.223094587,2
50,Wisconsin,Lexington,4/5/2016, 55V50 ,9/15/2017,240,1.49,945,1,1968.38,902.4,20.95538333,0.38767163,14.5382395,0.319433341,2.08282129,5.981551724,0.130175736,2
51,Kentucky,Lexington,41730,4030,9/19/2016,240,7.89,190,384,4591.72,276.1,23.79017857,16.06761468,12.25180532,0.261798483,2.08282129,5.981551724,-1.893312001,2
52,Wisconsin,Arlington,41730, AFX  095026 ,41885,236,6.1,527,1,1856.67,312.0,23.79017857,3.16477998,11.32372388,0.263113025,2.08282129,5.981551724,-2.226802697,2
53,Kentucky,Arlington,8/9/2012, AFX h134089 ,42240,266,3.53,835,365,4419.25,843.2,5.53,18.87832738,24.61849951,0.293551964,2.08282129,5.981551724,0.674975665,3
54,Wisconsin,Marshfield,41730,Gunner,42240,248,8.02,1424,1,4686.44,852.9,8.01915261,4.22665203,25.31293124,0.07,2.08282129,5.981551724,0.38558054,2
55,Wisconsin,Arlington,41133,NF11ALF006,9/12/2018,248,5.61,130,358,4555.76,785.4,18.48872951,2.02055688,24.46069198,0.277647823,2.08282129,5.981551724,0.030685928,2
56,Wisconsin,Arlington,41365,NF11ALF006,9/12/2018,280,6.72,1237,359,4752.86,114.9,14.40559374,1.63092435,25.29604168,0.086826801,2.08282129,5.981551724,-1.150787673,2
57,Kentucky,Marshfield,4/5/2016,GA-ALFG-1,42604,257,7.99,627,373,4781.12,775.7,16.76643791,1.00387756,25.94753001,0.291822765,2.08282129,5.981551724,0.91151345,3
58,Kentucky,Lexington,4/5/2016,Nuton,41885,247,4.94,854,356,4533.95,740.7,16.0904166,14.99769606,21.0230085,0.297337811,2.08282129,5.981551724,0.79239374,3
59,Wisconsin,Arlington,3/31/2015,GA-505,9/13/2018,280,9.73,1028,368,2423.32,1017.4,15.32160142,4.96450154,29.25310714,0.391491167,2.08282129,5.981551724,-0.930670435,2
60,Kentucky,Arlington,8/9/2012,Ameristand 427TQ,9/19/2016,232,7.87,843,384,2563.86,543.7,17.0393867,3.04963705,25.50919361,0.26934523,2.08282129,5.981551724,0.171176307,3
61,Wisconsin,Arlington,4/5/2016, AFX h134093 ,41885,246,10.8,635,364,4566.18,753.9,5.53,3.74725757,10.92,0.293938051,2.08282129,5.981551724,-0.093121796,2
62,Wisconsin,Arlington,4/12/2018,AFX h134091,42613,241,4.6,451,367,3328.08,1030.2,20.79155394,16.20867713,26.1277061,0.08771948,2.08282129,5.981551724,1.252502922,3
63,Kentucky,Lexington,41730,Caliber,8/12/2013,256,4.91,609,46,4483.4,785.0,17.869031,14.46104692,16.00295409,0.278597913,2.08282129,5.981551724,-0.271392395,1
64,Wisconsin,Arlington,4/5/2016,Ameristand 427TQ,42240,254,6.73,977,26,2242.37,965.3,5.53,14.13466395,14.8812272,0.273730117,2.08282129,5.981551724,-1.103324906,2
65,Wisconsin,Marshfield,40664, LS 706 ,41886,244,5.42,2225,1,4508.1,998.5,23.79017857,4.95075634,27.52912507,0.7,2.08282129,5.981551724,0.040951002,1
66,Wisconsin,Arlington,41133,FSG 424,9/14/2017,249,5.6,547,382,4413.2,316.9,23.79017857,11.8811315,22.63465023,0.300102009,2.08282129,5.981551724,0.339738874,1
67,Wisconsin,Lexington,41365,Fierce,41885,243,9.7,661,374,4606.71,830.5,7.25276079,13.67543567,27.13481402,0.248287934,2.08282129,5.981551724,0.49205577,2
68,Wisconsin,Lexington,8/9/2012,55V50,9/12/2018,239,5.92,929,363,4721.41,1002.4,23.25033209,17.53576402,25.21797705,0.287194204,2.08282129,5.981551724,0.746456301,1
69,Wisconsin,Marshfield,8/9/2012,DSB10-T,42247,280,3.87,1289,1,4458.32,674.8,22.32950749,5.23519383,22.89123505,0.106757772,2.08282129,5.981551724,-0.244134879,2
70,Wisconsin,Marshfield,41133,AM-09-600,41919,236,1.19,981,375,3085.18,745.9,17.00625791,11.50281099,24.19199613,0.265507401,2.08282129,5.981551724,1.141028685,1
71,Wisconsin,Marshfield,4/5/2016,Radiance HD,42604,245,8.0,519,378,3511.83,787.0,14.83667453,0.24658368,26.84229887,0.7,2.08282129,5.981551724,-0.950039335,3
72,Kentucky,Lexington,41365, AFX h134092* ,9/17/2015,268,5.85,567,389,4490.94,560.0,7.36126675,11.141824,20.60950603,0.289337056,2.08282129,5.981551724,-1.037994783,1
73,Wisconsin,Marshfield,42095,Fierce,9/15/2017,245,3.55,991,373,3282.85,552.2,8.24744228,1.48791225,14.38788876,0.270190966,2.08282129,5.981551724,1.837330441,3
74,Kentucky,Arlington,3/31/2015,Caliber,41890,237,5.64,1310,362,4750.86,827.0,6.07905419,2.01451083,25.80097765,0.107823228,2.08282129,5.981551724,-1.086966622,2
75,Wisconsin,Arlington,41730,MS Sunstra 144142*,42613,255,7.68,1447,1,4640.25,845.9,10.78659412,11.67177015,28.05460105,0.336051846,2.08282129,5.981551724,-0.15569108,2
76,Kentucky,Arlington,42095,55Q27,42604,280,5.99,366,361,4530.94,1043.2,10.03812673,2.926466,29.25310714,0.099406592,2.08282129,5.981551724,-0.869119673,2
77,Kentucky,Arlington,8/9/2012, 55V50 ,9/18/2014,247,8.89,491,358,4823.96,897.0,23.79017857,3.14283,13.10901901,0.07,2.08282129,5.981551724,-0.817111898,2
78,Wisconsin,Arlington,4/5/2016,55V50,42247,247,2.32,2225,358,2697.75,1033.7,23.79017857,15.51499344,21.02775313,0.106791537,2.08282129,5.981551724,-1.83055638,2
79,Wisconsin,Arlington,41365,Saranac AR,9/14/2017,234,6.47,531,379,3178.77,919.9,11.22953861,12.07533069,21.66641114,0.257761523,2.08282129,5.981551724,-2.300510249,1
80,Kentucky,Lexington,8/9/2012,Arc,42240,240,6.12,2225,369,4402.57,798.9,23.10881594,0.98174096,25.80428364,0.096408909,2.08282129,5.981551724,0.334929814,2
81,Kentucky,Marshfield,40664,FSG 415BR,42243,258,7.33,653,26,4631.74,806.1,5.53,0.29508436,28.64136394,0.660468687,2.08282129,5.981551724,0.30718166,1
82,Wisconsin,Arlington,41730,L-455HD,9/14/2017,253,4.62,656,370,4594.01,116.0,7.52119104,-0.53,14.0904136,0.314602716,2.08282129,5.981551724,0.145119831,1
83,Wisconsin,Arlington,8/9/2012,Mariner IV,42251,232,6.55,497,362,4543.09,762.4,7.2585084,3.93569401,14.30396382,0.7,2.08282129,5.981551724,-0.021534623,1
84,Kentucky,Marshfield,8/9/2012,Evermore,42247,233,5.08,952,369,4670.49,709.9,22.04015597,1.91266334,13.99668907,0.321641096,2.08282129,5.981551724,1.945478633,3
