,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Standard Deviation,Average Yield,Number of Deviations,Class
0,Wisconsin,Arlington,41133,C/W-104038,42604,247,11.08,509,56,4635.79,1043.2,22.49963127,7.24475346,13.86952993,0.072744519,2.08282129,5.981551724,-0.088256584,1
1,Wisconsin,Lexington,4/5/2016,C/W-104038,42249,241,5.66,797,359,3237.89,845.2,5.61068077,2.09797289,21.05015188,0.7,2.08282129,5.981551724,0.567734654,3
2,Kentucky,Marshfield,41365,55V50,42613,253,5.32,863,382,3371.22,700.1,23.79017857,17.61995985,23.1533763,0.271007582,2.08282129,5.981551724,-1.254682932,2
3,Wisconsin,Lexington,41365,Ameristand 427TQ,9/16/2015,258,6.15,672,382,3585.88,1043.2,17.66881802,3.80205677,28.32295742,0.07496166,2.08282129,5.981551724,-2.215384645,1
4,Wisconsin,Lexington,4/5/2016,55V50,41890,247,6.02,130,356,3522.27,758.3,8.78793383,0.95772179,10.92,0.254921756,2.08282129,5.981551724,-0.123625768,2
5,Kentucky,Marshfield,8/9/2012,Withstand,41890,238,1.37,583,1,3526.61,752.5,23.14814464,17.54921166,26.46969792,0.310882452,2.08282129,5.981551724,-1.026411577,2
6,Kentucky,Arlington,4/12/2018,Caliber,41890,247,9.55,550,369,3401.43,809.4,15.07957856,2.77514606,20.62425365,0.07,2.08282129,5.981551724,-0.426576865,2
7,Wisconsin,Lexington,8/9/2012,Fierce,42240,238,5.83,843,351,3300.8,709.8,18.27559285,5.9434149,17.57713199,0.256899355,2.08282129,5.981551724,0.183291148,3
8,Wisconsin,Marshfield,41365,RAVEN,8/20/2018,246,7.69,1963,372,2819.44,855.2,22.74928869,2.98234186,10.92,0.095390361,2.08282129,5.981551724,-2.193237319,1
9,Kentucky,Arlington,8/9/2012,Foragegold,42251,263,8.46,384,379,3337.76,1043.2,5.53,4.1062857,10.92,0.259671916,2.08282129,5.981551724,-0.684929173,1
10,Wisconsin,Lexington,8/9/2012,Consistency 4.10RR,9/12/2018,224,1.75,1375,365,3494.52,682.3,5.53,18.87832738,29.25310714,0.292633962,2.08282129,5.981551724,-1.251610825,2
11,Wisconsin,Lexington,40664,msSunstra-145154*,42243,244,5.2,1841,363,3387.3,934.3,6.42766575,16.24647827,10.92,0.291167439,2.08282129,5.981551724,-0.826040613,2
12,Kentucky,Arlington,40664,Arc,41885,248,4.44,768,343,3530.88,333.3,11.02574315,14.18370348,18.6978864,0.082912914,2.08282129,5.981551724,-0.397181091,1
13,Wisconsin,Marshfield,41730,RAVEN,42240,243,10.18,819,364,2829.83,1043.2,6.38289544,1.10054429,13.27324769,0.278758372,2.08282129,5.981551724,-2.163769124,1
14,Kentucky,Lexington,8/9/2012,FSG 408 DP,42249,251,5.22,1073,1,3770.64,869.9,8.81324873,16.89197321,14.41894659,0.27887216,2.08282129,5.981551724,0.296449561,2
15,Kentucky,Lexington,42095,LH 9700,42247,246,5.66,715,363,4794.14,806.4,9.44920063,3.76887454,13.64528341,0.270162255,2.08282129,5.981551724,-2.300510249,1
16,Wisconsin,Lexington,41365,55V50,41885,248,5.46,815,351,4823.96,772.5,20.43015596,3.35802891,11.53622866,0.288528518,2.08282129,5.981551724,0.15430638,2
17,Kentucky,Marshfield,8/9/2012,WL 365HQ,41886,233,3.27,499,364,4823.96,863.5,5.53,17.95439605,22.00262098,0.57129469,2.08282129,5.981551724,-1.177447648,2
18,Wisconsin,Lexington,41730,RAVEN,9/19/2016,245,5.07,1216,1,3673.89,1017.0,23.79017857,16.66638069,19.71662057,0.29669666,2.08282129,5.981551724,-0.420571605,1
19,Kentucky,Marshfield,4/5/2016,55Q27,42240,258,6.29,1130,377,1856.67,830.9,8.71366786,17.13871783,28.25838048,0.266150405,2.08282129,5.981551724,-0.336646605,2
20,Kentucky,Lexington,41133,Contender,42249,233,4.68,770,371,3224.02,744.8,23.03745852,2.41763495,14.09994706,0.087377024,2.08282129,5.981551724,0.648045684,3
21,Wisconsin,Arlington,41365,55H94,9/12/2018,276,3.54,146,1,4724.76,879.9,14.88463224,4.74929633,23.88583857,0.098280768,2.08282129,5.981551724,-0.33371764,2
