,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Standard Deviation,Average Yield,Number of Deviations,Class
0,Wisconsin,Marshfield,41365,55V50,42240,236,5.93,905,366,4662.83,753.6,6.74497382,1.17288686,11.33431746,0.0830061,2.08282129,5.981551724,-0.437808338,2
1,Wisconsin,Arlington,41133,55Q27,42251,245,6.78,517,365,4703.35,750.2,6.41598822,0.9222904,11.60971611,0.074385917,2.08282129,5.981551724,-0.330333472,2
2,Wisconsin,Arlington,41730,55V50,41886,257,5.88,206,7,2936.47,1016.9,18.5303694,13.32919437,24.86408502,0.0760315,2.08282129,5.981551724,0.065122405,2
3,Wisconsin,Arlington,41730,55V50,42604,246,9.37,485,364,4663.17,1023.5,6.07723979,0.02390427,11.54423682,0.080534257,2.08282129,5.981551724,1.074349512,2
4,Wisconsin,Arlington,41730,55Q27,42604,247,9.58,536,365,4651.73,1043.2,6.0578612,0.13853626,11.68700185,0.076058702,2.08282129,5.981551724,1.512042576,2
5,Wisconsin,Lexington,41730,55V50,9/15/2017,256,4.57,898,366,4637.89,982.9,20.02248269,14.03528947,24.94988616,0.081339157,2.08282129,5.981551724,0.25869458,2
6,Wisconsin,Arlington,41365,55V50,42251,248,6.13,789,364,4704.94,845.1,6.18218675,0.69434802,11.81594154,0.078633398,2.08282129,5.981551724,-0.234226747,2
7,Wisconsin,Arlington,41730,55Q27,42604,233,8.36,521,365,4698.75,1031.6,9.46284531,3.77323886,14.19365484,0.074680955,2.08282129,5.981551724,1.779264527,2
8,Wisconsin,Arlington,41365,55Q27,41885,245,5.52,574,366,4700.48,852.7,6.25281488,0.72737436,11.67442867,0.075586149,2.08282129,5.981551724,0.178263386,2
9,Kentucky,Lexington,8/9/2012,55V50,9/15/2017,256,8.19,527,362,3413.65,963.7,20.13373144,14.28909118,24.57894948,0.295520559,2.08282129,5.981551724,0.202792495,2
10,Wisconsin,Arlington,41730,55V50,42604,246,10.36,541,365,4768.66,986.1,9.79432982,-0.12568927,11.57330098,0.076862668,2.08282129,5.981551724,1.820418279,2
