,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Standard Deviation,Average Yield,Number of Deviations,Class
0,Wisconsin,Marshfield,41365,55V50,42240,237,5.43,856,364,4663.25,756.0,6.62102263,1.33485324,11.66917699,0.082215774,2.08282129,5.981551724,-0.576458847,2
1,Wisconsin,Arlington,41730,55V50,41885,247,6.03,491,367,4769.56,831.4,19.2493252,12.90965214,23.61158101,0.072040745,2.08282129,5.981551724,-0.069950349,2
2,Kentucky,Lexington,8/9/2012,55V50,9/13/2018,257,5.62,915,367,3561.09,829.7,18.89913171,14.90296611,25.3036594,0.288287193,2.08282129,5.981551724,-0.236038515,2
3,Wisconsin,Lexington,41365,55V50,41919,260,6.75,521,366,4747.57,835.9,18.93605414,13.61117691,24.36331978,0.291403139,2.08282129,5.981551724,0.541794606,2
4,Wisconsin,Arlington,40664,55V50,41885,247,4.32,787,365,4754.24,835.8,6.3244885,-0.06944793,11.05224416,0.073005607,2.08282129,5.981551724,0.131434149,2
5,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,260,7.07,904,363,3314.69,814.7,19.76008489,13.99559009,25.27879509,0.29040533,2.08282129,5.981551724,0.425057803,2
6,Wisconsin,Arlington,41730,55Q27,42251,244,6.4,857,364,4710.69,742.7,6.4511981,1.17155244,12.07983465,0.079940964,2.08282129,5.981551724,0.455339704,2
7,Wisconsin,Lexington,41365,55V50,42240,247,6.17,857,367,4723.81,755.1,6.2732212,0.33739121,11.4704226,0.074806802,2.08282129,5.981551724,-0.128391461,2
8,Wisconsin,Arlington,41365,55V50,41885,245,6.72,505,366,4823.96,835.5,6.38368476,0.21196443,11.53197565,0.081921473,2.08282129,5.981551724,0.535035275,2
9,Wisconsin,Lexington,41730,55V50,8/12/2013,259,5.27,518,359,3525.84,835.1,18.75791531,14.95330583,24.84537374,0.292243733,2.08282129,5.981551724,0.142006121,2
10,Wisconsin,Arlington,41365,55V50,42240,237,5.49,829,366,4605.93,733.7,6.53255225,0.81149447,11.79527058,0.081988002,2.08282129,5.981551724,1.559772715,2
11,Wisconsin,Marshfield,41730,55V50,42240,246,5.97,764,363,4753.63,744.9,6.52345647,0.74277443,11.6462379,0.080076578,2.08282129,5.981551724,-0.123452347,2
12,Wisconsin,Arlington,41133,55V50,42251,246,5.85,902,362,4702.78,753.7,6.4750283,0.70235351,11.622391,0.076596749,2.08282129,5.981551724,0.807460748,2
13,Wisconsin,Arlington,41730,55V50,42604,237,7.73,758,362,4766.81,977.5,9.57975149,4.12841478,14.33501412,0.072865019,2.08282129,5.981551724,1.646465964,3
14,Wisconsin,Arlington,41730,55Q27,42613,237,5.96,576,368,4719.33,979.8,9.26284334,4.01427652,14.42512874,0.077016401,2.08282129,5.981551724,1.949850507,2
15,Kentucky,Lexington,8/9/2012,55V50,8/12/2013,260,5.8,566,364,3405.95,820.6,19.73344883,13.65761196,24.34617268,0.301572593,2.08282129,5.981551724,1.008681353,2
16,Wisconsin,Arlington,41730,55V50,42604,235,5.27,839,362,4766.24,1043.2,9.47044185,4.30999924,14.62542014,0.07713422,2.08282129,5.981551724,1.512575917,2
17,Wisconsin,Arlington,41730,55Q27,41885,245,6.46,161,364,4652.62,797.4,18.23883976,13.06195422,23.8143926,0.072530641,2.08282129,5.981551724,0.060228492,2
18,Wisconsin,Arlington,41365,5312,41885,247,3.78,899,367,4755.11,832.8,6.2023174,-0.0083718,11.24405455,0.079201436,2.08282129,5.981551724,0.322237143,2
19,Wisconsin,Arlington,41133,55V50,41885,247,8.27,806,366,4803.68,833.0,6.25181823,-0.04327933,11.64983049,0.07670213,2.08282129,5.981551724,0.333064597,2
20,Kentucky,Lexington,8/9/2012,55V50,9/15/2017,255,6.25,852,362,3451.35,1036.1,19.18634627,14.04722025,24.65207065,0.28485801,2.08282129,5.981551724,-0.917386675,2
21,Wisconsin,Arlington,41730,55V50,42604,244,8.62,577,364,4732.2,978.0,9.07391069,3.85298099,14.45182299,0.077406519,2.08282129,5.981551724,1.367665342,2
22,Kentucky,Lexington,3/31/2015,Saranac AR,9/19/2016,257,6.51,136,366,3117.03,474.7,20.35588462,14.81787922,26.01153167,0.29246906,2.08282129,5.981551724,0.03221047,2
23,Kentucky,Lexington,8/9/2012,55V50,9/15/2017,258,7.45,217,1,2706.17,585.7,18.48888491,12.50637385,23.99774074,0.286294367,2.08282129,5.981551724,-1.842400354,2
24,Kentucky,Lexington,4/5/2016,Saranac AR,9/19/2016,258,5.52,870,367,2915.16,480.9,20.67971888,14.82345814,26.17956026,0.290071704,2.08282129,5.981551724,-0.006286412,2
25,Wisconsin,Lexington,8/9/2012,55V50,9/13/2018,258,4.63,539,361,4646.14,812.6,19.07659273,13.03643501,23.7375787,0.283004636,2.08282129,5.981551724,0.395394077,2
26,Kentucky,Lexington,8/9/2012,Saranac AR,9/15/2017,260,5.71,895,362,3340.04,803.2,18.83394954,14.68413892,25.04739247,0.298246011,2.08282129,5.981551724,-0.476655725,2
27,Wisconsin,Arlington,41730,55V50,42604,235,6.69,870,362,4699.86,1023.3,9.127884,4.19153558,14.32181244,0.079203517,2.08282129,5.981551724,0.852441522,2
28,Wisconsin,Arlington,41365,55V50,42604,246,6.56,874,363,4707.73,1009.1,9.11217974,3.28146815,14.27897985,0.07817041,2.08282129,5.981551724,-0.125095192,2
