,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Wisconsin,Lexington,41730,55V50,9/14/2017,256,2.87,146,1,3641.06,448.7,21.21132939,14.72386173,24.05334961,0.28047141,1
1,Wisconsin,Lexington,41365,55V50,9/15/2017,264,5.49,1082,365,4761.97,790.6,7.77085503,2.34327564,12.77334132,0.074448221,3
2,Wisconsin,Arlington,41730,55V50,41886,249,6.24,143,1,2741.69,756.7,15.51181735,11.07460232,22.65563997,0.07959574,2
3,Kentucky,Lexington,8/9/2012,Saranac AR,9/14/2017,259,5.15,495,365,4732.22,817.3,20.92155812,15.41305681,26.70177472,0.286025541,2
4,Wisconsin,Arlington,41730,55V50,41886,247,7.4,160,1,2840.51,774.9,16.42868779,11.42085735,23.22579128,0.078624657,1
5,Wisconsin,Arlington,8/9/2012,Caliber,9/18/2014,254,8.26,871,381,4527.37,790.7,9.41182012,1.52406938,12.93742163,0.079733749,3
6,Wisconsin,Arlington,41730,55V50,41886,248,1.8,164,1,2881.52,137.6,16.15658068,12.08168082,22.09654117,0.075807727,1
7,Wisconsin,Marshfield,41730,55Q27,42240,240,5.04,457,362,4660.9,909.4,6.46539875,0.27356793,13.48947732,0.079254473,2
8,Kentucky,Lexington,8/9/2012,Caliber,9/19/2016,262,5.51,1032,365,4602.77,1013.1,20.53651253,16.45559415,25.60503331,0.290566045,3
9,Wisconsin,Arlington,41365,55V50,41885,247,5.63,1100,368,4743.19,836.5,6.64788739,1.77822465,12.03338738,0.080733413,2
10,Wisconsin,Marshfield,41730,55V50,41889,234,5.96,130,2,3336.59,531.3,16.71653247,12.34493266,24.19037002,0.075978644,2
11,Wisconsin,Marshfield,41365,55V50,42240,234,5.53,924,365,4809.18,832.0,6.51434191,2.16461006,11.42830143,0.087038378,2
12,Wisconsin,Marshfield,41730,55V50,9/14/2017,227,6.39,529,360,4729.43,814.9,7.99177221,13.9096681,24.36351163,0.077646899,2
13,Wisconsin,Lexington,41730,55V50,9/14/2017,252,6.34,172,1,3155.0,762.5,20.4850429,11.70679836,23.00422007,0.083094455,1
14,Kentucky,Lexington,8/9/2012,Caliber,9/13/2018,266,5.78,504,363,3036.68,867.8,19.07413082,14.47316399,25.01394892,0.289868818,2
15,Wisconsin,Marshfield,41730,55Q27,41890,233,3.32,185,3,3151.81,505.1,16.37330043,10.83074812,23.72080002,0.080334011,1
16,Wisconsin,Marshfield,41365,55V50,42251,230,4.89,809,366,4718.17,766.6,5.90020837,1.24830092,12.50775361,0.082208728,2
17,Wisconsin,Marshfield,41365,55V50,42240,238,4.39,956,365,4550.89,805.1,7.03047559,2.72553224,12.67649438,0.0788497,2
18,Wisconsin,Arlington,41730,55V50,41886,246,3.15,130,6,2860.95,306.7,15.39072789,13.62174102,23.17880104,0.071930959,1
19,Wisconsin,Arlington,41730,55Q27,41886,248,2.81,130,1,2925.78,109.7,16.36984838,11.48968073,23.13756157,0.078734948,1
20,Kentucky,Lexington,8/9/2012,55V50,41885,259,6.32,1027,367,4781.2,761.0,18.44218137,11.95415007,22.97413668,0.290286054,2
21,Wisconsin,Marshfield,41365,55Q27,42240,228,5.76,584,362,4711.23,803.1,7.167506,1.69133419,12.37070472,0.082967132,2
22,Wisconsin,Marshfield,41730,Vernal,41890,243,6.1,175,1,2667.9,440.0,16.40940369,13.03155488,24.5140034,0.077021934,1
23,Wisconsin,Marshfield,42095,55V50,42243,241,2.44,130,1,2657.46,518.1,16.71766859,13.91109183,25.62258027,0.073314296,1
24,Wisconsin,Arlington,41365,55V50,41885,259,5.71,563,364,4749.4,779.1,5.53,1.41853959,11.942696,0.077283093,2
25,Wisconsin,Marshfield,41730,55V50,42613,237,7.55,524,364,4508.04,1004.2,5.53,17.44707833,12.08423362,0.081554457,3
26,Wisconsin,Marshfield,41365,55V50,42240,259,5.44,1041,363,4664.07,797.3,6.88158018,1.40177906,11.39709933,0.08136964,2
27,Wisconsin,Marshfield,41365,55Q27,42240,251,4.57,560,364,4575.85,787.6,6.76177669,2.48425205,11.10952896,0.076705206,2
