,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Class
0,Kentucky,Lexington,3/31/2015,Caliber,9/12/2018,260,5.36,1185,365,2741.56,791.0,21.0605644,16.31645008,24.85307839,0.29389642,2
1,Wisconsin,Arlington,41730,55V50,42604,235,7.91,550,363,4701.68,986.4,8.55284513,2.13561553,13.16097367,0.071979233,3
2,Kentucky,Lexington,3/31/2015,Saranac AR,9/19/2016,260,3.57,921,367,4718.35,536.8,20.20051473,16.52788571,25.40121189,0.287317827,2
3,Kentucky,Lexington,8/9/2012,55V50,9/12/2018,257,4.77,870,362,2998.98,771.0,20.69849396,16.40189149,23.46685675,0.29213878,2
4,Kentucky,Lexington,3/31/2015,Saranac AR,9/19/2016,261,5.75,199,364,2965.49,592.6,19.57789199,14.24285876,27.05254788,0.28251036,2
5,Kentucky,Lexington,4/5/2016,Saranac AR,9/19/2016,257,2.37,130,4,2836.05,499.6,21.59305231,15.24235118,25.81047836,0.281919044,1
6,Wisconsin,Marshfield,41730,55V50,42240,240,4.01,239,365,4637.64,448.8,7.64310582,1.214927,25.53657328,0.070135919,2
7,Kentucky,Lexington,4/5/2016,Saranac AR,9/14/2017,257,2.01,197,1,2880.21,482.2,22.15066591,16.5092383,24.91442898,0.272738417,1
8,Kentucky,Lexington,8/9/2012,Caliber,9/14/2017,260,6.36,1092,363,2598.28,792.0,19.87172874,15.5986124,25.62244691,0.287169223,3
9,Kentucky,Lexington,3/31/2015,Saranac AR,9/19/2016,261,2.64,197,2,2662.07,582.0,20.30748801,14.58965363,24.42625268,0.277110111,1
10,Kentucky,Lexington,8/9/2012,Caliber,9/15/2017,259,6.21,1017,365,3093.9,776.9,21.22271425,14.86134558,25.42894801,0.290595627,3
11,Wisconsin,Marshfield,41730,55V50,42613,232,5.2,805,365,4708.53,964.7,7.45973983,17.49804807,25.0804108,0.082410966,2
